symbol,date,open,high,low,close,volume
GOLDBEES,2008-06-09,12.6,12.63,12.42,12.58,2729400
GOLDBEES,2008-06-10,12.45,12.55,12.28,12.32,4110300
GOLDBEES,2008-06-11,12.19,12.19,12.12,12.17,2767000
GOLDBEES,2008-06-12,12.15,12.2,11.92,12.11,1484900
GOLDBEES,2008-06-13,12.09,12.19,12.02,12.05,680100
GOLDBEES,2008-06-16,12.1,12.16,12.06,12.12,520100
GOLDBEES,2008-06-17,12.2,12.35,12.2,12.26,628500
GOLDBEES,2008-06-18,12.2,12.34,12.2,12.25,484600
GOLDBEES,2008-06-19,12.3,12.39,12.3,12.35,496800
GOLDBEES,2008-06-20,12.4,12.5,12.32,12.44,1479200
GOLDBEES,2008-06-23,12.44,12.66,12.44,12.6,2952200
GOLDBEES,2008-06-24,12.4,12.41,12.32,12.4,1307900
GOLDBEES,2008-06-25,12.33,12.4,12.28,12.3,1775000
GOLDBEES,2008-06-26,12.29,12.37,12.18,12.35,347700
GOLDBEES,2008-06-27,12.5,12.85,12.5,12.81,3179400
GOLDBEES,2008-06-30,13.03,13.21,12.85,13.12,2635700
GOLDBEES,2008-07-01,13.0,13.08,12.88,13.05,2009100
GOLDBEES,2008-07-02,13.25,13.25,12.95,13.0,2235500
GOLDBEES,2008-07-03,13.06,13.3,13.06,13.16,1908200
GOLDBEES,2008-07-04,13.16,13.18,13.01,13.04,1208200
GOLDBEES,2008-07-07,13.03,13.03,12.87,12.94,1281100
GOLDBEES,2008-07-08,12.91,13.07,12.91,13.04,738800
GOLDBEES,2008-07-09,12.99,12.99,12.83,12.89,1971100
GOLDBEES,2008-07-10,12.9,13.03,12.9,12.99,1697100
GOLDBEES,2008-07-11,13.0,13.2,13.0,13.17,3096700
GOLDBEES,2008-07-14,13.2,13.4,13.2,13.3,4256400
GOLDBEES,2008-07-15,13.5,13.78,13.4,13.73,2632500
GOLDBEES,2008-07-16,13.72,13.72,13.5,13.62,1447500
GOLDBEES,2008-07-17,13.5,13.5,13.06,13.35,2412500
GOLDBEES,2008-07-18,13.26,13.35,13.16,13.29,1030500
GOLDBEES,2008-07-21,13.16,13.38,13.16,13.35,977600
GOLDBEES,2008-07-22,13.46,13.47,13.35,13.42,1891700
GOLDBEES,2008-07-23,13.25,13.25,12.69,12.7,4932200
GOLDBEES,2008-07-24,12.65,12.85,12.5,12.77,2401700
GOLDBEES,2008-07-25,12.84,12.84,12.65,12.76,3609500
GOLDBEES,2008-07-28,12.77,12.79,12.71,12.76,1399500
GOLDBEES,2008-07-29,12.8,12.9,12.77,12.78,785700
GOLDBEES,2008-07-30,12.79,12.84,12.49,12.52,1766500
GOLDBEES,2008-07-31,12.52,12.62,12.45,12.59,1517800
GOLDBEES,2008-08-01,12.6,12.63,12.45,12.51,1833400
GOLDBEES,2008-08-04,12.51,12.6,12.47,12.51,949100
GOLDBEES,2008-08-05,12.4,12.4,12.08,12.13,4097000
GOLDBEES,2008-08-06,12.13,12.25,12.06,12.19,2695600
GOLDBEES,2008-08-07,12.15,12.25,12.05,12.07,3785400
GOLDBEES,2008-08-08,12.14,12.14,12.0,12.06,2377000
GOLDBEES,2008-08-11,12.0,12.05,11.84,11.91,4711700
GOLDBEES,2008-08-12,11.7,11.92,11.51,11.85,7780400
GOLDBEES,2008-08-13,11.82,11.93,11.75,11.77,5071500
GOLDBEES,2008-08-14,11.89,11.98,11.8,11.91,3254400
GOLDBEES,2008-08-18,11.88,11.91,11.69,11.72,3052900
GOLDBEES,2008-08-19,11.87,11.87,11.69,11.77,1383300
GOLDBEES,2008-08-20,11.91,11.91,11.77,11.8,2395400
GOLDBEES,2008-08-21,11.8,12.02,11.76,12.0,2577300
GOLDBEES,2008-08-22,12.04,12.2,11.89,11.91,1840400
GOLDBEES,2008-08-25,11.92,11.92,11.81,11.84,1822500
GOLDBEES,2008-08-26,11.96,11.96,11.65,11.67,2198500
GOLDBEES,2008-08-27,11.72,11.9,11.71,11.87,1376800
GOLDBEES,2008-08-28,11.9,11.9,11.82,11.85,1005900
GOLDBEES,2008-08-29,11.85,11.91,11.8,11.89,753300
GOLDBEES,2008-09-01,11.93,11.98,11.88,11.92,701200
GOLDBEES,2008-09-02,11.94,11.94,11.62,11.68,2689600
GOLDBEES,2008-09-04,11.7,11.75,11.62,11.71,1027100
GOLDBEES,2008-09-05,11.65,11.73,11.58,11.61,1585700
GOLDBEES,2008-09-08,11.7,11.75,11.6,11.63,1829200
GOLDBEES,2008-09-09,11.7,11.7,11.59,11.62,876100
GOLDBEES,2008-09-10,11.6,11.6,11.42,11.47,2740000
GOLDBEES,2008-09-11,11.46,11.46,11.26,11.3,3438700
GOLDBEES,2008-09-12,11.36,11.39,11.3,11.34,2761300
GOLDBEES,2008-09-15,11.49,11.87,11.4,11.54,2010700
GOLDBEES,2008-09-16,11.4,11.69,11.4,11.67,1405700
GOLDBEES,2008-09-17,10.89,11.7,10.76,11.69,1670400
GOLDBEES,2008-09-18,12.5,12.7,12.3,12.56,14462900
GOLDBEES,2008-09-19,12.55,12.55,12.16,12.26,2225600
GOLDBEES,2008-09-22,12.2,12.56,12.14,12.52,1861700
GOLDBEES,2008-09-23,12.65,12.9,12.58,12.65,3521800
GOLDBEES,2008-09-24,12.67,12.67,12.5,12.61,1123800
GOLDBEES,2008-09-25,12.65,12.69,12.59,12.65,2835100
GOLDBEES,2008-09-26,12.52,12.68,12.52,12.61,1822900
GOLDBEES,2008-09-29,12.68,12.89,12.62,12.84,3031400
GOLDBEES,2008-09-30,13.09,13.19,12.75,12.87,4746900
GOLDBEES,2008-10-01,12.87,12.9,12.5,12.68,3345500
GOLDBEES,2008-10-03,12.51,12.65,12.36,12.49,3426700
GOLDBEES,2008-10-06,12.3,12.85,12.3,12.72,2939200
GOLDBEES,2008-10-07,12.95,13.1,12.7,13.07,3836700
GOLDBEES,2008-10-08,13.2,13.44,12.75,13.35,6453200
GOLDBEES,2008-10-10,13.4,13.79,13.34,13.68,8072300
GOLDBEES,2008-10-13,13.51,13.51,12.88,12.93,2857400
GOLDBEES,2008-10-14,12.9,12.9,12.65,12.75,2261600
GOLDBEES,2008-10-15,12.63,14.25,12.63,12.98,2288700
GOLDBEES,2008-10-16,12.95,13.25,12.86,12.91,2701300
GOLDBEES,2008-10-17,12.75,12.75,12.51,12.55,2450000
GOLDBEES,2008-10-20,12.51,12.58,12.41,12.51,2329400
GOLDBEES,2008-10-21,12.55,12.6,12.3,12.32,1464400
GOLDBEES,2008-10-22,12.3,12.3,12.0,12.02,3258000
GOLDBEES,2008-10-23,11.81,11.94,11.61,11.68,3565400
GOLDBEES,2008-10-24,11.66,11.74,11.27,11.31,3308700
GOLDBEES,2008-10-27,11.47,11.7,11.35,11.43,4042200
GOLDBEES,2008-10-28,11.88,11.99,11.59,11.94,1495500
GOLDBEES,2008-10-29,12.0,12.0,11.69,11.91,923100
GOLDBEES,2008-10-31,11.79,11.8,11.5,11.56,1126600
GOLDBEES,2008-11-03,11.6,11.73,11.5,11.62,1466700
GOLDBEES,2008-11-04,11.62,11.62,11.34,11.39,1763800
GOLDBEES,2008-11-05,11.45,11.6,11.45,11.55,806500
GOLDBEES,2008-11-06,11.55,11.55,11.2,11.47,573600
GOLDBEES,2008-11-07,11.33,11.51,11.26,11.48,410900
GOLDBEES,2008-11-10,11.55,11.63,11.45,11.57,945800
GOLDBEES,2008-11-11,11.46,11.59,11.46,11.56,527400
GOLDBEES,2008-11-12,11.6,11.6,11.47,11.59,714500
GOLDBEES,2008-11-14,11.59,11.64,11.5,11.57,621000
GOLDBEES,2008-11-17,11.64,11.78,11.58,11.73,662800
GOLDBEES,2008-11-18,11.73,11.8,11.69,11.74,1024100
