symbol,date,open,high,low,close,volume
GOLDCASE,2024-03-01,11.0,11.0,10.0,10.1,251715
GOLDCASE,2024-03-02,10.5,10.5,10.1,10.25,264620
GOLDCASE,2024-03-04,10.8,11.8,10.2,10.25,351856
GOLDCASE,2024-03-05,10.61,10.61,10.27,10.39,843627
GOLDCASE,2024-03-06,10.7,12.19,10.3,10.4,875881
GOLDCASE,2024-03-07,10.7,10.7,10.41,10.49,266152
GOLDCASE,2024-03-11,10.97,10.97,10.5,10.62,387668
GOLDCASE,2024-03-12,11.11,11.11,10.56,10.61,254258
GOLDCASE,2024-03-13,10.83,10.83,10.47,10.55,168668
GOLDCASE,2024-03-14,10.67,10.67,10.53,10.57,103619
GOLDCASE,2024-03-15,10.59,10.82,10.51,10.57,376256
GOLDCASE,2024-03-18,10.78,11.8,10.47,10.53,111045
GOLDCASE,2024-03-19,10.8,10.8,10.5,10.54,182867
GOLDCASE,2024-03-20,10.74,10.78,10.54,10.58,140713
GOLDCASE,2024-03-21,10.57,10.77,10.46,10.73,200057
GOLDCASE,2024-03-22,11.05,11.21,10.54,10.63,175754
GOLDCASE,2024-03-26,11.0,11.33,10.44,10.7,360985
GOLDCASE,2024-03-27,10.95,10.99,10.63,10.68,233625
GOLDCASE,2024-03-28,10.9,10.9,10.68,10.75,198304
GOLDCASE,2024-04-01,12.78,12.78,10.9,11.09,260009
GOLDCASE,2024-04-02,11.28,11.28,10.99,11.08,344423
GOLDCASE,2024-04-03,11.4,12.37,11.09,11.16,1959509
GOLDCASE,2024-04-04,11.67,11.67,11.19,11.22,807194
GOLDCASE,2024-04-05,11.56,11.56,11.0,11.2,481828
GOLDCASE,2024-04-08,11.56,11.64,11.21,11.41,412653
GOLDCASE,2024-04-09,11.63,11.63,11.4,11.53,583012
GOLDCASE,2024-04-10,11.64,11.71,11.38,11.51,729698
GOLDCASE,2024-04-12,12.03,12.35,11.35,11.72,691765
GOLDCASE,2024-04-15,11.78,12.31,11.43,11.6,1314451
GOLDCASE,2024-04-16,11.75,11.8,10.5,11.74,643440
GOLDCASE,2024-04-18,11.93,11.93,11.6,11.74,448280
GOLDCASE,2024-04-19,11.93,11.94,11.72,11.8,322346
GOLDCASE,2024-04-22,11.86,11.95,11.51,11.69,720216
GOLDCASE,2024-04-23,11.57,11.58,11.31,11.42,609003
GOLDCASE,2024-04-24,11.75,11.78,11.41,11.52,179678
GOLDCASE,2024-04-25,11.67,11.67,11.46,11.53,123031
GOLDCASE,2024-04-26,11.65,11.65,11.52,11.64,311521
GOLDCASE,2024-04-29,11.68,11.68,11.08,11.59,210215
GOLDCASE,2024-04-30,11.69,11.69,11.51,11.56,269861
