symbol,date,open,high,low,close,volume
GPTINFRA,2016-07-11,62.5,62.5,59.75,60.22,16752
GPTINFRA,2016-07-12,60.5,61.34,58.25,61.17,54448
GPTINFRA,2016-07-13,61.25,62.49,59.63,60.75,60644
GPTINFRA,2016-07-14,61.0,62.49,60.06,60.49,53868
GPTINFRA,2016-07-15,60.5,61.75,56.25,59.99,53372
GPTINFRA,2016-07-18,60.0,62.0,59.97,60.65,52292
GPTINFRA,2016-07-19,60.75,60.97,59.0,60.74,54120
GPTINFRA,2016-07-20,60.38,60.95,56.47,60.3,51560
GPTINFRA,2016-07-21,60.38,60.41,59.25,59.25,48736
GPTINFRA,2016-07-22,60.0,62.25,59.5,59.8,58776
GPTINFRA,2016-07-25,62.6,62.6,60.1,60.4,59116
GPTINFRA,2016-07-26,60.5,62.24,59.5,59.5,49328
GPTINFRA,2016-07-27,60.0,62.25,57.75,59.14,62168
GPTINFRA,2016-07-28,60.0,60.99,58.05,58.75,63364
GPTINFRA,2016-07-29,59.0,60.51,59.0,59.88,50928
GPTINFRA,2016-08-01,60.0,61.5,50.38,57.08,67324
GPTINFRA,2016-08-02,60.0,61.49,55.0,57.64,105988
GPTINFRA,2016-08-03,58.25,59.4,57.25,59.19,156896
GPTINFRA,2016-08-04,59.0,61.0,56.25,60.26,148272
GPTINFRA,2016-08-05,60.5,62.25,58.75,59.38,121836
GPTINFRA,2016-08-08,59.75,61.75,58.5,59.58,80584
GPTINFRA,2016-08-09,60.0,61.0,58.63,60.2,88436
GPTINFRA,2016-08-10,60.05,62.13,59.25,61.34,74044
GPTINFRA,2016-08-11,61.25,63.5,60.0,61.47,78128
GPTINFRA,2016-08-12,61.5,62.5,57.75,58.83,58912
GPTINFRA,2016-08-16,60.5,62.22,58.75,61.0,295696
GPTINFRA,2016-08-17,61.25,61.88,60.25,60.59,55876
GPTINFRA,2016-08-18,58.75,61.88,58.75,61.22,105164
GPTINFRA,2016-08-19,60.63,64.49,60.63,63.03,111792
GPTINFRA,2016-08-22,63.75,63.81,59.75,63.01,76808
GPTINFRA,2016-08-23,63.75,64.38,60.38,62.67,58644
GPTINFRA,2016-08-24,62.5,63.72,62.0,63.25,59860
GPTINFRA,2016-08-25,63.25,64.75,62.63,63.25,61260
GPTINFRA,2016-08-26,63.75,65.24,57.65,64.04,126876
GPTINFRA,2016-08-29,62.64,65.0,61.25,62.36,55864
GPTINFRA,2016-08-30,62.5,65.72,62.5,63.95,73940
GPTINFRA,2016-08-31,66.2,66.2,60.15,64.1,59612
GPTINFRA,2016-09-01,63.75,63.75,62.5,63.1,51760
GPTINFRA,2016-09-02,63.25,65.5,60.75,63.47,33720
GPTINFRA,2016-09-06,63.51,66.19,62.75,65.69,55476
GPTINFRA,2016-09-07,65.75,69.5,63.78,67.19,174308
GPTINFRA,2016-09-08,66.25,68.49,66.0,67.45,37736
GPTINFRA,2016-09-09,66.25,67.5,65.25,66.72,49112
