symbol,date,open,high,low,close,volume
GRAPHISAD,2023-12-28,72.2,78.4,70.0,73.1,363602
GRAPHISAD,2023-12-29,74.0,75.5,71.75,72.3,150001
GRAPHISAD,2024-01-01,70.75,72.25,70.0,70.8,85202
GRAPHISAD,2024-01-02,71.0,73.0,68.0,69.15,153601
GRAPHISAD,2024-01-03,69.15,70.1,65.85,67.5,214802
GRAPHISAD,2024-01-04,67.2,74.5,67.2,73.7,201601
GRAPHISAD,2024-01-05,76.0,76.3,72.0,72.0,91201
GRAPHISAD,2024-01-08,72.2,73.45,69.55,70.0,102001
GRAPHISAD,2024-01-09,71.75,72.0,69.4,70.1,50401
GRAPHISAD,2024-01-10,71.5,71.5,69.0,71.3,60001
GRAPHISAD,2024-01-11,71.25,71.7,69.6,70.15,45601
GRAPHISAD,2024-01-12,70.0,72.0,70.0,71.2,55201
GRAPHISAD,2024-01-15,71.2,72.0,70.0,70.2,109201
GRAPHISAD,2024-01-16,70.0,70.85,69.3,70.0,37201
GRAPHISAD,2024-01-17,70.2,71.0,67.0,69.55,81601
GRAPHISAD,2024-01-18,68.8,69.9,67.8,69.0,25201
GRAPHISAD,2024-01-19,68.5,70.5,68.15,69.0,38401
GRAPHISAD,2024-01-20,68.5,68.95,68.1,68.5,42001
GRAPHISAD,2024-01-23,68.6,68.7,67.3,67.5,58800
GRAPHISAD,2024-01-24,67.0,67.65,66.05,67.0,32401
GRAPHISAD,2024-01-25,67.0,67.0,66.0,66.35,46801
GRAPHISAD,2024-01-29,67.0,67.0,65.1,65.15,51601
GRAPHISAD,2024-01-30,65.15,65.45,63.9,64.05,52801
GRAPHISAD,2024-01-31,65.0,66.0,64.25,65.3,22801
GRAPHISAD,2024-02-01,64.15,65.8,64.15,64.65,30001
GRAPHISAD,2024-02-02,64.25,65.1,64.0,64.5,37201
GRAPHISAD,2024-02-05,64.25,64.85,63.0,63.2,60001
GRAPHISAD,2024-02-06,63.5,63.5,60.15,61.35,58801
GRAPHISAD,2024-02-07,61.35,62.0,60.7,60.75,27601
GRAPHISAD,2024-02-08,61.1,61.15,60.2,60.4,40801
GRAPHISAD,2024-02-09,60.5,60.8,60.0,60.1,31201
GRAPHISAD,2024-02-12,60.5,61.5,59.0,59.0,34801
GRAPHISAD,2024-02-13,58.85,58.85,56.4,56.4,42001
GRAPHISAD,2024-02-14,56.6,58.9,56.15,58.0,28801
GRAPHISAD,2024-02-15,60.0,68.9,58.5,62.55,96001
GRAPHISAD,2024-02-16,64.0,64.95,61.4,62.35,26401
GRAPHISAD,2024-02-19,63.0,63.75,62.4,63.75,24001
GRAPHISAD,2024-02-20,62.05,63.55,62.0,62.0,20401
GRAPHISAD,2024-02-21,61.0,62.2,60.5,61.75,26401
GRAPHISAD,2024-02-22,61.8,62.0,60.75,61.95,22801
GRAPHISAD,2024-02-23,60.6,62.0,60.0,60.65,30001
GRAPHISAD,2024-02-26,59.05,68.0,58.4,63.65,75601
GRAPHISAD,2024-02-27,65.0,67.9,64.05,65.8,64801
GRAPHISAD,2024-02-28,66.85,66.85,62.85,64.15,26401
GRAPHISAD,2024-02-29,65.0,65.6,60.4,61.1,48001
GRAPHISAD,2024-03-01,62.4,63.75,61.8,63.4,34801
GRAPHISAD,2024-03-02,64.7,65.0,63.2,63.8,12002
GRAPHISAD,2024-03-04,64.1,64.1,61.15,62.3,31201
GRAPHISAD,2024-03-05,62.0,62.3,60.15,62.3,19201
GRAPHISAD,2024-03-06,60.0,60.4,59.0,59.2,19201
GRAPHISAD,2024-03-07,58.75,61.7,58.75,60.5,14401
GRAPHISAD,2024-03-11,60.0,60.0,57.15,57.5,25201
GRAPHISAD,2024-03-12,58.0,58.0,56.5,56.5,61201
GRAPHISAD,2024-03-13,57.8,57.8,49.2,50.2,104401
GRAPHISAD,2024-03-14,49.5,52.4,49.5,52.0,48001
GRAPHISAD,2024-03-15,50.1,53.0,50.1,51.15,13201
GRAPHISAD,2024-03-18,50.65,51.55,50.15,50.6,42001
GRAPHISAD,2024-03-19,50.6,50.65,49.05,49.05,42001
GRAPHISAD,2024-03-20,50.0,50.0,48.0,50.0,56401
GRAPHISAD,2024-03-21,50.05,51.2,48.8,49.95,37201
GRAPHISAD,2024-03-22,50.0,50.0,47.0,48.05,67201
GRAPHISAD,2024-03-26,47.8,49.6,42.7,42.7,202801
GRAPHISAD,2024-03-27,43.95,43.95,39.5,40.5,171602
GRAPHISAD,2024-03-28,41.0,41.8,37.6,38.05,120001
GRAPHISAD,2024-04-01,38.15,41.85,38.15,41.85,30001
GRAPHISAD,2024-04-02,43.5,46.0,43.5,46.0,37201
GRAPHISAD,2024-04-03,49.35,50.6,49.2,50.6,91201
GRAPHISAD,2024-04-04,53.1,53.1,53.1,53.1,12001
GRAPHISAD,2024-04-05,53.2,55.75,52.1,52.95,110402
GRAPHISAD,2024-04-08,52.6,52.6,50.0,50.2,26401
GRAPHISAD,2024-04-09,50.25,51.7,50.2,50.4,19202
GRAPHISAD,2024-04-10,50.3,50.3,47.9,47.9,28801
GRAPHISAD,2024-04-12,47.9,47.9,46.6,46.65,13201
GRAPHISAD,2024-04-15,44.35,46.55,44.35,46.55,10801
GRAPHISAD,2024-04-16,46.6,48.05,46.6,48.05,8401
GRAPHISAD,2024-04-18,47.0,47.0,46.15,46.15,7201
GRAPHISAD,2024-04-19,46.15,47.3,45.95,47.25,15601
GRAPHISAD,2024-04-22,47.8,49.6,47.8,49.6,34801
GRAPHISAD,2024-04-23,52.05,52.05,49.75,49.75,27601
GRAPHISAD,2024-04-24,49.75,52.35,49.75,52.35,50401
GRAPHISAD,2024-04-25,51.05,53.75,51.05,52.5,21601
GRAPHISAD,2024-04-26,52.05,52.85,51.0,52.85,25201
GRAPHISAD,2024-04-29,52.0,52.0,50.5,51.75,9601
GRAPHISAD,2024-04-30,50.25,53.45,50.25,51.25,19201
