symbol,date,open,high,low,close,volume
GREENPLY,2008-06-09,34.6,34.78,32.8,33.92,6575
GREENPLY,2008-06-10,32.6,33.88,32.6,33.43,6735
GREENPLY,2008-06-11,36.96,36.96,33.43,34.0,870
GREENPLY,2008-06-12,34.3,36.2,34.3,35.23,3315
GREENPLY,2008-06-13,37.54,37.54,35.1,35.85,3700
GREENPLY,2008-06-16,35.22,37.57,35.22,36.01,3010
GREENPLY,2008-06-17,35.64,37.59,35.6,37.0,3935
GREENPLY,2008-06-18,38.6,38.79,37.2,38.14,13680
GREENPLY,2008-06-19,38.0,38.0,37.1,37.2,3025
GREENPLY,2008-06-20,37.0,37.0,34.42,35.12,7240
GREENPLY,2008-06-23,37.97,37.97,32.2,33.0,13270
GREENPLY,2008-06-24,32.29,32.6,32.0,32.18,4580
GREENPLY,2008-06-25,32.0,36.98,31.31,34.06,14330
GREENPLY,2008-06-26,34.02,34.98,31.44,31.71,162335
GREENPLY,2008-06-27,32.4,32.4,30.81,31.84,4010
GREENPLY,2008-06-30,32.02,32.2,28.05,28.98,5915
GREENPLY,2008-07-01,29.4,30.0,27.04,27.67,8155
GREENPLY,2008-07-02,28.38,29.94,27.0,29.22,3435
GREENPLY,2008-07-03,28.4,32.9,28.4,32.13,22215
GREENPLY,2008-07-04,34.0,34.0,30.45,30.61,5180
GREENPLY,2008-07-07,32.0,33.2,32.0,32.0,5705
GREENPLY,2008-07-08,32.0,33.0,30.6,32.58,13650
GREENPLY,2008-07-09,32.12,33.95,32.12,33.95,165
GREENPLY,2008-07-10,38.98,38.98,29.24,33.51,4260
GREENPLY,2008-07-11,32.2,34.0,31.0,31.82,8905
GREENPLY,2008-07-14,31.0,32.0,29.94,31.6,1125
GREENPLY,2008-07-15,29.62,34.78,29.05,29.56,5580
GREENPLY,2008-07-16,27.32,29.98,27.32,29.06,1310
GREENPLY,2008-07-17,29.2,29.2,28.57,28.98,2745
GREENPLY,2008-07-18,28.6,29.0,28.6,28.99,1255
GREENPLY,2008-07-21,29.2,34.79,29.2,34.43,270935
GREENPLY,2008-07-22,35.22,36.98,35.0,35.56,65865
GREENPLY,2008-07-23,35.58,38.7,30.57,35.7,10305
GREENPLY,2008-07-24,36.62,36.9,35.53,35.6,17295
GREENPLY,2008-07-25,34.2,34.31,32.4,32.64,9565
GREENPLY,2008-07-28,31.44,35.1,31.44,34.32,75040
GREENPLY,2008-07-29,34.0,34.2,33.0,33.78,76645
GREENPLY,2008-07-30,32.33,37.2,32.33,36.39,21395
GREENPLY,2008-07-31,33.9,35.6,33.9,35.22,2215
GREENPLY,2008-08-01,34.0,34.6,33.22,34.58,28060
GREENPLY,2008-08-04,34.8,34.8,33.12,33.33,4800
GREENPLY,2008-08-05,32.63,34.86,32.63,33.57,14490
GREENPLY,2008-08-06,34.6,35.0,33.6,33.7,7900
GREENPLY,2008-08-07,33.62,34.2,32.69,33.3,17235
GREENPLY,2008-08-08,32.4,33.0,32.4,32.8,1390
GREENPLY,2008-08-11,34.0,34.0,32.8,33.0,1365
GREENPLY,2008-08-12,32.9,32.96,31.6,31.72,72545
GREENPLY,2008-08-13,32.78,32.78,31.15,31.7,4725
GREENPLY,2008-08-14,32.86,32.86,30.3,31.2,4430
GREENPLY,2008-08-18,32.38,32.4,30.6,31.39,49685
GREENPLY,2008-08-19,30.14,31.6,30.14,31.36,2710
GREENPLY,2008-08-20,32.2,32.2,31.2,32.2,590
GREENPLY,2008-08-21,32.2,32.98,31.8,31.97,1480
GREENPLY,2008-08-22,30.36,31.4,30.36,30.9,4625
GREENPLY,2008-08-25,30.0,31.6,30.0,30.85,960
GREENPLY,2008-08-26,30.05,30.6,30.0,30.01,150
GREENPLY,2008-08-27,30.0,30.75,29.8,29.82,5710
GREENPLY,2008-08-28,29.8,30.0,29.4,29.76,1580
GREENPLY,2008-08-29,29.8,30.59,29.52,29.86,4060
GREENPLY,2008-09-01,29.6,29.6,28.42,28.9,1585
GREENPLY,2008-09-02,30.07,30.08,29.41,30.06,575
GREENPLY,2008-09-04,30.1,30.73,28.73,29.44,5505
GREENPLY,2008-09-05,29.2,29.6,28.2,29.18,4060
GREENPLY,2008-09-08,28.34,30.0,28.34,29.32,4275
GREENPLY,2008-09-09,28.4,29.6,27.8,29.31,117730
GREENPLY,2008-09-10,29.0,30.38,29.0,29.63,4860
GREENPLY,2008-09-11,29.6,29.6,28.0,29.01,13010
GREENPLY,2008-09-12,27.64,34.4,27.64,30.65,198590
GREENPLY,2008-09-15,30.8,30.8,28.0,28.27,25685
GREENPLY,2008-09-16,27.98,27.98,26.21,26.57,13025
GREENPLY,2008-09-17,26.5,27.38,26.5,26.6,6435
GREENPLY,2008-09-18,25.62,26.13,24.12,25.2,11090
GREENPLY,2008-09-19,24.0,27.7,24.0,26.2,13850
GREENPLY,2008-09-22,27.0,27.4,26.2,26.77,3880
GREENPLY,2008-09-23,25.2,25.97,25.2,25.55,9325
GREENPLY,2008-09-24,25.12,26.0,25.0,25.0,3215
GREENPLY,2008-09-25,24.24,25.18,23.2,23.47,15200
GREENPLY,2008-09-26,22.8,24.6,22.8,23.34,4075
GREENPLY,2008-09-29,26.5,26.5,20.21,20.69,11210
GREENPLY,2008-09-30,23.8,23.8,17.26,19.87,13255
GREENPLY,2008-10-01,19.8,22.0,19.6,19.96,8445
GREENPLY,2008-10-03,23.0,23.0,19.6,19.6,6590
GREENPLY,2008-10-06,19.5,19.5,18.04,18.87,4395
GREENPLY,2008-10-07,15.13,21.6,15.13,16.66,30835
GREENPLY,2008-10-08,16.0,20.0,15.4,17.96,40880
GREENPLY,2008-10-10,17.96,20.8,16.0,19.31,21840
GREENPLY,2008-10-13,18.41,22.0,18.4,19.43,4135
GREENPLY,2008-10-14,21.39,21.39,19.81,20.37,7920
GREENPLY,2008-10-15,17.82,20.0,17.82,18.42,7725
GREENPLY,2008-10-16,15.0,21.19,15.0,15.86,2176695
GREENPLY,2008-10-17,18.0,18.0,15.22,15.5,11620
GREENPLY,2008-10-20,16.0,16.0,13.6,13.88,122195
GREENPLY,2008-10-21,14.42,16.2,14.42,15.37,740
GREENPLY,2008-10-22,15.4,15.8,15.02,15.42,4515
GREENPLY,2008-10-23,14.06,15.8,14.06,14.81,4885
GREENPLY,2008-10-24,15.0,16.0,14.6,15.07,15695
GREENPLY,2008-10-27,15.01,17.17,13.78,14.5,8250
GREENPLY,2008-10-28,14.3,15.93,13.65,15.93,575
GREENPLY,2008-10-29,15.0,19.12,15.0,18.94,41010
GREENPLY,2008-10-31,19.83,22.72,17.84,22.67,30130
GREENPLY,2008-11-03,24.2,24.2,20.6,20.62,21365
GREENPLY,2008-11-04,20.6,20.6,18.6,18.8,48870
GREENPLY,2008-11-05,19.8,19.8,16.92,17.77,46645
GREENPLY,2008-11-06,17.0,17.0,16.0,16.0,27635
GREENPLY,2008-11-07,16.0,16.0,14.8,15.0,16510
GREENPLY,2008-11-10,15.68,15.68,14.46,15.17,6580
GREENPLY,2008-11-11,15.63,15.7,15.0,15.22,2310
GREENPLY,2008-11-12,14.8,15.0,14.51,14.82,4870
GREENPLY,2008-11-14,14.81,15.39,14.1,14.41,1500
GREENPLY,2008-11-17,13.8,15.0,13.7,13.93,8245
GREENPLY,2008-11-18,13.8,13.8,13.24,13.28,8220
GREENPLY,2008-11-19,13.0,13.39,12.62,12.62,12750
GREENPLY,2008-11-20,11.99,12.6,11.99,12.17,7175
GREENPLY,2008-11-21,12.2,12.2,11.6,11.79,3235
GREENPLY,2008-11-24,12.0,12.0,11.2,11.2,7065
GREENPLY,2008-11-25,11.5,11.69,11.01,11.58,5530
GREENPLY,2008-11-26,11.8,11.8,11.0,11.6,6720
GREENPLY,2008-11-28,12.09,12.09,11.22,11.24,515
GREENPLY,2008-12-01,11.4,11.4,10.88,11.0,7385
GREENPLY,2008-12-02,11.0,11.0,10.7,10.7,5660
GREENPLY,2008-12-03,10.21,11.2,10.21,10.58,2115
GREENPLY,2008-12-04,10.2,10.39,10.06,10.12,13555
GREENPLY,2008-12-05,10.4,10.4,9.62,9.62,31075
GREENPLY,2008-12-08,9.78,9.78,9.14,9.14,26645
GREENPLY,2008-12-10,9.06,9.59,8.69,8.69,44185
GREENPLY,2008-12-11,8.99,8.99,8.26,8.26,177195
GREENPLY,2008-12-12,8.26,8.3,7.85,7.85,226065
GREENPLY,2008-12-15,7.5,8.25,7.5,8.25,2564350
GREENPLY,2008-12-16,8.67,8.67,8.67,8.67,1100
GREENPLY,2008-12-17,9.11,9.11,9.11,9.11,13325
GREENPLY,2008-12-18,9.57,9.57,9.2,9.57,175475
GREENPLY,2008-12-19,10.03,10.05,9.78,10.05,35830
GREENPLY,2008-12-22,10.5,10.56,10.48,10.56,14965
GREENPLY,2008-12-23,10.98,10.98,10.46,10.67,32290
GREENPLY,2008-12-24,10.47,11.21,10.15,11.13,29070
GREENPLY,2008-12-26,11.4,11.4,10.6,10.95,23155
GREENPLY,2008-12-29,10.51,10.8,10.41,10.48,7410
GREENPLY,2008-12-30,10.77,10.82,10.13,10.19,19160
GREENPLY,2008-12-31,10.21,10.26,9.7,9.83,47955
GREENPLY,2009-01-01,10.2,10.33,9.67,10.14,73925
GREENPLY,2009-01-02,10.64,10.65,10.6,10.65,5650
GREENPLY,2009-01-05,11.19,11.19,11.19,11.19,12885
GREENPLY,2009-01-06,11.6,11.75,11.27,11.52,15985
GREENPLY,2009-01-07,11.79,11.79,10.95,11.15,12750
GREENPLY,2009-01-09,11.4,11.4,10.6,10.6,2975
GREENPLY,2009-01-12,10.76,10.76,10.07,10.07,7100
GREENPLY,2009-01-13,10.0,10.41,9.8,9.91,34130
GREENPLY,2009-01-14,9.62,10.41,9.62,9.72,7125
GREENPLY,2009-01-15,9.52,10.08,9.52,9.65,4725
GREENPLY,2009-01-16,9.65,10.0,9.65,9.9,2175
GREENPLY,2009-01-19,9.9,10.0,9.9,9.93,2160
GREENPLY,2009-01-20,10.0,10.43,10.0,10.32,7480
GREENPLY,2009-01-21,9.86,10.4,9.86,9.96,1620
GREENPLY,2009-01-22,9.8,9.82,9.47,9.8,11365
GREENPLY,2009-01-23,9.6,10.2,9.6,9.8,13990
GREENPLY,2009-01-27,9.6,9.61,9.42,9.51,3400
GREENPLY,2009-01-28,9.23,9.98,9.23,9.98,1740
GREENPLY,2009-01-29,10.0,10.0,9.7,9.7,3425
GREENPLY,2009-01-30,9.99,10.09,9.46,10.09,7555
GREENPLY,2009-02-02,10.0,10.0,9.64,9.71,3945
GREENPLY,2009-02-03,10.0,10.2,9.81,10.01,15505
GREENPLY,2009-02-04,9.6,10.2,9.6,10.17,10655
GREENPLY,2009-02-05,10.1,10.1,9.77,10.1,6110
GREENPLY,2009-02-06,10.0,10.4,10.0,10.35,4750
GREENPLY,2009-02-09,10.39,10.39,10.2,10.37,1440
GREENPLY,2009-02-10,10.25,10.8,10.25,10.69,12580
GREENPLY,2009-02-11,10.8,11.0,10.46,10.51,2595
GREENPLY,2009-02-12,10.61,10.8,10.5,10.5,3705
GREENPLY,2009-02-13,10.21,10.56,10.21,10.56,340
GREENPLY,2009-02-16,10.84,10.84,10.2,10.55,4230
GREENPLY,2009-02-17,10.64,10.64,10.1,10.12,425
GREENPLY,2009-02-18,10.36,10.38,10.36,10.36,36090
GREENPLY,2009-02-19,10.4,10.88,10.14,10.37,100300
GREENPLY,2009-02-20,10.35,10.35,9.94,9.94,58795
GREENPLY,2009-02-24,9.98,9.99,9.8,9.8,10900
GREENPLY,2009-02-25,10.16,10.16,9.5,9.56,18195
GREENPLY,2009-02-26,9.5,9.6,9.4,9.58,11635
GREENPLY,2009-02-27,9.39,9.4,9.3,9.4,41365
GREENPLY,2009-03-02,9.2,9.6,8.95,9.6,5695
GREENPLY,2009-03-03,9.25,9.25,9.12,9.12,2600
GREENPLY,2009-03-04,9.2,9.2,8.68,8.7,414095
GREENPLY,2009-03-05,9.1,9.1,8.28,8.29,429555
GREENPLY,2009-03-06,8.71,8.76,8.4,8.42,2805
GREENPLY,2009-03-09,8.2,8.43,7.66,7.97,64135
GREENPLY,2009-03-12,7.6,8.6,7.6,8.37,26445
GREENPLY,2009-03-13,8.2,8.98,8.2,8.39,44455
GREENPLY,2009-03-16,8.8,8.86,8.6,8.67,5325
GREENPLY,2009-03-17,8.2,8.96,8.2,8.4,18075
GREENPLY,2009-03-18,9.1,9.1,8.01,8.6,51290
GREENPLY,2009-03-19,7.99,8.96,7.8,8.54,50000
GREENPLY,2009-03-20,8.21,8.59,8.21,8.58,2860
GREENPLY,2009-03-23,8.2,8.9,8.2,8.88,54135
GREENPLY,2009-03-24,9.04,9.1,8.76,8.79,21955
GREENPLY,2009-03-25,8.6,9.2,8.4,8.9,515445
GREENPLY,2009-03-26,8.82,9.27,8.82,9.22,22170
GREENPLY,2009-03-27,9.2,9.38,9.14,9.2,3725
GREENPLY,2009-03-30,9.3,9.3,8.6,8.9,154945
GREENPLY,2009-03-31,8.46,9.29,8.46,9.2,52330
GREENPLY,2009-04-01,9.38,9.38,8.9,9.19,65590
GREENPLY,2009-04-02,9.4,9.74,9.13,9.65,17565
GREENPLY,2009-04-06,9.8,10.4,9.8,10.21,61815
GREENPLY,2009-04-08,10.48,11.01,10.48,10.92,33195
GREENPLY,2009-04-09,11.0,11.61,10.9,11.23,39305
GREENPLY,2009-04-13,11.76,11.8,11.4,11.8,4995
GREENPLY,2009-04-15,12.0,12.39,12.0,12.39,8780
GREENPLY,2009-04-16,12.21,13.0,12.21,12.64,39740
GREENPLY,2009-04-17,12.64,13.0,12.62,12.89,42350
GREENPLY,2009-04-20,13.2,13.2,12.25,12.25,20755
GREENPLY,2009-04-21,12.8,12.8,12.0,12.05,13405
GREENPLY,2009-04-22,12.65,12.66,12.06,12.14,11280
GREENPLY,2009-04-23,12.74,12.74,12.18,12.5,15940
GREENPLY,2009-04-24,12.8,12.8,12.2,12.5,10265
GREENPLY,2009-04-27,12.4,12.46,12.1,12.24,6975
GREENPLY,2009-04-28,12.1,12.58,11.82,12.07,7315
GREENPLY,2009-04-29,11.66,12.5,11.66,12.4,14505
GREENPLY,2009-05-04,13.02,13.02,12.0,12.6,9500
GREENPLY,2009-05-05,12.78,12.8,12.4,12.74,9805
GREENPLY,2009-05-06,12.21,13.37,12.21,12.9,15775
GREENPLY,2009-05-07,12.48,12.79,12.48,12.79,950
GREENPLY,2009-05-08,12.6,14.05,12.5,13.95,21090
GREENPLY,2009-05-11,14.0,14.0,13.54,13.54,7045
GREENPLY,2009-05-12,13.54,14.36,13.35,13.73,17780
GREENPLY,2009-05-13,14.88,14.88,13.8,14.07,21365
GREENPLY,2009-05-14,13.4,14.83,13.01,14.48,7700
GREENPLY,2009-05-15,14.4,14.6,14.0,14.16,15145
GREENPLY,2009-05-19,15.46,15.58,14.6,15.58,16685
GREENPLY,2009-05-20,16.39,17.14,15.61,17.14,14110
GREENPLY,2009-05-21,18.0,18.0,18.0,18.0,20895
GREENPLY,2009-05-22,18.9,18.9,17.2,18.16,21220
GREENPLY,2009-05-25,19.07,19.07,18.2,19.07,8110
GREENPLY,2009-05-26,19.98,20.03,19.42,20.0,72560
GREENPLY,2009-05-27,20.88,21.0,20.27,21.0,18140
GREENPLY,2009-05-28,22.0,22.05,21.0,22.03,51260
GREENPLY,2009-05-29,22.8,23.14,22.2,22.3,51100
GREENPLY,2009-06-01,23.1,23.42,22.4,23.42,47240
GREENPLY,2009-06-02,23.44,24.49,22.31,22.62,39900
GREENPLY,2009-06-03,23.2,23.2,21.8,22.23,21455
GREENPLY,2009-06-04,22.2,22.23,21.12,21.93,23295
GREENPLY,2009-06-05,22.4,22.4,21.01,21.36,25425
GREENPLY,2009-06-08,21.4,22.2,20.32,20.56,27105
GREENPLY,2009-06-09,20.2,20.56,19.54,20.26,19185
GREENPLY,2009-06-10,20.4,20.4,19.4,19.81,24985
GREENPLY,2009-06-11,19.68,19.8,19.3,19.39,16665
GREENPLY,2009-06-12,19.56,20.35,19.33,19.4,13700
GREENPLY,2009-06-15,19.98,19.98,19.04,19.4,3565
GREENPLY,2009-06-16,18.55,20.01,18.55,20.0,52415
GREENPLY,2009-06-17,20.0,20.0,19.64,19.67,5675
GREENPLY,2009-06-18,18.84,20.56,18.69,18.69,18810
GREENPLY,2009-06-19,18.26,18.86,18.2,18.79,5820
GREENPLY,2009-06-22,18.57,19.7,18.57,19.0,22695
GREENPLY,2009-06-23,19.0,19.9,18.8,19.78,62735
GREENPLY,2009-06-24,19.3,20.76,19.3,20.72,6410
GREENPLY,2009-06-25,20.8,20.9,19.71,20.07,18590
GREENPLY,2009-06-26,19.8,21.0,19.8,20.49,30325
GREENPLY,2009-06-29,21.2,21.52,20.8,21.1,84655
GREENPLY,2009-06-30,21.11,21.51,20.8,20.82,5125
GREENPLY,2009-07-01,20.01,21.2,20.0,20.67,61440
GREENPLY,2009-07-02,20.3,20.6,20.0,20.25,7720
GREENPLY,2009-07-03,20.1,20.6,20.1,20.17,7295
GREENPLY,2009-07-06,20.2,21.18,20.0,20.62,129615
GREENPLY,2009-07-07,21.38,21.6,19.9,20.21,54690
GREENPLY,2009-07-08,19.9,20.6,19.8,20.0,26200
GREENPLY,2009-07-09,20.0,20.2,19.82,20.1,9410
GREENPLY,2009-07-10,20.08,20.25,19.65,20.09,213870
GREENPLY,2009-07-13,20.0,20.0,18.82,19.9,35525
GREENPLY,2009-07-14,20.19,20.6,19.61,20.08,10580
GREENPLY,2009-07-15,20.4,21.0,20.4,20.4,1780
GREENPLY,2009-07-16,21.0,21.16,20.24,20.99,6655
GREENPLY,2009-07-17,21.3,21.3,20.41,20.79,14860
GREENPLY,2009-07-20,20.6,21.74,20.6,20.66,5105
GREENPLY,2009-07-21,20.8,21.13,20.7,21.1,17750
GREENPLY,2009-07-22,20.75,21.56,20.5,21.4,387470
GREENPLY,2009-07-23,21.99,22.59,21.7,22.38,31180
GREENPLY,2009-07-24,22.2,22.2,21.36,21.8,8960
GREENPLY,2009-07-27,21.8,22.3,21.04,21.54,23770
GREENPLY,2009-07-28,21.4,23.4,20.32,23.14,16535
GREENPLY,2009-07-29,22.8,23.98,22.6,23.33,14540
GREENPLY,2009-07-30,22.31,23.92,22.31,23.59,16420
GREENPLY,2009-07-31,25.68,25.95,24.4,25.95,52135
GREENPLY,2009-08-03,27.94,28.55,27.45,28.16,141760
GREENPLY,2009-08-04,28.24,29.14,26.77,27.04,83170
GREENPLY,2009-08-05,27.72,27.72,26.28,26.61,35715
GREENPLY,2009-08-06,26.4,27.94,26.01,27.5,32020
GREENPLY,2009-08-07,26.94,27.58,26.28,26.6,18425
GREENPLY,2009-08-10,27.0,27.0,25.27,25.27,21535
GREENPLY,2009-08-11,25.2,25.8,24.24,24.87,11465
GREENPLY,2009-08-12,25.0,25.0,24.03,24.55,8205
GREENPLY,2009-08-13,24.4,25.4,23.84,24.09,96190
GREENPLY,2009-08-14,24.6,24.79,23.8,23.81,18050
GREENPLY,2009-08-17,24.12,24.44,23.07,23.55,12465
GREENPLY,2009-08-18,23.6,23.99,23.22,23.53,13140
GREENPLY,2009-08-19,24.0,24.7,23.8,24.31,21210
GREENPLY,2009-08-20,25.01,25.4,23.84,24.18,24685
GREENPLY,2009-08-21,24.57,25.38,24.57,25.03,44775
GREENPLY,2009-08-24,26.19,26.19,25.4,25.8,21810
GREENPLY,2009-08-25,26.0,26.2,25.31,25.82,22345
GREENPLY,2009-08-26,25.8,26.1,25.4,25.63,59420
GREENPLY,2009-08-27,25.6,26.92,25.6,26.45,68500
GREENPLY,2009-08-28,26.8,26.8,26.05,26.26,22105
GREENPLY,2009-08-31,26.4,26.4,25.6,26.13,22945
GREENPLY,2009-09-01,26.2,26.76,25.36,25.77,34465
GREENPLY,2009-09-02,25.4,26.2,25.21,25.67,23210
GREENPLY,2009-09-03,26.4,26.4,25.6,26.02,40855
GREENPLY,2009-09-04,25.6,25.8,25.4,25.55,22665
GREENPLY,2009-09-07,22.24,24.78,21.62,24.24,123080
GREENPLY,2009-09-08,24.42,24.6,23.85,23.95,28545
GREENPLY,2009-09-09,23.62,24.8,23.54,23.72,36695
GREENPLY,2009-09-10,25.0,25.18,23.51,23.63,40085
GREENPLY,2009-09-11,23.71,23.9,23.45,23.76,7855
GREENPLY,2009-09-14,23.84,23.86,23.25,23.44,19965
GREENPLY,2009-09-15,23.69,25.79,23.3,25.79,342390
GREENPLY,2009-09-16,27.72,27.72,24.6,24.81,46185
GREENPLY,2009-09-17,25.2,25.4,24.4,24.43,24290
GREENPLY,2009-09-18,24.21,24.4,24.0,24.17,16635
GREENPLY,2009-09-22,24.58,24.89,24.2,24.55,16840
GREENPLY,2009-09-23,24.98,25.0,24.02,24.18,30100
GREENPLY,2009-09-24,24.01,24.01,23.62,23.77,26275
