symbol,date,open,high,low,close,volume
GSKCONS,2016-01-01,6378.0,6400.0,6336.0,6351.0,1576
GSKCONS,2016-01-04,6369.0,6590.0,6351.15,6500.0,9280
GSKCONS,2016-01-05,6401.05,6619.8,6370.0,6593.1,4326
GSKCONS,2016-01-06,6599.95,6695.0,6552.15,6645.0,10190
GSKCONS,2016-01-07,6668.95,6668.95,6480.0,6570.0,5766
GSKCONS,2016-01-08,6584.95,6584.95,6422.1,6540.0,7833
GSKCONS,2016-01-11,6473.95,6511.55,6200.1,6230.0,8462
GSKCONS,2016-01-12,6250.05,6315.4,6155.0,6174.0,7113
GSKCONS,2016-01-13,6250.0,6282.95,6014.0,6129.0,6677
GSKCONS,2016-01-14,6168.3,6168.3,5962.0,6000.0,12896
GSKCONS,2016-01-15,6004.05,6100.0,5905.0,5925.0,4497
GSKCONS,2016-01-18,5950.05,6033.4,5860.0,5919.9,6945
GSKCONS,2016-01-19,5870.2,5989.9,5870.0,5950.05,10329
GSKCONS,2016-01-20,5880.0,5909.8,5558.0,5800.0,10647
GSKCONS,2016-01-21,5799.75,5846.7,5601.0,5623.35,7985
GSKCONS,2016-01-22,5731.15,5808.6,5631.05,5650.0,17494
GSKCONS,2016-01-25,5740.0,5780.0,5575.95,5625.0,35179
GSKCONS,2016-01-27,5660.0,5710.0,5610.0,5709.05,10123
GSKCONS,2016-01-28,5636.3,5870.0,5636.3,5780.0,17041
GSKCONS,2016-01-29,5848.95,5854.95,5762.0,5826.0,13554
GSKCONS,2016-02-01,5838.0,5900.0,5818.4,5837.5,12564
GSKCONS,2016-02-02,5890.6,5905.0,5825.5,5841.0,12764
GSKCONS,2016-02-03,5880.2,5880.2,5667.1,5683.95,5669
GSKCONS,2016-02-04,5735.95,5817.0,5700.0,5778.0,6727
GSKCONS,2016-02-05,5837.0,5866.1,5670.0,5730.0,5286
GSKCONS,2016-02-08,5752.3,5898.0,5752.3,5857.0,4638
GSKCONS,2016-02-09,5849.0,5931.45,5800.0,5836.8,22852
GSKCONS,2016-02-10,5831.0,5930.0,5728.5,5820.0,42899
GSKCONS,2016-02-11,5740.35,5899.0,5740.35,5820.0,15726
GSKCONS,2016-02-12,5810.0,5898.9,5552.35,5699.0,14077
GSKCONS,2016-02-15,5798.0,5850.0,5781.15,5807.95,7599
GSKCONS,2016-02-16,5776.1,5781.05,5555.0,5620.0,40704
GSKCONS,2016-02-17,5630.0,5650.0,5511.0,5530.0,8994
GSKCONS,2016-02-18,5610.0,5660.0,5556.7,5600.0,28382
GSKCONS,2016-02-19,5626.65,5626.65,5555.0,5587.0,3655
GSKCONS,2016-02-22,5595.6,5670.0,5583.4,5620.0,50871
GSKCONS,2016-02-23,5630.05,5644.95,5534.0,5642.7,4858
GSKCONS,2016-02-24,5608.0,5625.0,5557.0,5620.0,4236
GSKCONS,2016-02-25,5613.6,5620.0,5580.0,5589.0,26315
GSKCONS,2016-02-26,5650.0,5670.45,5545.0,5570.0,35366
GSKCONS,2016-02-29,5592.65,5610.0,5500.1,5580.0,21750
GSKCONS,2016-03-01,5598.45,5619.95,5405.0,5433.0,23097
GSKCONS,2016-03-02,5497.7,5648.0,5450.0,5600.2,12096
GSKCONS,2016-03-03,5616.95,5649.9,5606.45,5620.0,19891
GSKCONS,2016-03-04,5628.85,5638.8,5585.0,5620.0,153208
GSKCONS,2016-03-08,5658.6,5674.45,5580.05,5650.0,38462
GSKCONS,2016-03-09,5650.0,5680.0,5620.05,5650.0,10480
GSKCONS,2016-03-10,5665.0,5665.0,5613.15,5650.0,17297
GSKCONS,2016-03-11,5650.0,5691.0,5650.0,5665.5,13424
GSKCONS,2016-03-14,5674.85,5700.0,5516.05,5650.0,17529
GSKCONS,2016-03-15,5624.15,5675.0,5624.15,5650.0,57068
GSKCONS,2016-03-16,5604.65,5753.8,5604.65,5745.0,110476
GSKCONS,2016-03-17,5800.0,6010.0,5792.35,5950.0,33733
GSKCONS,2016-03-18,5900.3,5995.0,5804.95,5955.1,15704
GSKCONS,2016-03-21,5987.95,6000.0,5871.75,6000.0,7539
GSKCONS,2016-03-22,5989.05,6015.0,5932.65,5935.5,10485
GSKCONS,2016-03-23,5994.0,5999.0,5839.95,5969.0,8252
GSKCONS,2016-03-28,5997.65,6030.0,5953.75,6000.0,6914
GSKCONS,2016-03-29,5999.6,6077.95,5962.5,6036.0,38832
GSKCONS,2016-03-30,6062.6,6069.65,6010.4,6039.0,3493
GSKCONS,2016-03-31,6028.45,6045.0,5881.8,6019.0,30743
GSKCONS,2016-04-01,5960.0,6045.0,5960.0,6040.0,8351
GSKCONS,2016-04-04,6092.55,6093.95,5930.05,6048.0,6022
GSKCONS,2016-04-05,6052.45,6066.05,5980.15,6030.0,4640
GSKCONS,2016-04-06,6049.95,6049.95,5828.05,5862.3,11166
GSKCONS,2016-04-07,5900.2,5990.0,5882.0,5916.15,3003
GSKCONS,2016-04-08,5940.6,6038.95,5906.0,6025.0,4078
GSKCONS,2016-04-11,6011.0,6130.0,5923.0,6089.0,4518
GSKCONS,2016-04-12,6059.2,6062.0,5994.95,6034.65,6868
GSKCONS,2016-04-13,5996.05,6100.0,5996.05,6017.0,8071
GSKCONS,2016-04-18,6026.95,6080.0,6003.7,6024.0,8520
GSKCONS,2016-04-20,6074.0,6098.8,5980.0,6006.0,5128
GSKCONS,2016-04-21,5975.35,6102.0,5910.8,6051.0,7409
GSKCONS,2016-04-22,5950.0,6068.5,5950.0,5981.05,3891
GSKCONS,2016-04-25,6007.05,6020.0,5978.65,6010.0,3565
GSKCONS,2016-04-26,5987.35,5998.2,5912.05,5960.0,11819
GSKCONS,2016-04-27,5981.0,6040.0,5969.7,5985.5,6169
GSKCONS,2016-04-28,6005.45,6034.75,5940.05,5949.0,7984
GSKCONS,2016-04-29,5974.55,5974.55,5877.7,5904.95,7612
GSKCONS,2016-05-02,5904.95,5936.6,5775.0,5795.0,14274
GSKCONS,2016-05-03,5787.7,5847.95,5771.75,5815.0,35021
GSKCONS,2016-05-04,5839.5,5889.8,5802.1,5850.0,7071
GSKCONS,2016-05-05,5851.95,5879.95,5806.0,5865.0,3910
GSKCONS,2016-05-06,5865.0,5910.0,5850.0,5855.0,2128
GSKCONS,2016-05-09,5873.65,5929.9,5832.4,5858.0,7063
GSKCONS,2016-05-10,5844.5,5898.0,5815.55,5895.0,6736
GSKCONS,2016-05-11,5854.5,6000.0,5835.1,5950.0,3427
GSKCONS,2016-05-12,5990.7,6100.0,5950.0,6077.0,5022
GSKCONS,2016-05-13,6083.95,6084.0,5981.0,6005.0,6615
GSKCONS,2016-05-16,6000.0,6035.0,6000.0,6000.0,5503
GSKCONS,2016-05-17,6047.05,6184.1,6000.0,6088.2,13480
GSKCONS,2016-05-18,5850.0,5938.9,5779.0,5851.0,27668
GSKCONS,2016-05-19,5855.0,5855.0,5795.15,5820.0,26594
GSKCONS,2016-05-20,5828.85,5838.9,5805.45,5825.0,13364
GSKCONS,2016-05-23,5839.9,5874.7,5795.25,5811.5,11564
GSKCONS,2016-05-24,5800.05,5814.7,5711.0,5726.0,22315
GSKCONS,2016-05-25,5732.0,5754.45,5605.0,5645.0,15005
GSKCONS,2016-05-26,5632.35,5882.5,5629.1,5832.0,14261
GSKCONS,2016-05-27,5791.95,5950.0,5746.85,5914.0,8889
GSKCONS,2016-05-30,5880.0,6036.0,5880.0,5948.0,9022
GSKCONS,2016-05-31,5953.8,5970.0,5725.0,5737.0,33694
GSKCONS,2016-06-01,5785.0,5837.0,5729.95,5740.0,28654
GSKCONS,2016-06-02,5760.1,5799.0,5681.05,5701.05,26548
GSKCONS,2016-06-03,5731.0,5800.0,5706.6,5740.0,5840
GSKCONS,2016-06-06,5730.0,5750.0,5650.0,5678.3,10948
GSKCONS,2016-06-07,5689.9,5763.95,5677.0,5757.3,18176
