symbol,date,open,high,low,close,volume
GSPL,2008-06-09,59.5,59.9,57.0,59.1,499623
GSPL,2008-06-10,59.5,70.95,58.0,61.2,1247724
GSPL,2008-06-11,61.9,62.5,60.8,62.1,642363
GSPL,2008-06-12,60.15,62.35,58.0,61.95,429015
GSPL,2008-06-13,62.0,63.0,60.0,60.2,436216
GSPL,2008-06-16,61.15,63.5,61.1,63.2,845602
GSPL,2008-06-17,62.5,64.0,60.35,61.0,877117
GSPL,2008-06-18,61.8,62.8,61.2,61.4,562281
GSPL,2008-06-19,61.0,61.0,59.0,59.45,491118
GSPL,2008-06-20,59.9,61.4,58.3,59.85,970155
GSPL,2008-06-23,57.0,59.7,55.75,56.3,1234925
GSPL,2008-06-24,56.0,57.3,53.1,53.8,545433
GSPL,2008-06-25,53.25,57.0,51.05,56.65,417143
GSPL,2008-06-26,57.5,58.4,56.55,56.85,364765
GSPL,2008-06-27,55.8,57.95,54.85,56.6,723757
GSPL,2008-06-30,57.8,58.3,54.4,55.75,805788
GSPL,2008-07-01,56.95,56.95,54.5,55.15,764935
GSPL,2008-07-02,54.4,57.4,51.6,56.7,700742
GSPL,2008-07-03,60.95,60.95,54.25,56.3,400159
GSPL,2008-07-04,57.0,61.05,55.75,56.4,232006
GSPL,2008-07-07,57.8,59.85,56.65,58.85,350648
GSPL,2008-07-08,57.8,60.7,57.05,60.0,537920
GSPL,2008-07-09,60.2,62.6,60.2,61.95,751252
GSPL,2008-07-10,62.0,62.1,60.05,60.3,248652
GSPL,2008-07-11,60.9,61.25,57.15,57.6,208581
GSPL,2008-07-14,58.0,58.0,56.6,56.75,178434
GSPL,2008-07-15,57.1,57.1,56.05,56.3,231978
GSPL,2008-07-16,56.8,57.0,53.0,53.4,404805
GSPL,2008-07-17,55.25,58.75,54.8,57.3,938924
GSPL,2008-07-18,58.2,62.7,57.3,58.45,1617379
GSPL,2008-07-21,59.95,59.95,56.5,57.85,279661
GSPL,2008-07-22,57.85,59.5,57.55,58.9,321709
GSPL,2008-07-23,59.9,61.4,59.5,59.9,601194
GSPL,2008-07-24,60.9,61.45,57.7,58.05,398992
GSPL,2008-07-25,57.25,60.85,57.15,58.95,726300
GSPL,2008-07-28,59.8,61.0,58.65,59.7,808681
GSPL,2008-07-29,58.9,59.9,57.85,59.05,382910
GSPL,2008-07-30,60.0,60.55,59.15,60.05,556582
GSPL,2008-07-31,60.75,60.75,57.9,58.35,415455
GSPL,2008-08-01,57.9,61.45,57.05,60.45,526849
GSPL,2008-08-04,60.8,65.15,60.8,63.5,1540675
GSPL,2008-08-05,64.0,64.7,61.0,62.2,817540
GSPL,2008-08-06,63.7,63.85,60.25,60.55,634948
GSPL,2008-08-07,60.5,61.95,59.5,60.15,577126
GSPL,2008-08-08,60.1,60.8,59.6,60.0,429254
GSPL,2008-08-11,61.9,65.25,60.1,63.65,1603767
GSPL,2008-08-12,64.0,64.45,60.75,61.2,569548
GSPL,2008-08-13,63.35,66.7,63.35,64.55,2780697
GSPL,2008-08-14,65.0,65.15,62.55,62.9,663250
GSPL,2008-08-18,63.0,66.5,62.45,64.9,1874225
GSPL,2008-08-19,65.1,65.4,63.55,64.5,606490
GSPL,2008-08-20,65.25,67.2,64.55,66.2,1840321
GSPL,2008-08-21,66.7,66.7,63.2,63.25,945444
GSPL,2008-08-22,62.15,63.8,61.95,62.9,524133
GSPL,2008-08-25,63.9,64.6,61.2,61.65,389222
GSPL,2008-08-26,61.0,62.45,60.8,61.95,569981
GSPL,2008-08-27,62.1,64.55,61.5,62.0,1270047
GSPL,2008-08-28,62.5,63.2,60.5,60.9,1956201
GSPL,2008-08-29,62.0,64.0,61.8,62.25,589295
GSPL,2008-09-01,62.2,65.8,61.05,64.4,2174492
GSPL,2008-09-02,66.5,67.0,63.9,64.25,2521871
GSPL,2008-09-04,64.4,64.9,59.15,59.65,8608398
GSPL,2008-09-05,57.95,60.7,55.0,59.7,2277176
GSPL,2008-09-08,60.5,62.0,59.65,59.9,1446377
GSPL,2008-09-09,59.0,60.2,58.5,58.9,876747
GSPL,2008-09-10,59.0,59.4,57.9,58.7,1197649
GSPL,2008-09-11,58.0,59.5,56.65,59.05,1795796
GSPL,2008-09-12,59.8,59.8,57.8,58.0,609841
GSPL,2008-09-15,58.0,58.0,53.5,55.6,1307603
GSPL,2008-09-16,54.0,54.3,52.1,54.0,541078
GSPL,2008-09-17,54.9,55.2,53.15,53.9,737618
GSPL,2008-09-18,52.0,53.6,48.5,52.5,1294769
GSPL,2008-09-19,54.0,54.75,53.0,53.8,637679
GSPL,2008-09-22,54.5,57.8,53.8,56.75,1178296
GSPL,2008-09-23,55.25,57.0,55.1,55.55,636701
GSPL,2008-09-24,55.8,55.8,53.2,53.5,679313
GSPL,2008-09-25,53.25,53.95,47.9,50.8,1657157
GSPL,2008-09-26,51.0,51.0,45.3,45.9,2316967
GSPL,2008-09-29,46.2,47.35,42.55,46.25,1501629
GSPL,2008-09-30,44.0,46.8,42.65,45.95,1400005
GSPL,2008-10-01,46.4,46.4,44.1,45.8,949299
GSPL,2008-10-03,45.5,45.8,43.6,45.3,1060314
GSPL,2008-10-06,42.25,44.7,41.5,41.9,812085
GSPL,2008-10-07,42.05,42.5,38.55,40.25,737206
GSPL,2008-10-08,38.45,40.0,35.0,39.25,899983
GSPL,2008-10-10,37.9,37.9,34.0,36.4,611900
GSPL,2008-10-13,37.9,39.9,36.5,39.15,463402
GSPL,2008-10-14,41.7,44.75,40.2,40.95,616903
GSPL,2008-10-15,40.0,40.5,36.5,37.55,449778
GSPL,2008-10-16,37.0,37.0,31.15,35.2,698647
GSPL,2008-10-17,37.9,37.9,35.25,36.0,511479
GSPL,2008-10-20,35.6,37.25,35.1,36.6,483028
GSPL,2008-10-21,36.6,37.85,36.6,37.55,259035
GSPL,2008-10-22,36.5,37.85,36.05,37.5,183750
GSPL,2008-10-23,35.95,37.7,35.5,37.0,274957
GSPL,2008-10-24,36.25,36.95,33.0,33.45,498764
GSPL,2008-10-27,33.4,33.45,28.8,29.0,2548434
GSPL,2008-10-28,31.0,33.7,30.2,32.25,129078
GSPL,2008-10-29,33.8,35.6,29.9,30.05,962143
GSPL,2008-10-31,30.5,31.0,29.1,29.45,762371
GSPL,2008-11-03,31.0,31.0,28.0,28.7,2462353
GSPL,2008-11-04,29.35,30.25,28.85,29.7,2354913
GSPL,2008-11-05,30.2,32.35,29.5,29.8,2186645
GSPL,2008-11-06,28.8,29.75,28.8,29.05,769336
GSPL,2008-11-07,29.1,30.6,29.0,29.8,945218
GSPL,2008-11-10,30.3,32.5,30.0,32.2,1430487
GSPL,2008-11-11,32.2,33.7,30.65,31.1,2291377
GSPL,2008-11-12,30.3,32.45,29.9,30.3,1576906
GSPL,2008-11-14,31.0,31.4,29.25,29.5,1072219
GSPL,2008-11-17,29.7,30.05,29.4,29.75,493215
GSPL,2008-11-18,29.1,29.9,29.1,29.5,425649
GSPL,2008-11-19,29.5,29.95,29.05,29.55,433569
GSPL,2008-11-20,29.55,29.7,28.5,29.5,459610
GSPL,2008-11-21,29.5,29.95,29.2,29.7,184023
GSPL,2008-11-24,29.75,31.35,29.5,30.55,427336
GSPL,2008-11-25,31.25,31.65,29.5,29.6,236686
GSPL,2008-11-26,29.65,30.15,29.25,29.65,177331
GSPL,2008-11-28,29.4,29.5,28.8,29.0,792937
GSPL,2008-12-01,29.3,29.9,28.5,28.6,250830
