symbol,date,open,high,low,close,volume
GVKPIL,2008-06-09,42.0,42.7,39.8,42.1,1412122
GVKPIL,2008-06-10,42.1,43.5,39.55,40.1,2062689
GVKPIL,2008-06-11,40.9,41.7,39.9,40.35,2979167
GVKPIL,2008-06-12,38.9,40.65,38.55,40.15,2233367
GVKPIL,2008-06-13,40.25,41.3,39.1,39.95,2890853
GVKPIL,2008-06-16,40.7,41.3,38.65,39.2,2571101
GVKPIL,2008-06-17,39.5,41.95,38.4,41.25,2798909
GVKPIL,2008-06-18,42.45,43.7,41.9,43.3,3498988
GVKPIL,2008-06-19,42.75,42.75,40.8,41.4,3137465
GVKPIL,2008-06-20,41.65,43.4,40.8,41.25,3099377
GVKPIL,2008-06-23,41.25,41.8,38.55,38.9,1100692
GVKPIL,2008-06-24,39.35,40.2,37.55,37.9,938582
GVKPIL,2008-06-25,37.5,38.7,36.6,38.2,938568
GVKPIL,2008-06-26,38.8,41.15,37.5,38.5,3089942
GVKPIL,2008-06-27,38.5,38.5,35.75,36.5,2428887
GVKPIL,2008-06-30,36.8,37.25,34.0,34.45,1495049
GVKPIL,2008-07-01,35.75,36.45,30.75,32.5,2819580
GVKPIL,2008-07-02,33.0,33.0,29.1,31.65,4102675
GVKPIL,2008-07-03,31.65,31.65,30.0,30.35,1427704
GVKPIL,2008-07-04,30.4,32.5,30.15,31.95,1698550
GVKPIL,2008-07-07,32.5,34.4,32.05,33.8,1582747
GVKPIL,2008-07-08,33.0,34.2,31.9,32.6,2504007
GVKPIL,2008-07-09,33.15,34.9,33.15,33.6,2069694
GVKPIL,2008-07-10,33.8,34.75,33.1,34.2,1903362
GVKPIL,2008-07-11,34.35,35.5,32.1,32.45,2753329
GVKPIL,2008-07-14,32.5,32.7,31.65,31.85,1001092
GVKPIL,2008-07-15,31.85,31.85,30.1,30.65,724010
GVKPIL,2008-07-16,30.85,31.4,30.0,30.25,804437
GVKPIL,2008-07-17,31.0,31.5,29.7,30.1,1813577
GVKPIL,2008-07-18,30.95,30.95,29.9,30.1,1069366
GVKPIL,2008-07-21,30.7,31.8,29.8,31.25,1064448
GVKPIL,2008-07-22,31.5,33.9,31.25,33.55,2050951
GVKPIL,2008-07-23,35.25,39.9,35.0,37.75,7242839
GVKPIL,2008-07-24,39.9,39.9,36.2,36.9,4697910
GVKPIL,2008-07-25,35.8,38.0,35.15,37.6,2348263
GVKPIL,2008-07-28,37.0,39.85,36.5,39.5,3216354
GVKPIL,2008-07-29,39.2,40.9,37.75,38.25,5731419
GVKPIL,2008-07-30,39.35,40.45,38.5,38.85,2924531
GVKPIL,2008-07-31,39.45,39.95,38.6,39.55,1861574
GVKPIL,2008-08-01,38.1,39.6,38.0,39.05,1303404
GVKPIL,2008-08-04,39.05,43.2,38.65,40.9,4423234
GVKPIL,2008-08-05,41.65,41.75,39.7,39.95,2504237
GVKPIL,2008-08-06,40.85,41.0,39.05,39.35,1694842
GVKPIL,2008-08-07,39.3,40.3,38.6,39.15,1065276
GVKPIL,2008-08-08,39.65,39.65,38.8,39.0,688093
GVKPIL,2008-08-11,39.6,42.35,39.6,41.9,3991984
GVKPIL,2008-08-12,42.45,43.15,40.6,40.95,2118131
GVKPIL,2008-08-13,41.1,43.9,41.0,42.1,7444043
GVKPIL,2008-08-14,42.3,42.35,40.45,40.85,2682626
GVKPIL,2008-08-18,41.7,42.5,40.3,41.25,2454413
GVKPIL,2008-08-19,41.15,42.6,40.5,42.15,1872628
GVKPIL,2008-08-20,42.55,44.1,41.8,42.15,4818097
GVKPIL,2008-08-21,41.9,42.4,39.65,40.0,3581689
GVKPIL,2008-08-22,39.95,41.15,39.05,40.45,2133322
GVKPIL,2008-08-25,41.0,41.5,39.85,40.15,1334100
GVKPIL,2008-08-26,39.5,40.1,38.5,39.75,1615153
GVKPIL,2008-08-27,39.85,40.65,38.6,38.7,1444055
GVKPIL,2008-08-28,39.0,39.35,37.8,38.1,1045656
GVKPIL,2008-08-29,38.9,40.25,38.7,39.65,1550384
GVKPIL,2008-09-01,39.5,39.5,38.35,39.1,943491
GVKPIL,2008-09-02,39.4,40.45,39.2,39.95,1994327
GVKPIL,2008-09-04,39.3,41.0,39.0,39.9,1925706
GVKPIL,2008-09-05,39.2,40.2,38.65,39.3,1010726
GVKPIL,2008-09-08,40.7,41.5,40.0,40.45,3033227
GVKPIL,2008-09-09,40.25,40.6,39.65,40.05,1014865
GVKPIL,2008-09-10,39.8,40.6,39.0,39.2,1053202
GVKPIL,2008-09-11,39.0,39.1,38.25,38.35,659668
GVKPIL,2008-09-12,39.0,39.25,37.05,37.6,802880
GVKPIL,2008-09-15,36.85,36.85,33.2,34.6,1428468
GVKPIL,2008-09-16,31.0,34.5,30.0,33.95,1048280
GVKPIL,2008-09-17,34.8,34.8,32.85,32.95,1864712
GVKPIL,2008-09-18,30.0,32.45,30.0,32.05,1465962
GVKPIL,2008-09-19,33.75,34.3,31.75,31.95,2412508
GVKPIL,2008-09-22,33.05,33.05,30.8,31.1,3184848
GVKPIL,2008-09-23,30.7,31.8,29.0,30.2,2927252
GVKPIL,2008-09-24,30.95,31.1,30.0,30.15,3265768
GVKPIL,2008-09-25,30.5,30.7,29.0,29.3,3711673
GVKPIL,2008-09-26,29.5,29.5,27.0,27.95,3197749
GVKPIL,2008-09-29,28.2,28.5,26.0,26.3,2935905
GVKPIL,2008-09-30,25.1,27.2,24.15,26.5,4626530
GVKPIL,2008-10-01,27.8,27.85,25.5,25.65,2446283
GVKPIL,2008-10-03,25.95,26.3,23.0,23.35,3237017
GVKPIL,2008-10-06,23.0,23.0,19.5,19.8,7487935
GVKPIL,2008-10-07,18.25,20.95,16.65,16.85,12478716
GVKPIL,2008-10-08,16.0,17.5,15.0,16.45,18568366
GVKPIL,2008-10-10,15.0,16.35,14.05,15.45,5878065
GVKPIL,2008-10-13,15.85,17.45,15.85,16.75,6694214
GVKPIL,2008-10-14,17.5,18.5,16.0,16.2,11949949
GVKPIL,2008-10-15,16.0,16.0,15.05,15.3,2990982
GVKPIL,2008-10-16,14.5,15.6,13.35,15.0,7119451
GVKPIL,2008-10-17,15.3,15.7,14.15,14.4,6087923
GVKPIL,2008-10-20,14.5,15.0,13.5,13.7,3768415
GVKPIL,2008-10-21,14.15,14.75,13.65,13.75,12788122
GVKPIL,2008-10-22,14.0,15.1,13.85,14.15,10607960
GVKPIL,2008-10-23,11.6,14.45,11.6,14.1,6243649
GVKPIL,2008-10-24,14.0,14.3,11.2,11.6,5534713
GVKPIL,2008-10-27,11.0,12.15,10.4,10.9,5408936
GVKPIL,2008-10-28,12.5,12.8,11.5,12.4,1908348
GVKPIL,2008-10-29,13.75,14.45,10.85,11.0,10064800
GVKPIL,2008-10-31,11.65,12.0,10.9,10.95,7808051
GVKPIL,2008-11-03,11.5,12.7,11.3,12.05,19600609
GVKPIL,2008-11-04,11.95,15.2,11.55,14.95,50229540
GVKPIL,2008-11-05,15.8,19.25,14.85,15.75,63890102
GVKPIL,2008-11-06,15.0,17.65,14.65,17.2,63313066
GVKPIL,2008-11-07,17.7,18.7,16.35,18.15,38847762
GVKPIL,2008-11-10,19.0,21.0,18.35,20.65,50113579
GVKPIL,2008-11-11,20.5,21.5,17.6,17.9,47293011
GVKPIL,2008-11-12,17.6,19.15,16.9,18.05,33412022
GVKPIL,2008-11-14,18.8,19.4,15.1,15.85,56079050
GVKPIL,2008-11-17,16.45,16.65,13.55,14.95,43339857
GVKPIL,2008-11-18,14.45,15.6,14.1,14.6,30973569
GVKPIL,2008-11-19,15.0,15.3,12.95,13.2,24972719
GVKPIL,2008-11-20,12.7,13.5,12.15,12.95,28538791
GVKPIL,2008-11-21,13.25,15.0,13.05,14.7,29388647
GVKPIL,2008-11-24,15.0,15.5,14.4,15.1,27587632
GVKPIL,2008-11-25,15.7,17.1,15.5,16.3,49458424
GVKPIL,2008-11-26,16.9,17.1,16.1,16.75,25330360
GVKPIL,2008-11-28,16.05,17.2,15.05,16.6,29827320
GVKPIL,2008-12-01,17.0,17.95,15.95,16.15,23247850
GVKPIL,2008-12-02,16.0,17.5,15.0,17.25,28138980
GVKPIL,2008-12-03,17.75,17.9,17.05,17.5,30137641
GVKPIL,2008-12-04,17.75,19.15,17.35,18.85,37468839
GVKPIL,2008-12-05,18.95,19.75,18.2,18.4,26127016
GVKPIL,2008-12-08,19.0,20.0,18.2,18.45,24324716
GVKPIL,2008-12-10,18.9,20.0,18.55,19.8,29300188
GVKPIL,2008-12-11,19.95,21.4,19.2,20.35,47474028
GVKPIL,2008-12-12,19.8,20.8,19.0,20.45,27467987
GVKPIL,2008-12-15,21.0,22.8,20.65,22.5,32837125
GVKPIL,2008-12-16,22.1,23.3,21.85,22.15,22319964
GVKPIL,2008-12-17,23.0,23.0,18.8,19.0,24283848
