symbol,date,open,high,low,close,volume
HARDWYN,2022-04-12,6.0,6.0,6.0,6.0,11980
HARDWYN,2022-04-13,6.6,6.6,6.18,6.6,273050
HARDWYN,2022-04-18,7.26,7.26,7.26,7.26,50010
HARDWYN,2022-04-19,7.62,7.62,7.62,7.62,62180
HARDWYN,2022-04-20,8.0,8.0,7.28,8.0,1472970
HARDWYN,2022-04-21,8.4,8.4,8.4,8.4,51650
HARDWYN,2022-04-22,8.82,8.82,8.48,8.82,812370
HARDWYN,2022-04-25,9.26,9.26,8.74,9.26,658460
HARDWYN,2022-04-26,9.73,9.73,9.73,9.73,127260
HARDWYN,2022-04-27,10.21,10.21,9.24,9.99,2999380
HARDWYN,2022-04-28,10.15,10.49,9.53,10.49,921380
HARDWYN,2022-04-29,10.89,11.01,10.75,11.01,405100
HARDWYN,2022-05-02,11.47,11.56,11.47,11.56,126300
HARDWYN,2022-05-04,12.14,12.14,12.14,12.14,73060
HARDWYN,2022-05-05,12.74,12.74,11.56,12.43,1397530
HARDWYN,2022-05-06,11.81,11.81,11.81,11.81,77930
HARDWYN,2022-05-09,11.22,11.8,11.22,11.22,445850
HARDWYN,2022-05-10,10.66,10.66,10.66,10.66,51740
HARDWYN,2022-05-11,10.13,11.19,10.13,11.19,315980
HARDWYN,2022-05-12,11.68,11.75,11.43,11.75,209210
HARDWYN,2022-05-13,12.32,12.34,11.5,12.34,215170
HARDWYN,2022-05-16,12.93,12.95,11.72,12.5,140900
HARDWYN,2022-05-17,12.75,12.75,11.88,12.01,61980
HARDWYN,2022-05-18,12.23,12.61,11.51,12.48,177970
HARDWYN,2022-05-19,11.85,12.4,11.85,11.91,123730
HARDWYN,2022-05-20,11.88,12.0,11.32,11.51,91730
HARDWYN,2022-05-23,11.1,11.85,10.93,11.65,87940
HARDWYN,2022-05-24,11.21,11.88,11.15,11.64,36860
HARDWYN,2022-05-25,11.15,12.0,11.06,11.1,138140
HARDWYN,2022-05-26,11.1,11.25,10.55,10.98,103620
HARDWYN,2022-05-27,10.65,11.25,10.6,10.93,32890
HARDWYN,2022-05-30,11.47,11.47,10.6,10.72,43620
HARDWYN,2022-05-31,10.75,11.26,10.2,11.22,1966650
HARDWYN,2022-06-01,11.65,11.65,10.75,11.27,51130
HARDWYN,2022-06-02,11.27,11.8,11.01,11.51,58820
HARDWYN,2022-06-03,11.75,12.08,11.11,12.08,113490
HARDWYN,2022-06-06,12.5,12.5,12.11,12.39,17770
HARDWYN,2022-06-07,12.5,12.5,11.82,12.37,96020
HARDWYN,2022-06-08,12.75,12.98,11.75,12.91,2460290
HARDWYN,2022-06-09,13.45,13.55,12.26,12.26,704610
HARDWYN,2022-06-10,11.65,12.25,11.65,11.65,154460
HARDWYN,2022-06-13,11.65,11.65,11.11,11.2,86130
HARDWYN,2022-06-14,10.99,11.2,10.64,10.93,86060
HARDWYN,2022-06-15,10.95,11.47,10.5,10.71,187660
HARDWYN,2022-06-16,11.0,11.24,10.23,11.24,2833060
HARDWYN,2022-06-17,11.24,11.81,11.15,11.81,70180
HARDWYN,2022-06-20,12.0,12.39,11.69,11.89,107970
HARDWYN,2022-06-21,12.25,12.45,11.45,11.76,52450
HARDWYN,2022-06-22,11.52,11.95,11.18,11.78,318100
HARDWYN,2022-06-23,12.2,12.2,11.65,11.75,49020
HARDWYN,2022-06-24,11.7,12.07,11.32,11.51,64700
HARDWYN,2022-06-27,12.05,12.05,11.3,11.5,81020
HARDWYN,2022-06-28,11.6,12.07,11.28,12.07,106620
HARDWYN,2022-06-29,12.49,12.49,11.6,11.78,53260
HARDWYN,2022-06-30,11.78,11.95,11.2,11.27,93060
HARDWYN,2022-07-01,11.27,11.36,11.05,11.21,96930
HARDWYN,2022-07-04,10.9,11.73,10.73,11.13,110490
HARDWYN,2022-07-05,11.6,11.6,10.76,11.04,27370
HARDWYN,2022-07-06,10.82,11.3,10.66,11.18,87130
HARDWYN,2022-07-07,11.73,11.73,11.24,11.49,161500
HARDWYN,2022-07-08,11.94,11.94,11.57,11.76,85610
HARDWYN,2022-07-11,12.19,12.35,11.76,12.33,3488370
HARDWYN,2022-07-12,12.55,12.95,12.55,12.95,139010
HARDWYN,2022-07-13,13.59,13.59,13.05,13.56,1519570
HARDWYN,2022-07-14,13.9,13.9,12.89,13.31,641410
HARDWYN,2022-07-15,12.91,13.38,12.65,12.66,346860
HARDWYN,2022-07-18,13.0,13.0,12.26,12.67,191580
HARDWYN,2022-07-19,12.75,13.06,12.6,12.91,231210
HARDWYN,2022-07-20,13.15,13.25,12.83,12.93,207130
HARDWYN,2022-07-21,13.17,13.17,12.82,13.0,117260
HARDWYN,2022-07-22,13.44,13.64,12.9,13.64,557250
HARDWYN,2022-07-25,14.32,14.32,14.18,14.32,125730
HARDWYN,2022-07-26,15.04,15.04,15.04,15.04,55100
HARDWYN,2022-07-27,15.45,15.45,14.29,14.29,243620
HARDWYN,2022-07-28,13.59,15.0,13.58,15.0,771300
HARDWYN,2022-07-29,15.37,15.67,14.33,15.32,464400
HARDWYN,2022-08-01,15.24,15.54,14.56,14.8,109720
HARDWYN,2022-08-02,14.88,15.54,14.63,15.54,2043820
HARDWYN,2022-08-03,16.27,16.27,15.51,15.6,172570
HARDWYN,2022-08-04,15.38,15.88,14.82,14.86,152960
HARDWYN,2022-08-05,14.56,15.6,14.4,15.02,225920
HARDWYN,2022-08-08,14.63,14.85,14.27,14.34,1012690
HARDWYN,2022-08-10,14.62,14.7,13.8,14.49,1316920
HARDWYN,2022-08-11,14.59,14.85,13.88,14.16,149900
HARDWYN,2022-08-12,14.6,14.6,13.46,14.25,94540
HARDWYN,2022-08-16,13.94,14.63,13.58,14.22,217340
HARDWYN,2022-08-17,14.1,14.17,13.89,13.99,59490
HARDWYN,2022-08-18,13.88,14.48,13.65,14.25,156400
HARDWYN,2022-08-19,14.25,14.25,13.88,13.96,98140
HARDWYN,2022-08-22,13.95,14.66,13.95,14.66,2950970
HARDWYN,2022-08-23,14.85,15.39,14.85,15.39,517820
HARDWYN,2022-08-24,15.89,16.16,15.15,16.16,807520
HARDWYN,2022-08-25,16.97,16.97,16.58,16.97,186250
HARDWYN,2022-08-26,17.81,17.82,16.5,16.84,511680
HARDWYN,2022-08-29,16.71,17.18,16.0,16.99,433580
HARDWYN,2022-08-30,17.54,17.54,16.51,17.01,98090
HARDWYN,2022-09-01,17.4,17.77,16.73,17.21,140210
HARDWYN,2022-09-02,17.18,17.63,16.88,17.03,61280
HARDWYN,2022-09-05,17.55,17.55,16.29,16.89,90640
HARDWYN,2022-09-06,16.51,17.74,16.21,17.7,486140
HARDWYN,2022-09-07,18.19,18.56,17.4,18.4,166460
HARDWYN,2022-09-08,18.75,19.12,18.0,18.64,125380
HARDWYN,2022-09-09,18.64,19.57,18.0,18.97,845740
HARDWYN,2022-09-12,19.41,19.46,18.32,18.73,195560
HARDWYN,2022-09-13,18.38,18.97,17.8,18.61,439660
HARDWYN,2022-09-14,18.15,19.54,18.15,19.54,175760
HARDWYN,2022-09-15,19.87,20.25,19.54,19.74,98370
HARDWYN,2022-09-16,19.87,20.72,19.13,20.19,540440
HARDWYN,2022-09-19,20.95,21.18,20.6,21.01,238330
HARDWYN,2022-09-20,21.47,21.68,20.85,21.21,214180
HARDWYN,2022-09-21,21.64,21.74,20.74,21.11,100520
HARDWYN,2022-09-22,20.25,21.3,20.25,21.11,51570
HARDWYN,2022-09-23,21.52,21.52,20.25,20.39,87420
HARDWYN,2022-09-26,20.1,20.51,19.37,19.37,126780
HARDWYN,2022-09-27,19.95,19.95,18.41,18.64,80080
HARDWYN,2022-09-28,18.64,19.57,17.86,19.55,156820
HARDWYN,2022-09-29,20.31,20.53,19.79,20.28,163020
HARDWYN,2022-09-30,20.94,20.94,19.39,20.42,171650
HARDWYN,2022-10-03,21.3,21.3,19.58,20.53,176780
HARDWYN,2022-10-04,21.21,21.21,19.68,20.25,177120
HARDWYN,2022-10-06,20.63,20.99,19.81,20.38,97940
HARDWYN,2022-10-07,20.69,20.69,19.73,19.95,73010
HARDWYN,2022-10-10,20.24,20.24,19.5,19.8,83480
HARDWYN,2022-10-11,20.47,20.47,19.28,19.49,1394130
HARDWYN,2022-10-12,19.87,20.18,18.98,19.13,36130
HARDWYN,2022-10-13,19.13,19.87,18.57,18.67,59810
HARDWYN,2022-10-14,19.27,19.31,18.38,18.62,59200
HARDWYN,2022-10-17,19.47,19.47,18.0,18.11,34160
HARDWYN,2022-10-18,18.48,19.02,17.49,18.61,133440
HARDWYN,2022-10-19,19.43,19.43,18.04,18.31,40460
HARDWYN,2022-10-20,18.68,19.2,17.78,18.81,104720
HARDWYN,2022-10-21,19.58,19.74,18.17,19.68,3005320
HARDWYN,2022-10-24,20.51,20.62,19.8,20.2,113600
HARDWYN,2022-10-25,20.52,20.52,19.94,20.09,26330
HARDWYN,2022-10-27,20.5,21.09,19.2,20.7,247920
HARDWYN,2022-10-28,20.85,21.74,20.5,21.63,813180
HARDWYN,2022-10-31,22.11,22.5,20.75,21.02,209050
HARDWYN,2022-11-01,20.48,21.53,19.97,21.42,589360
HARDWYN,2022-11-02,21.0,21.75,21.0,21.27,193120
HARDWYN,2022-11-03,21.0,21.91,20.93,21.46,260520
HARDWYN,2022-11-04,22.12,22.53,21.08,22.38,480360
HARDWYN,2022-11-07,22.5,23.25,22.16,22.44,373640
HARDWYN,2022-11-09,22.83,23.56,21.83,23.56,1831610
HARDWYN,2022-11-10,23.99,24.74,23.55,24.52,584600
HARDWYN,2022-11-11,25.58,25.58,24.08,24.3,278540
HARDWYN,2022-11-14,24.78,24.78,24.3,24.56,188050
