symbol,date,open,high,low,close,volume
HATSUN-RE,2022-12-19,480.0,508.0,450.0,474.0,3746
HATSUN-RE,2022-12-20,460.0,515.0,459.0,465.0,3643
HATSUN-RE,2022-12-21,467.15,515.0,310.0,456.0,10096
HATSUN-RE,2022-12-22,457.0,468.65,452.0,459.0,2003
HATSUN-RE,2022-12-23,461.7,465.0,440.0,450.25,973
HATSUN-RE,2022-12-26,468.0,468.0,452.0,459.0,1061
HATSUN-RE,2022-12-27,465.0,479.0,462.05,463.0,2322
HATSUN-RE,2022-12-28,480.0,490.0,455.1,463.5,2018
HATSUN-RE,2022-12-29,456.2,479.0,456.2,456.2,1193
HATSUN-RE,2022-12-30,478.0,479.9,456.2,475.0,5853
HATSUN-RE,2023-01-02,474.0,479.9,463.0,465.0,2148
HATSUN-RE,2023-01-03,480.0,480.0,467.0,480.0,1138
