symbol,date,open,high,low,close,volume
HCC,2008-06-09,61.08,61.08,56.0,56.65,7361472
HCC,2008-06-10,56.0,58.92,52.65,53.78,9051284
HCC,2008-06-11,53.75,57.22,53.75,56.33,5195482
HCC,2008-06-12,54.0,59.0,53.0,58.47,4808086
HCC,2008-06-13,59.28,59.95,56.75,57.17,2510788
HCC,2008-06-16,58.0,59.45,57.5,57.72,1851508
HCC,2008-06-17,57.0,60.45,57.0,59.6,4046778
HCC,2008-06-18,59.97,60.92,57.78,58.38,2969128
HCC,2008-06-19,57.9,57.97,54.55,55.53,3118300
HCC,2008-06-20,56.25,56.85,53.85,54.45,2855868
HCC,2008-06-23,53.5,54.45,50.78,51.35,1903906
HCC,2008-06-24,51.5,53.0,48.8,49.53,2964766
HCC,2008-06-25,48.7,50.7,47.03,50.17,3344268
HCC,2008-06-26,50.03,51.5,47.75,48.5,5498066
HCC,2008-06-27,47.5,47.7,41.55,42.08,14028014
HCC,2008-06-30,41.55,42.78,39.7,39.95,4266632
HCC,2008-07-01,40.0,40.65,35.58,36.15,4058764
HCC,2008-07-02,36.5,39.7,34.0,38.58,7213440
HCC,2008-07-03,38.0,40.67,35.58,38.4,6242622
HCC,2008-07-04,37.5,43.45,36.0,43.08,6317238
HCC,2008-07-07,44.0,46.75,42.33,42.97,6162088
HCC,2008-07-08,42.45,45.15,40.5,43.92,8900368
HCC,2008-07-09,45.0,47.6,44.95,46.17,6394490
HCC,2008-07-10,46.25,47.2,44.47,45.05,4708164
HCC,2008-07-11,45.5,46.55,42.05,42.58,3727154
HCC,2008-07-14,42.9,45.0,41.6,43.17,4157750
HCC,2008-07-15,41.9,42.67,40.2,40.85,2590544
HCC,2008-07-16,41.0,41.95,38.75,40.5,3134738
HCC,2008-07-17,41.5,43.0,40.58,41.4,2777404
HCC,2008-07-18,42.0,43.85,41.5,42.9,3844260
HCC,2008-07-21,43.4,44.0,41.55,42.85,2212018
HCC,2008-07-22,43.22,45.88,42.5,45.0,6748730
HCC,2008-07-23,50.1,51.25,47.22,49.67,10235446
HCC,2008-07-24,51.0,51.55,49.5,50.9,5068126
HCC,2008-07-25,49.58,50.1,47.3,47.88,8021982
HCC,2008-07-28,48.67,48.67,45.4,46.45,3864612
HCC,2008-07-29,47.95,47.95,45.0,45.9,2700282
HCC,2008-07-30,46.45,47.25,46.25,46.53,2594344
HCC,2008-07-31,46.9,46.97,43.1,43.58,6273322
HCC,2008-08-01,43.05,45.88,42.75,45.63,5004154
HCC,2008-08-04,45.4,49.85,45.4,49.28,8656980
HCC,2008-08-05,49.9,51.7,49.13,51.45,7564578
HCC,2008-08-06,52.0,53.0,49.55,49.9,7168692
HCC,2008-08-07,49.7,51.85,49.7,50.67,4521340
HCC,2008-08-08,50.5,51.5,49.22,50.15,4556498
HCC,2008-08-11,51.3,54.9,51.0,54.58,10463680
HCC,2008-08-12,54.78,55.63,52.25,54.9,7588204
HCC,2008-08-13,54.5,55.95,52.03,52.53,6750278
HCC,2008-08-14,52.45,52.45,49.15,49.5,5288748
HCC,2008-08-18,49.25,49.8,45.78,48.53,3242208
HCC,2008-08-19,48.0,50.72,47.5,50.47,5695856
HCC,2008-08-20,50.75,51.25,50.0,50.35,2715286
HCC,2008-08-21,50.4,50.42,48.05,48.3,1606130
HCC,2008-08-22,48.25,48.72,47.13,47.63,2338560
HCC,2008-08-25,48.0,49.5,47.25,47.47,1966346
HCC,2008-08-26,46.95,47.75,46.13,47.45,1597556
HCC,2008-08-27,47.1,48.7,46.33,46.78,2974386
HCC,2008-08-28,46.55,47.38,45.15,45.58,3034222
HCC,2008-08-29,46.85,47.95,46.5,47.55,2356482
HCC,2008-09-01,47.0,47.7,45.75,46.75,2134744
HCC,2008-09-02,47.3,50.2,46.88,49.58,3057036
HCC,2008-09-04,48.88,50.45,47.83,49.53,2762416
HCC,2008-09-05,48.67,49.5,47.5,48.58,2066038
HCC,2008-09-08,52.25,54.88,50.75,52.17,10887350
HCC,2008-09-09,52.22,52.5,50.35,50.88,3596850
HCC,2008-09-10,50.6,51.42,49.33,49.97,2480324
HCC,2008-09-11,49.7,50.05,48.58,49.58,2900234
HCC,2008-09-12,50.0,50.67,47.6,48.3,2065298
HCC,2008-09-15,46.55,47.0,43.0,44.28,2861592
HCC,2008-09-16,42.75,44.35,40.75,43.85,2133314
HCC,2008-09-17,44.0,44.78,42.63,43.05,1678078
HCC,2008-09-18,41.05,43.83,37.63,43.08,4214676
HCC,2008-09-19,44.5,46.25,43.78,44.58,4494484
HCC,2008-09-22,45.0,46.88,44.28,44.78,4286366
HCC,2008-09-23,43.75,44.4,41.78,42.42,3596522
HCC,2008-09-24,42.8,44.0,40.78,41.47,5277114
HCC,2008-09-25,41.95,42.2,40.88,41.67,3638918
HCC,2008-09-26,41.5,41.88,40.25,40.6,2876828
HCC,2008-09-29,40.5,41.55,36.38,37.03,4276432
HCC,2008-09-30,34.38,39.65,34.05,38.4,5816238
HCC,2008-10-01,38.5,39.3,34.75,35.95,11680002
HCC,2008-10-03,35.0,37.6,35.0,35.25,5119604
HCC,2008-10-06,35.0,35.0,29.55,30.2,5306842
