symbol,date,open,high,low,close,volume
HDFCGOLD,2023-06-16,52.09,52.25,51.83,52.2,326716
HDFCGOLD,2023-06-19,52.15,52.18,51.72,51.83,481201
HDFCGOLD,2023-06-20,51.99,52.08,51.76,51.98,652071
HDFCGOLD,2023-06-21,51.82,51.82,51.51,51.58,181568
HDFCGOLD,2023-06-22,51.58,51.68,51.14,51.18,713185
HDFCGOLD,2023-06-23,51.05,51.27,50.85,51.08,260239
HDFCGOLD,2023-06-26,51.37,51.46,51.12,51.39,268137
HDFCGOLD,2023-06-27,51.5,51.5,51.21,51.35,638013
HDFCGOLD,2023-06-28,51.45,51.45,50.95,51.0,194255
HDFCGOLD,2023-06-30,51.15,51.15,50.55,50.71,531531
HDFCGOLD,2023-07-03,50.99,51.08,50.81,51.03,588123
HDFCGOLD,2023-07-04,51.5,51.5,51.01,51.23,614642
HDFCGOLD,2023-07-05,51.24,51.47,51.23,51.41,267947
HDFCGOLD,2023-07-06,51.49,51.49,51.11,51.4,859476
HDFCGOLD,2023-07-07,51.4,51.53,51.16,51.48,145339
HDFCGOLD,2023-07-10,51.78,51.8,51.42,51.69,716675
HDFCGOLD,2023-07-11,51.88,51.88,51.46,51.82,340191
HDFCGOLD,2023-07-12,51.97,51.97,51.6,51.73,457203
HDFCGOLD,2023-07-13,52.38,52.55,51.92,52.0,747241
HDFCGOLD,2023-07-14,52.01,52.28,51.62,52.03,2846263
HDFCGOLD,2023-07-17,52.08,52.18,51.85,51.97,215342
HDFCGOLD,2023-07-18,52.17,52.17,51.98,52.13,1717780
HDFCGOLD,2023-07-19,52.74,52.78,52.32,52.5,644936
HDFCGOLD,2023-07-20,52.55,52.83,52.51,52.51,236786
HDFCGOLD,2023-07-21,52.55,52.6,52.03,52.11,219847
HDFCGOLD,2023-07-24,52.07,52.29,51.89,51.96,2487170
HDFCGOLD,2023-07-25,52.09,52.1,51.75,52.03,149182
HDFCGOLD,2023-07-26,52.17,52.28,52.02,52.11,305195
HDFCGOLD,2023-07-27,52.65,52.65,52.16,52.22,495852
HDFCGOLD,2023-07-28,52.12,52.21,51.72,51.99,315186
HDFCGOLD,2023-07-31,52.23,52.23,51.96,52.15,140449
HDFCGOLD,2023-08-01,52.44,52.44,52.05,52.15,190795
HDFCGOLD,2023-08-02,52.11,52.2,51.95,52.14,521863
HDFCGOLD,2023-08-03,52.14,52.14,51.76,51.99,347039
HDFCGOLD,2023-08-04,52.18,52.19,51.9,51.99,188878
HDFCGOLD,2023-08-07,52.0,52.09,51.81,51.96,552013
HDFCGOLD,2023-08-08,52.0,52.09,51.78,52.03,245641
HDFCGOLD,2023-08-09,52.08,52.08,51.82,51.91,559061
HDFCGOLD,2023-08-10,51.83,51.84,51.51,51.73,297612
HDFCGOLD,2023-08-11,51.72,51.72,51.45,51.69,289732
HDFCGOLD,2023-08-14,51.63,51.76,51.51,51.64,142867
HDFCGOLD,2023-08-16,51.68,51.69,51.41,51.57,240686
HDFCGOLD,2023-08-17,51.16,51.5,51.16,51.45,1611473
HDFCGOLD,2023-08-18,51.36,51.36,51.2,51.27,620657
HDFCGOLD,2023-08-21,51.49,51.49,51.05,51.14,619029
HDFCGOLD,2023-08-22,51.21,51.46,51.15,51.36,445747
HDFCGOLD,2023-08-23,51.58,51.58,51.21,51.31,343299
HDFCGOLD,2023-08-24,51.59,51.59,51.4,51.45,207237
HDFCGOLD,2023-08-25,51.49,51.5,51.31,51.5,97180
HDFCGOLD,2023-08-28,51.59,51.59,51.27,51.39,643581
HDFCGOLD,2023-08-29,51.42,51.77,51.42,51.66,218656
HDFCGOLD,2023-08-30,51.65,51.98,51.65,51.88,275276
HDFCGOLD,2023-08-31,51.93,52.18,51.86,52.03,224865
HDFCGOLD,2023-09-01,52.17,52.17,51.79,52.03,233832
HDFCGOLD,2023-09-04,52.29,52.29,51.94,52.04,273285
HDFCGOLD,2023-09-05,52.08,52.08,51.83,51.93,332337
HDFCGOLD,2023-09-06,51.98,51.98,51.75,51.91,448940
HDFCGOLD,2023-09-07,51.94,51.94,51.62,51.84,761934
HDFCGOLD,2023-09-08,51.97,51.98,51.8,51.85,551867
HDFCGOLD,2023-09-11,51.85,51.86,51.58,51.72,1461160
HDFCGOLD,2023-09-12,51.72,51.79,51.51,51.51,269115
HDFCGOLD,2023-09-13,51.53,51.53,51.22,51.38,1828905
HDFCGOLD,2023-09-14,51.43,51.43,51.16,51.37,407882
HDFCGOLD,2023-09-15,51.93,51.93,51.35,51.64,462493
HDFCGOLD,2023-09-18,51.88,51.98,51.69,51.92,348486
HDFCGOLD,2023-09-20,51.93,52.08,51.84,52.04,526112
HDFCGOLD,2023-09-21,52.03,52.04,51.68,51.71,202838
HDFCGOLD,2023-09-25,51.89,51.89,51.61,51.64,217951
HDFCGOLD,2023-09-26,51.72,51.72,51.43,51.55,180366
HDFCGOLD,2023-09-27,51.21,51.45,51.08,51.1,261994
HDFCGOLD,2023-09-28,50.95,50.99,50.7,50.88,453373
HDFCGOLD,2023-09-29,50.82,50.86,50.56,50.69,402555
HDFCGOLD,2023-10-03,50.41,50.89,49.76,49.91,947580
HDFCGOLD,2023-10-04,50.17,51.85,49.5,50.25,1512837
HDFCGOLD,2023-10-05,50.99,50.99,49.7,50.1,904114
HDFCGOLD,2023-10-06,50.27,50.27,49.64,49.74,4807158
HDFCGOLD,2023-10-09,50.05,50.88,50.05,50.29,2093859
HDFCGOLD,2023-10-10,50.38,50.66,50.2,50.35,1815558
HDFCGOLD,2023-10-11,50.74,50.74,50.36,50.67,794509
HDFCGOLD,2023-10-12,50.68,50.96,50.68,50.9,289727
