symbol,date,open,high,low,close,volume
HDFCGROWTH,2022-09-29,89.0,89.1,86.2,87.36,7768
HDFCGROWTH,2022-09-30,87.85,88.29,86.55,87.48,14244
HDFCGROWTH,2022-10-03,104.0,104.0,87.01,87.05,6866
HDFCGROWTH,2022-10-04,86.0,88.28,86.0,87.71,545
HDFCGROWTH,2022-10-06,87.51,89.5,87.08,87.52,667
HDFCGROWTH,2022-10-07,89.9,89.9,87.06,87.51,3083
HDFCGROWTH,2022-10-10,88.0,88.0,85.0,86.7,13045
HDFCGROWTH,2022-10-11,95.0,95.0,85.21,86.1,5033
HDFCGROWTH,2022-10-12,86.05,86.5,85.41,86.01,262
HDFCGROWTH,2022-10-13,86.5,86.72,85.52,86.66,2423
HDFCGROWTH,2022-10-14,86.67,88.0,85.3,86.2,2980
HDFCGROWTH,2022-10-17,86.5,88.0,86.0,86.09,521
HDFCGROWTH,2022-10-18,86.0,88.0,85.7,86.99,517
HDFCGROWTH,2022-10-19,86.0,88.3,86.0,87.34,1729
HDFCGROWTH,2022-10-20,87.29,88.9,87.29,87.88,1372
HDFCGROWTH,2022-10-21,88.0,88.9,88.0,88.65,2811
HDFCGROWTH,2022-10-24,88.7,91.3,88.7,89.0,1458
HDFCGROWTH,2022-10-25,89.09,89.09,87.59,87.87,913
HDFCGROWTH,2022-10-27,88.9,89.75,87.2,87.98,8622
HDFCGROWTH,2022-10-28,88.3,89.45,88.3,88.61,10275
HDFCGROWTH,2022-10-31,88.61,91.49,88.3,89.67,15691
HDFCGROWTH,2022-11-01,89.8,91.0,89.8,90.64,70754
HDFCGROWTH,2022-11-02,90.64,91.0,89.76,90.02,7752
HDFCGROWTH,2022-11-03,90.0,92.0,89.58,89.94,1748
HDFCGROWTH,2022-11-04,90.4,91.2,89.23,89.6,3879
HDFCGROWTH,2022-11-07,90.4,91.0,89.25,90.3,1183
HDFCGROWTH,2022-11-09,90.3,90.5,89.0,89.37,3662
HDFCGROWTH,2022-11-10,89.3,89.77,89.11,89.12,1076
HDFCGROWTH,2022-11-11,89.3,91.9,89.3,89.68,817
HDFCGROWTH,2022-11-14,90.5,90.5,87.5,88.02,2063
HDFCGROWTH,2022-11-15,90.0,90.0,87.35,88.96,1193
HDFCGROWTH,2022-11-16,90.5,90.5,87.2,87.28,1535
HDFCGROWTH,2022-11-17,88.0,88.78,87.3,87.36,669
HDFCGROWTH,2022-11-18,87.79,87.79,86.3,87.42,936
HDFCGROWTH,2022-11-21,89.2,89.2,86.7,86.85,685
HDFCGROWTH,2022-11-22,87.0,87.41,86.3,87.29,286
