symbol,date,open,high,low,close,volume
HDFCNIFTY,2023-06-16,203.25,204.9,203.21,204.78,18766
HDFCNIFTY,2023-06-19,204.0,205.0,203.61,204.4,25328
HDFCNIFTY,2023-06-20,204.18,204.89,202.61,204.82,25504
HDFCNIFTY,2023-06-21,204.69,205.0,203.76,204.28,12521
HDFCNIFTY,2023-06-22,204.96,205.34,204.15,204.81,25538
HDFCNIFTY,2023-06-23,204.97,204.97,203.0,203.39,9182
HDFCNIFTY,2023-06-26,203.94,203.94,202.62,203.49,16435
HDFCNIFTY,2023-06-27,204.0,204.5,203.5,204.3,11812
HDFCNIFTY,2023-06-28,205.45,206.99,204.73,206.61,58943
HDFCNIFTY,2023-06-30,207.01,208.76,206.93,208.5,71931
HDFCNIFTY,2023-07-03,208.5,210.77,208.5,209.98,35668
HDFCNIFTY,2023-07-04,216.5,216.5,210.0,211.89,38277
HDFCNIFTY,2023-07-05,211.35,211.68,210.44,211.68,27411
HDFCNIFTY,2023-07-06,211.22,212.04,210.81,211.64,26320
HDFCNIFTY,2023-07-07,210.99,212.39,210.33,210.86,41271
HDFCNIFTY,2023-07-10,212.4,212.4,210.38,211.2,34653
HDFCNIFTY,2023-07-11,212.2,212.49,211.23,211.8,21069
HDFCNIFTY,2023-07-12,212.3,212.3,211.4,211.55,15290
HDFCNIFTY,2023-07-13,212.74,212.99,211.5,211.88,35590
HDFCNIFTY,2023-07-14,212.79,212.99,211.5,212.99,28447
HDFCNIFTY,2023-07-17,213.8,215.5,212.65,214.49,29513
HDFCNIFTY,2023-07-18,215.29,215.69,214.3,214.78,28604
HDFCNIFTY,2023-07-19,215.62,215.99,214.98,215.95,37275
HDFCNIFTY,2023-07-20,215.9,217.75,214.84,216.52,39656
HDFCNIFTY,2023-07-21,216.58,216.69,214.95,215.85,37620
HDFCNIFTY,2023-07-24,213.55,221.55,213.55,213.75,25830
HDFCNIFTY,2023-07-25,216.29,216.49,214.0,214.91,37725
HDFCNIFTY,2023-07-26,215.79,219.6,214.8,217.5,29977
HDFCNIFTY,2023-07-27,217.35,217.35,213.9,214.6,44637
HDFCNIFTY,2023-07-28,216.45,216.45,213.36,214.23,43175
HDFCNIFTY,2023-07-31,214.74,215.35,213.42,215.28,18757
HDFCNIFTY,2023-08-01,215.79,215.79,214.7,214.7,36066
HDFCNIFTY,2023-08-02,215.02,215.02,212.05,213.07,68231
HDFCNIFTY,2023-08-03,219.45,219.45,210.8,211.44,33960
HDFCNIFTY,2023-08-04,212.59,213.23,211.76,213.09,26303
HDFCNIFTY,2023-08-07,213.79,213.98,212.85,213.96,43972
HDFCNIFTY,2023-08-08,214.59,214.59,213.12,213.58,23563
HDFCNIFTY,2023-08-09,214.19,214.47,212.62,214.41,13481
HDFCNIFTY,2023-08-10,215.49,215.49,212.98,213.75,89912
HDFCNIFTY,2023-08-11,213.99,213.99,212.25,212.74,31564
HDFCNIFTY,2023-08-14,219.15,219.15,210.64,212.52,26607
HDFCNIFTY,2023-08-16,212.49,212.5,211.01,211.5,20338
HDFCNIFTY,2023-08-17,212.49,212.57,211.26,211.76,73600
HDFCNIFTY,2023-08-18,211.74,214.88,210.5,210.5,42098
HDFCNIFTY,2023-08-21,217.55,217.55,210.71,212.28,18951
HDFCNIFTY,2023-08-22,218.6,218.6,211.64,211.96,14933
HDFCNIFTY,2023-08-23,212.79,212.79,211.51,212.44,27547
HDFCNIFTY,2023-08-24,213.99,214.2,211.35,212.35,30324
HDFCNIFTY,2023-08-25,211.54,211.67,210.25,210.25,38794
HDFCNIFTY,2023-08-28,211.29,211.5,210.5,211.5,38399
HDFCNIFTY,2023-08-29,212.9,212.9,210.99,211.19,32702
HDFCNIFTY,2023-08-30,212.74,212.74,210.86,210.86,15532
HDFCNIFTY,2023-08-31,211.59,211.91,210.46,210.46,23288
HDFCNIFTY,2023-09-01,211.49,212.52,210.51,212.42,24766
HDFCNIFTY,2023-09-04,217.85,217.85,209.22,213.52,42582
HDFCNIFTY,2023-09-05,214.19,216.0,212.85,213.63,31876
HDFCNIFTY,2023-09-06,214.19,214.19,212.5,214.08,15716
HDFCNIFTY,2023-09-07,214.79,215.68,213.11,214.83,72375
HDFCNIFTY,2023-09-08,216.29,216.48,215.08,215.78,74335
HDFCNIFTY,2023-09-11,215.91,217.29,215.91,216.88,48639
HDFCNIFTY,2023-09-12,218.99,224.1,217.21,217.74,77083
