symbol,date,open,high,low,close,volume
HEG,2008-06-09,290.0,295.0,274.0,285.65,41000
HEG,2008-06-10,284.5,289.4,276.05,277.9,13774
HEG,2008-06-11,282.5,284.3,274.0,276.85,25369
HEG,2008-06-12,271.1,277.0,271.1,274.55,23100
HEG,2008-06-13,279.0,289.0,270.1,274.0,108380
HEG,2008-06-16,280.0,290.0,279.0,288.3,99515
HEG,2008-06-17,298.3,338.85,288.0,301.7,119980
HEG,2008-06-18,305.95,306.8,291.0,294.15,42873
HEG,2008-06-19,317.0,317.0,256.35,286.2,15025
HEG,2008-06-20,287.0,294.95,270.15,272.85,36210
HEG,2008-06-23,270.1,270.1,245.1,248.5,22293
HEG,2008-06-24,250.0,260.0,241.1,243.3,21247
HEG,2008-06-25,240.1,255.0,235.1,244.4,18100
HEG,2008-06-26,245.9,255.95,245.9,250.65,17694
HEG,2008-06-27,240.0,248.0,237.0,242.15,15651
HEG,2008-06-30,239.0,241.85,211.0,216.55,22606
HEG,2008-07-01,220.0,220.0,182.0,184.7,111664
HEG,2008-07-02,188.85,193.5,174.05,189.2,75743
HEG,2008-07-03,189.4,194.0,177.0,190.9,68960
HEG,2008-07-04,191.95,194.8,188.05,193.35,14373
HEG,2008-07-07,198.5,199.5,193.55,195.3,22066
HEG,2008-07-08,193.95,199.95,189.4,197.85,11287
HEG,2008-07-09,209.0,215.8,201.0,213.7,25119
HEG,2008-07-10,208.0,219.0,205.0,207.95,19571
HEG,2008-07-11,214.4,224.0,211.0,217.45,52349
HEG,2008-07-14,219.0,219.9,206.0,208.4,25247
HEG,2008-07-15,202.95,212.0,200.0,209.85,20060
HEG,2008-07-16,210.0,212.7,201.05,204.75,21540
HEG,2008-07-17,214.0,219.5,200.1,205.95,15738
HEG,2008-07-18,206.25,221.0,205.0,218.55,24168
HEG,2008-07-21,223.0,228.85,210.55,213.3,27777
HEG,2008-07-22,218.1,228.45,218.1,227.0,28161
