symbol,date,open,high,low,close,volume
HEXAWARE,2016-01-01,244.75,245.0,242.0,242.5,243409
HEXAWARE,2016-01-04,241.9,244.7,232.3,238.65,496365
HEXAWARE,2016-01-05,239.5,251.6,237.6,250.7,1270582
HEXAWARE,2016-01-06,254.6,255.8,242.35,244.4,2236908
HEXAWARE,2016-01-07,239.0,243.55,235.7,237.55,850677
HEXAWARE,2016-01-08,240.3,243.5,237.55,241.0,573925
HEXAWARE,2016-01-11,232.0,240.9,232.0,238.0,541327
HEXAWARE,2016-01-12,237.25,238.25,228.35,230.6,626631
HEXAWARE,2016-01-13,234.1,234.1,217.6,226.75,1097386
HEXAWARE,2016-01-14,219.5,233.5,219.5,227.5,897825
HEXAWARE,2016-01-15,231.0,231.0,220.0,220.0,851695
HEXAWARE,2016-01-18,215.0,223.75,212.8,216.1,698716
HEXAWARE,2016-01-19,218.5,220.0,209.65,218.0,1098909
HEXAWARE,2016-01-20,210.95,212.5,204.05,208.1,1101894
HEXAWARE,2016-01-21,208.9,211.95,204.75,207.25,786005
HEXAWARE,2016-01-22,210.0,214.75,208.5,211.65,932569
HEXAWARE,2016-01-25,214.95,219.15,214.0,218.85,1616492
HEXAWARE,2016-01-27,222.0,224.65,217.0,223.9,1675124
HEXAWARE,2016-01-28,224.05,227.4,217.15,225.0,3373226
HEXAWARE,2016-01-29,223.6,230.7,221.8,230.25,920018
HEXAWARE,2016-02-01,231.45,234.4,229.7,232.65,846603
HEXAWARE,2016-02-02,232.7,235.95,227.8,228.75,942175
HEXAWARE,2016-02-03,228.5,228.7,217.25,217.85,970464
HEXAWARE,2016-02-04,218.0,247.45,218.0,235.8,8109124
HEXAWARE,2016-02-05,235.05,248.6,234.25,248.0,2876016
HEXAWARE,2016-02-08,246.0,248.75,242.4,247.0,1154227
HEXAWARE,2016-02-09,243.95,245.0,237.75,242.3,1019147
HEXAWARE,2016-02-10,241.6,245.0,238.35,243.25,549501
HEXAWARE,2016-02-11,241.2,243.0,229.05,229.7,745656
HEXAWARE,2016-02-12,232.7,232.7,217.0,222.75,1485608
HEXAWARE,2016-02-15,225.6,235.5,225.3,234.0,682962
HEXAWARE,2016-02-16,234.45,235.8,225.7,227.0,456901
HEXAWARE,2016-02-17,228.5,229.6,222.15,228.0,481050
HEXAWARE,2016-02-18,231.15,234.5,224.15,228.85,523591
HEXAWARE,2016-02-19,227.0,233.0,225.5,232.8,438963
HEXAWARE,2016-02-22,232.9,240.5,230.75,240.5,847865
HEXAWARE,2016-02-23,239.9,243.8,236.8,240.0,1296354
HEXAWARE,2016-02-24,239.6,240.45,233.1,234.8,648999
HEXAWARE,2016-02-25,235.7,240.5,232.25,232.5,3040373
HEXAWARE,2016-02-26,235.25,238.0,234.0,236.5,751327
HEXAWARE,2016-02-29,234.95,238.5,230.75,234.8,1116239
HEXAWARE,2016-03-01,234.0,246.0,234.0,244.5,906380
HEXAWARE,2016-03-02,246.05,248.55,243.55,245.6,758725
HEXAWARE,2016-03-03,246.9,254.5,245.6,254.45,1024661
HEXAWARE,2016-03-04,255.4,259.95,253.25,258.15,891364
HEXAWARE,2016-03-08,258.8,263.2,256.15,260.15,980640
HEXAWARE,2016-03-09,258.35,263.65,256.15,262.6,556604
HEXAWARE,2016-03-10,264.7,264.7,257.9,259.0,552666
HEXAWARE,2016-03-11,259.15,260.95,254.0,256.3,543304
HEXAWARE,2016-03-14,257.25,261.9,254.6,261.05,529688
HEXAWARE,2016-03-15,261.95,264.45,258.3,260.7,854645
HEXAWARE,2016-03-16,260.6,270.0,259.5,269.5,957393
HEXAWARE,2016-03-17,272.1,273.45,264.4,265.0,1009933
HEXAWARE,2016-03-18,265.9,271.5,265.9,270.55,630160
HEXAWARE,2016-03-21,271.55,273.1,268.95,269.05,348063
