symbol,date,open,high,low,close,volume
HIKAL,2008-06-09,57.33,60.0,57.33,60.0,3907
HIKAL,2008-06-10,57.87,60.0,57.87,58.95,20362
HIKAL,2008-06-11,58.97,60.53,58.67,59.17,1972
HIKAL,2008-06-12,57.6,60.4,57.6,60.17,8752
HIKAL,2008-06-13,61.33,65.33,61.33,64.77,78577
HIKAL,2008-06-16,65.47,66.67,64.41,65.32,174149
HIKAL,2008-06-17,64.0,65.87,63.34,64.35,2324
HIKAL,2008-06-18,64.53,64.53,62.95,62.95,1897
HIKAL,2008-06-19,62.53,62.65,61.36,61.38,419
HIKAL,2008-06-20,63.73,64.0,58.05,61.87,41009
HIKAL,2008-06-23,50.97,63.33,50.97,62.69,22529
HIKAL,2008-06-24,63.87,63.98,60.67,63.41,38722
HIKAL,2008-06-25,59.08,63.19,59.08,62.63,56752
HIKAL,2008-06-26,62.67,63.71,60.82,63.01,32482
HIKAL,2008-06-27,58.93,64.39,58.93,63.07,35977
HIKAL,2008-06-30,61.81,63.73,60.0,63.23,16852
HIKAL,2008-07-01,62.67,62.67,59.48,61.73,32894
HIKAL,2008-07-02,59.87,61.6,59.87,61.57,75907
HIKAL,2008-07-03,58.95,61.73,56.04,60.97,8504
HIKAL,2008-07-04,59.71,61.33,58.67,60.11,31544
HIKAL,2008-07-07,57.74,65.33,57.74,63.24,105989
HIKAL,2008-07-08,62.92,64.13,62.01,63.08,50474
HIKAL,2008-07-09,66.65,66.65,62.67,63.11,9472
HIKAL,2008-07-10,60.0,62.67,60.0,62.67,20264
HIKAL,2008-07-11,62.0,62.42,61.11,62.42,5654
HIKAL,2008-07-14,62.01,62.01,58.7,60.16,4882
HIKAL,2008-07-15,61.91,61.91,58.4,60.01,13904
HIKAL,2008-07-16,60.4,60.4,56.67,57.64,15772
HIKAL,2008-07-17,60.27,60.27,53.56,59.07,41309
HIKAL,2008-07-18,58.8,60.0,58.27,59.33,1327
HIKAL,2008-07-21,57.08,64.13,57.08,57.71,113519
HIKAL,2008-07-22,60.53,64.0,58.01,59.72,85192
HIKAL,2008-07-23,64.0,64.0,58.02,58.51,22334
HIKAL,2008-07-24,58.81,59.85,58.67,58.67,2572
HIKAL,2008-07-25,59.33,59.33,56.71,56.99,7402
