symbol,date,open,high,low,close,volume
HITECHCORP,2008-06-09,78.5,78.5,67.0,73.95,258
HITECHCORP,2008-06-10,67.3,73.95,63.5,67.7,2495
HITECHCORP,2008-06-11,72.0,72.0,71.0,71.05,224
HITECHCORP,2008-06-12,65.15,75.85,65.15,71.1,341
HITECHCORP,2008-06-13,75.85,76.0,70.35,75.75,226
HITECHCORP,2008-06-16,69.0,86.5,69.0,73.2,229
HITECHCORP,2008-06-17,78.7,78.7,75.05,78.55,73
HITECHCORP,2008-06-18,74.3,74.65,74.3,74.5,3
HITECHCORP,2008-06-20,72.0,72.0,72.0,72.0,275
HITECHCORP,2008-06-23,72.0,75.0,72.0,75.0,470
HITECHCORP,2008-06-24,68.2,72.0,68.2,71.5,109
HITECHCORP,2008-06-27,64.1,64.1,64.05,64.05,150
HITECHCORP,2008-06-30,61.0,68.0,53.25,63.45,260
HITECHCORP,2008-07-01,59.35,59.35,59.35,59.35,1
HITECHCORP,2008-07-02,55.2,64.0,55.2,64.0,250
HITECHCORP,2008-07-04,57.9,57.9,57.85,57.85,100
HITECHCORP,2008-07-07,55.0,66.4,55.0,59.35,50
HITECHCORP,2008-07-08,70.4,70.4,60.0,69.5,3
HITECHCORP,2008-07-09,67.95,67.95,66.0,66.75,16
HITECHCORP,2008-07-14,61.3,63.2,61.25,62.6,82
HITECHCORP,2008-07-15,63.1,63.1,63.1,63.1,100
HITECHCORP,2008-07-16,73.0,73.0,60.55,65.35,210
HITECHCORP,2008-07-18,68.9,68.9,68.9,68.9,10
HITECHCORP,2008-07-23,60.35,77.4,60.0,65.35,2271
HITECHCORP,2008-07-24,68.5,70.0,65.5,65.5,185
HITECHCORP,2008-07-25,68.3,77.0,68.3,70.95,177
HITECHCORP,2008-07-28,78.9,82.1,78.9,82.0,255
HITECHCORP,2008-07-29,74.5,82.0,74.5,81.55,104
HITECHCORP,2008-07-30,73.45,82.0,73.45,82.0,28
HITECHCORP,2008-07-31,74.0,81.0,74.0,80.6,181
HITECHCORP,2008-08-01,74.1,74.1,74.1,74.1,150
HITECHCORP,2008-08-05,74.1,81.0,69.0,75.0,2491
HITECHCORP,2008-08-07,70.2,75.0,70.2,75.0,100
HITECHCORP,2008-08-08,70.1,81.0,70.1,81.0,100
HITECHCORP,2008-08-11,73.2,73.2,73.2,73.2,10
HITECHCORP,2008-08-13,70.2,79.8,70.2,79.8,2
HITECHCORP,2008-08-14,75.0,75.0,73.0,73.0,114
HITECHCORP,2008-08-19,68.25,78.25,68.25,71.1,10060
HITECHCORP,2008-08-22,68.1,68.1,68.1,68.1,50
HITECHCORP,2008-08-25,65.8,65.8,65.8,65.8,12
HITECHCORP,2008-08-27,70.0,70.0,64.05,70.0,15
HITECHCORP,2008-08-28,72.0,72.0,64.0,64.0,50
HITECHCORP,2008-09-04,62.45,69.95,62.45,69.95,158
HITECHCORP,2008-09-05,74.9,74.9,72.5,72.5,20
HITECHCORP,2008-09-12,65.0,74.6,57.3,68.2,78
HITECHCORP,2008-09-15,61.05,66.35,61.05,66.05,190
HITECHCORP,2008-09-19,65.4,65.4,65.4,65.4,10
HITECHCORP,2008-09-23,67.95,67.95,67.95,67.95,10
HITECHCORP,2008-09-24,60.2,60.2,60.2,60.2,10
HITECHCORP,2008-09-25,67.0,67.0,56.0,57.3,107
HITECHCORP,2008-09-29,56.0,56.0,56.0,56.0,3
HITECHCORP,2008-10-06,45.3,63.3,45.3,56.85,4232
HITECHCORP,2008-10-07,47.3,48.0,47.3,48.0,2
HITECHCORP,2008-10-08,48.15,48.15,46.5,47.3,300
HITECHCORP,2008-10-10,39.6,39.6,39.6,39.6,1
HITECHCORP,2008-10-13,46.95,47.55,46.95,47.55,202
HITECHCORP,2008-10-17,43.85,46.25,38.05,38.25,232
HITECHCORP,2008-10-23,45.8,45.8,37.05,37.15,205
HITECHCORP,2008-10-24,35.0,35.0,34.0,34.0,101
HITECHCORP,2008-10-27,27.25,27.3,27.25,27.3,306
HITECHCORP,2008-11-10,30.35,44.4,30.35,44.4,6646
HITECHCORP,2008-11-11,48.45,53.0,37.1,40.8,11092
HITECHCORP,2008-11-12,43.0,45.0,40.0,42.6,137299
HITECHCORP,2008-11-14,45.0,45.0,41.0,41.0,536
HITECHCORP,2008-11-17,40.0,44.75,40.0,40.05,427
HITECHCORP,2008-11-18,37.0,40.65,37.0,40.0,800
HITECHCORP,2008-11-19,40.0,40.0,35.0,36.05,254
HITECHCORP,2008-11-20,40.0,40.0,34.0,38.95,504
HITECHCORP,2008-11-21,39.0,39.0,33.0,35.05,754
HITECHCORP,2008-11-24,35.0,38.7,33.0,38.7,130
HITECHCORP,2008-11-25,44.95,44.95,31.05,34.75,629
HITECHCORP,2008-11-26,37.05,38.0,33.0,33.0,27
HITECHCORP,2008-11-28,34.0,35.95,33.05,35.75,181
HITECHCORP,2008-12-01,39.65,39.65,34.05,38.0,189
HITECHCORP,2008-12-02,36.0,36.9,33.0,33.5,338
HITECHCORP,2008-12-04,38.0,38.0,38.0,38.0,1
HITECHCORP,2008-12-05,33.1,42.9,33.1,38.85,323
HITECHCORP,2008-12-08,40.5,40.5,34.2,35.95,1289
HITECHCORP,2008-12-11,40.0,43.15,29.35,42.35,13048
HITECHCORP,2008-12-12,48.4,48.4,36.75,38.05,1333
HITECHCORP,2008-12-15,32.15,45.0,32.15,42.2,7121
HITECHCORP,2008-12-16,42.0,50.0,42.0,48.5,20427
HITECHCORP,2008-12-17,50.0,50.0,45.25,48.85,160
HITECHCORP,2008-12-18,44.2,46.4,44.2,45.7,40
HITECHCORP,2008-12-19,47.75,49.95,45.5,47.6,1196
HITECHCORP,2008-12-22,45.2,45.2,42.9,42.9,1350
HITECHCORP,2008-12-23,40.2,40.2,40.2,40.2,1000
HITECHCORP,2008-12-24,40.2,40.2,40.2,40.2,1000
HITECHCORP,2008-12-26,40.2,43.5,37.2,43.5,1401
HITECHCORP,2008-12-29,45.5,45.5,45.5,45.5,1
HITECHCORP,2008-12-31,41.0,41.0,41.0,41.0,1
HITECHCORP,2009-01-01,44.9,45.0,36.9,42.7,839
HITECHCORP,2009-01-02,39.2,45.0,38.45,40.3,5127
HITECHCORP,2009-01-05,40.0,41.9,37.05,41.9,385
HITECHCORP,2009-01-06,38.5,40.2,38.3,39.55,1250
HITECHCORP,2009-01-07,38.05,45.45,38.05,40.0,353
HITECHCORP,2009-01-09,40.2,42.0,32.25,34.05,1511
HITECHCORP,2009-01-12,38.0,38.0,38.0,38.0,130
HITECHCORP,2009-01-13,42.8,42.8,42.75,42.75,2
HITECHCORP,2009-01-14,38.0,46.05,35.15,36.3,557
HITECHCORP,2009-01-15,35.8,42.0,35.8,39.5,7
HITECHCORP,2009-01-16,34.1,44.9,34.1,40.2,1057
HITECHCORP,2009-01-19,36.0,39.0,36.0,38.5,118
HITECHCORP,2009-01-20,40.9,40.9,36.1,40.9,322
HITECHCORP,2009-01-21,36.2,39.9,36.2,38.1,102
HITECHCORP,2009-01-22,36.0,36.0,32.65,36.0,32
HITECHCORP,2009-01-23,34.0,38.5,33.85,33.85,354
HITECHCORP,2009-01-27,33.65,40.0,33.65,33.75,3302
HITECHCORP,2009-01-28,39.95,39.95,32.45,33.55,1780
HITECHCORP,2009-01-30,38.8,38.8,37.95,37.95,25
HITECHCORP,2009-02-03,32.0,32.5,32.0,32.5,101
HITECHCORP,2009-02-05,38.8,38.8,31.3,31.55,268
HITECHCORP,2009-02-06,35.0,37.35,30.65,34.85,504
HITECHCORP,2009-02-09,32.0,34.4,32.0,32.4,309
HITECHCORP,2009-02-10,36.95,36.95,36.95,36.95,2
HITECHCORP,2009-02-11,36.5,36.5,36.5,36.5,16
HITECHCORP,2009-02-12,32.55,40.95,32.55,35.3,110
HITECHCORP,2009-02-16,32.3,39.3,32.3,34.5,201
HITECHCORP,2009-02-17,39.9,39.9,34.6,36.9,2676
HITECHCORP,2009-02-18,40.9,43.7,36.6,38.45,1372
HITECHCORP,2009-02-20,38.0,41.5,32.8,34.8,571
HITECHCORP,2009-02-24,29.0,39.7,29.0,33.45,788
HITECHCORP,2009-02-25,34.9,35.0,32.2,33.65,1220
HITECHCORP,2009-02-26,32.0,32.0,32.0,32.0,33
HITECHCORP,2009-02-27,32.0,32.0,31.15,31.15,200
HITECHCORP,2009-03-03,30.7,34.7,30.5,33.85,1801
HITECHCORP,2009-03-04,31.8,35.5,31.8,33.85,256
HITECHCORP,2009-03-06,31.75,35.5,31.5,31.5,281
HITECHCORP,2009-03-12,29.05,29.05,26.0,26.85,2227
HITECHCORP,2009-03-13,30.7,30.7,27.1,27.35,3000
HITECHCORP,2009-03-16,26.0,26.0,26.0,26.0,1
HITECHCORP,2009-03-17,30.6,30.7,30.0,30.0,1101
HITECHCORP,2009-03-18,30.3,30.3,30.05,30.05,500
HITECHCORP,2009-03-19,25.75,34.9,25.75,29.0,1501
HITECHCORP,2009-03-24,30.15,33.0,30.05,31.45,449
HITECHCORP,2009-03-25,32.75,36.85,28.6,29.85,2153
HITECHCORP,2009-03-27,29.05,33.55,29.0,29.0,82
HITECHCORP,2009-03-30,28.5,33.9,28.0,33.9,155
HITECHCORP,2009-03-31,34.7,40.0,32.9,38.15,1804
HITECHCORP,2009-04-01,42.35,42.35,33.25,38.85,2301
HITECHCORP,2009-04-02,45.0,45.5,36.6,45.1,4251
HITECHCORP,2009-04-06,40.9,44.95,40.85,44.8,200
HITECHCORP,2009-04-08,40.35,43.0,40.35,42.6,893
HITECHCORP,2009-04-09,42.65,43.0,39.0,41.3,352
HITECHCORP,2009-04-13,41.5,41.5,39.3,41.35,111
HITECHCORP,2009-04-15,42.8,42.8,42.0,42.0,106
HITECHCORP,2009-04-16,45.0,45.0,38.55,38.55,229
HITECHCORP,2009-04-17,36.05,42.0,36.05,41.9,805
HITECHCORP,2009-04-20,39.45,42.0,39.45,41.25,659
HITECHCORP,2009-04-21,42.7,43.5,38.1,43.0,2215
HITECHCORP,2009-04-22,43.85,43.9,40.0,40.0,140
HITECHCORP,2009-04-23,40.05,40.05,39.0,39.0,148
HITECHCORP,2009-04-28,35.25,42.5,35.25,42.4,68
HITECHCORP,2009-04-29,38.4,38.55,38.4,38.5,170
HITECHCORP,2009-05-04,40.0,42.35,40.0,42.35,148
HITECHCORP,2009-05-05,43.0,43.05,43.0,43.0,255
HITECHCORP,2009-05-06,43.0,43.0,43.0,43.0,25
HITECHCORP,2009-05-07,39.95,42.95,39.95,41.45,60
