symbol,date,open,high,low,close,volume
HITECHPLAS,2016-01-01,178.25,188.95,173.4,183.3,80958
HITECHPLAS,2016-01-04,184.95,194.8,176.0,187.5,138328
HITECHPLAS,2016-01-05,189.0,209.0,185.65,208.5,768565
HITECHPLAS,2016-01-06,209.75,221.1,206.0,208.5,416989
HITECHPLAS,2016-01-07,204.45,207.7,188.1,189.9,132890
HITECHPLAS,2016-01-08,192.15,204.5,191.05,197.0,147620
HITECHPLAS,2016-01-11,192.0,198.8,189.0,194.7,60883
HITECHPLAS,2016-01-12,195.9,199.75,191.1,193.9,46303
HITECHPLAS,2016-01-13,195.0,196.5,170.0,180.0,98685
HITECHPLAS,2016-01-14,174.0,185.0,164.55,175.0,70361
HITECHPLAS,2016-01-15,176.5,181.7,158.1,158.1,43765
HITECHPLAS,2016-01-18,162.5,164.0,149.0,149.0,49353
HITECHPLAS,2016-01-19,151.9,160.55,145.35,155.3,49504
HITECHPLAS,2016-01-20,151.0,151.0,140.1,146.9,37694
HITECHPLAS,2016-01-21,150.8,167.0,150.8,159.95,79442
HITECHPLAS,2016-01-22,166.0,172.45,161.6,166.0,53156
HITECHPLAS,2016-01-25,167.0,173.4,165.4,168.6,29650
HITECHPLAS,2016-01-27,171.5,177.0,167.55,170.8,37903
HITECHPLAS,2016-01-28,170.0,175.8,166.5,167.3,15045
HITECHPLAS,2016-01-29,169.8,171.0,166.0,169.2,19325
HITECHPLAS,2016-02-01,171.4,173.65,165.6,165.6,11052
HITECHPLAS,2016-02-02,167.0,173.0,161.2,164.0,18225
HITECHPLAS,2016-02-03,162.0,162.8,157.0,160.3,12750
HITECHPLAS,2016-02-04,162.1,165.0,158.25,162.0,13036
HITECHPLAS,2016-02-05,158.55,164.0,157.0,158.2,22404
HITECHPLAS,2016-02-08,159.8,177.1,159.0,166.15,64037
HITECHPLAS,2016-02-09,164.9,170.8,162.5,167.9,15445
HITECHPLAS,2016-02-10,156.6,168.0,156.0,157.75,17365
HITECHPLAS,2016-02-11,157.8,159.95,144.0,148.95,16977
HITECHPLAS,2016-02-12,148.0,154.0,126.7,154.0,20712
HITECHPLAS,2016-02-15,155.1,164.8,155.0,155.0,20013
HITECHPLAS,2016-02-16,157.0,157.0,142.0,145.0,13661
HITECHPLAS,2016-02-17,145.0,149.6,135.3,149.0,21456
HITECHPLAS,2016-02-18,152.0,155.9,145.1,149.5,13758
HITECHPLAS,2016-02-19,147.0,154.1,147.0,152.0,11522
HITECHPLAS,2016-02-22,154.0,161.85,152.1,157.0,47221
HITECHPLAS,2016-02-23,157.0,157.85,142.1,146.0,25520
HITECHPLAS,2016-02-24,142.5,147.8,137.1,139.95,25588
HITECHPLAS,2016-02-25,140.9,143.8,139.0,140.0,7338
HITECHPLAS,2016-02-26,141.7,142.5,138.1,140.05,6275
HITECHPLAS,2016-02-29,141.0,143.5,136.0,138.0,15770
HITECHPLAS,2016-03-01,141.9,147.9,141.0,147.0,20169
HITECHPLAS,2016-03-02,153.95,156.0,149.0,151.25,22532
HITECHPLAS,2016-03-03,151.25,156.9,147.35,155.0,19421
HITECHPLAS,2016-03-04,153.0,165.0,150.7,163.0,37294
HITECHPLAS,2016-03-08,160.0,170.0,158.55,167.0,21007
HITECHPLAS,2016-03-09,165.85,188.0,162.45,179.0,151111
HITECHPLAS,2016-03-10,180.0,182.9,173.7,174.25,43350
HITECHPLAS,2016-03-11,173.1,175.0,166.15,172.3,22491
HITECHPLAS,2016-03-14,171.4,175.0,169.15,169.15,10143
HITECHPLAS,2016-03-15,172.0,185.75,170.1,175.7,54416
HITECHPLAS,2016-03-16,178.3,181.95,175.15,177.0,12839
HITECHPLAS,2016-03-17,179.75,183.95,175.15,176.0,35947
HITECHPLAS,2016-03-18,178.0,178.0,168.7,169.0,16213
HITECHPLAS,2016-03-21,172.15,173.75,169.25,169.25,8671
HITECHPLAS,2016-03-22,170.0,172.4,169.0,169.6,6099
HITECHPLAS,2016-03-23,169.6,177.0,166.0,170.0,13171
HITECHPLAS,2016-03-28,174.0,174.0,165.0,168.9,11315
HITECHPLAS,2016-03-29,166.7,167.0,157.65,160.2,11820
HITECHPLAS,2016-03-30,174.1,174.4,167.6,171.25,117848
HITECHPLAS,2016-03-31,169.05,175.85,162.35,167.0,36120
HITECHPLAS,2016-04-01,165.0,178.5,165.0,177.0,44648
HITECHPLAS,2016-04-04,178.0,178.9,170.65,175.5,10059
HITECHPLAS,2016-04-05,174.0,179.9,172.45,176.4,33398
HITECHPLAS,2016-04-06,175.5,180.0,175.1,177.1,34836
HITECHPLAS,2016-04-07,179.05,179.8,174.0,176.65,7322
HITECHPLAS,2016-04-08,176.65,182.15,174.6,180.5,23897
HITECHPLAS,2016-04-11,181.0,186.3,171.4,176.0,76140
HITECHPLAS,2016-04-12,178.0,182.0,176.0,176.05,25483
HITECHPLAS,2016-04-13,177.95,181.85,173.55,174.0,66893
HITECHPLAS,2016-04-18,175.0,175.0,172.0,173.95,8771
HITECHPLAS,2016-04-20,171.5,173.6,167.2,168.0,19803
HITECHPLAS,2016-04-21,169.3,171.9,168.0,169.5,12358
HITECHPLAS,2016-04-22,168.75,173.0,168.0,169.95,11336
HITECHPLAS,2016-04-25,170.55,170.55,164.1,165.0,13303
HITECHPLAS,2016-04-26,162.0,165.5,162.0,164.95,20504
HITECHPLAS,2016-04-27,163.5,165.1,163.5,165.0,18965
HITECHPLAS,2016-04-28,165.95,165.95,162.95,163.0,12569
HITECHPLAS,2016-04-29,162.25,164.75,162.0,163.25,7954
HITECHPLAS,2016-05-02,162.0,168.55,162.0,166.05,21460
HITECHPLAS,2016-05-03,166.45,175.0,166.4,171.0,55748
HITECHPLAS,2016-05-04,172.0,177.4,168.05,169.45,103573
HITECHPLAS,2016-05-05,170.8,179.5,170.75,175.5,72582
HITECHPLAS,2016-05-06,174.9,174.9,168.2,170.95,18090
HITECHPLAS,2016-05-09,172.0,174.75,169.2,170.3,12255
HITECHPLAS,2016-05-10,171.95,173.5,170.05,172.6,8140
HITECHPLAS,2016-05-11,170.0,174.9,168.0,169.6,20710
HITECHPLAS,2016-05-12,170.0,175.0,170.0,170.0,16586
HITECHPLAS,2016-05-13,169.0,170.1,168.15,168.2,4851
HITECHPLAS,2016-05-16,170.7,178.95,170.0,173.8,54800
HITECHPLAS,2016-05-17,173.0,175.0,170.7,170.7,6516
HITECHPLAS,2016-05-18,172.45,172.8,167.0,168.1,15333
HITECHPLAS,2016-05-19,168.1,169.0,164.55,165.0,9527
HITECHPLAS,2016-05-20,164.9,167.2,160.25,160.3,14863
HITECHPLAS,2016-05-23,162.7,167.0,162.7,164.95,19189
HITECHPLAS,2016-05-24,159.0,159.0,148.75,153.5,49092
HITECHPLAS,2016-05-25,155.0,155.0,151.1,153.5,10669
HITECHPLAS,2016-05-26,150.6,155.6,150.6,153.6,6687
HITECHPLAS,2016-05-27,153.3,158.0,153.3,155.1,4768
HITECHPLAS,2016-05-30,157.0,157.6,152.85,155.0,9966
HITECHPLAS,2016-05-31,154.65,156.6,151.55,152.0,11171
HITECHPLAS,2016-06-01,152.0,159.0,152.0,156.1,10859
HITECHPLAS,2016-06-02,155.25,156.9,155.25,155.5,1573
HITECHPLAS,2016-06-03,156.0,159.9,154.3,154.5,7864
HITECHPLAS,2016-06-06,154.2,155.0,151.0,152.5,7780
HITECHPLAS,2016-06-07,152.65,157.0,150.45,154.05,9882
HITECHPLAS,2016-06-08,154.0,155.85,153.0,153.45,5790
HITECHPLAS,2016-06-09,152.35,155.5,152.35,153.15,3209
HITECHPLAS,2016-06-10,154.85,154.9,152.35,152.35,2996
HITECHPLAS,2016-06-13,152.05,153.4,150.85,153.0,667
HITECHPLAS,2016-06-14,153.9,153.9,150.3,152.0,8612
HITECHPLAS,2016-06-15,150.5,155.8,150.5,150.7,18790
HITECHPLAS,2016-06-16,151.25,158.0,150.7,153.85,16164
HITECHPLAS,2016-06-17,153.5,155.4,151.7,151.8,3864
HITECHPLAS,2016-06-20,150.0,153.05,150.0,152.0,3506
HITECHPLAS,2016-06-21,151.1,155.4,151.1,152.1,6839
HITECHPLAS,2016-06-22,152.7,154.9,152.2,153.2,4124
HITECHPLAS,2016-06-23,153.25,155.95,151.0,154.0,3590
HITECHPLAS,2016-06-24,152.0,153.4,146.05,152.8,20023
HITECHPLAS,2016-06-27,153.85,155.0,151.75,154.0,7299
HITECHPLAS,2016-06-28,153.0,155.75,153.0,154.1,5645
HITECHPLAS,2016-06-29,155.0,168.05,155.0,165.0,54368
HITECHPLAS,2016-06-30,167.7,167.7,161.15,163.0,16798
HITECHPLAS,2016-07-01,163.35,164.4,162.0,163.5,11086
HITECHPLAS,2016-07-04,160.45,171.2,160.45,168.0,24873
HITECHPLAS,2016-07-05,168.5,169.0,164.1,165.8,7643
HITECHPLAS,2016-07-07,168.0,171.0,164.15,164.3,10893
HITECHPLAS,2016-07-08,164.05,167.0,163.5,163.5,3321
HITECHPLAS,2016-07-11,164.75,167.95,160.1,162.95,13783
HITECHPLAS,2016-07-12,161.0,162.05,157.0,159.9,7588
HITECHPLAS,2016-07-13,157.0,159.95,153.6,154.4,9355
HITECHPLAS,2016-07-14,155.9,159.75,155.1,157.5,8845
HITECHPLAS,2016-07-15,157.5,158.85,155.5,156.0,10387
HITECHPLAS,2016-07-18,156.05,162.25,149.0,152.3,105776
HITECHPLAS,2016-07-19,152.0,155.95,151.95,152.0,12019
HITECHPLAS,2016-07-20,152.0,155.9,152.0,154.1,5366
HITECHPLAS,2016-07-21,155.95,156.0,152.05,154.0,22321
HITECHPLAS,2016-07-22,154.95,155.3,152.9,153.4,1899
HITECHPLAS,2016-07-25,155.95,164.9,154.35,159.0,26107
HITECHPLAS,2016-07-26,155.0,160.0,154.05,155.5,8270
HITECHPLAS,2016-07-27,155.0,156.9,153.1,154.0,6657
HITECHPLAS,2016-07-28,155.95,163.2,155.0,159.0,31331
HITECHPLAS,2016-07-29,156.5,161.9,156.5,158.9,12169
HITECHPLAS,2016-08-01,157.0,160.75,154.05,158.4,25198
HITECHPLAS,2016-08-02,157.1,160.5,157.1,157.9,18645
HITECHPLAS,2016-08-03,163.4,163.4,152.05,153.75,43951
HITECHPLAS,2016-08-04,154.0,155.0,152.6,154.2,4360
HITECHPLAS,2016-08-05,153.1,154.6,150.5,151.0,13489
HITECHPLAS,2016-08-08,153.75,153.75,151.5,152.0,7557
HITECHPLAS,2016-08-09,151.05,154.6,150.3,153.0,12436
HITECHPLAS,2016-08-10,154.0,154.0,147.65,147.7,10857
HITECHPLAS,2016-08-11,149.0,149.5,144.2,147.2,8525
HITECHPLAS,2016-08-12,146.15,147.5,141.15,143.0,8326
HITECHPLAS,2016-08-16,142.0,143.95,141.1,143.0,4472
HITECHPLAS,2016-08-17,143.95,143.95,141.05,143.0,7132
HITECHPLAS,2016-08-18,142.5,148.95,142.05,146.55,17748
HITECHPLAS,2016-08-19,148.5,149.5,145.15,145.95,4731
HITECHPLAS,2016-08-22,142.65,148.8,142.65,148.0,6317
HITECHPLAS,2016-08-23,146.5,148.8,146.05,146.05,8457
HITECHPLAS,2016-08-24,147.0,148.0,145.05,145.05,4983
HITECHPLAS,2016-08-25,145.0,147.95,145.0,146.0,4029
HITECHPLAS,2016-08-26,147.5,149.0,146.95,148.1,17793
HITECHPLAS,2016-08-29,148.8,177.7,148.8,177.7,486261
HITECHPLAS,2016-08-30,186.0,186.4,173.5,174.2,328903
HITECHPLAS,2016-08-31,179.9,184.5,170.1,171.95,63547
HITECHPLAS,2016-09-01,173.85,178.3,165.6,167.05,56906
HITECHPLAS,2016-09-02,167.8,182.6,166.35,177.35,125090
HITECHPLAS,2016-09-06,175.0,181.5,174.95,176.0,31595
HITECHPLAS,2016-09-07,176.0,182.45,173.95,175.3,35242
HITECHPLAS,2016-09-08,176.1,181.8,174.5,176.0,30984
HITECHPLAS,2016-09-09,173.8,178.75,170.65,172.0,12233
HITECHPLAS,2016-09-12,168.3,169.95,164.0,164.0,16703
HITECHPLAS,2016-09-14,165.95,175.65,165.4,172.5,33338
HITECHPLAS,2016-09-15,173.95,174.35,170.6,171.0,9562
