symbol,date,open,high,low,close,volume
HLVLTD,2008-06-09,40.0,40.0,38.0,38.7,828771
HLVLTD,2008-06-10,38.6,38.9,37.6,38.05,1672322
HLVLTD,2008-06-11,38.35,39.25,38.0,38.2,1302200
HLVLTD,2008-06-12,38.0,38.45,36.75,38.0,1332957
HLVLTD,2008-06-13,38.3,41.3,38.05,39.7,2928391
HLVLTD,2008-06-16,40.1,41.8,40.1,40.65,914625
HLVLTD,2008-06-17,40.9,42.7,40.25,41.9,1913326
HLVLTD,2008-06-18,42.5,42.9,40.85,41.1,1226608
HLVLTD,2008-06-19,40.2,40.65,39.4,39.65,783825
HLVLTD,2008-06-20,40.0,40.8,38.15,38.3,1087058
HLVLTD,2008-06-23,38.05,38.35,37.0,37.8,982026
HLVLTD,2008-06-24,37.3,38.15,36.6,36.95,727373
HLVLTD,2008-06-25,36.7,36.7,35.5,36.15,1012724
HLVLTD,2008-06-26,36.7,37.05,34.7,35.2,2962878
HLVLTD,2008-06-27,34.8,34.8,33.35,34.2,645987
HLVLTD,2008-06-30,34.5,35.0,32.15,33.6,1078488
HLVLTD,2008-07-01,33.6,33.6,29.95,30.1,1556440
HLVLTD,2008-07-02,30.1,32.8,30.0,32.5,1161936
HLVLTD,2008-07-03,32.0,32.0,29.55,29.8,1577704
HLVLTD,2008-07-04,29.8,30.55,29.1,30.05,2396737
HLVLTD,2008-07-07,28.5,32.9,28.5,30.55,937734
HLVLTD,2008-07-08,30.05,30.5,29.5,30.3,608650
HLVLTD,2008-07-09,30.95,31.9,30.95,31.7,1126918
HLVLTD,2008-07-10,31.7,33.2,31.0,32.35,1006561
HLVLTD,2008-07-11,33.1,34.0,30.9,31.5,1014981
HLVLTD,2008-07-14,31.5,31.6,30.9,31.2,616024
HLVLTD,2008-07-15,30.0,31.0,29.05,29.9,616456
HLVLTD,2008-07-16,29.9,30.75,28.95,29.45,694916
HLVLTD,2008-07-17,30.5,30.7,29.6,30.25,414427
HLVLTD,2008-07-18,30.5,30.9,30.05,30.65,437736
HLVLTD,2008-07-21,31.4,32.1,30.25,30.6,909184
HLVLTD,2008-07-22,30.5,31.9,30.1,31.35,682369
HLVLTD,2008-07-23,33.6,33.8,32.1,33.35,1195887
HLVLTD,2008-07-24,34.2,34.35,32.2,32.6,982216
HLVLTD,2008-07-25,31.05,33.25,31.05,32.6,575255
HLVLTD,2008-07-28,32.6,33.3,32.25,32.7,1039603
HLVLTD,2008-07-29,32.5,32.9,31.15,32.1,1001104
HLVLTD,2008-07-30,32.6,32.9,32.1,32.35,566387
HLVLTD,2008-07-31,32.7,32.7,31.25,31.5,1074857
HLVLTD,2008-08-01,31.5,31.7,30.95,31.45,1771244
HLVLTD,2008-08-04,31.5,33.45,31.2,32.15,3529324
HLVLTD,2008-08-05,32.7,34.1,32.7,33.85,3800026
HLVLTD,2008-08-06,34.95,35.8,33.0,33.2,1713109
HLVLTD,2008-08-07,33.0,33.45,32.5,32.85,1035705
HLVLTD,2008-08-08,32.85,33.45,32.5,33.1,869821
HLVLTD,2008-08-11,33.5,33.7,33.2,33.3,737671
HLVLTD,2008-08-12,33.65,34.2,33.05,33.35,1822410
HLVLTD,2008-08-13,33.3,34.05,33.0,33.2,1010068
HLVLTD,2008-08-14,33.25,33.35,32.0,32.1,748212
HLVLTD,2008-08-18,32.1,32.4,31.45,31.55,554115
HLVLTD,2008-08-19,31.1,31.7,30.55,30.85,917050
HLVLTD,2008-08-20,31.05,31.85,30.8,31.55,522541
HLVLTD,2008-08-21,31.85,31.85,30.55,30.75,415282
HLVLTD,2008-08-22,31.05,33.15,31.05,32.5,4963083
HLVLTD,2008-08-25,33.0,33.85,32.8,33.0,2981680
HLVLTD,2008-08-26,31.55,33.15,31.55,32.9,824683
HLVLTD,2008-08-27,32.9,33.8,32.9,33.25,2666755
HLVLTD,2008-08-28,33.0,33.6,30.6,31.2,2677308
HLVLTD,2008-08-29,31.8,32.35,31.6,32.1,721283
HLVLTD,2008-09-01,31.9,32.45,31.5,32.25,829584
HLVLTD,2008-09-02,32.5,32.8,32.25,32.45,709894
HLVLTD,2008-09-04,32.45,33.6,31.9,32.95,1383919
HLVLTD,2008-09-05,32.15,35.15,31.95,33.8,1918311
HLVLTD,2008-09-08,35.3,36.7,34.4,34.85,3037503
HLVLTD,2008-09-09,34.85,34.95,34.1,34.45,1111542
HLVLTD,2008-09-10,34.35,34.55,33.4,33.75,772320
HLVLTD,2008-09-11,33.65,34.5,33.3,33.95,707003
HLVLTD,2008-09-12,35.0,35.0,32.5,33.15,647201
HLVLTD,2008-09-15,32.4,32.75,30.35,31.2,886524
HLVLTD,2008-09-16,30.25,31.75,30.0,31.45,653961
HLVLTD,2008-09-17,31.75,31.85,30.35,30.7,661994
HLVLTD,2008-09-18,30.0,30.75,28.5,30.5,759558
HLVLTD,2008-09-19,31.5,31.65,30.25,30.4,1457486
HLVLTD,2008-09-22,30.75,31.5,29.65,29.9,826279
HLVLTD,2008-09-23,29.15,30.1,28.1,29.85,806838
HLVLTD,2008-09-24,29.7,30.25,29.5,29.9,666593
HLVLTD,2008-09-25,29.95,30.0,28.7,29.05,1816492
HLVLTD,2008-09-26,29.0,29.75,28.8,28.95,902836
HLVLTD,2008-09-29,28.95,29.2,27.25,28.1,1498795
HLVLTD,2008-09-30,28.1,29.35,24.1,28.65,1655394
HLVLTD,2008-10-01,29.0,29.35,28.2,29.05,1023642
HLVLTD,2008-10-03,29.0,30.05,28.1,29.55,1048272
HLVLTD,2008-10-06,29.0,29.0,27.85,28.25,943107
HLVLTD,2008-10-07,28.15,28.9,24.8,25.1,1158254
HLVLTD,2008-10-08,24.8,24.8,21.0,24.3,2127431
HLVLTD,2008-10-10,23.85,24.35,20.5,23.9,1177861
HLVLTD,2008-10-13,24.0,26.4,23.65,25.85,1155025
HLVLTD,2008-10-14,27.95,28.2,26.6,27.3,1543984
HLVLTD,2008-10-15,26.35,26.9,26.0,26.05,1479256
HLVLTD,2008-10-16,24.0,28.25,24.0,27.85,1220286
HLVLTD,2008-10-17,28.9,28.9,27.5,27.85,1726388
HLVLTD,2008-10-20,27.0,28.1,26.8,27.2,1564104
HLVLTD,2008-10-21,28.0,30.1,27.15,28.7,1490952
HLVLTD,2008-10-22,28.0,28.85,26.1,28.55,1564952
HLVLTD,2008-10-23,28.0,28.65,26.3,27.75,1088873
HLVLTD,2008-10-24,27.95,27.95,26.0,26.15,1427298
HLVLTD,2008-10-27,25.35,27.2,24.1,26.8,1435724
HLVLTD,2008-10-28,27.15,28.2,27.15,27.85,157893
HLVLTD,2008-10-29,28.25,28.6,26.65,28.2,964119
HLVLTD,2008-10-31,28.3,29.25,27.6,28.65,627483
HLVLTD,2008-11-03,29.1,29.95,27.8,27.95,509119
HLVLTD,2008-11-04,27.5,28.75,26.9,28.2,714199
HLVLTD,2008-11-05,29.0,29.35,27.05,27.25,502493
HLVLTD,2008-11-06,26.1,27.0,23.9,24.7,4038149
HLVLTD,2008-11-07,25.0,25.4,23.8,24.7,520280
HLVLTD,2008-11-10,25.0,26.4,24.8,25.15,743109
HLVLTD,2008-11-11,25.0,25.65,23.75,23.95,663154
HLVLTD,2008-11-12,23.5,24.2,23.15,24.0,348832
HLVLTD,2008-11-14,24.8,24.8,21.75,22.15,1916035
HLVLTD,2008-11-17,22.3,22.7,19.9,21.0,1056347
HLVLTD,2008-11-18,21.0,21.8,19.95,20.35,1865536
HLVLTD,2008-11-19,20.95,21.0,20.2,20.75,554575
HLVLTD,2008-11-20,20.0,20.75,19.8,20.5,504751
HLVLTD,2008-11-21,20.5,20.9,20.0,20.4,392539
HLVLTD,2008-11-24,20.0,20.7,18.85,19.1,1651770
HLVLTD,2008-11-25,19.0,19.9,18.6,18.9,419751
HLVLTD,2008-11-26,18.7,19.2,17.45,17.9,1850652
HLVLTD,2008-11-28,18.6,18.6,16.9,17.4,1155885
HLVLTD,2008-12-01,17.8,19.2,17.25,18.1,730742
HLVLTD,2008-12-02,17.5,18.1,17.25,17.8,354236
HLVLTD,2008-12-03,18.45,18.45,17.7,18.0,390426
HLVLTD,2008-12-04,18.1,19.05,17.95,18.6,785321
HLVLTD,2008-12-05,18.9,19.8,18.6,18.85,582247
HLVLTD,2008-12-08,20.0,20.0,18.6,18.75,360173
HLVLTD,2008-12-10,19.25,19.25,18.75,19.05,456084
HLVLTD,2008-12-11,19.05,19.8,18.85,19.35,393096
HLVLTD,2008-12-12,19.75,20.5,18.8,19.9,520918
HLVLTD,2008-12-15,20.5,22.6,19.55,22.25,934266
HLVLTD,2008-12-16,22.0,22.8,21.7,22.15,431573
HLVLTD,2008-12-17,22.5,22.9,20.5,20.9,404286
HLVLTD,2008-12-18,20.5,22.1,20.5,21.45,430864
HLVLTD,2008-12-19,21.2,22.1,21.2,21.6,357428
HLVLTD,2008-12-22,21.0,23.15,19.8,20.8,1102409
HLVLTD,2008-12-23,20.3,20.9,19.75,20.05,409771
HLVLTD,2008-12-24,19.9,20.0,18.75,19.0,828029
HLVLTD,2008-12-26,19.0,19.9,17.4,17.55,2318438
HLVLTD,2008-12-29,17.75,18.8,17.5,18.25,1188101
HLVLTD,2008-12-30,18.75,19.2,18.3,18.85,739791
HLVLTD,2008-12-31,19.5,19.65,18.9,19.05,372762
HLVLTD,2009-01-01,19.0,19.65,19.0,19.6,328588
HLVLTD,2009-01-02,20.0,22.0,20.0,20.55,1711103
HLVLTD,2009-01-05,21.05,21.6,20.5,21.35,1253853
HLVLTD,2009-01-06,21.4,21.65,20.6,20.95,795884
HLVLTD,2009-01-07,20.95,22.05,18.8,20.8,1223230
HLVLTD,2009-01-09,21.0,22.85,19.25,20.0,1241338
HLVLTD,2009-01-12,20.9,20.9,18.8,19.25,506026
HLVLTD,2009-01-13,19.5,19.9,18.5,18.95,590226
HLVLTD,2009-01-14,19.0,19.6,19.0,19.4,327566
HLVLTD,2009-01-15,19.0,19.7,18.05,19.2,422026
HLVLTD,2009-01-16,19.5,19.65,18.85,18.95,358885
HLVLTD,2009-01-19,19.0,19.3,18.65,19.05,336922
HLVLTD,2009-01-20,18.75,19.1,18.7,18.95,266521
HLVLTD,2009-01-21,18.95,19.2,18.7,18.8,279374
HLVLTD,2009-01-22,18.9,19.0,17.6,17.95,450499
HLVLTD,2009-01-23,17.95,18.2,17.55,17.7,307231
HLVLTD,2009-01-27,17.85,18.25,17.7,17.8,503097
HLVLTD,2009-01-28,18.25,18.25,17.65,17.75,276372
HLVLTD,2009-01-29,18.0,18.0,17.2,17.6,563911
HLVLTD,2009-01-30,17.5,18.25,17.3,18.1,301855
HLVLTD,2009-02-02,18.1,18.25,17.8,17.85,243931
HLVLTD,2009-02-03,18.0,18.2,17.6,17.7,237136
HLVLTD,2009-02-04,17.8,21.0,16.5,17.9,1658616
HLVLTD,2009-02-05,18.2,20.25,18.1,18.8,2143602
HLVLTD,2009-02-06,18.8,19.45,18.35,18.65,489926
