symbol,date,open,high,low,close,volume
HNDFDS,2019-08-20,80.2,84.96,80.2,81.99,9175
HNDFDS,2019-08-21,80.4,83.0,80.0,80.1,5200
HNDFDS,2019-08-22,78.0,81.37,76.6,79.44,5385
HNDFDS,2019-08-23,76.6,79.01,76.6,78.89,3925
HNDFDS,2019-08-26,81.8,84.0,78.0,79.01,8195
HNDFDS,2019-08-27,83.57,90.98,80.2,89.8,119740
HNDFDS,2019-08-28,90.98,92.3,87.0,87.14,29005
HNDFDS,2019-08-29,89.98,89.98,83.14,86.04,9650
HNDFDS,2019-08-30,86.01,92.01,83.6,91.61,24710
HNDFDS,2019-09-03,92.8,97.0,88.01,93.9,72755
HNDFDS,2019-09-04,91.71,103.0,91.71,101.72,474115
HNDFDS,2019-09-05,102.0,104.0,97.41,100.15,79410
HNDFDS,2019-09-06,103.0,103.0,99.24,101.82,40510
HNDFDS,2019-09-09,107.2,107.2,100.0,101.55,88835
HNDFDS,2019-09-11,101.56,103.52,98.99,100.36,26375
HNDFDS,2019-09-12,100.69,102.0,97.2,100.73,51550
HNDFDS,2019-09-13,103.0,103.0,99.12,100.03,11550
HNDFDS,2019-09-16,99.0,100.8,97.03,98.84,29450
HNDFDS,2019-09-17,98.42,98.42,94.0,94.0,6985
HNDFDS,2019-09-18,94.0,97.6,89.3,97.0,13450
HNDFDS,2019-09-19,92.61,99.2,92.2,97.0,3885
HNDFDS,2019-09-20,97.0,100.0,95.0,97.63,8360
HNDFDS,2019-09-23,98.22,99.78,94.2,96.1,6935
HNDFDS,2019-09-24,96.22,100.9,95.0,100.9,9330
HNDFDS,2019-09-25,101.85,102.0,99.2,99.41,10785
HNDFDS,2019-09-26,102.79,102.79,98.11,99.4,2935
HNDFDS,2019-09-27,96.61,104.37,96.61,104.37,8655
HNDFDS,2019-09-30,104.37,108.0,101.04,106.05,33010
HNDFDS,2019-10-01,102.21,110.5,102.21,106.0,31390
HNDFDS,2019-10-03,105.0,109.0,101.2,106.55,6000
HNDFDS,2019-10-04,109.2,109.2,103.1,105.5,10700
HNDFDS,2019-10-07,103.49,107.37,103.49,105.64,3815
HNDFDS,2019-10-09,109.98,109.98,103.31,106.62,29315
HNDFDS,2019-10-10,109.79,109.79,105.11,106.36,5205
HNDFDS,2019-10-11,108.19,108.19,105.4,106.32,6720
HNDFDS,2019-10-14,107.76,107.77,102.2,105.78,3180
HNDFDS,2019-10-15,104.41,107.59,104.0,107.59,6905
HNDFDS,2019-10-16,104.13,107.2,104.1,107.0,9775
HNDFDS,2019-10-17,107.89,111.4,105.22,109.11,27565
HNDFDS,2019-10-18,105.61,114.56,105.61,114.56,18795
HNDFDS,2019-10-22,118.0,120.28,114.0,114.47,38905
HNDFDS,2019-10-23,115.01,120.19,112.2,120.11,116420
HNDFDS,2019-10-24,125.39,125.39,115.21,116.0,32770
HNDFDS,2019-10-25,110.4,119.8,110.4,117.01,10515
HNDFDS,2019-10-27,120.75,120.75,117.0,119.41,4020
HNDFDS,2019-10-29,119.51,119.51,116.0,117.2,8230
HNDFDS,2019-10-30,112.0,119.99,112.0,116.31,15560
HNDFDS,2019-10-31,114.03,120.0,114.03,119.45,2410
HNDFDS,2019-11-01,119.6,121.8,117.4,121.13,4085
HNDFDS,2019-11-04,121.4,127.18,120.0,126.2,29170
HNDFDS,2019-11-05,129.59,129.59,122.0,122.98,9185
HNDFDS,2019-11-06,122.01,129.12,122.01,127.15,7430
HNDFDS,2019-11-07,124.05,128.0,124.05,125.33,3695
HNDFDS,2019-11-08,124.6,128.0,123.01,124.84,9245
HNDFDS,2019-11-11,127.99,131.0,122.05,128.04,18610
HNDFDS,2019-11-13,130.0,134.44,128.0,132.74,24920
HNDFDS,2019-11-14,135.6,135.6,126.3,128.19,11345
HNDFDS,2019-11-15,122.4,130.8,121.8,130.03,10905
HNDFDS,2019-11-18,128.0,132.39,123.62,127.39,5115
HNDFDS,2019-11-19,129.96,129.96,125.0,125.64,11475
HNDFDS,2019-11-20,125.4,130.0,120.2,125.48,6465
HNDFDS,2019-11-21,122.2,127.96,122.2,125.12,7000
HNDFDS,2019-11-22,123.8,129.0,122.2,125.27,4175
HNDFDS,2019-11-25,127.6,127.8,122.06,123.28,7430
HNDFDS,2019-11-26,122.1,128.0,117.43,118.37,19095
HNDFDS,2019-11-27,118.4,122.49,118.2,118.46,15475
HNDFDS,2019-11-28,118.4,119.98,116.0,117.27,9660
