symbol,date,open,high,low,close,volume
HOMESFY,2023-01-16,418.95,460.0,350.55,450.0,225602
HOMESFY,2023-01-17,449.0,511.9,449.0,511.9,128401
HOMESFY,2023-01-18,501.0,604.9,500.0,582.3,93601
HOMESFY,2023-01-19,557.0,557.0,524.1,524.1,24601
HOMESFY,2023-01-20,485.05,553.5,471.7,500.0,57602
HOMESFY,2023-01-23,490.0,490.0,456.0,464.0,30001
HOMESFY,2023-01-24,483.9,510.0,460.0,474.0,25802
HOMESFY,2023-01-25,489.95,490.0,428.75,451.0,50402
HOMESFY,2023-01-27,472.95,473.25,431.55,473.0,65401
HOMESFY,2023-01-30,450.0,491.55,450.0,480.0,38401
HOMESFY,2023-01-31,486.0,504.0,466.05,504.0,14401
HOMESFY,2023-02-01,529.0,529.2,509.0,518.0,44401
HOMESFY,2023-02-02,494.55,535.0,487.7,500.0,23401
HOMESFY,2023-02-03,513.5,521.85,490.0,521.85,11401
HOMESFY,2023-02-06,528.9,547.9,528.9,547.9,9001
HOMESFY,2023-02-07,575.25,575.25,574.9,575.25,16201
HOMESFY,2023-02-08,604.0,604.0,602.0,604.0,14401
HOMESFY,2023-02-09,634.2,634.2,600.0,627.0,65402
HOMESFY,2023-02-10,636.5,636.5,588.65,588.65,20401
HOMESFY,2023-02-13,559.25,559.25,559.25,559.25,10801
HOMESFY,2023-02-14,533.0,533.05,531.3,531.3,7802
HOMESFY,2023-02-15,506.0,557.85,504.75,557.85,27601
HOMESFY,2023-02-16,557.85,570.0,529.95,529.95,9601
HOMESFY,2023-02-17,520.0,527.75,504.2,504.2,9601
HOMESFY,2023-02-20,489.05,500.0,489.05,492.05,7801
HOMESFY,2023-02-21,500.0,506.9,499.0,506.9,3601
HOMESFY,2023-02-22,495.5,505.95,479.7,479.7,7802
HOMESFY,2023-02-23,462.15,479.8,455.8,455.8,25201
HOMESFY,2023-02-24,433.1,433.1,433.05,433.05,6602
HOMESFY,2023-02-27,412.4,415.1,411.4,411.4,13202
