symbol,date,open,high,low,close,volume
IBLFL,2024-01-31,68.9,73.85,67.0,68.5,852003
IBLFL,2024-02-01,68.95,70.0,62.0,66.0,518002
IBLFL,2024-02-02,67.5,69.35,64.45,66.7,454001
IBLFL,2024-02-05,65.65,65.65,62.0,62.15,274001
IBLFL,2024-02-06,60.65,63.6,58.7,58.7,276001
IBLFL,2024-02-07,60.05,61.6,59.1,60.1,236001
IBLFL,2024-02-08,61.7,63.75,60.9,61.1,126001
IBLFL,2024-02-09,61.1,62.7,60.2,61.0,136001
IBLFL,2024-02-12,61.6,62.15,59.5,59.5,70001
IBLFL,2024-02-13,56.1,60.0,56.1,58.55,74001
IBLFL,2024-02-14,59.0,63.8,59.0,62.15,146001
IBLFL,2024-02-15,63.0,63.45,61.15,61.3,64001
IBLFL,2024-02-16,60.5,62.2,60.5,61.25,28001
IBLFL,2024-02-19,61.2,62.25,59.5,59.5,94001
IBLFL,2024-02-20,60.5,61.35,60.05,61.3,42001
IBLFL,2024-02-21,60.55,61.5,60.0,60.0,20001
IBLFL,2024-02-22,60.2,60.45,59.15,59.95,48002
IBLFL,2024-02-23,59.35,59.5,59.0,59.0,40001
IBLFL,2024-02-26,59.0,59.25,59.0,59.0,52002
IBLFL,2024-02-27,59.05,62.0,58.95,59.2,160001
IBLFL,2024-02-28,60.95,60.95,56.0,56.65,126001
IBLFL,2024-02-29,56.15,58.4,54.9,57.35,74001
IBLFL,2024-03-01,57.6,62.5,56.95,60.0,124001
IBLFL,2024-03-04,58.0,59.0,58.0,58.0,40001
IBLFL,2024-03-05,59.55,59.7,56.3,56.4,62001
IBLFL,2024-03-06,56.3,57.4,53.7,54.5,62001
IBLFL,2024-03-07,54.05,56.3,54.05,55.55,26001
IBLFL,2024-03-11,54.15,55.85,54.0,54.0,26001
IBLFL,2024-03-12,53.9,54.0,50.0,50.0,82001
IBLFL,2024-03-13,50.15,53.75,49.9,49.9,64001
IBLFL,2024-03-14,50.0,52.0,47.7,49.0,76001
IBLFL,2024-03-15,48.0,48.2,45.25,46.25,114001
IBLFL,2024-03-18,46.25,48.95,46.25,48.95,20001
IBLFL,2024-03-19,47.0,50.3,47.0,48.6,22001
IBLFL,2024-03-20,48.6,50.4,47.65,47.65,46001
IBLFL,2024-03-21,49.5,50.8,49.5,50.0,20001
IBLFL,2024-03-22,49.95,50.0,48.3,48.3,24001
IBLFL,2024-03-26,48.55,48.55,48.05,48.05,18001
IBLFL,2024-03-27,48.2,48.2,47.5,48.0,40001
IBLFL,2024-03-28,45.55,54.0,45.55,51.7,78001
IBLFL,2024-04-01,54.65,55.0,52.05,54.15,32001
IBLFL,2024-04-02,55.0,55.95,53.35,55.0,56001
IBLFL,2024-04-03,55.0,55.75,53.65,54.2,46001
IBLFL,2024-04-04,55.25,55.25,54.45,54.45,12001
IBLFL,2024-04-05,55.2,55.8,54.75,55.8,32001
IBLFL,2024-04-08,56.0,56.0,55.0,55.0,8001
IBLFL,2024-04-09,55.0,55.0,52.1,52.1,16001
IBLFL,2024-04-10,54.25,54.95,52.65,52.65,12001
IBLFL,2024-04-12,54.95,54.95,52.0,52.0,12001
IBLFL,2024-04-15,52.0,52.0,51.5,51.85,12001
IBLFL,2024-04-16,51.85,52.0,50.6,52.0,16001
IBLFL,2024-04-18,52.5,52.5,50.5,51.45,26001
IBLFL,2024-04-19,50.15,58.85,50.15,54.55,72001
IBLFL,2024-04-22,55.8,55.95,53.35,55.5,46001
IBLFL,2024-04-23,55.25,57.0,51.65,55.4,90001
IBLFL,2024-04-24,55.0,57.95,53.0,53.7,40001
IBLFL,2024-04-25,53.7,53.95,53.2,53.95,22001
IBLFL,2024-04-26,52.5,53.5,52.5,52.6,72001
IBLFL,2024-04-29,52.95,53.9,52.5,53.9,22002
IBLFL,2024-04-30,52.9,54.75,52.5,53.5,58001
