symbol,date,open,high,low,close,volume
ICICIGOLD,2018-04-12,285.0,286.9,282.4,284.05,2967
ICICIGOLD,2018-04-13,283.85,283.95,281.75,282.5,1044
ICICIGOLD,2018-04-16,285.85,286.8,283.1,286.0,3304
ICICIGOLD,2018-04-17,286.8,287.3,285.5,286.75,5877
ICICIGOLD,2018-04-18,286.15,289.75,285.0,289.2,51490
ICICIGOLD,2018-04-19,289.0,289.0,284.1,285.55,13340
ICICIGOLD,2018-04-20,287.4,287.4,285.25,285.35,1572
ICICIGOLD,2018-04-23,285.0,286.9,284.1,286.3,2476
ICICIGOLD,2018-04-24,288.45,288.45,284.1,284.35,706
ICICIGOLD,2018-04-25,288.3,288.3,283.1,286.35,4742
ICICIGOLD,2018-04-26,288.8,288.8,283.4,286.95,4731
ICICIGOLD,2018-04-27,288.4,288.4,284.05,284.2,968
ICICIGOLD,2018-04-30,287.9,287.9,282.75,283.05,1102
ICICIGOLD,2018-05-02,283.45,289.9,281.0,286.75,1958
ICICIGOLD,2018-05-03,281.05,285.0,279.15,281.15,8910
ICICIGOLD,2018-05-04,284.85,284.85,280.15,282.35,1911
ICICIGOLD,2018-05-07,282.55,286.9,282.55,285.05,2595
ICICIGOLD,2018-05-08,286.4,287.55,283.35,283.35,2344
ICICIGOLD,2018-05-09,283.55,286.8,283.45,284.1,1502
ICICIGOLD,2018-05-10,283.3,287.9,283.3,285.2,2778
ICICIGOLD,2018-05-11,287.8,287.8,285.9,286.5,975
ICICIGOLD,2018-05-14,286.5,287.95,285.55,286.15,1289
ICICIGOLD,2018-05-15,286.15,287.15,284.15,285.8,705
ICICIGOLD,2018-05-16,285.4,287.0,281.7,283.9,1982
ICICIGOLD,2018-05-17,280.5,284.9,280.5,281.0,289
ICICIGOLD,2018-05-18,280.0,282.45,280.0,281.8,5350
ICICIGOLD,2018-05-21,281.85,284.7,281.1,281.2,1124
ICICIGOLD,2018-05-22,280.3,282.95,280.3,282.9,1445
ICICIGOLD,2018-05-23,283.15,284.95,282.75,283.5,918
ICICIGOLD,2018-05-24,282.3,284.85,282.3,284.0,2255
ICICIGOLD,2018-05-25,284.0,285.8,282.8,283.55,2717
ICICIGOLD,2018-05-28,282.3,282.85,281.15,281.2,1186
ICICIGOLD,2018-05-29,282.8,285.8,282.1,285.8,1794
ICICIGOLD,2018-05-30,285.8,285.8,281.5,281.75,1435
ICICIGOLD,2018-05-31,283.9,283.9,281.75,282.85,1961
ICICIGOLD,2018-06-01,282.7,283.3,281.0,282.0,165
ICICIGOLD,2018-06-04,282.0,282.0,278.1,281.8,948
ICICIGOLD,2018-06-05,281.8,281.8,279.0,279.05,1348
ICICIGOLD,2018-06-06,280.05,281.9,279.35,279.45,1646
ICICIGOLD,2018-06-07,279.45,281.4,279.4,280.5,428
ICICIGOLD,2018-06-08,280.0,283.6,280.0,282.0,744
ICICIGOLD,2018-06-11,273.5,313.0,265.1,281.55,1634
ICICIGOLD,2018-06-12,281.55,282.9,280.0,281.6,2954
ICICIGOLD,2018-06-13,282.35,282.5,281.0,281.2,1213
ICICIGOLD,2018-06-14,283.6,284.0,281.5,282.6,1201
ICICIGOLD,2018-06-15,282.6,283.8,282.6,282.75,214
ICICIGOLD,2018-06-18,282.65,282.65,279.1,280.0,962
ICICIGOLD,2018-06-19,280.1,281.95,280.0,280.15,649
ICICIGOLD,2018-06-20,281.0,281.0,278.2,278.5,677
ICICIGOLD,2018-06-21,279.0,279.0,276.9,277.0,16643
ICICIGOLD,2018-06-22,277.0,278.35,276.1,276.55,1617
ICICIGOLD,2018-06-25,275.3,279.5,275.3,279.45,7762
ICICIGOLD,2018-06-26,278.95,278.95,276.0,276.8,1222
ICICIGOLD,2018-06-27,276.75,279.0,275.7,277.2,1417
ICICIGOLD,2018-06-28,275.8,278.65,275.8,276.7,1695
ICICIGOLD,2018-06-29,276.65,278.7,275.3,275.55,543
ICICIGOLD,2018-07-02,275.1,277.4,275.1,275.8,1862
ICICIGOLD,2018-07-03,275.0,275.7,271.15,275.6,2041
ICICIGOLD,2018-07-04,276.0,278.0,276.0,277.2,2401
ICICIGOLD,2018-07-05,277.05,278.4,277.0,277.2,417
ICICIGOLD,2018-07-06,278.4,278.95,277.4,277.6,421
ICICIGOLD,2018-07-09,276.5,279.7,276.5,277.9,1409
ICICIGOLD,2018-07-10,277.65,279.9,277.05,277.1,2118
ICICIGOLD,2018-07-11,277.0,278.4,276.35,276.5,1259
ICICIGOLD,2018-07-12,275.9,276.9,274.9,276.05,525
ICICIGOLD,2018-07-13,276.0,276.0,274.0,275.0,545
ICICIGOLD,2018-07-16,274.55,277.85,274.45,274.85,922
ICICIGOLD,2018-07-17,276.65,276.65,272.7,273.15,558
ICICIGOLD,2018-07-18,272.0,272.55,270.85,272.25,657
ICICIGOLD,2018-07-19,270.8,273.7,270.55,270.55,566
