symbol,date,open,high,low,close,volume
IDBI,2008-06-09,78.0,78.0,75.15,76.15,1280010
IDBI,2008-06-10,76.6,77.6,75.25,76.7,1332789
IDBI,2008-06-11,77.65,78.5,75.7,76.8,2510734
IDBI,2008-06-12,75.0,79.5,73.75,79.05,2522331
IDBI,2008-06-13,79.4,80.0,77.0,77.4,1902930
IDBI,2008-06-16,78.6,79.65,77.15,77.5,1616182
IDBI,2008-06-17,79.0,82.5,77.5,81.9,4214736
IDBI,2008-06-18,82.6,83.45,80.5,80.9,3563362
IDBI,2008-06-19,79.5,80.2,78.35,78.9,1441224
IDBI,2008-06-20,78.5,79.8,75.0,75.55,1482421
IDBI,2008-06-23,75.0,75.0,71.1,72.4,1829791
IDBI,2008-06-24,72.4,74.1,70.0,70.45,1765584
IDBI,2008-06-25,70.0,71.5,65.1,70.8,3032786
IDBI,2008-06-26,71.4,72.4,69.05,69.6,2790416
IDBI,2008-06-27,68.4,69.5,66.05,67.55,1205044
IDBI,2008-06-30,69.0,69.0,63.7,64.35,1256414
IDBI,2008-07-01,64.35,65.4,60.1,60.65,1552582
IDBI,2008-07-02,60.95,63.5,57.1,63.05,2232091
IDBI,2008-07-03,62.1,64.95,60.15,63.1,2879612
IDBI,2008-07-04,61.2,66.6,61.2,65.45,1690560
IDBI,2008-07-07,65.1,68.7,65.1,66.85,1476700
IDBI,2008-07-08,65.0,67.85,63.5,66.8,1290326
IDBI,2008-07-09,69.0,70.85,67.5,69.65,2015464
IDBI,2008-07-10,68.0,70.0,67.0,68.6,2326593
IDBI,2008-07-11,68.0,70.85,66.1,67.3,2180160
IDBI,2008-07-14,67.3,68.5,65.85,68.05,1522734
IDBI,2008-07-15,67.0,67.45,65.15,65.95,1258319
IDBI,2008-07-16,64.5,66.0,61.4,63.25,1711524
IDBI,2008-07-17,64.5,66.75,63.7,64.8,970254
IDBI,2008-07-18,65.1,67.85,64.3,67.15,1600565
