symbol,date,open,high,low,close,volume
IFBIND,2008-06-09,36.1,42.6,36.1,38.4,7033
IFBIND,2008-06-10,40.0,40.0,37.6,37.85,2806
IFBIND,2008-06-11,39.0,39.0,37.55,38.4,1650
IFBIND,2008-06-12,39.5,39.5,37.5,38.5,7924
IFBIND,2008-06-13,39.05,40.0,39.05,40.0,1898
IFBIND,2008-06-16,39.1,40.9,39.0,40.2,6775
IFBIND,2008-06-17,39.8,39.95,38.25,39.35,2310
IFBIND,2008-06-18,39.35,40.7,39.1,40.0,1650
IFBIND,2008-06-19,38.65,40.4,38.6,39.65,3976
IFBIND,2008-06-20,39.0,40.45,38.1,38.3,2260
IFBIND,2008-06-23,34.5,37.0,34.5,34.75,7880
IFBIND,2008-06-24,34.0,35.7,32.1,33.1,2905
IFBIND,2008-06-25,32.3,34.0,32.3,32.6,1584
IFBIND,2008-06-26,33.2,34.0,32.5,33.5,2923
IFBIND,2008-06-27,33.0,33.5,30.15,30.5,8185
IFBIND,2008-06-30,27.65,31.85,27.65,29.95,12919
IFBIND,2008-07-01,28.1,31.0,28.0,28.1,3652
IFBIND,2008-07-02,27.5,30.0,25.3,29.9,5755
IFBIND,2008-07-03,30.0,30.45,27.2,27.2,6713
IFBIND,2008-07-04,27.0,28.25,26.2,27.55,2458
IFBIND,2008-07-07,27.0,30.3,27.0,30.0,3444
IFBIND,2008-07-08,30.1,31.0,30.0,30.3,1400
IFBIND,2008-07-09,30.9,33.0,30.5,32.85,5100
IFBIND,2008-07-10,33.0,33.2,31.0,31.9,1952
IFBIND,2008-07-11,30.0,33.95,30.0,31.4,2242
IFBIND,2008-07-14,33.9,33.9,31.5,31.8,627
IFBIND,2008-07-15,32.5,33.0,31.5,33.0,4243
IFBIND,2008-07-16,30.2,30.2,30.0,30.0,753
IFBIND,2008-07-17,31.0,31.0,28.65,28.8,332
IFBIND,2008-07-18,28.5,29.5,28.5,29.5,210
IFBIND,2008-07-21,28.5,30.45,26.75,27.1,3537
IFBIND,2008-07-22,28.0,29.8,27.1,28.45,4775
IFBIND,2008-07-23,30.95,31.3,30.05,31.3,6873
IFBIND,2008-07-24,34.2,34.45,32.0,33.7,14411
IFBIND,2008-07-25,33.0,35.0,32.15,34.45,2221
IFBIND,2008-07-28,34.5,37.9,34.5,37.9,6730
IFBIND,2008-07-29,38.0,39.75,36.0,36.85,10097
IFBIND,2008-07-30,38.0,38.7,36.1,38.45,10188
IFBIND,2008-07-31,39.5,39.85,38.0,38.05,5382
IFBIND,2008-08-01,39.95,39.95,39.95,39.95,4909
IFBIND,2008-08-04,41.95,41.95,40.0,41.95,169893
IFBIND,2008-08-05,41.4,43.75,40.55,42.25,51510
IFBIND,2008-08-06,43.75,43.75,40.5,40.55,20577
IFBIND,2008-08-07,41.0,41.15,38.55,39.3,6247
IFBIND,2008-08-08,38.55,39.3,37.45,38.9,6743
IFBIND,2008-08-11,37.55,39.0,37.55,38.2,1309
IFBIND,2008-08-12,38.9,39.85,38.25,39.05,3441
IFBIND,2008-08-13,37.1,39.0,37.1,37.5,2390
IFBIND,2008-08-14,37.25,38.2,35.65,37.4,3925
IFBIND,2008-08-18,37.4,38.4,37.4,37.6,3130
IFBIND,2008-08-19,38.35,38.35,35.8,36.95,864
IFBIND,2008-08-20,36.95,36.95,35.25,35.7,7550
IFBIND,2008-08-21,34.8,36.4,34.1,34.9,3357
IFBIND,2008-08-22,33.4,36.0,33.4,35.05,2916
IFBIND,2008-08-25,36.25,36.6,34.5,35.35,3149
IFBIND,2008-08-26,34.05,36.25,34.05,35.8,2759
IFBIND,2008-08-27,37.15,37.15,35.0,35.05,900
IFBIND,2008-08-28,35.0,35.75,34.8,35.1,1773
IFBIND,2008-08-29,35.0,35.5,34.4,35.25,1126
IFBIND,2008-09-01,35.5,36.0,34.45,35.25,1353
IFBIND,2008-09-02,35.45,35.95,35.1,35.95,1155
IFBIND,2008-09-04,36.95,37.75,35.2,37.5,19688
IFBIND,2008-09-05,38.2,38.2,35.75,37.9,116701
IFBIND,2008-09-08,38.9,39.5,36.4,37.15,5433
IFBIND,2008-09-09,40.9,40.9,36.2,36.8,3455
IFBIND,2008-09-10,39.8,39.9,34.05,36.35,6173
IFBIND,2008-09-11,38.2,38.2,35.15,36.45,1107
IFBIND,2008-09-12,39.55,39.55,34.9,35.05,19997
IFBIND,2008-09-15,35.0,35.0,31.55,32.35,9674
IFBIND,2008-09-16,31.0,32.25,29.8,30.65,29010
IFBIND,2008-09-17,30.35,32.0,29.75,30.2,10322
IFBIND,2008-09-18,30.0,30.9,29.5,30.45,28358
IFBIND,2008-09-19,32.0,33.5,32.0,33.5,10043
IFBIND,2008-09-22,36.85,36.85,34.15,35.4,11132
IFBIND,2008-09-23,33.05,36.0,33.05,34.7,2866
IFBIND,2008-09-24,34.75,36.5,34.75,35.95,2041
IFBIND,2008-09-25,33.55,35.3,33.55,34.2,12045
IFBIND,2008-09-26,37.4,37.4,32.25,32.3,5071
IFBIND,2008-09-29,32.95,33.0,30.55,30.8,7747
IFBIND,2008-09-30,29.5,31.6,29.0,31.55,2518
IFBIND,2008-10-03,33.7,33.75,30.0,30.1,6092
IFBIND,2008-10-06,30.0,30.5,29.0,29.55,5651
IFBIND,2008-10-07,31.0,31.0,28.7,29.2,5015
IFBIND,2008-10-08,29.0,29.0,26.3,27.35,10616
IFBIND,2008-10-10,24.75,26.0,24.7,25.15,1935
IFBIND,2008-10-13,24.0,27.45,24.0,26.75,2775
IFBIND,2008-10-14,29.0,29.0,27.1,28.1,2550
IFBIND,2008-10-15,28.0,29.75,26.0,27.65,5025
IFBIND,2008-10-16,26.05,27.2,24.9,25.55,11750
