symbol,date,open,high,low,close,volume
IGPL,2008-06-09,47.55,47.9,44.0,44.05,2166
IGPL,2008-06-10,45.1,46.4,43.55,44.0,1569
IGPL,2008-06-11,44.1,51.95,44.1,47.0,4659
IGPL,2008-06-12,52.9,52.9,43.3,47.1,1476
IGPL,2008-06-13,48.8,48.8,46.0,46.8,2085
IGPL,2008-06-16,56.0,56.0,46.0,46.8,4547
IGPL,2008-06-17,47.0,47.0,45.5,46.95,1167
IGPL,2008-06-18,45.5,52.5,45.5,46.85,5329
IGPL,2008-06-19,48.0,48.0,46.0,47.0,3681
IGPL,2008-06-20,46.0,46.9,44.75,45.15,2055
IGPL,2008-06-23,43.5,43.5,42.2,42.75,3335
IGPL,2008-06-24,40.25,42.5,40.25,40.95,1190
IGPL,2008-06-25,40.1,41.3,38.1,39.75,3912
IGPL,2008-06-26,41.1,42.4,40.05,40.9,1765
IGPL,2008-06-27,40.0,40.35,38.0,39.2,3075
IGPL,2008-06-30,39.3,39.4,36.9,37.95,2048
IGPL,2008-07-01,37.0,37.0,33.5,34.5,2321
IGPL,2008-07-02,32.7,34.0,32.0,33.35,7085
IGPL,2008-07-03,35.0,39.0,33.35,33.75,4206
IGPL,2008-07-04,34.8,35.9,33.7,34.5,2651
IGPL,2008-07-07,33.3,36.65,33.3,35.75,727
IGPL,2008-07-08,34.0,37.0,34.0,37.0,768
IGPL,2008-07-09,37.85,38.7,36.0,36.9,943
IGPL,2008-07-10,37.75,39.9,37.5,39.15,2882
IGPL,2008-07-11,39.0,39.0,36.2,36.2,265
IGPL,2008-07-14,36.2,37.35,33.75,34.6,1362
IGPL,2008-07-15,34.6,37.85,32.4,35.1,5326
IGPL,2008-07-16,36.8,36.8,31.05,32.45,6091
IGPL,2008-07-17,33.0,33.8,32.1,32.65,5057
IGPL,2008-07-18,33.1,35.8,33.1,35.35,1220
IGPL,2008-07-21,36.05,38.85,36.05,37.85,2511
IGPL,2008-07-22,38.1,38.5,36.25,38.5,2640
IGPL,2008-07-23,38.15,40.5,37.95,40.3,3008
IGPL,2008-07-24,41.0,42.0,40.0,41.1,1666
