symbol,date,open,high,low,close,volume
INDIASHLTR,2023-12-20,620.0,630.0,531.0,544.7,22211200
INDIASHLTR,2023-12-21,539.0,573.2,525.55,567.4,2243543
INDIASHLTR,2023-12-22,568.0,572.5,546.3,550.15,971907
INDIASHLTR,2023-12-26,550.2,551.95,525.0,529.25,773317
INDIASHLTR,2023-12-27,529.0,544.9,523.75,529.3,938758
INDIASHLTR,2023-12-28,531.5,536.25,519.15,531.25,723621
INDIASHLTR,2023-12-29,545.0,579.05,535.0,568.65,2659480
INDIASHLTR,2024-01-01,568.65,568.65,549.0,552.3,337654
INDIASHLTR,2024-01-02,552.0,554.5,529.0,535.05,529541
INDIASHLTR,2024-01-03,535.0,547.85,535.0,545.25,251882
INDIASHLTR,2024-01-04,545.0,549.0,531.55,542.7,209603
INDIASHLTR,2024-01-05,544.95,550.7,542.05,543.7,187645
INDIASHLTR,2024-01-08,543.2,546.9,536.25,543.8,220182
INDIASHLTR,2024-01-09,543.8,546.45,538.0,538.65,194760
INDIASHLTR,2024-01-10,537.5,545.65,537.2,541.7,113268
INDIASHLTR,2024-01-11,541.95,550.75,540.0,549.9,258043
INDIASHLTR,2024-01-12,551.15,560.8,545.5,559.3,197015
INDIASHLTR,2024-01-15,560.0,564.85,548.0,560.0,134299
INDIASHLTR,2024-01-16,560.05,578.0,555.05,570.3,537487
INDIASHLTR,2024-01-17,567.5,577.5,559.0,575.65,475726
INDIASHLTR,2024-01-18,574.9,583.85,568.05,579.95,364970
INDIASHLTR,2024-01-19,579.0,585.9,571.0,575.75,655359
INDIASHLTR,2024-01-20,576.0,576.65,561.0,565.4,69781
INDIASHLTR,2024-01-23,566.95,574.95,560.15,570.6,333302
INDIASHLTR,2024-01-24,564.0,579.95,564.0,572.2,158237
INDIASHLTR,2024-01-25,574.95,580.0,556.5,575.95,160547
INDIASHLTR,2024-01-29,576.7,597.4,564.05,572.15,412678
INDIASHLTR,2024-01-30,572.15,595.55,565.15,589.5,281234
INDIASHLTR,2024-01-31,589.5,617.0,580.0,612.55,767604
INDIASHLTR,2024-02-01,621.75,629.25,601.75,621.85,651799
INDIASHLTR,2024-02-02,621.0,725.1,616.75,669.95,759411
INDIASHLTR,2024-02-05,717.7,717.7,674.1,685.0,492533
INDIASHLTR,2024-02-06,689.95,694.75,660.0,665.55,185601
INDIASHLTR,2024-02-07,668.5,677.0,652.2,654.4,157770
INDIASHLTR,2024-02-08,655.0,686.0,596.0,660.5,404753
INDIASHLTR,2024-02-09,615.0,669.95,615.0,642.1,411438
INDIASHLTR,2024-02-12,632.5,650.45,598.0,624.25,161924
