symbol,date,open,high,low,close,volume
INDLMETER,2016-01-01,116.2,122.35,114.0,119.5,18050
INDLMETER,2016-01-04,120.0,120.0,111.1,112.5,29036
INDLMETER,2016-01-05,113.4,122.0,113.0,117.0,45327
INDLMETER,2016-01-06,116.8,118.25,112.6,112.8,8318
INDLMETER,2016-01-07,112.15,116.5,110.5,110.5,6603
INDLMETER,2016-01-08,115.95,115.95,111.0,115.75,6889
INDLMETER,2016-01-11,110.1,115.0,110.1,113.6,5524
INDLMETER,2016-01-12,112.0,114.9,111.1,111.1,4348
INDLMETER,2016-01-13,112.1,115.9,102.0,104.0,16314
INDLMETER,2016-01-14,100.0,110.9,96.25,98.0,6317
INDLMETER,2016-01-15,105.9,105.9,90.15,92.0,6217
INDLMETER,2016-01-18,90.3,90.3,85.8,85.8,8577
INDLMETER,2016-01-19,85.6,90.05,85.3,90.05,6621
INDLMETER,2016-01-20,87.1,93.8,87.1,93.8,11673
INDLMETER,2016-01-21,91.4,98.45,91.4,98.45,6406
INDLMETER,2016-01-22,98.45,103.35,98.45,103.35,1843
INDLMETER,2016-01-25,108.5,108.5,105.85,108.5,3052
INDLMETER,2016-01-27,113.9,113.9,105.5,106.2,36234
INDLMETER,2016-01-28,102.0,110.75,102.0,107.0,2693
INDLMETER,2016-01-29,105.0,111.0,103.35,105.4,3126
INDLMETER,2016-02-01,106.4,106.4,102.1,105.0,1103
INDLMETER,2016-02-02,105.0,105.0,102.0,102.95,4129
INDLMETER,2016-02-03,102.0,103.95,98.1,101.8,3952
INDLMETER,2016-02-04,97.0,103.9,97.0,102.0,2405
INDLMETER,2016-02-05,106.9,106.9,93.05,96.3,4518
INDLMETER,2016-02-08,97.0,97.0,91.0,91.0,3971
INDLMETER,2016-02-09,93.0,100.95,86.7,89.0,5520
INDLMETER,2016-02-10,93.8,93.8,88.0,88.0,364
INDLMETER,2016-02-11,87.2,89.8,79.8,79.8,6504
INDLMETER,2016-02-12,83.75,83.75,77.7,82.8,1384
INDLMETER,2016-02-15,79.9,84.35,76.5,80.7,7111
INDLMETER,2016-02-16,80.1,80.1,76.5,76.5,2514
INDLMETER,2016-02-17,75.1,78.0,72.7,74.1,1486
INDLMETER,2016-02-18,77.8,77.8,74.0,74.15,1423
INDLMETER,2016-02-19,74.3,77.0,73.55,76.95,84
INDLMETER,2016-02-22,78.45,80.2,75.1,75.1,135
INDLMETER,2016-02-23,77.0,77.0,73.4,73.4,2684
INDLMETER,2016-02-24,75.8,75.8,69.75,69.75,15614
INDLMETER,2016-02-25,72.45,72.75,67.9,70.5,1049
INDLMETER,2016-02-26,67.1,71.2,67.1,71.2,1904
INDLMETER,2016-02-29,70.1,70.1,69.5,69.95,1130
INDLMETER,2016-03-01,70.05,73.4,70.05,73.4,1601
INDLMETER,2016-03-02,77.05,77.05,77.05,77.05,1617
INDLMETER,2016-03-03,80.0,80.0,78.25,79.8,2894
INDLMETER,2016-03-04,84.45,86.0,80.6,83.5,3903
INDLMETER,2016-03-08,86.5,88.4,81.8,83.5,1244
INDLMETER,2016-03-09,89.5,89.9,84.7,86.95,9981
INDLMETER,2016-03-10,83.1,85.95,82.15,82.15,987
INDLMETER,2016-03-11,83.0,87.95,83.0,86.2,280
INDLMETER,2016-03-14,83.1,86.7,82.1,82.1,1965
INDLMETER,2016-03-15,84.5,84.5,82.0,82.85,1406
INDLMETER,2016-03-16,80.6,86.8,80.6,80.65,212
INDLMETER,2016-03-17,87.1,93.0,85.0,90.0,9108
INDLMETER,2016-03-18,88.2,93.5,85.0,85.0,3048
INDLMETER,2016-03-21,87.0,90.0,86.25,86.25,1381
INDLMETER,2016-03-22,88.1,91.0,86.0,86.1,1892
INDLMETER,2016-03-23,87.5,87.5,84.5,84.5,135
INDLMETER,2016-03-28,85.0,87.9,83.5,85.0,2656
INDLMETER,2016-03-29,80.65,85.9,80.65,85.9,2180
INDLMETER,2016-03-30,87.5,90.95,85.0,88.5,2165
INDLMETER,2016-03-31,87.6,92.0,85.1,85.1,1385
INDLMETER,2016-04-01,96.3,96.3,86.9,92.9,1107
INDLMETER,2016-04-04,89.55,98.55,89.55,93.5,4510
INDLMETER,2016-04-05,101.0,101.95,95.45,96.0,5760
INDLMETER,2016-04-06,100.0,102.95,96.1,100.1,7785
INDLMETER,2016-04-07,97.0,107.4,97.0,101.15,6612
INDLMETER,2016-04-08,106.0,106.0,101.3,105.0,156
INDLMETER,2016-04-11,102.0,104.8,101.0,102.25,2022
INDLMETER,2016-04-12,109.4,112.0,100.55,100.7,1417
INDLMETER,2016-04-13,107.8,107.8,100.05,101.95,1938
