symbol,date,open,high,low,close,volume
INDNIPPON,2008-06-09,47.85,47.85,47.85,47.85,22
INDNIPPON,2008-06-10,51.06,51.06,51.06,51.06,2
INDNIPPON,2008-06-11,50.02,50.02,48.25,48.31,462
INDNIPPON,2008-06-12,50.0,50.0,48.57,48.57,218
INDNIPPON,2008-06-13,50.0,50.0,50.0,50.0,70
INDNIPPON,2008-06-17,50.0,50.0,48.93,48.93,1960
INDNIPPON,2008-06-18,48.31,53.18,48.31,50.0,410
INDNIPPON,2008-06-20,49.1,49.1,47.18,47.28,1778
INDNIPPON,2008-06-23,48.22,49.28,47.85,47.85,624
INDNIPPON,2008-06-24,46.6,50.0,46.6,47.56,4776
INDNIPPON,2008-06-25,46.43,47.85,45.35,46.15,240
INDNIPPON,2008-06-26,46.15,46.15,46.15,46.15,126
INDNIPPON,2008-06-27,43.93,47.82,42.9,44.23,926
INDNIPPON,2008-06-30,44.23,49.41,44.23,48.0,882
INDNIPPON,2008-07-01,57.15,57.15,39.31,40.34,8268
INDNIPPON,2008-07-02,40.72,44.65,40.35,42.48,758
INDNIPPON,2008-07-03,42.75,48.19,42.15,42.75,702
INDNIPPON,2008-07-04,42.52,45.6,42.5,42.78,1110
INDNIPPON,2008-07-07,42.85,42.85,42.85,42.85,140
INDNIPPON,2008-07-08,41.07,45.72,41.07,45.72,22
INDNIPPON,2008-07-09,42.35,48.78,42.35,48.78,584
INDNIPPON,2008-07-10,46.43,48.22,46.43,48.22,700
INDNIPPON,2008-07-11,46.07,46.07,45.72,45.72,94
INDNIPPON,2008-07-15,46.07,46.43,46.07,46.43,136
INDNIPPON,2008-07-16,42.41,44.65,42.41,44.65,10
INDNIPPON,2008-07-18,46.43,46.43,44.65,44.66,294
INDNIPPON,2008-07-21,46.43,46.43,46.43,46.43,4
INDNIPPON,2008-07-22,47.85,47.85,47.85,47.85,140
INDNIPPON,2008-07-23,47.03,47.03,46.43,46.47,480
INDNIPPON,2008-07-24,45.02,45.02,44.65,44.65,70
INDNIPPON,2008-07-28,48.22,48.22,45.35,45.35,168
INDNIPPON,2008-07-29,44.65,52.4,44.65,50.34,1498
INDNIPPON,2008-07-30,49.65,49.65,46.78,46.9,14736
INDNIPPON,2008-07-31,47.85,48.22,46.43,48.22,332
INDNIPPON,2008-08-01,47.18,50.0,46.43,48.15,17798
INDNIPPON,2008-08-04,48.25,50.32,48.22,50.32,5944
INDNIPPON,2008-08-05,50.32,50.32,48.43,49.9,22568
INDNIPPON,2008-08-06,49.27,49.28,48.93,49.28,1726
INDNIPPON,2008-08-07,48.25,50.5,48.25,49.25,18424
INDNIPPON,2008-08-08,50.32,50.32,50.32,50.32,58
INDNIPPON,2008-08-11,51.43,52.66,51.43,52.18,1276
INDNIPPON,2008-08-12,53.22,53.4,50.43,52.18,224
INDNIPPON,2008-08-13,53.93,53.93,53.93,53.93,2
INDNIPPON,2008-08-18,49.28,51.59,49.28,50.66,2024
INDNIPPON,2008-08-19,49.47,49.47,49.47,49.47,122
INDNIPPON,2008-08-20,49.1,49.1,49.1,49.1,1400
INDNIPPON,2008-08-21,48.59,48.59,48.31,48.31,280
INDNIPPON,2008-08-22,49.82,49.82,49.82,49.82,280
INDNIPPON,2008-08-25,49.32,49.32,47.57,47.6,870
INDNIPPON,2008-08-26,47.5,49.6,47.5,48.73,918
INDNIPPON,2008-08-27,48.31,48.31,47.32,47.4,812
INDNIPPON,2008-08-28,45.35,47.5,45.35,47.16,226
INDNIPPON,2008-08-29,48.18,50.0,48.18,50.0,592
INDNIPPON,2008-09-04,49.44,49.44,49.44,49.44,28
INDNIPPON,2008-09-09,49.6,49.6,49.6,49.6,140
INDNIPPON,2008-09-10,49.75,49.75,48.22,48.22,484
INDNIPPON,2008-09-11,48.22,48.22,46.43,47.16,682
INDNIPPON,2008-09-15,48.93,48.93,44.65,44.65,168
INDNIPPON,2008-09-16,42.5,48.22,42.5,44.65,112
INDNIPPON,2008-09-17,43.93,45.02,43.93,45.02,434
INDNIPPON,2008-09-18,42.85,45.35,42.85,45.35,56
INDNIPPON,2008-09-19,45.9,45.9,45.35,45.72,154
INDNIPPON,2008-09-23,48.84,52.66,46.52,49.52,1578
INDNIPPON,2008-09-24,46.63,48.19,45.75,46.57,556
INDNIPPON,2008-09-25,42.43,43.22,42.43,43.22,28
INDNIPPON,2008-09-26,47.85,47.85,46.78,46.78,10
INDNIPPON,2008-09-29,40.02,45.0,40.02,42.28,604
INDNIPPON,2008-09-30,40.35,41.25,40.35,41.18,16
INDNIPPON,2008-10-01,42.85,47.06,37.69,43.63,728
INDNIPPON,2008-10-03,42.85,44.65,41.72,41.93,302
INDNIPPON,2008-10-06,42.85,42.85,42.5,42.5,2928
INDNIPPON,2008-10-07,40.72,42.85,39.28,42.85,778
INDNIPPON,2008-10-08,34.47,42.32,34.47,40.98,84
INDNIPPON,2008-10-10,42.85,42.85,42.85,42.85,14
INDNIPPON,2008-10-13,38.22,38.22,36.78,37.48,378
INDNIPPON,2008-10-14,37.5,38.57,36.43,36.48,1326
INDNIPPON,2008-10-15,36.43,36.43,35.0,35.72,688
INDNIPPON,2008-10-16,34.28,34.28,34.28,34.28,94
INDNIPPON,2008-10-17,35.9,35.9,35.72,35.72,296
INDNIPPON,2008-10-20,35.72,35.72,34.06,34.1,534
INDNIPPON,2008-10-21,35.02,38.93,35.0,35.32,1548
INDNIPPON,2008-10-22,38.57,38.57,35.72,35.72,294
INDNIPPON,2008-10-23,35.72,37.15,33.93,34.15,2578
INDNIPPON,2008-10-24,37.15,37.15,27.34,27.48,3364
INDNIPPON,2008-10-27,29.28,31.78,26.78,28.6,672
INDNIPPON,2008-10-28,34.31,34.31,34.28,34.28,30
INDNIPPON,2008-10-29,35.69,35.69,35.69,35.69,14
INDNIPPON,2008-10-31,34.82,34.82,34.82,34.82,140
INDNIPPON,2008-11-03,35.72,35.72,30.35,32.31,900
INDNIPPON,2008-11-04,30.72,35.72,30.72,31.43,86
INDNIPPON,2008-11-05,32.15,32.15,32.15,32.15,372
INDNIPPON,2008-11-06,35.69,35.69,31.47,35.35,3500
INDNIPPON,2008-11-07,32.15,32.15,30.9,31.18,1086
INDNIPPON,2008-11-10,31.07,31.07,30.59,30.59,560
INDNIPPON,2008-11-11,33.57,33.57,31.97,32.91,52
INDNIPPON,2008-11-12,33.22,35.34,33.22,35.34,154
INDNIPPON,2008-11-14,35.34,35.34,34.1,35.0,140
INDNIPPON,2008-11-17,35.0,35.0,31.4,32.0,938
INDNIPPON,2008-11-18,31.41,34.47,31.41,34.47,4
INDNIPPON,2008-11-19,33.93,34.38,33.93,34.38,30
INDNIPPON,2008-11-20,30.72,35.68,27.66,31.43,1072
INDNIPPON,2008-11-21,31.1,31.16,30.75,31.07,744
INDNIPPON,2008-11-24,34.53,34.53,28.57,28.75,1040
INDNIPPON,2008-11-25,28.34,30.72,28.34,29.56,130
INDNIPPON,2008-11-26,28.28,33.18,28.28,28.59,112
INDNIPPON,2008-11-28,31.43,31.43,27.56,27.78,1880
INDNIPPON,2008-12-01,28.57,31.6,25.07,27.02,3136
INDNIPPON,2008-12-02,25.72,30.0,25.72,27.44,4666
INDNIPPON,2008-12-03,28.53,28.57,25.09,25.72,514
INDNIPPON,2008-12-05,27.5,27.85,23.93,26.78,1442
INDNIPPON,2008-12-08,27.5,27.5,25.4,25.4,808
