symbol,date,open,high,low,close,volume
INDOSOLAR,2016-01-01,9.7,11.5,9.7,11.2,3110576
INDOSOLAR,2016-01-04,11.5,13.5,11.5,13.5,6822607
INDOSOLAR,2016-01-05,13.8,14.2,13.15,13.75,5242268
INDOSOLAR,2016-01-06,14.05,14.05,12.5,12.9,2781607
INDOSOLAR,2016-01-07,11.7,12.6,11.6,11.7,1916790
INDOSOLAR,2016-01-08,12.1,12.9,11.95,12.9,1598380
INDOSOLAR,2016-01-11,12.7,13.5,12.3,13.15,2480316
INDOSOLAR,2016-01-12,13.4,13.4,12.45,12.65,1036621
INDOSOLAR,2016-01-13,12.9,13.05,11.35,11.95,1664460
INDOSOLAR,2016-01-14,11.85,12.0,11.15,11.3,990581
INDOSOLAR,2016-01-15,11.6,12.05,11.2,11.3,1155880
INDOSOLAR,2016-01-18,11.25,11.65,10.2,10.2,1080133
INDOSOLAR,2016-01-19,10.0,10.65,9.75,10.5,1241692
INDOSOLAR,2016-01-20,10.5,11.0,10.05,10.7,1182615
INDOSOLAR,2016-01-21,11.1,11.15,10.3,10.6,692714
INDOSOLAR,2016-01-22,10.75,11.05,10.75,11.0,602184
INDOSOLAR,2016-01-25,11.05,11.3,10.5,10.65,586114
INDOSOLAR,2016-01-27,10.3,10.3,10.15,10.15,361507
INDOSOLAR,2016-01-28,9.65,9.65,9.65,9.65,171627
INDOSOLAR,2016-01-29,9.2,9.6,9.2,9.2,1835007
INDOSOLAR,2016-02-01,9.15,9.6,8.8,9.3,998485
INDOSOLAR,2016-02-02,9.4,9.85,9.1,9.65,3135530
INDOSOLAR,2016-02-03,9.55,9.75,9.1,9.45,749748
INDOSOLAR,2016-02-04,9.6,9.8,9.0,9.25,469557
INDOSOLAR,2016-02-05,9.25,9.4,8.95,9.4,443387
INDOSOLAR,2016-02-08,9.15,9.2,8.8,8.95,452329
INDOSOLAR,2016-02-09,8.75,8.75,8.25,8.35,979686
INDOSOLAR,2016-02-10,8.4,8.5,7.9,8.0,569895
INDOSOLAR,2016-02-11,8.05,8.2,7.5,7.65,607272
INDOSOLAR,2016-02-12,7.85,7.85,6.9,7.05,1226948
INDOSOLAR,2016-02-15,7.3,7.85,7.25,7.85,677077
INDOSOLAR,2016-02-16,8.3,8.3,7.75,7.95,533673
INDOSOLAR,2016-02-17,7.7,8.0,7.35,7.7,514513
INDOSOLAR,2016-02-18,7.8,7.9,7.65,7.7,299133
INDOSOLAR,2016-02-19,7.85,7.9,7.45,7.9,323438
INDOSOLAR,2016-02-22,7.75,8.0,7.7,8.0,475269
INDOSOLAR,2016-02-23,8.05,8.15,7.9,8.15,373872
INDOSOLAR,2016-02-24,8.2,8.75,8.05,8.6,803736
INDOSOLAR,2016-02-25,8.7,9.0,8.2,8.35,727895
INDOSOLAR,2016-02-26,8.5,8.6,8.0,8.05,558277
INDOSOLAR,2016-02-29,8.1,8.35,7.5,7.6,785692
INDOSOLAR,2016-03-01,7.8,7.85,7.6,7.85,370451
INDOSOLAR,2016-03-02,8.0,8.1,7.85,7.85,468350
INDOSOLAR,2016-03-03,8.15,8.45,7.9,8.15,750597
INDOSOLAR,2016-03-04,8.4,8.5,8.1,8.1,354523
INDOSOLAR,2016-03-08,8.25,8.3,7.9,7.95,293825
INDOSOLAR,2016-03-09,8.15,8.4,8.0,8.1,661509
INDOSOLAR,2016-03-10,8.15,8.3,7.9,7.9,243891
INDOSOLAR,2016-03-11,7.95,8.05,7.7,7.9,306330
