symbol,date,open,high,low,close,volume
INDRAMEDCO,2016-01-01,66.55,67.95,66.25,67.5,270538
INDRAMEDCO,2016-01-04,67.3,67.9,65.85,66.2,352945
INDRAMEDCO,2016-01-05,66.75,67.9,66.05,67.4,393249
INDRAMEDCO,2016-01-06,67.5,69.15,66.25,66.55,782142
INDRAMEDCO,2016-01-07,65.6,66.0,63.6,64.1,321641
INDRAMEDCO,2016-01-08,64.9,65.4,64.3,64.65,164609
INDRAMEDCO,2016-01-11,63.8,64.7,63.15,64.25,133105
INDRAMEDCO,2016-01-12,64.7,65.6,63.45,64.1,226221
INDRAMEDCO,2016-01-13,64.5,64.7,59.4,62.35,360185
INDRAMEDCO,2016-01-14,59.65,62.15,59.65,61.3,178725
INDRAMEDCO,2016-01-15,61.4,61.75,58.0,59.05,236823
INDRAMEDCO,2016-01-18,58.8,58.95,55.1,55.7,238656
INDRAMEDCO,2016-01-19,55.45,58.45,54.55,57.45,128152
INDRAMEDCO,2016-01-20,56.45,56.7,53.8,54.85,241532
INDRAMEDCO,2016-01-21,56.5,57.0,54.7,55.45,107997
INDRAMEDCO,2016-01-22,56.0,56.6,55.75,55.95,147067
INDRAMEDCO,2016-01-25,56.9,57.5,56.1,56.5,93104
INDRAMEDCO,2016-01-27,56.6,57.0,56.05,56.25,43370
INDRAMEDCO,2016-01-28,56.3,56.45,55.5,55.9,51834
INDRAMEDCO,2016-01-29,55.2,56.85,55.05,56.5,147987
INDRAMEDCO,2016-02-01,57.05,57.65,56.5,56.8,158630
INDRAMEDCO,2016-02-02,57.1,58.45,56.8,57.6,134359
INDRAMEDCO,2016-02-03,57.05,58.7,55.8,57.6,160221
INDRAMEDCO,2016-02-04,57.75,57.85,55.7,56.7,79481
INDRAMEDCO,2016-02-05,56.85,57.5,56.25,57.3,38335
INDRAMEDCO,2016-02-08,57.8,58.5,56.8,57.6,58963
INDRAMEDCO,2016-02-09,57.9,57.9,56.25,56.7,84449
INDRAMEDCO,2016-02-10,55.55,55.7,53.9,54.1,158934
INDRAMEDCO,2016-02-11,53.55,54.15,49.3,50.0,179336
INDRAMEDCO,2016-02-12,51.0,51.0,47.8,48.9,113654
INDRAMEDCO,2016-02-15,50.65,51.25,47.9,50.0,76298
INDRAMEDCO,2016-02-16,50.25,50.8,48.3,48.4,57123
INDRAMEDCO,2016-02-17,48.15,49.95,46.5,48.65,98553
INDRAMEDCO,2016-02-18,48.05,49.0,46.55,47.5,58405
INDRAMEDCO,2016-02-19,47.35,51.8,47.35,50.85,218904
INDRAMEDCO,2016-02-22,50.4,51.7,49.8,49.8,107018
INDRAMEDCO,2016-02-23,50.0,50.4,49.1,49.2,41146
INDRAMEDCO,2016-02-24,49.4,49.4,47.9,48.3,62312
INDRAMEDCO,2016-02-25,48.95,48.95,47.5,48.4,51535
INDRAMEDCO,2016-02-26,48.8,48.8,47.65,48.1,24727
INDRAMEDCO,2016-02-29,47.95,48.6,47.3,47.55,101046
INDRAMEDCO,2016-03-01,48.4,49.3,47.1,49.0,70641
INDRAMEDCO,2016-03-02,49.85,52.55,49.25,51.65,208833
INDRAMEDCO,2016-03-03,51.85,52.3,50.9,51.2,91548
INDRAMEDCO,2016-03-04,51.8,52.9,51.05,51.85,86235
INDRAMEDCO,2016-03-08,52.0,52.7,50.6,50.9,54378
INDRAMEDCO,2016-03-09,50.7,51.05,50.25,50.4,48383
INDRAMEDCO,2016-03-10,50.3,51.45,50.1,50.5,106501
INDRAMEDCO,2016-03-11,50.65,51.25,49.8,50.1,64914
INDRAMEDCO,2016-03-14,50.35,50.85,50.1,50.1,46908
INDRAMEDCO,2016-03-15,50.45,50.9,48.1,48.5,158893
INDRAMEDCO,2016-03-16,48.75,49.4,48.15,48.5,92369
INDRAMEDCO,2016-03-17,49.2,49.4,47.7,47.95,136495
INDRAMEDCO,2016-03-18,48.2,48.75,47.25,47.95,96221
INDRAMEDCO,2016-03-21,49.5,52.75,48.6,52.5,427830
INDRAMEDCO,2016-03-22,53.0,53.55,52.0,52.6,162360
INDRAMEDCO,2016-03-23,52.55,52.8,51.5,52.45,62671
INDRAMEDCO,2016-03-28,52.7,53.2,51.4,51.95,72448
INDRAMEDCO,2016-03-29,51.75,52.5,50.4,52.2,179916
INDRAMEDCO,2016-03-30,52.15,53.3,51.5,52.8,117089
INDRAMEDCO,2016-03-31,52.8,53.1,51.5,52.3,37485
INDRAMEDCO,2016-04-01,51.8,54.3,51.8,53.4,93672
INDRAMEDCO,2016-04-04,53.3,54.75,53.0,54.7,79924
INDRAMEDCO,2016-04-05,54.05,55.7,53.7,54.0,103069
INDRAMEDCO,2016-04-06,54.55,54.55,53.5,54.5,35608
INDRAMEDCO,2016-04-07,54.7,56.95,53.9,55.9,242520
INDRAMEDCO,2016-04-08,55.2,56.2,55.05,55.05,50445
INDRAMEDCO,2016-04-11,55.65,55.75,54.65,55.1,67697
INDRAMEDCO,2016-04-12,54.75,57.25,54.75,56.45,158570
INDRAMEDCO,2016-04-13,57.45,58.0,57.0,57.05,109217
INDRAMEDCO,2016-04-18,57.2,57.3,56.15,56.2,53615
INDRAMEDCO,2016-04-20,56.35,58.9,56.35,57.75,167092
INDRAMEDCO,2016-04-21,58.7,58.9,56.5,57.25,157421
INDRAMEDCO,2016-04-22,57.2,58.15,56.7,56.8,104099
INDRAMEDCO,2016-04-25,56.6,57.4,56.1,56.2,90290
INDRAMEDCO,2016-04-26,56.25,57.0,55.8,56.9,56685
INDRAMEDCO,2016-04-27,56.75,57.4,54.85,55.3,213786
INDRAMEDCO,2016-04-28,55.3,56.35,54.8,55.45,46539
INDRAMEDCO,2016-04-29,54.8,55.5,54.6,55.3,50280
INDRAMEDCO,2016-05-02,54.6,55.8,54.55,55.5,58156
