symbol,date,open,high,low,close,volume
INDSWFTLTD,2008-06-09,25.0,25.0,23.6,24.2,20283
INDSWFTLTD,2008-06-10,25.4,26.25,24.5,24.9,22727
INDSWFTLTD,2008-06-11,25.8,27.6,25.7,26.35,73517
INDSWFTLTD,2008-06-12,25.35,28.0,25.35,27.0,78925
INDSWFTLTD,2008-06-13,27.9,28.45,27.5,27.65,36578
INDSWFTLTD,2008-06-16,28.5,29.15,27.9,28.15,60040
INDSWFTLTD,2008-06-17,25.2,28.5,25.2,28.15,62825
INDSWFTLTD,2008-06-18,28.25,29.5,28.25,28.3,75701
INDSWFTLTD,2008-06-19,27.5,28.2,27.2,27.3,32640
INDSWFTLTD,2008-06-20,27.8,27.8,25.6,25.8,32261
INDSWFTLTD,2008-06-23,25.1,26.45,24.45,25.4,32400
INDSWFTLTD,2008-06-24,25.9,25.9,24.7,24.95,21679
INDSWFTLTD,2008-06-25,24.25,25.1,24.25,25.0,16261
INDSWFTLTD,2008-06-26,25.35,25.5,24.65,24.9,8349
INDSWFTLTD,2008-06-27,23.65,24.7,23.65,23.9,18063
INDSWFTLTD,2008-06-30,23.6,24.15,23.2,23.55,17017
INDSWFTLTD,2008-07-01,23.5,23.5,22.15,22.3,16256
INDSWFTLTD,2008-07-02,21.5,23.3,21.0,22.75,36097
INDSWFTLTD,2008-07-03,22.05,22.15,21.7,22.0,16153
INDSWFTLTD,2008-07-04,22.0,23.0,21.6,21.85,17361
INDSWFTLTD,2008-07-07,22.65,23.4,22.5,22.75,26527
INDSWFTLTD,2008-07-08,22.1,23.4,22.0,22.8,29992
INDSWFTLTD,2008-07-09,23.15,23.9,23.1,23.55,9830
INDSWFTLTD,2008-07-10,22.8,23.9,22.8,23.8,18434
INDSWFTLTD,2008-07-11,23.25,24.75,22.85,23.3,11447
INDSWFTLTD,2008-07-14,23.0,23.3,22.6,22.8,8283
INDSWFTLTD,2008-07-15,22.8,23.0,21.95,22.0,12950
INDSWFTLTD,2008-07-16,22.1,22.5,21.75,22.05,7244
INDSWFTLTD,2008-07-17,22.6,22.6,21.8,22.0,5426
INDSWFTLTD,2008-07-18,22.0,23.1,22.0,22.95,9314
INDSWFTLTD,2008-07-21,23.0,23.75,22.45,23.4,18676
INDSWFTLTD,2008-07-22,22.5,23.6,22.5,23.15,2819
INDSWFTLTD,2008-07-23,23.8,24.25,23.4,23.9,17818
INDSWFTLTD,2008-07-24,23.5,24.3,23.2,23.75,17473
INDSWFTLTD,2008-07-25,22.4,23.65,22.4,23.2,5403
INDSWFTLTD,2008-07-28,23.25,24.6,23.25,24.4,24031
INDSWFTLTD,2008-07-29,24.9,24.9,23.3,23.55,8830
INDSWFTLTD,2008-07-30,24.85,24.85,23.9,24.25,13596
INDSWFTLTD,2008-07-31,26.0,27.4,24.0,24.25,93103
INDSWFTLTD,2008-08-01,23.15,25.2,22.0,24.5,26290
INDSWFTLTD,2008-08-04,23.5,25.0,23.5,24.6,23585
INDSWFTLTD,2008-08-05,24.65,25.0,24.15,24.9,34419
INDSWFTLTD,2008-08-06,25.5,25.7,24.15,24.35,26190
INDSWFTLTD,2008-08-07,24.2,24.6,24.2,24.45,6689
INDSWFTLTD,2008-08-08,23.95,26.4,23.95,25.6,53029
INDSWFTLTD,2008-08-11,26.0,26.75,25.45,25.7,28646
INDSWFTLTD,2008-08-12,26.1,26.9,24.8,25.85,89535
INDSWFTLTD,2008-08-13,26.2,26.2,25.15,25.35,9246
INDSWFTLTD,2008-08-14,25.35,25.35,24.0,24.65,9292
INDSWFTLTD,2008-08-18,25.0,25.0,24.1,24.25,10766
INDSWFTLTD,2008-08-19,24.3,26.0,23.55,23.9,13604
