symbol,date,open,high,low,close,volume
INFOMEDIA,2016-01-01,7.4,7.85,7.3,7.85,207089
INFOMEDIA,2016-01-04,8.4,8.6,7.7,8.4,469919
INFOMEDIA,2016-01-05,8.5,8.9,8.3,8.8,990263
INFOMEDIA,2016-01-06,8.8,8.9,8.0,8.0,377641
INFOMEDIA,2016-01-07,7.75,7.9,7.2,7.35,191288
INFOMEDIA,2016-01-08,7.9,7.9,7.3,7.6,82401
INFOMEDIA,2016-01-11,7.0,8.3,7.0,7.75,206424
INFOMEDIA,2016-01-12,8.45,8.45,7.25,7.5,100963
INFOMEDIA,2016-01-13,7.85,7.85,6.85,7.45,140201
INFOMEDIA,2016-01-14,6.85,7.25,6.65,6.75,75229
INFOMEDIA,2016-01-15,6.8,7.4,6.4,6.5,123966
INFOMEDIA,2016-01-18,6.6,6.6,5.9,5.9,106286
INFOMEDIA,2016-01-19,5.7,5.9,5.65,5.65,83884
INFOMEDIA,2016-01-20,5.5,5.6,5.5,5.5,39519
INFOMEDIA,2016-01-21,5.35,5.5,5.25,5.25,20181
INFOMEDIA,2016-01-22,5.5,5.5,5.1,5.4,78758
INFOMEDIA,2016-01-25,5.55,5.55,5.05,5.05,73741
INFOMEDIA,2016-01-27,5.0,5.3,4.8,5.1,72596
INFOMEDIA,2016-01-28,5.1,5.1,4.8,4.8,82849
INFOMEDIA,2016-01-29,4.65,5.0,4.65,5.0,53709
INFOMEDIA,2016-02-01,5.0,5.25,5.0,5.2,34485
INFOMEDIA,2016-02-02,5.05,5.2,4.95,4.95,59913
INFOMEDIA,2016-02-03,4.75,4.85,4.75,4.75,24042
INFOMEDIA,2016-02-04,4.55,4.7,4.55,4.55,32845
INFOMEDIA,2016-02-05,4.8,4.9,4.5,4.9,22102
INFOMEDIA,2016-02-08,5.0,5.0,4.7,4.8,14089
INFOMEDIA,2016-02-09,4.5,4.8,4.5,4.5,42071
INFOMEDIA,2016-02-10,4.1,4.4,4.05,4.05,28719
INFOMEDIA,2016-02-11,4.0,4.45,4.0,4.05,28898
INFOMEDIA,2016-02-12,4.05,4.2,3.8,4.2,30088
INFOMEDIA,2016-02-15,4.2,4.5,3.9,3.95,44741
INFOMEDIA,2016-02-16,4.2,4.2,3.6,3.75,49992
INFOMEDIA,2016-02-17,3.6,3.95,3.55,3.95,25472
INFOMEDIA,2016-02-18,4.0,4.2,3.7,3.85,23255
INFOMEDIA,2016-02-19,4.0,4.1,3.85,3.9,13600
INFOMEDIA,2016-02-22,4.25,4.25,3.9,4.2,14245
INFOMEDIA,2016-02-23,4.25,4.35,3.8,3.9,164993
INFOMEDIA,2016-02-24,3.85,3.85,3.6,3.65,53343
INFOMEDIA,2016-02-25,3.8,3.8,3.55,3.7,5851
INFOMEDIA,2016-02-26,3.55,3.8,3.5,3.8,18684
INFOMEDIA,2016-02-29,3.9,4.05,3.55,3.9,73937
INFOMEDIA,2016-03-01,3.9,3.9,3.65,3.9,18793
INFOMEDIA,2016-03-02,3.8,3.95,3.75,3.8,36678
INFOMEDIA,2016-03-03,3.9,4.1,3.7,4.05,11515
INFOMEDIA,2016-03-04,4.0,4.1,3.9,4.0,31963
