symbol,date,open,high,low,close,volume
INIFTY,2016-01-01,84.5,86.99,82.0,82.0,1027
INIFTY,2016-01-04,82.0,82.89,81.01,82.4,1593
INIFTY,2016-01-05,81.25,81.25,80.25,80.45,1581
INIFTY,2016-01-06,81.45,81.88,80.5,80.5,91
INIFTY,2016-01-07,79.5,80.3,77.15,79.8,3393
INIFTY,2016-01-08,80.0,81.88,79.0,79.55,668
INIFTY,2016-01-11,81.98,81.98,79.85,81.55,2128
INIFTY,2016-01-12,81.99,84.0,81.99,82.0,339
INIFTY,2016-01-13,81.0,82.8,80.05,82.35,599
INIFTY,2016-01-14,81.0,83.35,81.0,83.35,568
INIFTY,2016-01-15,80.5,82.0,80.5,81.88,656
INIFTY,2016-01-18,82.5,82.5,80.1,81.47,409
INIFTY,2016-01-19,83.48,83.48,82.7,83.44,500
INIFTY,2016-01-20,83.44,86.0,77.11,79.1,993
INIFTY,2016-01-21,82.48,82.48,79.0,81.8,602
INIFTY,2016-01-22,81.9,82.98,81.74,82.25,471
INIFTY,2016-01-25,84.3,84.7,84.0,84.7,208
INIFTY,2016-01-27,83.9,84.4,81.0,81.0,50321
INIFTY,2016-01-28,84.8,84.8,80.5,80.5,611916
INIFTY,2016-01-29,81.85,81.85,80.3,80.7,616152
INIFTY,2016-02-01,82.0,82.0,80.0,80.3,266341
INIFTY,2016-02-02,81.25,81.25,80.1,81.0,1073
INIFTY,2016-02-03,79.01,80.0,78.02,78.85,5772
INIFTY,2016-02-04,80.75,81.0,80.5,80.5,127
INIFTY,2016-02-05,76.51,80.19,76.51,78.67,1240
INIFTY,2016-02-08,70.01,80.0,70.0,76.5,3455
INIFTY,2016-02-09,75.1,77.98,75.1,76.9,643
INIFTY,2016-02-10,76.9,76.9,76.0,76.0,1757
INIFTY,2016-02-11,76.0,77.9,73.65,77.88,6478
INIFTY,2016-02-12,78.0,83.8,75.0,80.0,1070
INIFTY,2016-02-15,75.8,77.48,75.31,76.5,2055
INIFTY,2016-02-16,71.5,74.0,70.28,73.0,8889
INIFTY,2016-02-17,73.78,73.78,72.05,72.05,756
INIFTY,2016-02-18,74.95,74.95,73.96,74.06,1363
INIFTY,2016-02-19,74.2,74.41,74.2,74.2,307
INIFTY,2016-02-22,74.87,74.87,74.76,74.8,549
INIFTY,2016-02-23,74.8,74.8,73.6,73.75,1141
INIFTY,2016-02-24,73.0,73.38,72.5,72.59,3240
INIFTY,2016-02-25,72.81,72.81,72.25,72.25,814
INIFTY,2016-02-26,72.95,72.95,72.4,72.77,445
INIFTY,2016-02-29,72.65,73.27,70.7,72.13,7181
INIFTY,2016-03-01,73.08,74.4,73.08,74.4,461
INIFTY,2016-03-02,75.23,75.88,75.23,75.82,1751
INIFTY,2016-03-03,76.09,77.1,76.07,76.87,18438
INIFTY,2016-03-04,76.7,76.9,76.7,76.8,614
INIFTY,2016-03-08,77.0,77.98,77.0,77.97,53967
INIFTY,2016-03-09,76.93,77.96,76.93,77.41,2474
INIFTY,2016-03-10,77.05,78.03,76.93,77.5,1993
INIFTY,2016-03-11,77.5,78.06,77.5,77.62,333
INIFTY,2016-03-14,77.6,78.26,77.6,78.13,1544
INIFTY,2016-03-15,77.65,77.99,77.1,77.1,7730
INIFTY,2016-03-16,76.95,77.18,76.5,77.15,202
INIFTY,2016-03-17,78.3,78.5,77.32,77.32,547
INIFTY,2016-03-18,78.1,78.52,77.64,78.51,22728
INIFTY,2016-03-21,79.08,79.36,78.76,79.36,3324
INIFTY,2016-03-22,78.97,79.61,78.95,79.55,4268
INIFTY,2016-03-23,79.31,79.7,79.31,79.7,6976
INIFTY,2016-03-28,79.7,79.85,78.87,79.85,12190
INIFTY,2016-03-29,79.1,79.1,78.72,79.05,428
INIFTY,2016-03-30,79.25,79.85,79.25,79.85,823
INIFTY,2016-03-31,80.61,80.61,78.41,79.63,684
INIFTY,2016-04-01,80.21,80.4,79.92,79.92,1163
INIFTY,2016-04-04,80.19,80.25,79.95,80.25,1104
INIFTY,2016-04-05,79.78,80.22,79.0,79.0,4264
INIFTY,2016-04-06,79.0,79.0,78.6,78.6,673
INIFTY,2016-04-07,78.57,78.57,78.33,78.33,611
INIFTY,2016-04-08,78.64,78.85,78.59,78.7,590
INIFTY,2016-04-11,78.6,78.9,78.18,78.9,1517
INIFTY,2016-04-12,79.87,79.92,79.43,79.9,660
INIFTY,2016-04-13,81.26,81.26,80.96,81.18,457
INIFTY,2016-04-18,81.18,81.96,81.18,81.63,688
INIFTY,2016-04-20,82.0,82.0,81.39,81.87,247
INIFTY,2016-04-21,82.0,82.49,81.76,81.76,779
INIFTY,2016-04-22,81.99,82.09,81.31,81.31,685
INIFTY,2016-04-25,81.51,81.51,81.41,81.41,115
INIFTY,2016-04-26,81.43,82.07,81.0,82.07,147
INIFTY,2016-04-27,83.36,84.0,83.36,83.51,383
INIFTY,2016-04-28,81.83,82.75,81.4,81.4,903
INIFTY,2016-04-29,81.68,81.68,80.9,81.0,324
INIFTY,2016-05-02,80.43,80.43,78.61,78.74,10948
INIFTY,2016-05-03,79.2,79.2,77.95,78.26,4854
INIFTY,2016-05-04,78.0,78.0,77.5,77.5,2403
INIFTY,2016-05-05,77.8,78.23,77.8,78.03,779
INIFTY,2016-05-06,77.25,78.43,77.2,78.05,13074
INIFTY,2016-05-09,78.49,79.62,78.49,79.57,18226
INIFTY,2016-05-10,79.25,79.81,79.0,79.58,5402
INIFTY,2016-05-11,79.02,79.49,78.9,79.16,2881
INIFTY,2016-05-12,79.59,79.81,79.3,79.58,1278
INIFTY,2016-05-13,79.5,79.5,78.51,78.81,3739
INIFTY,2016-05-16,78.65,79.06,78.25,79.06,2257
INIFTY,2016-05-17,79.66,80.55,79.36,79.36,8561
INIFTY,2016-05-18,79.01,79.06,78.8,78.97,2426
INIFTY,2016-05-19,79.21,79.33,78.75,78.75,855
INIFTY,2016-05-20,78.67,78.67,78.0,78.0,33527
INIFTY,2016-05-23,86.6,86.6,77.9,77.92,784
INIFTY,2016-05-24,77.96,77.96,77.65,77.85,2789
INIFTY,2016-05-25,78.98,79.61,78.98,79.61,2378
INIFTY,2016-05-26,80.25,80.65,80.25,80.65,207
INIFTY,2016-05-27,81.46,81.93,81.46,81.86,9727
INIFTY,2016-05-30,82.55,82.55,82.01,82.11,4500
INIFTY,2016-05-31,82.57,82.57,81.91,82.01,1580
INIFTY,2016-06-01,82.45,82.71,82.04,82.04,5859
INIFTY,2016-06-02,82.2,82.95,81.9,82.95,5589
INIFTY,2016-06-03,83.06,83.06,82.42,82.42,3226
INIFTY,2016-06-06,82.89,82.89,82.15,82.5,13441
INIFTY,2016-06-07,83.0,83.31,82.81,83.06,1951
INIFTY,2016-06-08,83.3,83.3,82.82,83.29,6289
INIFTY,2016-06-09,83.19,83.19,82.4,82.55,1488
INIFTY,2016-06-10,82.64,83.41,82.19,82.19,4285
INIFTY,2016-06-13,81.66,81.74,81.08,81.7,7769
INIFTY,2016-06-14,81.87,81.87,81.26,81.69,2567
INIFTY,2016-06-15,82.01,82.95,81.95,82.95,7203
INIFTY,2016-06-16,82.54,82.54,81.74,82.27,2015
INIFTY,2016-06-17,82.91,82.91,82.22,82.27,2073
INIFTY,2016-06-20,82.25,83.24,82.25,83.07,2625
INIFTY,2016-06-21,83.37,83.37,82.9,82.97,1951
INIFTY,2016-06-22,83.0,83.08,82.5,82.5,1608
INIFTY,2016-06-23,83.14,83.6,82.62,83.37,2004
INIFTY,2016-06-24,81.13,82.58,80.45,82.58,18145
INIFTY,2016-06-27,81.87,82.39,81.7,82.22,3768
INIFTY,2016-06-28,82.23,82.45,82.0,82.25,2376
INIFTY,2016-06-29,82.63,82.97,82.5,82.68,2104
INIFTY,2016-06-30,83.67,83.79,83.41,83.75,1922
INIFTY,2016-07-01,84.09,84.5,84.01,84.37,3801
INIFTY,2016-07-04,84.6,84.76,84.44,84.51,4051
INIFTY,2016-07-05,84.41,84.44,84.13,84.2,2158
INIFTY,2016-07-07,84.15,84.35,84.0,84.35,3703
INIFTY,2016-07-08,84.2,84.2,83.85,84.02,22374
INIFTY,2016-07-11,84.87,85.54,84.87,85.47,6586
INIFTY,2016-07-12,85.87,86.04,85.65,86.04,3467
INIFTY,2016-07-13,86.0,86.1,85.76,86.1,8436
INIFTY,2016-07-14,86.12,86.69,86.12,86.41,2497
INIFTY,2016-07-15,86.94,86.94,86.17,86.45,2122
INIFTY,2016-07-18,86.77,87.0,85.94,85.94,2646
INIFTY,2016-07-19,86.34,86.34,85.89,86.2,1872
INIFTY,2016-07-20,86.3,86.89,86.3,86.89,463
INIFTY,2016-07-21,86.91,86.91,86.3,86.3,289
INIFTY,2016-07-22,86.3,86.38,86.23,86.38,905
