symbol,date,open,high,low,close,volume
INSPIRISYS,2018-10-12,29.0,29.15,28.5,29.15,46204
INSPIRISYS,2018-10-15,29.05,30.225,28.5,29.0,6744
INSPIRISYS,2018-10-16,28.325,30.175,28.325,30.175,72832
INSPIRISYS,2018-10-17,30.25,31.0,28.675,28.675,29358
INSPIRISYS,2018-10-19,28.8,30.0,28.0,29.65,7052
INSPIRISYS,2018-10-22,30.925,30.925,29.125,30.475,5904
INSPIRISYS,2018-10-23,29.85,30.425,29.0,29.85,9954
INSPIRISYS,2018-10-24,30.6,31.1,29.5,30.975,19362
INSPIRISYS,2018-10-25,30.0,32.3,30.0,32.225,46074
INSPIRISYS,2018-10-26,32.5,33.5,32.025,32.975,12278
INSPIRISYS,2018-10-29,33.3,34.0,31.375,31.375,10176
INSPIRISYS,2018-10-30,31.075,32.5,31.075,32.5,35736
INSPIRISYS,2018-10-31,32.5,32.5,31.75,31.8,52070
INSPIRISYS,2018-11-01,32.5,32.5,31.75,31.75,13348
INSPIRISYS,2018-11-02,32.25,32.5,31.75,32.475,127094
INSPIRISYS,2018-11-05,32.725,32.725,31.15,31.15,25076
INSPIRISYS,2018-11-06,30.775,32.4,30.25,31.275,42410
INSPIRISYS,2018-11-07,32.325,32.325,30.75,31.85,7592
INSPIRISYS,2018-11-09,32.2,32.25,31.05,31.625,1804
INSPIRISYS,2018-11-12,31.275,31.875,30.05,31.5,45726
INSPIRISYS,2018-11-13,31.825,32.0,30.825,32.0,7968
INSPIRISYS,2018-11-14,31.975,32.0,31.25,31.95,8180
INSPIRISYS,2018-11-15,31.175,31.975,31.15,31.725,4376
INSPIRISYS,2018-11-16,31.875,31.9,31.0,31.5,18492
INSPIRISYS,2018-11-19,30.525,31.675,30.525,31.2,1192
INSPIRISYS,2018-11-20,31.175,31.175,30.525,30.625,3328
INSPIRISYS,2018-11-21,31.7,31.7,30.525,30.6,3358
INSPIRISYS,2018-11-22,31.4,31.425,30.65,31.075,2680
INSPIRISYS,2018-11-26,31.7,31.7,30.25,31.25,2398
INSPIRISYS,2018-11-27,30.3,31.9,30.3,31.725,2790
INSPIRISYS,2018-11-28,30.35,31.875,30.25,30.25,5706
INSPIRISYS,2018-11-29,30.475,30.5,29.5,29.525,3238
INSPIRISYS,2018-11-30,29.05,31.325,29.05,31.275,44004
INSPIRISYS,2018-12-03,31.675,32.0,31.0,31.0,10498
INSPIRISYS,2018-12-04,31.725,31.725,30.65,31.425,1284
INSPIRISYS,2018-12-05,30.05,31.925,30.025,30.85,43954
INSPIRISYS,2018-12-06,30.125,30.85,29.95,30.45,2840
INSPIRISYS,2018-12-07,30.95,31.0,29.7,30.975,3620
INSPIRISYS,2018-12-10,30.0,30.5,30.0,30.5,346
INSPIRISYS,2018-12-11,30.975,30.975,28.5,29.675,23766
