symbol,date,open,high,low,close,volume
IPAPPM,2016-01-01,267.0,271.6,267.0,269.1,28262
IPAPPM,2016-01-04,266.3,271.0,262.65,265.4,25296
IPAPPM,2016-01-05,264.5,281.4,263.5,273.7,94995
IPAPPM,2016-01-06,274.75,274.75,267.0,267.65,24580
IPAPPM,2016-01-07,267.0,267.0,256.0,258.0,29676
IPAPPM,2016-01-08,259.95,265.0,259.95,261.65,10634
IPAPPM,2016-01-11,260.9,260.9,255.5,258.5,22524
IPAPPM,2016-01-12,260.0,264.4,255.5,256.5,18235
IPAPPM,2016-01-13,259.9,260.45,240.15,249.95,64528
IPAPPM,2016-01-14,241.25,249.7,240.85,245.95,20482
IPAPPM,2016-01-15,248.5,248.9,230.5,231.2,27024
IPAPPM,2016-01-18,226.5,234.0,220.0,226.0,152464
IPAPPM,2016-01-19,226.5,234.0,225.2,227.7,244071
IPAPPM,2016-01-20,225.3,237.95,216.15,235.0,105839
IPAPPM,2016-01-21,236.0,238.9,226.15,227.35,37991
IPAPPM,2016-01-22,252.0,275.0,243.3,275.0,530916
IPAPPM,2016-01-25,278.95,284.2,265.15,266.2,189667
IPAPPM,2016-01-27,269.0,272.35,263.15,263.7,30740
IPAPPM,2016-01-28,264.55,288.8,262.55,275.2,258352
IPAPPM,2016-01-29,277.55,283.0,270.8,278.25,61815
IPAPPM,2016-02-01,278.4,282.65,271.2,273.0,36193
IPAPPM,2016-02-02,277.0,277.75,269.35,270.0,53930
IPAPPM,2016-02-03,269.95,270.65,265.0,265.0,33832
IPAPPM,2016-02-04,267.75,274.8,261.0,262.25,36324
IPAPPM,2016-02-05,265.0,269.0,262.6,268.0,34892
IPAPPM,2016-02-08,265.35,269.8,263.5,265.2,23130
IPAPPM,2016-02-09,263.55,265.4,257.0,259.0,33669
IPAPPM,2016-02-10,257.55,259.3,247.0,247.45,38671
IPAPPM,2016-02-11,249.0,249.0,234.0,236.0,44377
IPAPPM,2016-02-12,237.0,242.7,225.2,241.0,59378
IPAPPM,2016-02-15,242.05,256.0,242.05,252.0,117132
IPAPPM,2016-02-16,253.2,253.9,247.5,249.0,43157
IPAPPM,2016-02-17,246.9,251.55,242.0,247.0,22276
IPAPPM,2016-02-18,250.7,252.0,247.2,247.95,22614
IPAPPM,2016-02-19,246.75,253.0,246.3,252.55,29473
