symbol,date,open,high,low,close,volume
JETAIRWAYS,2016-01-01,358.0,388.9,357.875,379.125,40691742
JETAIRWAYS,2016-01-04,375.6,386.725,363.15,365.5,20351484
JETAIRWAYS,2016-01-05,371.575,375.9,364.525,368.9,10362328
JETAIRWAYS,2016-01-06,371.5,379.0,366.05,372.95,11456654
JETAIRWAYS,2016-01-07,369.6,377.975,362.425,371.075,18008848
JETAIRWAYS,2016-01-08,376.0,379.95,371.5,374.6,9092358
JETAIRWAYS,2016-01-11,371.8,379.575,369.025,375.375,8002868
JETAIRWAYS,2016-01-12,379.7,391.625,378.875,387.05,17544334
JETAIRWAYS,2016-01-13,392.9,398.0,369.65,388.0,21770300
JETAIRWAYS,2016-01-14,383.0,386.075,373.65,375.5,10207580
JETAIRWAYS,2016-01-15,381.9,384.075,348.3,352.125,10283800
JETAIRWAYS,2016-01-18,353.525,357.5,305.0,312.575,13305348
JETAIRWAYS,2016-01-19,321.25,338.875,307.525,338.475,20916766
JETAIRWAYS,2016-01-20,328.55,332.0,313.15,326.95,14922110
JETAIRWAYS,2016-01-21,334.9,337.475,324.25,330.0,10583050
JETAIRWAYS,2016-01-22,333.5,333.5,282.825,309.875,36940168
JETAIRWAYS,2016-01-25,313.2,316.325,300.7,312.0,19950484
JETAIRWAYS,2016-01-27,315.525,326.375,313.5,326.375,12375130
JETAIRWAYS,2016-01-28,324.5,328.85,309.375,314.675,15431530
JETAIRWAYS,2016-01-29,312.0,312.0,294.625,301.1,13735700
JETAIRWAYS,2016-02-01,318.5,318.5,301.35,301.8,11138642
JETAIRWAYS,2016-02-02,305.925,309.375,298.075,301.325,9832722
JETAIRWAYS,2016-02-03,297.925,306.0,277.7,278.0,15268376
JETAIRWAYS,2016-02-04,278.975,281.425,257.05,268.0,17101578
JETAIRWAYS,2016-02-05,265.625,289.875,257.975,288.725,21123992
JETAIRWAYS,2016-02-08,305.875,309.0,293.7,295.875,23054152
JETAIRWAYS,2016-02-09,290.5,295.75,285.525,289.9,9645804
JETAIRWAYS,2016-02-10,290.9,299.95,288.0,294.25,12369888
JETAIRWAYS,2016-02-11,294.075,294.95,258.6,260.0,15603484
JETAIRWAYS,2016-02-12,262.0,276.5,244.65,271.55,23220196
JETAIRWAYS,2016-02-15,278.5,287.875,274.0,281.975,11775352
JETAIRWAYS,2016-02-16,285.725,285.725,266.1,266.425,9806550
JETAIRWAYS,2016-02-17,267.6,276.625,258.9,275.6,12490502
JETAIRWAYS,2016-02-18,278.8,281.6,267.0,270.525,8774646
JETAIRWAYS,2016-02-19,279.025,283.35,275.3,278.525,9320294
JETAIRWAYS,2016-02-22,279.425,279.475,271.95,275.85,4960138
JETAIRWAYS,2016-02-23,272.55,282.45,270.8,275.075,9203504
JETAIRWAYS,2016-02-24,273.425,279.3,260.5,262.0,8984036
JETAIRWAYS,2016-02-25,262.975,264.3,250.75,252.5,10666846
JETAIRWAYS,2016-02-26,256.85,258.025,245.275,252.25,13818300
JETAIRWAYS,2016-02-29,251.975,254.25,239.0,244.625,13387024
JETAIRWAYS,2016-03-01,239.95,256.65,238.575,255.25,12159276
JETAIRWAYS,2016-03-02,259.9,265.25,255.0,256.4,12397342
JETAIRWAYS,2016-03-03,259.425,260.65,254.75,258.775,7320652
JETAIRWAYS,2016-03-04,260.0,272.4,255.9,267.05,11381418
JETAIRWAYS,2016-03-08,265.0,268.25,260.575,262.5,6477902
JETAIRWAYS,2016-03-09,263.0,271.7,260.5,270.5,7530434
JETAIRWAYS,2016-03-10,274.75,277.35,266.5,267.5,7661250
JETAIRWAYS,2016-03-11,269.5,272.875,266.05,269.2,5936828
JETAIRWAYS,2016-03-14,270.55,272.0,261.8,262.35,5378346
JETAIRWAYS,2016-03-15,263.275,267.95,262.575,264.95,5634848
JETAIRWAYS,2016-03-16,264.975,267.55,258.625,264.0,4738580
JETAIRWAYS,2016-03-17,266.4,266.5,260.125,260.775,3728912
JETAIRWAYS,2016-03-18,260.05,262.35,257.275,261.0,3967806
JETAIRWAYS,2016-03-21,262.0,274.5,261.975,272.5,7959698
JETAIRWAYS,2016-03-22,273.575,277.5,264.95,268.5,7485708
JETAIRWAYS,2016-03-23,267.15,280.575,267.075,275.5,12393456
JETAIRWAYS,2016-03-28,277.575,282.975,270.6,271.3,8308996
JETAIRWAYS,2016-03-29,271.275,274.7,268.125,269.025,4725308
JETAIRWAYS,2016-03-30,271.825,274.225,269.8,271.25,2906656
JETAIRWAYS,2016-03-31,272.475,275.675,268.55,273.575,4275382
JETAIRWAYS,2016-04-01,270.025,284.55,269.2,284.5,9211368
JETAIRWAYS,2016-04-04,287.675,295.8,287.0,293.875,9035498
JETAIRWAYS,2016-04-05,292.65,304.225,292.0,296.575,13913264
JETAIRWAYS,2016-04-06,299.975,316.475,299.525,313.25,12871188
JETAIRWAYS,2016-04-07,311.7,312.95,304.0,306.55,8235976
JETAIRWAYS,2016-04-08,305.325,314.125,305.0,308.5,6950918
JETAIRWAYS,2016-04-11,307.1,314.2,305.125,313.45,6249804
JETAIRWAYS,2016-04-12,313.0,322.25,313.0,315.05,7235808
JETAIRWAYS,2016-04-13,318.0,318.35,311.3,312.025,5837542
JETAIRWAYS,2016-04-18,317.975,323.275,317.975,319.25,4918078
JETAIRWAYS,2016-04-20,320.1,320.95,310.825,311.475,3989846
JETAIRWAYS,2016-04-21,310.5,314.375,306.275,308.175,4158518
JETAIRWAYS,2016-04-22,308.0,312.25,306.825,308.525,2948616
JETAIRWAYS,2016-04-25,308.975,315.0,307.575,314.65,3894266
JETAIRWAYS,2016-04-26,316.35,320.9,315.525,317.0,5974458
JETAIRWAYS,2016-04-27,317.5,320.625,314.075,317.875,4487822
JETAIRWAYS,2016-04-28,318.825,322.225,312.05,315.25,4612404
JETAIRWAYS,2016-04-29,316.3,317.225,305.725,308.275,4534524
JETAIRWAYS,2016-05-02,305.45,314.875,304.525,310.675,5597658
JETAIRWAYS,2016-05-03,312.2,316.45,308.025,310.5,4590014
JETAIRWAYS,2016-05-04,311.5,317.45,310.05,312.875,4137534
JETAIRWAYS,2016-05-05,312.975,314.475,308.525,312.275,2940436
JETAIRWAYS,2016-05-06,313.0,316.25,311.3,313.5,2858896
JETAIRWAYS,2016-05-09,313.7,331.2,310.6,330.975,10104320
JETAIRWAYS,2016-05-10,332.75,334.6,328.5,330.5,6005988
JETAIRWAYS,2016-05-11,325.075,332.125,321.525,325.75,3928280
JETAIRWAYS,2016-05-12,324.6,330.125,321.625,329.55,3438012
JETAIRWAYS,2016-05-13,326.5,332.1,324.575,324.85,4081134
JETAIRWAYS,2016-05-16,326.65,332.5,322.5,331.3,4322330
JETAIRWAYS,2016-05-17,330.85,334.75,324.25,324.5,6097668
JETAIRWAYS,2016-05-18,323.85,328.55,323.05,324.4,4159640
JETAIRWAYS,2016-05-19,325.5,330.225,315.0,315.65,4069832
JETAIRWAYS,2016-05-20,316.625,317.95,298.85,303.7,4967234
JETAIRWAYS,2016-05-23,303.8,306.85,301.0,302.4,3282678
JETAIRWAYS,2016-05-24,304.95,305.1,289.425,291.025,4645878
JETAIRWAYS,2016-05-25,294.1,301.15,291.175,299.7,3662566
JETAIRWAYS,2016-05-26,300.825,305.975,293.0,304.275,7854916
JETAIRWAYS,2016-05-27,316.175,317.35,299.1,300.075,10555606
JETAIRWAYS,2016-05-30,303.0,304.725,296.6,298.7,4219670
