symbol,date,open,high,low,close,volume
JFLLIFE,2023-01-11,47.0,47.0,45.55,45.65,10001
JFLLIFE,2023-01-12,43.0,45.95,43.0,45.95,4001
JFLLIFE,2023-01-13,45.9,45.9,43.0,43.0,8001
JFLLIFE,2023-01-16,44.95,44.95,44.5,44.5,6001
JFLLIFE,2023-01-17,45.7,45.7,42.1,43.5,12001
JFLLIFE,2023-01-18,45.3,45.3,42.7,42.7,6001
JFLLIFE,2023-01-19,42.05,42.05,42.0,42.0,6002
JFLLIFE,2023-01-20,43.95,44.25,43.5,43.5,14001
JFLLIFE,2023-01-23,43.7,43.7,43.0,43.6,28001
JFLLIFE,2023-01-24,43.25,43.5,43.25,43.5,4001
JFLLIFE,2023-01-25,44.95,44.95,40.6,40.6,6001
JFLLIFE,2023-01-27,39.8,40.0,39.8,40.0,6001
JFLLIFE,2023-01-30,40.0,40.0,40.0,40.0,4001
JFLLIFE,2023-01-31,42.0,42.0,40.0,40.0,10001
JFLLIFE,2023-02-01,41.5,42.45,40.0,40.0,8001
JFLLIFE,2023-02-02,40.5,40.5,40.5,40.5,2001
JFLLIFE,2023-02-03,39.05,39.05,38.05,38.05,6001
JFLLIFE,2023-02-06,38.05,39.5,38.05,39.5,12001
JFLLIFE,2023-02-07,40.0,40.0,37.2,37.5,24001
JFLLIFE,2023-02-08,37.5,39.5,37.0,37.0,14001
JFLLIFE,2023-02-09,37.1,37.1,37.1,37.1,2001
JFLLIFE,2023-02-10,39.45,39.45,37.4,37.4,8001
JFLLIFE,2023-02-13,36.7,36.7,36.7,36.7,2001
JFLLIFE,2023-02-15,39.0,39.0,36.0,38.0,10001
JFLLIFE,2023-02-16,38.0,38.0,37.5,37.5,6001
JFLLIFE,2023-02-17,39.0,39.0,36.35,36.45,14001
JFLLIFE,2023-02-20,37.0,37.0,37.0,37.0,6001
JFLLIFE,2023-02-23,35.0,35.0,32.35,34.0,18001
JFLLIFE,2023-03-01,33.25,33.25,33.25,33.25,28001
JFLLIFE,2023-03-02,33.0,33.1,33.0,33.1,4001
JFLLIFE,2023-03-03,35.0,35.0,35.0,35.0,4001
JFLLIFE,2023-03-06,34.5,34.5,34.5,34.5,4001
JFLLIFE,2023-03-09,36.0,36.0,36.0,36.0,2001
JFLLIFE,2023-03-10,34.0,34.2,34.0,34.2,6001
JFLLIFE,2023-03-14,32.55,33.5,32.5,32.8,22002
JFLLIFE,2023-03-15,33.0,35.5,33.0,35.5,8001
JFLLIFE,2023-03-16,33.15,33.15,33.15,33.15,6001
JFLLIFE,2023-03-17,32.15,32.7,32.15,32.7,10001
JFLLIFE,2023-03-20,33.1,33.1,33.0,33.0,4001
JFLLIFE,2023-03-21,33.1,33.1,33.05,33.05,4001
JFLLIFE,2023-03-22,33.05,33.05,33.0,33.0,14001
JFLLIFE,2023-03-23,32.6,32.6,32.5,32.55,16001
JFLLIFE,2023-03-24,33.0,33.25,32.55,33.25,16001
JFLLIFE,2023-03-27,35.0,35.0,32.6,32.6,10001
JFLLIFE,2023-03-28,34.7,34.7,32.5,32.5,28001
JFLLIFE,2023-03-29,33.5,33.5,32.5,32.95,20001
JFLLIFE,2023-03-31,33.0,33.0,32.95,33.0,20001
JFLLIFE,2023-04-03,34.7,34.7,34.7,34.7,2000
JFLLIFE,2023-04-05,35.0,35.5,35.0,35.5,4001
JFLLIFE,2023-04-12,36.5,39.6,36.5,39.6,4001
JFLLIFE,2023-04-13,39.75,40.9,39.75,40.9,8002
JFLLIFE,2023-04-17,42.2,43.8,41.05,43.8,28001
JFLLIFE,2023-04-18,43.65,43.65,43.65,43.65,2001
JFLLIFE,2023-04-19,44.0,44.4,44.0,44.4,4001
JFLLIFE,2023-04-20,43.95,43.95,43.9,43.9,6001
JFLLIFE,2023-04-21,43.0,43.0,43.0,43.0,2001
JFLLIFE,2023-04-25,44.0,44.0,43.0,43.0,6001
JFLLIFE,2023-04-27,43.5,43.5,43.5,43.5,2001
JFLLIFE,2023-04-28,43.5,43.7,43.5,43.7,4002
JFLLIFE,2023-05-04,43.75,43.75,42.0,42.0,6001
JFLLIFE,2023-05-05,43.0,44.5,43.0,44.0,16001
JFLLIFE,2023-05-08,46.9,46.9,45.9,45.9,6001
JFLLIFE,2023-05-09,45.85,45.85,45.85,45.85,2001
JFLLIFE,2023-05-10,48.0,48.0,40.3,40.3,6001
JFLLIFE,2023-05-11,45.7,45.7,45.7,45.7,2001
JFLLIFE,2023-05-12,45.7,45.7,45.7,45.7,2001
JFLLIFE,2023-05-16,45.0,45.0,42.55,42.55,4001
JFLLIFE,2023-05-19,42.55,42.55,42.5,42.5,4001
JFLLIFE,2023-05-22,43.1,43.1,40.0,41.5,24002
JFLLIFE,2023-05-23,44.15,44.2,42.35,44.0,22001
JFLLIFE,2023-05-24,43.0,44.0,43.0,44.0,8001
JFLLIFE,2023-05-25,45.95,45.95,45.0,45.0,4001
JFLLIFE,2023-05-26,43.4,43.4,43.4,43.4,6001
JFLLIFE,2023-05-29,37.8,43.0,37.8,42.8,16001
JFLLIFE,2023-05-31,39.7,40.0,39.5,40.0,14002
JFLLIFE,2023-06-01,40.2,42.0,37.1,38.0,14001
JFLLIFE,2023-06-02,40.9,40.9,40.9,40.9,2001
JFLLIFE,2023-06-05,39.35,39.35,39.35,39.35,2001
JFLLIFE,2023-06-06,40.0,40.8,40.0,40.8,10001
JFLLIFE,2023-06-07,42.0,42.65,42.0,42.65,6001
JFLLIFE,2023-06-09,40.0,42.0,40.0,42.0,4001
JFLLIFE,2023-06-12,40.5,41.0,40.5,41.0,4001
JFLLIFE,2023-06-13,42.5,42.5,42.5,42.5,2001
JFLLIFE,2023-06-14,42.5,42.5,40.05,40.05,6001
JFLLIFE,2023-06-15,39.5,40.0,38.55,40.0,8001
JFLLIFE,2023-06-16,39.0,39.75,39.0,39.75,8001
JFLLIFE,2023-06-19,39.0,39.0,38.4,38.4,6002
JFLLIFE,2023-06-21,40.0,40.85,40.0,40.85,6001
JFLLIFE,2023-06-22,40.55,40.95,40.55,40.95,4001
JFLLIFE,2023-06-27,40.5,40.5,40.5,40.5,2001
JFLLIFE,2023-06-28,40.0,40.0,39.5,39.5,6001
JFLLIFE,2023-06-30,39.1,40.1,39.1,40.1,8001
JFLLIFE,2023-07-03,40.0,40.0,39.2,39.2,10001
JFLLIFE,2023-07-04,40.0,40.0,39.15,40.0,10001
JFLLIFE,2023-07-05,39.7,40.75,39.7,40.75,4001
JFLLIFE,2023-07-06,40.75,42.5,40.75,42.5,16001
JFLLIFE,2023-07-07,42.0,42.45,41.0,42.45,14001
JFLLIFE,2023-07-10,42.3,42.3,42.0,42.0,4001
JFLLIFE,2023-07-11,45.0,45.0,43.95,43.95,4001
JFLLIFE,2023-07-12,43.0,43.0,42.0,42.0,6001
JFLLIFE,2023-07-13,41.6,42.8,40.05,42.8,10001
JFLLIFE,2023-07-14,42.8,42.8,42.0,42.0,6001
JFLLIFE,2023-07-17,42.0,42.95,42.0,42.95,4001
JFLLIFE,2023-07-18,42.5,44.75,42.0,44.2,38001
JFLLIFE,2023-07-19,44.95,47.95,44.0,47.45,112001
JFLLIFE,2023-07-20,47.0,49.4,47.0,47.85,64001
JFLLIFE,2023-07-21,48.0,50.75,46.7,50.0,162002
JFLLIFE,2023-07-24,51.9,53.85,50.0,52.0,140001
JFLLIFE,2023-07-25,52.75,55.85,51.2,52.5,102001
JFLLIFE,2023-07-26,55.0,55.0,50.0,51.7,64001
JFLLIFE,2023-07-27,51.7,52.95,47.4,49.8,98001
JFLLIFE,2023-07-28,50.65,52.6,49.0,50.05,44001
JFLLIFE,2023-07-31,52.0,52.0,48.55,50.0,16001
JFLLIFE,2023-08-01,48.5,52.95,48.5,51.0,42002
JFLLIFE,2023-08-02,50.0,50.0,48.5,48.5,22001
JFLLIFE,2023-08-03,49.8,49.8,45.2,47.75,34001
JFLLIFE,2023-08-04,48.7,51.0,48.45,50.95,42001
JFLLIFE,2023-08-07,51.0,52.75,50.75,51.5,66002
JFLLIFE,2023-08-08,52.0,54.75,52.0,53.5,74001
JFLLIFE,2023-08-09,53.5,53.5,52.0,52.95,28001
JFLLIFE,2023-08-10,53.5,54.85,50.0,51.5,42001
JFLLIFE,2023-08-11,52.0,52.85,51.0,52.0,20001
JFLLIFE,2023-08-14,47.7,50.95,47.7,50.95,4001
JFLLIFE,2023-08-16,51.1,51.1,47.5,47.5,20001
