symbol,date,open,high,low,close,volume
JINDALSTEL,2008-06-09,345.83,349.83,337.35,342.23,2593481
JINDALSTEL,2008-06-10,339.33,353.33,324.21,334.81,3604715
JINDALSTEL,2008-06-11,336.67,349.83,333.54,344.12,1660199
JINDALSTEL,2008-06-12,333.33,355.83,329.33,354.18,2090111
JINDALSTEL,2008-06-13,360.0,366.47,344.18,349.11,2236067
JINDALSTEL,2008-06-16,350.82,360.0,349.17,352.16,1730321
JINDALSTEL,2008-06-17,351.63,364.17,348.33,362.31,2550821
JINDALSTEL,2008-06-18,365.0,370.83,350.17,353.29,2210471
JINDALSTEL,2008-06-19,350.83,358.33,346.0,351.36,2163119
JINDALSTEL,2008-06-20,350.33,356.5,331.22,335.29,2597687
JINDALSTEL,2008-06-23,332.33,336.57,310.08,317.72,2745785
JINDALSTEL,2008-06-24,318.33,322.28,301.76,307.23,2157197
JINDALSTEL,2008-06-25,300.0,315.83,295.17,314.34,2281865
JINDALSTEL,2008-06-26,316.83,324.67,311.83,316.05,3372101
JINDALSTEL,2008-06-27,303.64,315.83,300.85,307.27,2454125
JINDALSTEL,2008-06-30,306.67,312.83,288.35,291.92,2698523
JINDALSTEL,2008-07-01,290.83,295.67,270.0,273.13,3632081
JINDALSTEL,2008-07-02,274.17,316.67,265.0,308.83,4565009
JINDALSTEL,2008-07-03,304.83,306.08,275.0,281.93,4060091
JINDALSTEL,2008-07-04,283.33,285.0,270.17,281.04,3333545
JINDALSTEL,2008-07-07,287.48,304.5,281.86,293.7,3604589
JINDALSTEL,2008-07-08,290.0,295.83,279.17,290.89,2653907
JINDALSTEL,2008-07-09,300.0,310.0,298.33,306.33,2003969
JINDALSTEL,2008-07-10,305.0,315.0,300.0,309.48,2154539
JINDALSTEL,2008-07-11,312.5,315.0,296.68,301.33,2589293
JINDALSTEL,2008-07-14,300.17,310.8,296.0,302.86,1620059
JINDALSTEL,2008-07-15,296.02,302.67,292.1,298.58,2204837
JINDALSTEL,2008-07-16,305.0,308.33,290.0,296.45,2362829
JINDALSTEL,2008-07-17,303.56,308.31,276.72,287.54,5246117
JINDALSTEL,2008-07-18,288.5,296.47,281.67,291.02,2381075
JINDALSTEL,2008-07-21,291.67,294.67,285.92,292.26,962279
JINDALSTEL,2008-07-22,292.17,325.0,290.83,311.48,2687969
JINDALSTEL,2008-07-23,319.83,354.15,319.83,350.48,3790529
JINDALSTEL,2008-07-24,352.5,363.17,323.33,329.65,3471377
JINDALSTEL,2008-07-25,323.33,334.83,316.5,325.93,2395337
JINDALSTEL,2008-07-28,326.5,333.33,324.99,329.77,1018091
JINDALSTEL,2008-07-29,326.5,326.5,309.8,317.3,1192523
JINDALSTEL,2008-07-30,319.98,352.5,319.98,346.4,4027637
JINDALSTEL,2008-07-31,348.33,358.0,340.0,346.01,3088145
JINDALSTEL,2008-08-01,337.5,357.47,333.17,352.93,2773589
JINDALSTEL,2008-08-04,357.5,362.0,346.67,357.84,2947919
JINDALSTEL,2008-08-05,357.84,368.0,333.7,364.25,3128711
JINDALSTEL,2008-08-06,366.67,379.0,343.33,346.02,3255257
JINDALSTEL,2008-08-07,350.0,357.83,336.67,347.63,2327381
JINDALSTEL,2008-08-08,341.67,352.5,339.83,345.16,2016143
JINDALSTEL,2008-08-11,349.17,353.73,342.05,349.88,2044733
JINDALSTEL,2008-08-12,352.5,353.33,329.27,332.37,3421781
JINDALSTEL,2008-08-13,331.63,338.17,322.43,324.37,2244083
JINDALSTEL,2008-08-14,325.2,327.2,316.67,320.0,2320853
JINDALSTEL,2008-08-18,316.85,324.67,311.68,315.18,1858817
JINDALSTEL,2008-08-19,311.67,318.17,308.58,315.68,1313165
JINDALSTEL,2008-08-20,316.67,324.12,316.67,323.3,1689233
JINDALSTEL,2008-08-21,320.83,323.31,315.19,317.12,1463789
JINDALSTEL,2008-08-22,316.67,323.12,313.5,319.56,1194227
JINDALSTEL,2008-08-25,322.67,324.83,317.58,318.54,855077
JINDALSTEL,2008-08-26,315.0,320.67,313.54,319.33,696695
JINDALSTEL,2008-08-27,319.83,321.0,311.67,313.5,1012343
JINDALSTEL,2008-08-28,314.17,315.83,305.33,307.88,2135747
JINDALSTEL,2008-08-29,312.5,320.0,310.83,317.77,1498619
JINDALSTEL,2008-09-01,313.83,319.65,312.13,317.68,805991
JINDALSTEL,2008-09-02,318.83,328.67,315.5,325.43,1190195
JINDALSTEL,2008-09-04,324.17,325.5,313.53,315.43,1074287
JINDALSTEL,2008-09-05,312.02,312.02,298.35,299.98,2015333
JINDALSTEL,2008-09-08,315.07,315.07,303.88,305.86,1470335
JINDALSTEL,2008-09-09,305.86,305.86,298.59,300.42,1756823
JINDALSTEL,2008-09-10,298.33,299.82,274.5,276.55,4862777
JINDALSTEL,2008-09-11,272.0,283.8,268.73,275.33,3758837
JINDALSTEL,2008-09-12,276.21,280.0,261.0,264.68,5057351
JINDALSTEL,2008-09-15,270.83,270.83,241.83,250.46,2906339
JINDALSTEL,2008-09-16,241.67,245.0,229.24,234.69,4069193
JINDALSTEL,2008-09-17,237.5,238.67,215.83,217.98,7330415
JINDALSTEL,2008-09-18,218.33,239.83,199.18,231.46,5817113
JINDALSTEL,2008-09-19,241.67,251.33,230.83,247.38,4938881
JINDALSTEL,2008-09-22,251.5,257.02,244.19,251.27,3718217
JINDALSTEL,2008-09-23,245.17,248.99,238.43,241.52,2061491
JINDALSTEL,2008-09-24,241.67,245.67,235.89,242.79,2137829
JINDALSTEL,2008-09-25,243.33,244.13,231.33,234.82,4301591
JINDALSTEL,2008-09-26,232.5,235.83,216.83,218.68,4452545
JINDALSTEL,2008-09-29,218.17,221.33,207.04,208.82,4836605
JINDALSTEL,2008-09-30,200.0,220.25,193.33,211.74,3988793
JINDALSTEL,2008-10-01,216.67,222.51,205.03,217.09,3473153
JINDALSTEL,2008-10-03,216.62,216.62,188.7,191.25,5765465
JINDALSTEL,2008-10-06,183.33,191.25,158.35,165.38,7551635
JINDALSTEL,2008-10-07,166.67,175.83,153.0,163.07,7032113
JINDALSTEL,2008-10-08,157.5,163.67,143.51,157.89,8473589
JINDALSTEL,2008-10-10,145.0,151.67,128.52,148.42,6533615
JINDALSTEL,2008-10-13,153.33,157.33,141.33,150.45,6426251
JINDALSTEL,2008-10-14,156.67,165.0,140.0,145.48,5479433
JINDALSTEL,2008-10-15,142.83,142.83,126.95,129.58,10806119
JINDALSTEL,2008-10-16,117.78,144.0,114.85,130.53,7327613
JINDALSTEL,2008-10-17,131.67,138.0,125.33,130.33,4288421
JINDALSTEL,2008-10-20,133.33,138.33,126.1,130.0,4112825
JINDALSTEL,2008-10-21,134.83,136.06,126.33,132.18,4688825
JINDALSTEL,2008-10-22,126.83,130.32,115.92,119.63,4284287
JINDALSTEL,2008-10-23,113.0,119.8,102.17,106.14,6462419
JINDALSTEL,2008-10-24,103.67,109.17,99.5,102.94,6280643
JINDALSTEL,2008-10-27,100.0,106.17,86.35,92.78,3948491
JINDALSTEL,2008-10-28,94.5,103.17,94.5,99.74,684131
JINDALSTEL,2008-10-29,103.32,116.67,103.17,115.07,7106735
JINDALSTEL,2008-10-31,116.66,134.8,116.66,132.09,6006311
JINDALSTEL,2008-11-03,137.5,145.0,129.99,134.6,5040281
