symbol,date,open,high,low,close,volume
JITFINFRA,2017-02-27,51.8,52.0,49.25,49.25,16358
JITFINFRA,2017-02-28,46.8,49.0,46.8,46.8,25736
JITFINFRA,2017-03-01,44.5,47.0,44.5,44.5,43379
JITFINFRA,2017-03-02,42.3,45.4,42.3,42.3,66407
JITFINFRA,2017-03-03,42.0,42.15,40.2,40.5,149810
JITFINFRA,2017-03-06,40.2,42.2,39.7,42.2,50285
JITFINFRA,2017-03-07,44.3,44.3,44.3,44.3,2356
JITFINFRA,2017-03-08,46.5,46.5,46.5,46.5,13758
JITFINFRA,2017-03-09,48.8,48.8,48.25,48.8,38167
JITFINFRA,2017-03-10,51.2,51.2,51.2,51.2,2285
JITFINFRA,2017-03-14,53.75,53.75,52.75,53.75,35125
JITFINFRA,2017-03-15,56.4,56.4,54.0,56.4,26285
JITFINFRA,2017-03-16,57.5,59.2,57.5,59.2,27779
JITFINFRA,2017-03-17,62.15,62.15,61.6,62.15,7954
JITFINFRA,2017-03-20,65.25,65.25,65.25,65.25,3357
JITFINFRA,2017-03-21,68.5,68.5,68.5,68.5,3730
JITFINFRA,2017-03-22,71.9,71.9,70.0,71.9,17282
JITFINFRA,2017-03-23,75.45,75.45,73.0,75.45,33339
JITFINFRA,2017-03-24,79.2,79.2,79.2,79.2,1815
JITFINFRA,2017-03-27,83.15,83.15,75.25,76.5,102700
JITFINFRA,2017-03-28,77.0,78.0,72.05,72.05,64577
JITFINFRA,2017-03-29,68.5,70.0,68.45,68.45,85341
JITFINFRA,2017-03-30,65.1,71.9,65.1,71.9,18185
JITFINFRA,2017-03-31,75.45,75.45,70.0,74.9,35816
JITFINFRA,2017-04-03,75.0,75.0,70.25,70.25,9449
JITFINFRA,2017-04-05,66.75,69.75,66.75,67.9,24374
JITFINFRA,2017-04-06,66.0,67.6,65.0,65.4,21091
JITFINFRA,2017-04-07,64.2,68.0,64.2,66.1,14119
JITFINFRA,2017-04-10,65.0,66.9,62.75,62.75,16966
JITFINFRA,2017-04-11,64.95,64.95,59.65,61.5,48751
JITFINFRA,2017-04-12,62.0,63.3,59.7,63.3,9857
JITFINFRA,2017-04-13,66.3,66.45,65.5,66.45,30062
JITFINFRA,2017-04-17,67.8,67.8,63.15,64.45,18218
JITFINFRA,2017-04-18,65.0,66.35,61.0,61.0,18981
JITFINFRA,2017-04-19,63.9,63.9,59.05,60.1,12075
JITFINFRA,2017-04-20,60.5,62.8,59.8,62.6,12680
JITFINFRA,2017-04-21,61.0,63.9,59.9,61.0,23900
JITFINFRA,2017-04-24,60.0,62.0,59.5,62.0,12167
JITFINFRA,2017-04-25,61.6,64.65,60.05,64.65,81215
JITFINFRA,2017-04-26,67.5,67.85,67.5,67.85,9651
JITFINFRA,2017-04-27,70.7,71.0,65.3,70.0,31417
JITFINFRA,2017-04-28,68.1,68.3,66.2,68.3,12129
JITFINFRA,2017-05-02,65.25,69.5,65.25,68.0,26333
JITFINFRA,2017-05-03,69.95,72.3,67.5,72.3,90999
