symbol,date,open,high,low,close,volume
JLHL,2023-09-18,973.0,1108.95,970.0,1075.75,12869453
JLHL,2023-09-20,1045.0,1088.7,1030.1,1061.75,1483890
JLHL,2023-09-21,1049.95,1078.95,1032.3,1052.35,652415
JLHL,2023-09-25,1065.0,1120.0,1049.8,1078.0,776627
JLHL,2023-09-26,1080.0,1111.9,1079.05,1101.0,280829
JLHL,2023-09-27,1100.65,1107.95,1070.2,1092.25,247681
JLHL,2023-09-28,1092.95,1123.6,1087.05,1100.9,206455
JLHL,2023-09-29,1120.0,1144.0,1070.05,1076.05,241488
JLHL,2023-10-03,1077.95,1097.45,1054.35,1085.8,251069
JLHL,2023-10-04,1086.0,1120.0,1086.0,1110.65,255984
JLHL,2023-10-05,1110.0,1138.6,1110.0,1124.7,117889
JLHL,2023-10-06,1127.0,1165.05,1122.9,1154.25,133870
JLHL,2023-10-09,1140.0,1140.0,1062.1,1082.1,198185
JLHL,2023-10-10,1089.75,1098.8,1056.0,1071.0,66355
JLHL,2023-10-11,1079.95,1089.0,1051.25,1055.95,54790
JLHL,2023-10-12,1055.95,1082.0,1054.9,1073.55,54872
JLHL,2023-10-13,1076.9,1076.9,1049.0,1059.0,138987
JLHL,2023-10-16,1059.0,1070.85,1046.5,1052.05,41482
JLHL,2023-10-17,1059.0,1059.5,1044.7,1046.15,36255
JLHL,2023-10-18,1044.65,1068.0,1044.65,1049.7,301350
JLHL,2023-10-19,1045.55,1059.0,1040.05,1054.4,72325
JLHL,2023-10-20,1045.6,1060.0,1025.0,1034.1,32485
JLHL,2023-10-23,1030.0,1041.2,995.4,1004.35,124537
JLHL,2023-10-25,1014.9,1031.45,1006.55,1021.6,343570
JLHL,2023-10-26,1021.6,1033.8,1001.0,1012.25,49786
JLHL,2023-10-27,1022.0,1048.95,1013.15,1029.65,39171
JLHL,2023-10-30,1040.95,1040.95,1019.0,1022.85,25195
JLHL,2023-10-31,1010.0,1049.7,1010.0,1040.0,43962
