symbol,date,open,high,low,close,volume
JSWSTEEL,2008-06-09,104.53,109.7,104.53,108.94,6253870
JSWSTEEL,2008-06-10,108.0,112.49,107.0,110.73,6415370
JSWSTEEL,2008-06-11,111.9,112.6,106.05,107.63,12638800
JSWSTEEL,2008-06-12,109.77,109.77,98.14,99.69,20983700
JSWSTEEL,2008-06-13,100.3,101.0,94.3,94.75,11578410
JSWSTEEL,2008-06-16,109.47,109.47,94.6,99.36,7433810
JSWSTEEL,2008-06-17,99.0,101.47,98.1,99.28,3923810
JSWSTEEL,2008-06-18,100.0,102.38,98.34,98.72,5475180
JSWSTEEL,2008-06-19,98.5,100.7,97.53,99.56,5414080
JSWSTEEL,2008-06-20,100.0,101.39,98.2,99.4,8082960
JSWSTEEL,2008-06-23,99.0,99.4,94.5,95.56,8018180
JSWSTEEL,2008-06-24,95.56,97.82,94.14,96.24,7077380
JSWSTEEL,2008-06-25,94.4,101.2,93.05,100.55,7256970
JSWSTEEL,2008-06-26,101.01,104.69,101.0,103.25,9529060
JSWSTEEL,2008-06-27,100.0,100.8,96.56,98.15,9147190
JSWSTEEL,2008-06-30,98.5,99.79,89.2,90.06,7847840
JSWSTEEL,2008-07-01,90.0,91.7,76.5,77.59,13279080
JSWSTEEL,2008-07-02,76.51,81.4,75.2,80.0,17913670
JSWSTEEL,2008-07-03,79.61,79.61,70.01,73.37,12777440
JSWSTEEL,2008-07-04,72.63,75.89,71.24,75.28,7661210
JSWSTEEL,2008-07-07,73.1,82.2,73.1,80.08,14109770
JSWSTEEL,2008-07-08,80.0,83.75,76.01,83.06,8411800
JSWSTEEL,2008-07-09,86.0,87.83,84.05,85.97,4677180
JSWSTEEL,2008-07-10,81.53,86.7,81.53,82.97,5303780
JSWSTEEL,2008-07-11,83.5,83.7,79.11,80.1,8848820
JSWSTEEL,2008-07-14,80.0,82.79,76.53,79.88,4657740
JSWSTEEL,2008-07-15,79.95,80.29,70.18,73.04,9641320
JSWSTEEL,2008-07-16,73.22,75.5,70.31,71.52,7271440
JSWSTEEL,2008-07-17,75.0,75.95,69.4,74.15,10529930
JSWSTEEL,2008-07-18,75.9,75.9,72.13,72.94,9205380
JSWSTEEL,2008-07-21,74.5,75.94,70.37,72.14,8062820
JSWSTEEL,2008-07-22,72.1,74.48,72.1,72.89,5310630
JSWSTEEL,2008-07-23,75.1,78.75,74.39,77.29,7836410
JSWSTEEL,2008-07-24,78.0,80.1,78.0,79.75,7473050
JSWSTEEL,2008-07-25,77.52,80.8,77.36,78.11,3116120
JSWSTEEL,2008-07-28,78.01,79.2,77.11,77.65,1468880
JSWSTEEL,2008-07-29,76.5,77.5,74.81,75.25,1911030
JSWSTEEL,2008-07-30,77.5,77.5,74.5,74.95,5852650
JSWSTEEL,2008-07-31,75.5,76.97,72.7,73.67,20812550
JSWSTEEL,2008-08-01,73.5,80.48,71.2,79.79,13875520
JSWSTEEL,2008-08-04,79.82,88.18,78.9,87.21,11074410
JSWSTEEL,2008-08-05,87.21,87.5,82.5,83.56,6789790
JSWSTEEL,2008-08-06,84.5,85.99,78.02,78.56,11043140
JSWSTEEL,2008-08-07,78.56,81.9,77.6,78.67,5683200
JSWSTEEL,2008-08-08,78.71,80.77,78.1,79.46,3262230
JSWSTEEL,2008-08-11,81.4,81.4,80.0,80.62,3402390
JSWSTEEL,2008-08-12,80.98,82.0,77.0,77.5,4635430
JSWSTEEL,2008-08-13,77.0,78.5,76.13,76.63,7226970
JSWSTEEL,2008-08-14,76.5,77.95,76.01,77.11,4217290
JSWSTEEL,2008-08-18,77.6,78.9,76.0,77.17,5315000
JSWSTEEL,2008-08-19,77.5,78.45,75.65,77.02,4555660
JSWSTEEL,2008-08-20,77.02,78.3,76.22,76.78,2643160
JSWSTEEL,2008-08-21,76.85,77.17,75.36,75.68,2993050
JSWSTEEL,2008-08-22,75.0,76.86,71.15,76.32,3481750
JSWSTEEL,2008-08-25,77.5,78.77,75.52,75.94,1955240
JSWSTEEL,2008-08-26,75.6,76.68,75.0,75.03,9949110
JSWSTEEL,2008-08-27,75.97,75.97,73.97,74.12,3422050
JSWSTEEL,2008-08-28,77.87,77.87,73.82,74.9,9819820
JSWSTEEL,2008-08-29,75.7,77.9,74.55,76.4,4871590
JSWSTEEL,2008-09-01,75.9,76.8,74.4,75.13,2134260
JSWSTEEL,2008-09-02,75.2,77.5,74.55,75.97,2899250
JSWSTEEL,2008-09-04,75.54,75.6,73.0,73.14,5926340
JSWSTEEL,2008-09-05,73.1,73.1,70.0,71.06,8671060
JSWSTEEL,2008-09-08,73.47,74.0,70.6,71.65,4104370
JSWSTEEL,2008-09-09,71.5,71.7,70.52,71.51,1623200
JSWSTEEL,2008-09-10,71.0,71.4,65.53,66.13,8411420
JSWSTEEL,2008-09-11,65.94,67.87,63.55,66.67,7739740
JSWSTEEL,2008-09-12,67.5,67.88,65.13,65.85,3285450
JSWSTEEL,2008-09-15,64.8,65.5,62.0,65.05,3194000
JSWSTEEL,2008-09-16,63.0,66.25,61.8,64.63,6071160
JSWSTEEL,2008-09-17,64.0,66.55,63.0,64.19,7896340
JSWSTEEL,2008-09-18,63.0,63.0,59.26,59.84,6372280
JSWSTEEL,2008-09-19,62.0,62.0,57.7,59.4,12953030
JSWSTEEL,2008-09-22,60.0,61.19,58.68,59.57,15705540
JSWSTEEL,2008-09-23,58.8,59.8,56.72,57.33,9253110
JSWSTEEL,2008-09-24,57.9,59.44,55.91,58.05,8122750
JSWSTEEL,2008-09-25,58.05,59.0,57.03,58.07,12857580
JSWSTEEL,2008-09-26,58.5,58.5,56.6,57.42,5039250
JSWSTEEL,2008-09-29,57.5,58.0,50.4,50.64,6405800
JSWSTEEL,2008-09-30,50.0,50.0,45.61,48.26,6915190
JSWSTEEL,2008-10-01,49.44,49.44,44.8,45.6,10233190
JSWSTEEL,2008-10-03,45.5,45.5,40.87,41.1,10468590
JSWSTEEL,2008-10-06,39.2,40.4,34.12,34.76,9157710
JSWSTEEL,2008-10-07,33.51,36.37,30.4,31.08,22483000
JSWSTEEL,2008-10-08,29.5,30.58,24.76,29.34,28965710
JSWSTEEL,2008-10-10,26.13,31.0,24.5,29.89,10493610
JSWSTEEL,2008-10-13,30.0,34.18,30.0,33.67,6306870
JSWSTEEL,2008-10-14,35.1,35.7,30.13,31.36,9935730
JSWSTEEL,2008-10-15,30.5,30.5,27.25,27.8,11869020
JSWSTEEL,2008-10-16,26.2,27.0,24.5,26.03,10861420
JSWSTEEL,2008-10-17,27.02,27.8,23.73,24.45,10983950
JSWSTEEL,2008-10-20,26.0,27.4,24.78,26.03,50802830
JSWSTEEL,2008-10-21,27.3,27.5,26.05,26.81,4937030
JSWSTEEL,2008-10-22,26.0,26.49,24.49,24.99,5252690
JSWSTEEL,2008-10-23,23.54,24.0,22.26,22.91,6195640
JSWSTEEL,2008-10-24,22.8,22.8,20.1,20.47,6374350
JSWSTEEL,2008-10-27,19.5,21.84,17.1,20.68,5591820
JSWSTEEL,2008-10-28,21.97,22.84,21.91,22.2,746720
JSWSTEEL,2008-10-29,23.1,23.94,22.05,22.96,3493000
JSWSTEEL,2008-10-31,23.47,33.9,23.1,30.7,15487240
JSWSTEEL,2008-11-03,31.86,32.5,29.4,31.18,13183540
JSWSTEEL,2008-11-04,31.5,35.2,30.2,34.83,13903070
JSWSTEEL,2008-11-05,35.5,38.8,32.56,33.8,15042270
JSWSTEEL,2008-11-06,31.98,32.28,29.6,30.07,8956410
JSWSTEEL,2008-11-07,29.5,29.8,27.35,28.51,11861260
JSWSTEEL,2008-11-10,29.28,31.55,28.82,31.0,9674850
JSWSTEEL,2008-11-11,31.5,31.5,29.11,29.41,9648620
JSWSTEEL,2008-11-12,29.0,30.46,28.22,29.3,7676850
JSWSTEEL,2008-11-14,30.0,30.5,27.15,27.47,7492310
JSWSTEEL,2008-11-17,27.5,28.31,24.73,25.45,5634910
JSWSTEEL,2008-11-18,24.9,25.5,23.72,24.17,5740140
JSWSTEEL,2008-11-19,24.0,25.15,23.4,23.84,6395450
JSWSTEEL,2008-11-20,23.0,23.0,21.35,22.14,5693100
JSWSTEEL,2008-11-21,21.41,22.5,19.65,20.49,12653910
JSWSTEEL,2008-11-24,20.06,20.79,18.4,18.86,13604530
JSWSTEEL,2008-11-25,19.5,19.9,18.61,18.91,9762000
JSWSTEEL,2008-11-26,19.1,19.8,18.35,19.36,9576770
JSWSTEEL,2008-11-28,19.0,19.47,18.4,18.82,7752450
JSWSTEEL,2008-12-01,19.2,19.59,17.61,18.11,8791980
JSWSTEEL,2008-12-02,17.8,17.8,16.81,17.52,4701230
JSWSTEEL,2008-12-03,17.82,18.89,17.75,18.36,6544630
JSWSTEEL,2008-12-04,18.5,22.68,18.4,21.93,13806580
JSWSTEEL,2008-12-05,21.5,22.65,20.84,21.3,11304900
JSWSTEEL,2008-12-08,22.07,23.19,21.82,22.16,8691990
JSWSTEEL,2008-12-10,22.21,24.7,22.2,24.12,12094080
JSWSTEEL,2008-12-11,24.5,25.25,23.31,23.99,7419820
JSWSTEEL,2008-12-12,23.0,23.4,21.7,22.66,9145560
JSWSTEEL,2008-12-15,22.0,24.68,20.91,24.09,8938200
JSWSTEEL,2008-12-16,24.7,24.98,23.52,24.29,9885650
JSWSTEEL,2008-12-17,24.2,25.24,22.5,22.66,6892200
JSWSTEEL,2008-12-18,23.0,23.19,21.63,22.83,7222660
JSWSTEEL,2008-12-19,22.5,24.34,22.5,22.66,9357550
JSWSTEEL,2008-12-22,22.7,24.1,22.2,22.54,8426500
JSWSTEEL,2008-12-23,22.3,23.2,22.01,22.58,6649440
JSWSTEEL,2008-12-24,22.58,22.58,21.5,22.07,6368040
JSWSTEEL,2008-12-26,22.4,22.95,20.78,21.14,5623980
JSWSTEEL,2008-12-29,21.4,22.7,20.33,21.86,7449380
JSWSTEEL,2008-12-30,22.2,23.23,22.01,22.3,6930960
JSWSTEEL,2008-12-31,22.3,23.66,22.2,22.91,11593740
JSWSTEEL,2009-01-01,23.34,24.05,23.17,23.84,8245770
JSWSTEEL,2009-01-02,24.0,24.65,23.5,23.69,12982180
JSWSTEEL,2009-01-05,24.2,24.7,23.92,24.54,12397230
JSWSTEEL,2009-01-06,24.5,25.77,24.41,25.24,12891820
JSWSTEEL,2009-01-07,25.5,26.39,23.06,23.86,14665290
JSWSTEEL,2009-01-09,23.01,24.81,21.0,22.41,9741860
JSWSTEEL,2009-01-12,22.0,22.88,21.07,21.56,6396200
JSWSTEEL,2009-01-13,21.5,21.98,20.66,21.08,6830600
JSWSTEEL,2009-01-14,21.69,22.48,21.42,21.9,4317000
JSWSTEEL,2009-01-15,21.7,21.7,20.22,21.02,3953900
JSWSTEEL,2009-01-16,21.1,21.59,20.84,21.18,6758100
JSWSTEEL,2009-01-19,21.0,21.59,20.86,21.01,5498750
JSWSTEEL,2009-01-20,19.0,21.0,19.0,20.57,2886820
JSWSTEEL,2009-01-21,20.1,20.64,19.8,20.11,2880080
JSWSTEEL,2009-01-22,20.8,20.8,19.17,19.58,4842890
JSWSTEEL,2009-01-23,19.01,19.5,18.53,18.66,2988870
JSWSTEEL,2009-01-27,19.7,19.7,18.7,19.39,2101700
JSWSTEEL,2009-01-28,19.4,20.99,17.85,20.47,19257260
JSWSTEEL,2009-01-29,21.11,21.82,19.51,20.75,11162270
JSWSTEEL,2009-01-30,20.44,21.35,20.1,21.11,11584720
JSWSTEEL,2009-02-02,20.6,20.9,19.11,19.68,3347760
JSWSTEEL,2009-02-03,19.77,20.3,18.73,18.97,5744020
JSWSTEEL,2009-02-04,19.2,20.74,19.07,19.93,9124900
JSWSTEEL,2009-02-05,20.1,20.65,19.35,19.54,7147200
JSWSTEEL,2009-02-06,19.9,21.35,19.9,21.04,9351840
