symbol,date,open,high,low,close,volume
JUBLFOOD,2010-02-08,16.0,24.09,16.0,22.91,569633730
JUBLFOOD,2010-02-09,23.06,25.0,22.16,24.42,249305560
JUBLFOOD,2010-02-10,25.2,25.24,23.16,23.5,113958780
JUBLFOOD,2010-02-11,23.5,24.0,22.51,23.09,58579570
JUBLFOOD,2010-02-15,23.36,23.68,22.55,22.91,31902800
JUBLFOOD,2010-02-16,22.91,23.4,22.71,23.03,17302760
JUBLFOOD,2010-02-17,23.1,24.58,21.66,24.11,50648000
JUBLFOOD,2010-02-18,24.01,24.08,22.7,23.09,22579370
JUBLFOOD,2010-02-19,22.5,23.1,22.18,22.69,8848110
JUBLFOOD,2010-02-22,22.81,23.48,22.77,23.04,6895920
JUBLFOOD,2010-02-23,23.0,23.17,21.68,21.99,6327990
JUBLFOOD,2010-02-24,21.54,22.7,21.26,22.19,8971900
JUBLFOOD,2010-02-25,22.05,22.79,21.9,22.49,4917060
JUBLFOOD,2010-02-26,22.49,24.09,22.14,22.98,9397990
JUBLFOOD,2010-03-02,23.09,23.44,22.95,23.34,2630720
JUBLFOOD,2010-03-03,23.34,24.0,22.91,23.04,3438760
JUBLFOOD,2010-03-04,23.1,23.7,23.05,23.66,5066180
JUBLFOOD,2010-03-05,23.79,27.47,23.51,25.83,59782770
JUBLFOOD,2010-03-08,26.0,27.99,25.92,27.65,36025100
JUBLFOOD,2010-03-09,27.84,31.77,27.3,29.97,110266540
JUBLFOOD,2010-03-10,30.0,30.54,28.35,28.59,39414830
JUBLFOOD,2010-03-11,28.59,28.84,27.54,27.69,13017740
JUBLFOOD,2010-03-12,25.0,29.88,25.0,28.65,66478000
JUBLFOOD,2010-03-15,28.48,29.07,27.73,27.95,14169940
JUBLFOOD,2010-03-16,25.0,29.48,25.0,28.89,20005010
JUBLFOOD,2010-03-17,29.23,29.58,28.69,28.84,17636580
JUBLFOOD,2010-03-18,28.83,30.65,28.8,29.46,31850700
JUBLFOOD,2010-03-19,29.6,34.99,29.2,34.45,161539050
JUBLFOOD,2010-03-22,33.74,36.2,33.53,34.1,78814060
JUBLFOOD,2010-03-23,34.39,35.19,32.4,33.06,32720740
JUBLFOOD,2010-03-25,33.0,35.1,32.81,33.85,44612420
JUBLFOOD,2010-03-26,33.9,34.84,33.26,33.86,20063830
JUBLFOOD,2010-03-29,34.8,34.8,30.39,31.65,18669870
JUBLFOOD,2010-03-30,31.92,33.07,31.55,31.85,17876660
JUBLFOOD,2010-03-31,32.3,32.8,30.83,31.36,18820650
JUBLFOOD,2010-04-01,31.6,32.65,31.53,32.09,25911150
JUBLFOOD,2010-04-05,32.15,36.97,32.0,36.17,76822490
JUBLFOOD,2010-04-06,36.17,36.66,35.04,35.59,26567480
JUBLFOOD,2010-04-07,31.6,42.43,31.6,41.61,152225550
JUBLFOOD,2010-04-08,40.18,42.0,38.13,38.83,83939440
JUBLFOOD,2010-04-09,38.95,39.2,35.11,35.77,50362790
JUBLFOOD,2010-04-12,36.0,37.57,35.32,36.09,41336620
JUBLFOOD,2010-04-13,36.5,37.09,35.5,36.29,34928070
JUBLFOOD,2010-04-15,36.58,37.0,35.5,35.71,19649670
JUBLFOOD,2010-04-16,35.74,35.93,33.46,34.43,24571650
JUBLFOOD,2010-04-19,33.51,34.77,32.4,33.6,37417250
JUBLFOOD,2010-04-20,33.51,34.5,33.51,33.95,15658870
JUBLFOOD,2010-04-21,34.3,35.96,34.01,35.16,45382220
JUBLFOOD,2010-04-22,34.0,36.4,33.2,35.74,30766170
JUBLFOOD,2010-04-23,36.0,36.35,34.54,35.18,14919120
JUBLFOOD,2010-04-26,35.8,35.8,34.93,35.25,10375540
JUBLFOOD,2010-04-27,35.25,35.35,34.41,34.73,9002330
JUBLFOOD,2010-04-28,34.0,34.4,33.2,33.46,8307970
JUBLFOOD,2010-04-29,33.49,34.67,33.49,34.14,11241380
JUBLFOOD,2010-04-30,34.32,34.74,33.83,34.0,6101750
JUBLFOOD,2010-05-03,34.0,34.01,32.8,33.3,5350350
JUBLFOOD,2010-05-04,33.4,34.09,32.3,32.55,8233300
