symbol,date,open,high,low,close,volume
KAUSHALYA,2008-06-09,28.0,29.0,27.35,28.5,66162
KAUSHALYA,2008-06-10,27.0,29.0,27.0,28.55,52736
KAUSHALYA,2008-06-11,29.5,30.0,29.0,29.6,44766
KAUSHALYA,2008-06-12,27.6,29.9,27.6,29.35,58862
KAUSHALYA,2008-06-13,29.4,30.6,29.0,29.85,48402
KAUSHALYA,2008-06-16,30.25,30.95,30.15,30.35,44079
KAUSHALYA,2008-06-17,30.05,30.9,30.0,30.5,32839
KAUSHALYA,2008-06-18,30.85,32.2,30.15,30.4,103154
KAUSHALYA,2008-06-19,30.2,30.2,28.4,29.2,41136
KAUSHALYA,2008-06-20,29.3,30.0,27.5,27.9,58038
KAUSHALYA,2008-06-23,26.6,27.05,26.3,26.65,38705
KAUSHALYA,2008-06-24,25.2,27.35,25.1,25.35,38447
KAUSHALYA,2008-06-25,24.15,25.2,24.05,24.9,54622
KAUSHALYA,2008-06-26,24.6,28.35,24.6,25.6,40318
KAUSHALYA,2008-06-27,23.7,25.2,23.7,24.55,42737
KAUSHALYA,2008-06-30,23.8,24.75,22.55,22.9,38830
KAUSHALYA,2008-07-01,21.5,22.75,20.1,20.45,46153
KAUSHALYA,2008-07-02,20.1,21.4,17.5,21.1,132354
KAUSHALYA,2008-07-03,20.1,21.4,19.7,20.85,44156
KAUSHALYA,2008-07-04,20.25,21.75,20.1,20.9,64763
KAUSHALYA,2008-07-07,21.0,22.4,21.0,21.7,40806
KAUSHALYA,2008-07-08,21.0,24.0,20.2,21.75,36617
KAUSHALYA,2008-07-09,22.75,24.4,22.25,23.15,84340
KAUSHALYA,2008-07-10,23.6,27.8,22.65,27.8,481290
KAUSHALYA,2008-07-11,30.0,32.45,26.65,29.6,929916
KAUSHALYA,2008-07-14,29.0,32.1,29.0,29.7,294626
KAUSHALYA,2008-07-15,29.05,30.0,26.75,26.85,186656
KAUSHALYA,2008-07-16,27.85,28.8,24.3,25.1,135311
KAUSHALYA,2008-07-17,26.1,27.0,25.4,25.8,147341
KAUSHALYA,2008-07-18,26.8,26.8,23.5,25.15,120988
KAUSHALYA,2008-07-21,25.3,26.0,23.1,24.95,84167
KAUSHALYA,2008-07-22,25.0,26.5,24.75,25.6,60767
KAUSHALYA,2008-07-23,26.6,28.2,26.6,27.55,151354
KAUSHALYA,2008-07-24,28.1,28.8,26.8,27.1,127401
KAUSHALYA,2008-07-25,26.0,26.5,25.5,26.15,59702
KAUSHALYA,2008-07-28,27.15,27.5,26.4,26.9,53879
KAUSHALYA,2008-07-29,26.5,27.0,25.5,25.8,50727
