symbol,date,open,high,low,close,volume
KDDL-RE,2021-04-09,10.0,14.8,10.0,14.8,19556
KDDL-RE,2021-04-12,20.7125,20.7125,20.7125,20.7125,40392
KDDL-RE,2021-04-13,28.9875,28.9875,20.9625,28.7,225144
KDDL-RE,2021-04-15,33.875,39.1125,31.25,39.1125,79252
KDDL-RE,2021-04-16,54.75,54.75,46.25,54.75,108328
KDDL-RE,2021-04-19,76.25,76.65,54.75,76.65,191048
KDDL-RE,2021-04-20,107.3,107.3,60.0,75.0,290108
KDDL-RE,2021-04-22,45.5,63.75,40.15,42.5,248848
KDDL-RE,2021-04-23,40.0,40.0,30.0,31.75,119676
KDDL-RE,2021-04-27,50.0,61.825,50.0,61.825,96298
KDDL-RE,2021-04-28,86.375,86.55,76.0,86.55,58668
KDDL-RE,2021-04-29,120.0,120.0,97.65,115.05,133756
KDDL-RE,2021-04-30,110.0,110.0,69.5,95.5,99356
KDDL-RE,2021-05-03,143.0,189.0,140.0,168.35,27631
