symbol,date,open,high,low,close,volume
KEI,2008-06-09,54.9,54.9,50.15,52.05,79080
KEI,2008-06-10,51.1,53.0,48.6,49.95,84406
KEI,2008-06-11,49.0,50.9,47.0,48.3,223854
KEI,2008-06-12,48.0,50.75,45.6,49.85,70767
KEI,2008-06-13,51.0,51.7,49.4,51.1,92499
KEI,2008-06-16,51.5,53.1,50.6,51.0,75365
KEI,2008-06-17,52.15,52.9,50.3,52.35,82900
KEI,2008-06-18,53.6,54.9,51.6,52.2,128643
KEI,2008-06-19,51.85,58.8,48.2,49.05,203037
KEI,2008-06-20,50.0,50.0,46.0,46.55,120969
KEI,2008-06-23,44.35,46.55,44.35,45.05,58743
KEI,2008-06-24,45.0,45.5,43.75,44.05,38947
KEI,2008-06-25,44.0,46.2,43.05,45.15,71601
KEI,2008-06-26,45.5,46.35,43.8,44.2,54366
KEI,2008-06-27,43.5,45.5,43.1,43.9,44290
KEI,2008-06-30,43.3,43.5,40.1,40.5,38718
KEI,2008-07-01,40.15,41.4,38.4,38.65,41104
KEI,2008-07-02,40.6,40.6,35.6,38.7,101114
KEI,2008-07-03,39.0,39.0,36.8,38.05,30481
KEI,2008-07-04,37.25,39.4,37.2,37.8,61499
KEI,2008-07-07,38.8,40.95,38.1,40.15,50184
KEI,2008-07-08,39.0,42.0,38.85,39.6,63083
KEI,2008-07-09,41.7,42.5,40.35,42.1,43585
KEI,2008-07-10,42.0,46.95,41.1,45.0,91480
KEI,2008-07-11,43.0,51.4,43.0,47.0,207157
KEI,2008-07-14,46.5,49.95,43.1,43.75,133315
KEI,2008-07-15,44.0,44.0,39.2,39.85,97409
KEI,2008-07-16,40.1,41.55,37.0,38.3,79475
KEI,2008-07-17,40.4,41.3,38.9,39.15,52877
KEI,2008-07-18,40.0,40.7,38.35,39.0,86116
KEI,2008-07-21,40.0,40.0,38.0,38.95,48946
KEI,2008-07-22,39.0,40.75,38.95,40.3,64427
KEI,2008-07-23,42.0,44.9,41.5,41.8,181204
KEI,2008-07-24,43.4,43.5,40.0,40.65,118030
KEI,2008-07-25,37.7,41.0,35.5,39.9,85068
KEI,2008-07-28,44.1,44.1,39.7,41.0,97940
KEI,2008-07-29,40.0,41.8,39.3,39.6,77700
KEI,2008-07-30,40.0,40.65,39.0,39.35,92032
KEI,2008-07-31,39.35,40.85,39.35,39.8,51216
KEI,2008-08-01,39.0,39.95,38.9,39.45,48130
KEI,2008-08-04,39.3,41.35,38.75,40.2,169866
KEI,2008-08-05,40.8,42.7,40.6,42.0,144492
KEI,2008-08-06,42.9,43.45,40.5,40.9,95233
KEI,2008-08-07,41.5,43.5,40.0,41.55,129260
KEI,2008-08-08,41.8,43.1,40.7,41.9,145661
KEI,2008-08-11,43.0,45.85,42.0,45.1,287839
KEI,2008-08-12,46.0,46.0,42.15,42.8,177423
KEI,2008-08-13,42.0,42.75,41.5,41.75,122592
KEI,2008-08-14,42.35,42.35,40.15,40.35,91485
KEI,2008-08-18,40.6,40.95,39.15,39.35,75732
KEI,2008-08-19,39.1,39.6,38.3,38.55,91246
KEI,2008-08-20,38.65,39.0,38.5,38.7,122105
KEI,2008-08-21,38.15,39.55,37.7,37.8,62372
KEI,2008-08-22,37.0,38.1,36.85,37.55,39221
KEI,2008-08-25,37.8,38.85,37.6,37.75,60589
KEI,2008-08-26,37.15,37.8,36.95,37.4,36781
KEI,2008-08-27,37.55,38.9,37.1,37.35,69784
KEI,2008-08-28,37.9,37.9,36.5,36.65,42755
KEI,2008-08-29,37.0,38.6,37.0,37.25,45369
KEI,2008-09-01,37.1,37.75,36.4,36.75,40047
KEI,2008-09-02,37.0,37.5,36.6,36.95,76685
KEI,2008-09-04,37.0,37.3,36.4,36.5,62502
KEI,2008-09-05,35.75,36.4,35.0,35.85,40109
KEI,2008-09-08,37.0,38.3,36.15,36.35,328543
KEI,2008-09-09,36.5,36.9,36.1,36.2,57716
KEI,2008-09-10,36.0,39.85,36.0,36.5,440361
KEI,2008-09-11,36.15,36.6,35.05,35.2,166483
KEI,2008-09-12,35.1,35.8,34.5,34.55,130846
KEI,2008-09-15,33.9,33.9,31.0,31.65,119634
KEI,2008-09-16,29.0,32.5,29.0,31.5,77669
KEI,2008-09-17,32.0,32.75,30.35,30.75,105615
KEI,2008-09-18,26.5,30.7,26.5,29.95,87152
KEI,2008-09-19,30.7,32.2,30.5,30.95,69374
KEI,2008-09-22,31.1,32.0,30.15,30.9,51905
KEI,2008-09-23,30.8,31.0,29.85,30.1,37386
KEI,2008-09-24,30.2,31.0,29.55,30.2,29584
KEI,2008-09-25,30.1,30.5,29.65,29.8,31613
KEI,2008-09-26,29.9,29.9,28.0,28.1,48559
KEI,2008-09-29,28.0,28.5,26.0,26.5,77098
KEI,2008-09-30,24.9,27.0,22.0,25.35,207335
KEI,2008-10-01,26.7,27.1,25.2,25.6,94443
KEI,2008-10-03,25.0,25.95,24.3,24.5,60880
KEI,2008-10-06,24.35,24.65,22.2,22.6,118976
KEI,2008-10-07,22.6,23.75,20.8,21.05,109825
KEI,2008-10-08,20.75,20.75,18.55,19.2,199958
KEI,2008-10-10,18.2,19.6,16.25,19.05,130645
KEI,2008-10-13,20.1,21.8,19.4,20.0,220230
KEI,2008-10-14,21.9,23.5,21.05,22.4,114789
KEI,2008-10-15,22.5,22.5,20.0,20.15,79075
KEI,2008-10-16,18.3,20.95,17.9,19.6,112069
KEI,2008-10-17,19.5,21.25,19.5,20.3,171600
KEI,2008-10-20,20.5,21.15,19.65,20.0,86587
KEI,2008-10-21,20.2,20.75,19.0,19.75,45189
KEI,2008-10-22,20.0,20.6,19.25,20.05,78541
KEI,2008-10-23,19.1,19.9,17.85,18.45,77047
KEI,2008-10-24,18.25,18.5,15.0,17.05,132690
KEI,2008-10-27,16.7,17.75,15.15,16.35,63280
KEI,2008-10-28,17.9,18.75,17.0,18.45,29803
KEI,2008-10-29,19.3,19.5,17.5,17.75,38200
KEI,2008-10-31,18.1,19.2,17.5,17.8,29504
KEI,2008-11-03,18.2,19.4,18.0,18.95,80105
KEI,2008-11-04,19.0,19.4,18.15,18.95,119433
KEI,2008-11-05,19.9,20.5,18.75,18.95,100044
KEI,2008-11-06,18.2,18.5,17.9,18.15,34965
KEI,2008-11-07,18.0,18.9,17.85,18.5,42411
KEI,2008-11-10,19.4,19.4,18.65,18.85,42832
KEI,2008-11-11,19.0,19.0,17.85,17.95,38004
KEI,2008-11-12,17.95,17.95,15.5,16.55,104271
KEI,2008-11-14,17.0,17.1,16.3,16.9,66956
KEI,2008-11-17,17.15,17.35,16.6,17.05,43937
KEI,2008-11-18,17.5,17.5,16.25,16.65,34644
KEI,2008-11-19,16.25,16.8,15.6,15.8,48436
KEI,2008-11-20,15.25,15.65,15.15,15.4,43800
KEI,2008-11-21,15.25,15.65,13.95,14.5,53642
KEI,2008-11-24,14.5,14.85,12.15,12.45,133431
KEI,2008-11-25,12.6,13.5,11.8,11.95,148433
KEI,2008-11-26,12.5,12.5,10.6,10.9,213466
KEI,2008-11-28,10.15,11.35,10.15,10.85,95743
KEI,2008-12-01,10.5,11.2,10.05,10.2,169962
KEI,2008-12-02,10.2,10.8,9.9,10.05,85742
KEI,2008-12-03,10.1,10.5,9.9,9.95,160918
KEI,2008-12-04,10.0,11.25,9.75,11.05,110858
KEI,2008-12-05,11.1,11.9,11.1,11.3,124920
KEI,2008-12-08,11.85,12.0,10.8,11.1,89414
KEI,2008-12-10,11.15,11.9,11.0,11.7,162596
KEI,2008-12-11,12.5,12.5,10.8,11.05,273130
KEI,2008-12-12,11.1,12.9,10.7,12.65,196092
KEI,2008-12-15,13.45,15.2,13.05,15.2,256689
KEI,2008-12-16,16.5,17.9,16.2,17.3,629186
KEI,2008-12-17,18.5,18.65,15.6,15.6,322477
KEI,2008-12-18,16.0,16.35,14.55,15.8,169425
KEI,2008-12-19,16.4,17.0,15.4,16.3,102796
KEI,2008-12-22,17.0,17.0,15.05,15.55,158448
KEI,2008-12-23,15.5,15.5,14.45,15.25,108026
KEI,2008-12-24,14.7,15.2,14.6,14.8,37908
KEI,2008-12-26,14.55,15.4,13.9,14.05,70956
KEI,2008-12-29,14.4,14.4,13.45,13.65,98744
KEI,2008-12-30,13.85,14.15,13.25,13.45,238685
KEI,2008-12-31,13.9,14.05,13.65,13.7,111780
KEI,2009-01-01,13.9,15.1,13.9,15.1,206911
KEI,2009-01-02,16.0,16.0,14.55,15.0,240529
KEI,2009-01-05,15.4,15.9,14.75,15.15,525067
KEI,2009-01-06,15.2,15.55,14.8,15.0,193085
KEI,2009-01-07,15.2,15.45,13.5,13.5,183094
KEI,2009-01-09,12.45,13.3,12.2,13.0,107552
KEI,2009-01-12,12.25,13.0,11.85,11.95,163651
KEI,2009-01-13,11.35,12.2,11.35,11.6,85225
KEI,2009-01-14,12.0,12.15,10.7,10.95,378575
KEI,2009-01-15,10.7,10.75,10.4,10.5,353194
KEI,2009-01-16,10.85,11.05,10.25,10.5,483017
KEI,2009-01-19,10.8,11.05,10.5,11.0,143469
KEI,2009-01-20,11.0,11.05,10.7,10.8,161684
KEI,2009-01-21,10.5,11.0,10.45,10.75,317844
KEI,2009-01-22,10.95,10.95,10.3,10.45,151431
KEI,2009-01-23,10.5,10.85,10.3,10.4,67514
KEI,2009-01-27,10.5,10.75,10.25,10.65,47843
KEI,2009-01-28,10.9,11.05,10.5,11.0,95977
KEI,2009-01-29,11.05,11.25,10.55,10.75,60285
KEI,2009-01-30,10.5,11.0,10.5,10.75,67351
KEI,2009-02-02,10.55,11.3,10.25,10.95,209459
KEI,2009-02-03,11.0,11.0,10.4,10.4,106005
KEI,2009-02-04,10.6,10.7,9.9,10.4,231950
KEI,2009-02-05,10.7,10.7,10.0,10.1,259970
KEI,2009-02-06,10.3,10.3,9.95,10.0,223787
KEI,2009-02-09,10.15,10.5,9.8,10.35,197569
KEI,2009-02-10,10.6,10.6,10.1,10.2,131083
KEI,2009-02-11,10.05,10.35,9.95,10.25,107984
KEI,2009-02-12,10.3,10.75,10.1,10.55,118178
KEI,2009-02-13,10.65,10.85,10.5,10.65,68338
KEI,2009-02-16,10.5,11.0,10.15,10.2,79355
KEI,2009-02-17,10.2,10.2,9.9,10.1,86799
KEI,2009-02-18,10.3,10.3,9.9,9.95,125568
KEI,2009-02-19,10.0,10.2,9.9,9.9,60530
KEI,2009-02-20,9.85,10.0,9.7,9.85,80372
KEI,2009-02-24,9.7,9.8,9.4,9.4,111128
KEI,2009-02-25,9.55,9.7,9.0,9.15,99041
KEI,2009-02-26,9.35,9.4,9.0,9.2,44798
KEI,2009-02-27,9.2,9.35,8.95,9.05,48635
KEI,2009-03-02,9.0,9.35,8.9,9.15,46998
KEI,2009-03-03,8.9,9.1,8.7,8.85,80492
KEI,2009-03-04,8.95,9.1,8.85,8.9,28715
KEI,2009-03-05,9.0,9.1,8.5,8.6,67514
KEI,2009-03-06,8.5,9.0,8.5,8.7,58437
KEI,2009-03-09,8.85,8.95,8.35,8.4,61419
KEI,2009-03-12,8.6,8.65,8.15,8.2,67784
KEI,2009-03-13,8.45,9.05,8.45,8.95,65593
KEI,2009-03-16,9.25,9.45,8.9,8.95,83942
KEI,2009-03-17,9.0,9.4,8.8,8.9,143947
KEI,2009-03-18,9.2,9.5,9.15,9.15,69234
KEI,2009-03-19,9.4,9.55,9.05,9.1,85391
KEI,2009-03-20,9.1,9.25,9.05,9.15,38169
KEI,2009-03-23,9.4,9.55,9.25,9.45,92735
KEI,2009-03-24,9.75,10.4,9.4,10.0,245543
KEI,2009-03-25,10.25,10.5,10.0,10.3,194178
KEI,2009-03-26,10.8,10.8,10.3,10.5,85536
KEI,2009-03-27,10.55,10.8,10.4,10.6,68798
KEI,2009-03-30,10.3,10.7,10.0,10.05,59313
KEI,2009-03-31,9.95,10.2,9.9,9.9,91828
KEI,2009-04-01,10.1,10.4,9.9,10.2,90721
KEI,2009-04-02,10.65,11.25,10.3,11.25,192192
KEI,2009-04-06,12.0,12.4,11.55,12.2,235925
KEI,2009-04-08,11.65,13.45,11.3,13.45,272284
KEI,2009-04-09,13.9,14.15,13.4,14.1,274558
KEI,2009-04-13,14.6,14.85,14.4,14.65,262848
KEI,2009-04-15,14.6,15.1,13.95,14.9,588826
KEI,2009-04-16,15.3,15.4,14.15,14.25,327152
KEI,2009-04-17,14.85,15.0,13.55,14.0,285202
KEI,2009-04-20,14.0,14.5,13.3,13.55,67512
KEI,2009-04-21,13.05,13.6,12.9,12.9,75762
KEI,2009-04-22,13.35,13.5,12.6,12.8,97663
KEI,2009-04-23,12.75,13.1,12.5,12.65,57082
KEI,2009-04-24,12.75,13.3,12.75,13.2,121928
KEI,2009-04-27,13.5,13.8,12.85,12.95,43174
KEI,2009-04-28,13.25,13.25,12.3,12.4,30431
KEI,2009-04-29,12.25,12.9,11.8,12.65,35175
KEI,2009-05-04,13.1,13.3,12.7,13.1,34398
KEI,2009-05-05,13.25,13.8,13.25,13.8,52597
KEI,2009-05-06,14.0,14.5,13.7,14.2,99395
KEI,2009-05-07,14.7,14.7,13.85,14.15,55846
KEI,2009-05-08,14.05,14.5,13.5,13.75,83775
KEI,2009-05-11,14.3,14.3,13.15,13.3,41813
KEI,2009-05-12,13.15,13.75,12.8,13.3,31831
KEI,2009-05-13,13.55,14.0,13.0,13.9,93016
KEI,2009-05-14,13.8,14.6,13.8,14.55,154696
KEI,2009-05-15,14.55,14.9,14.1,14.35,72143
KEI,2009-05-19,15.1,15.1,15.1,15.1,72217
KEI,2009-05-20,15.9,15.9,15.9,15.9,9066
KEI,2009-05-21,16.7,16.7,16.7,16.7,18685
KEI,2009-05-22,17.55,17.55,17.55,17.55,12440
KEI,2009-05-25,18.45,18.45,18.45,18.45,8404
KEI,2009-05-26,19.4,19.4,19.4,19.4,25101
KEI,2009-05-27,20.4,20.4,20.4,20.4,19793
KEI,2009-05-28,21.45,21.45,21.45,21.45,9246
KEI,2009-05-29,22.55,22.55,22.55,22.55,9635
KEI,2009-06-01,23.7,23.7,23.7,23.7,5035
KEI,2009-06-02,24.9,24.9,24.9,24.9,16272
KEI,2009-06-03,26.15,26.15,26.15,26.15,6751
KEI,2009-06-04,27.5,27.5,27.5,27.5,19822
KEI,2009-06-05,28.9,28.9,28.9,28.9,8286
KEI,2009-06-08,30.35,30.35,27.6,28.7,694604
KEI,2009-06-09,27.3,30.15,27.3,30.1,293078
KEI,2009-06-10,31.65,31.65,29.0,29.45,212142
KEI,2009-06-11,30.0,30.95,28.0,29.45,154284
KEI,2009-06-12,28.8,29.2,28.0,28.1,99269
KEI,2009-06-15,28.2,28.2,26.7,26.7,53852
KEI,2009-06-16,25.4,28.05,25.4,28.05,96646
KEI,2009-06-17,29.35,29.45,26.65,27.1,136795
KEI,2009-06-18,27.0,27.95,25.75,25.75,126297
KEI,2009-06-19,26.0,26.0,24.75,25.3,44522
KEI,2009-06-22,26.15,26.6,25.7,26.6,63445
