symbol,date,open,high,low,close,volume
KERNEX,2016-01-01,52.0,52.0,51.2,52.0,14881
KERNEX,2016-01-04,51.0,52.9,51.0,51.5,24101
KERNEX,2016-01-05,51.5,52.6,51.1,51.15,19363
KERNEX,2016-01-06,52.4,52.4,51.05,51.05,6458
KERNEX,2016-01-07,50.0,50.95,48.75,48.85,23369
KERNEX,2016-01-08,50.85,50.85,49.15,50.4,6501
KERNEX,2016-01-11,48.5,50.05,48.3,48.9,5614
KERNEX,2016-01-12,49.2,51.0,49.2,50.5,11824
KERNEX,2016-01-13,51.0,51.0,47.85,48.55,18496
KERNEX,2016-01-14,46.7,49.85,46.7,47.1,10335
KERNEX,2016-01-15,48.95,48.95,45.05,45.05,25336
KERNEX,2016-01-18,43.55,43.65,43.5,43.5,5413
KERNEX,2016-01-19,41.35,41.35,41.35,41.35,10417
KERNEX,2016-01-20,39.3,39.3,39.3,39.3,9902
KERNEX,2016-01-21,38.05,41.25,37.4,40.0,49917
KERNEX,2016-01-22,40.4,42.45,40.2,42.45,20733
KERNEX,2016-01-25,43.5,44.4,43.3,44.4,29305
KERNEX,2016-01-27,42.05,45.9,42.05,45.1,10454
KERNEX,2016-01-28,43.25,45.9,43.25,45.0,13567
KERNEX,2016-01-29,43.1,46.0,43.1,44.7,8008
KERNEX,2016-02-01,45.5,46.0,45.0,45.0,13762
KERNEX,2016-02-02,45.5,46.55,44.5,44.8,18227
KERNEX,2016-02-03,43.0,44.6,42.55,42.8,14692
KERNEX,2016-02-04,42.85,44.7,42.8,44.05,7156
KERNEX,2016-02-05,43.1,44.6,42.65,43.0,6027
KERNEX,2016-02-08,44.6,44.6,43.55,44.0,6863
KERNEX,2016-02-09,43.0,44.0,43.0,43.0,5299
KERNEX,2016-02-10,40.85,42.95,40.85,40.85,12218
KERNEX,2016-02-11,42.0,42.6,38.95,39.0,22396
KERNEX,2016-02-12,37.05,39.0,37.05,37.5,11068
KERNEX,2016-02-15,37.5,39.5,37.5,39.5,15026
KERNEX,2016-02-16,41.2,41.45,38.15,38.15,13874
KERNEX,2016-02-17,38.3,40.5,38.05,40.5,10651
KERNEX,2016-02-18,40.5,41.0,38.1,38.1,12497
KERNEX,2016-02-19,38.0,40.4,37.8,40.4,14224
KERNEX,2016-02-22,40.95,41.95,40.75,40.9,23331
KERNEX,2016-02-23,40.0,40.85,38.95,38.95,20224
KERNEX,2016-02-24,37.25,38.5,37.15,37.8,38192
KERNEX,2016-02-25,38.9,38.9,36.1,36.1,49850
KERNEX,2016-02-26,34.3,34.3,34.3,34.3,5597
KERNEX,2016-02-29,32.6,34.2,32.6,32.6,34426
KERNEX,2016-03-01,31.35,34.25,31.1,33.0,24118
KERNEX,2016-03-02,32.2,33.4,32.15,32.4,14130
KERNEX,2016-03-03,33.25,33.25,31.05,32.05,7522
KERNEX,2016-03-04,31.55,32.8,31.55,32.05,7652
KERNEX,2016-03-08,32.5,32.5,31.1,31.8,9101
KERNEX,2016-03-09,31.8,31.8,30.55,31.45,19923
KERNEX,2016-03-10,32.5,32.5,31.1,31.15,8779
KERNEX,2016-03-11,31.3,31.75,30.9,30.9,9326
KERNEX,2016-03-14,31.1,31.1,30.45,31.0,19594
KERNEX,2016-03-15,31.0,31.0,30.0,30.7,8278
KERNEX,2016-03-16,30.0,30.75,29.75,30.55,11658
KERNEX,2016-03-17,31.0,31.0,30.4,30.65,5483
KERNEX,2016-03-18,30.7,32.2,30.3,30.55,7911
KERNEX,2016-03-21,31.05,31.8,31.0,31.2,7031
KERNEX,2016-03-22,31.0,32.65,31.0,32.25,15032
KERNEX,2016-03-23,32.7,32.8,31.5,32.0,5320
KERNEX,2016-03-28,32.0,32.35,31.25,31.55,6755
KERNEX,2016-03-29,31.85,31.85,30.05,31.5,36625
KERNEX,2016-03-30,31.0,32.0,31.0,31.1,3443
KERNEX,2016-03-31,31.1,31.8,30.5,31.8,5227
KERNEX,2016-04-01,31.5,32.25,31.5,31.6,1258
KERNEX,2016-04-04,32.0,33.15,32.0,32.7,16024
KERNEX,2016-04-05,33.4,33.8,33.0,33.15,20038
KERNEX,2016-04-06,32.55,34.0,31.4,33.05,15496
KERNEX,2016-04-07,32.4,34.0,32.1,33.35,6878
KERNEX,2016-04-08,33.75,33.75,31.5,32.5,19985
KERNEX,2016-04-11,32.0,32.9,31.65,32.25,5526
KERNEX,2016-04-12,32.5,33.25,32.35,33.0,10690
KERNEX,2016-04-13,33.0,33.8,32.25,33.5,14685
KERNEX,2016-04-18,33.8,33.9,32.5,33.3,5959
KERNEX,2016-04-20,35.2,35.2,34.0,35.2,15136
KERNEX,2016-04-21,36.45,36.45,33.5,34.0,12711
KERNEX,2016-04-22,34.5,35.0,33.35,33.65,2591
KERNEX,2016-04-25,32.8,34.5,32.8,33.6,19486
KERNEX,2016-04-26,34.6,34.6,32.65,33.25,13706
KERNEX,2016-04-27,33.9,34.45,33.05,34.25,1676
KERNEX,2016-04-28,33.15,34.35,33.15,33.2,4385
KERNEX,2016-04-29,32.9,34.8,32.9,33.8,6464
KERNEX,2016-05-02,34.7,34.7,32.5,33.75,8575
KERNEX,2016-05-03,32.7,34.5,32.7,33.05,7766
