symbol,date,open,high,low,close,volume
KIRLFER,2019-11-13,60.2,65.95,60.2,64.0,4993
KIRLFER,2019-11-14,64.95,64.95,60.0,60.95,6528
KIRLFER,2019-11-15,60.2,63.8,60.1,60.95,4483
KIRLFER,2019-11-18,61.0,61.95,60.85,60.95,7789
KIRLFER,2019-11-19,60.2,61.95,59.0,59.9,14665
KIRLFER,2019-11-20,63.95,63.95,60.15,60.55,3017
KIRLFER,2019-11-21,60.2,62.5,60.2,61.05,2318
KIRLFER,2019-11-22,60.6,62.4,59.8,60.9,11374
KIRLFER,2019-11-25,60.5,62.95,60.5,61.2,3767
KIRLFER,2019-11-26,61.95,61.95,60.05,60.4,10452
KIRLFER,2019-11-27,61.95,63.0,60.5,62.0,8427
KIRLFER,2019-11-28,61.0,63.3,60.1,60.9,13528
KIRLFER,2019-11-29,62.45,62.45,60.55,60.85,2657
KIRLFER,2019-12-02,62.9,62.95,60.25,61.0,10464
KIRLFER,2019-12-03,61.0,61.2,60.1,60.45,14416
KIRLFER,2019-12-04,61.45,62.8,60.4,61.5,3127
KIRLFER,2019-12-05,61.0,61.85,60.05,60.9,5178
KIRLFER,2019-12-06,62.7,62.7,60.25,61.15,4828
KIRLFER,2019-12-09,67.55,67.55,60.8,61.0,3662
KIRLFER,2019-12-10,60.95,62.0,60.05,61.1,13805
KIRLFER,2019-12-11,60.85,62.4,60.75,60.8,7389
KIRLFER,2019-12-12,60.8,63.0,60.8,61.9,11096
KIRLFER,2019-12-13,64.0,64.0,61.25,61.65,1330
KIRLFER,2019-12-16,61.25,65.0,61.25,61.95,25174
KIRLFER,2019-12-17,63.8,63.8,61.0,61.25,4019
KIRLFER,2019-12-18,62.4,62.4,61.25,61.65,2810
KIRLFER,2019-12-19,61.3,61.8,60.15,61.25,11481
KIRLFER,2019-12-20,60.6,61.5,60.6,61.25,7272
KIRLFER,2019-12-23,63.3,63.3,61.35,61.35,2726
KIRLFER,2019-12-24,61.25,62.4,61.0,61.0,15857
KIRLFER,2019-12-26,61.0,62.45,61.0,61.25,2264
KIRLFER,2019-12-27,62.35,62.8,61.15,61.55,9911
KIRLFER,2019-12-30,62.85,64.5,61.35,62.0,5664
KIRLFER,2019-12-31,62.45,63.4,61.7,62.9,2379
KIRLFER,2020-01-01,63.25,63.35,62.1,62.7,2911
KIRLFER,2020-01-02,64.9,69.0,63.05,67.95,33903
KIRLFER,2020-01-03,70.0,72.75,68.0,69.7,34672
KIRLFER,2020-01-06,69.0,70.8,66.0,69.6,13184
KIRLFER,2020-01-07,70.9,75.0,68.65,70.3,16750
KIRLFER,2020-01-08,69.3,72.0,67.15,69.6,22673
KIRLFER,2020-01-09,73.95,73.95,70.05,72.95,18288
KIRLFER,2020-01-10,73.0,75.0,70.7,74.5,24652
KIRLFER,2020-01-13,74.1,74.9,72.75,73.9,17022
KIRLFER,2020-01-14,69.5,79.4,69.5,77.2,51505
KIRLFER,2020-01-15,75.0,86.5,75.0,77.75,18534
KIRLFER,2020-01-16,79.0,79.75,76.9,78.6,22869
KIRLFER,2020-01-17,79.0,79.7,76.2,77.85,14445
KIRLFER,2020-01-20,83.3,83.3,72.6,73.25,19906
KIRLFER,2020-01-21,75.9,75.9,67.05,72.25,27547
KIRLFER,2020-01-22,73.9,74.95,71.0,74.15,58026
KIRLFER,2020-01-23,74.6,75.05,72.6,73.35,5084
KIRLFER,2020-01-24,73.35,75.1,70.25,72.55,86231
KIRLFER,2020-01-27,72.0,74.55,71.95,72.7,6494
KIRLFER,2020-01-28,72.7,74.5,71.6,73.9,25344
KIRLFER,2020-01-29,72.65,75.2,72.3,74.7,34548
KIRLFER,2020-01-30,74.0,74.9,72.1,74.6,46954
KIRLFER,2020-01-31,74.2,74.2,72.0,74.0,23037
KIRLFER,2020-02-01,73.5,73.5,70.55,70.9,6550
KIRLFER,2020-02-03,70.8,71.4,70.0,70.75,16853
KIRLFER,2020-02-04,71.0,72.0,70.1,71.4,15366
KIRLFER,2020-02-05,73.4,74.0,71.0,73.6,8209
KIRLFER,2020-02-06,73.4,75.0,72.05,73.35,207165
KIRLFER,2020-02-07,72.85,73.0,71.5,72.0,9586
KIRLFER,2020-02-10,73.05,73.05,70.25,70.85,35741
KIRLFER,2020-02-11,70.8,72.95,69.1,70.1,13992
KIRLFER,2020-02-12,70.2,71.8,68.5,70.3,12927
KIRLFER,2020-02-13,68.75,71.5,68.0,71.2,13866
KIRLFER,2020-02-14,72.05,72.7,70.3,71.6,16328
KIRLFER,2020-02-17,71.05,72.2,69.25,69.35,4791
KIRLFER,2020-02-18,68.15,70.4,67.55,67.65,21629
KIRLFER,2020-02-19,65.6,71.0,65.55,70.0,65243
KIRLFER,2020-02-20,68.2,72.5,68.2,70.3,20891
KIRLFER,2020-02-24,68.2,71.4,68.2,69.75,8356
KIRLFER,2020-02-25,71.55,71.55,67.7,69.1,43008
KIRLFER,2020-02-26,70.35,70.35,66.55,68.5,29768
KIRLFER,2020-02-27,68.7,69.55,67.55,67.75,10957
KIRLFER,2020-02-28,65.65,67.0,65.25,66.05,82100
KIRLFER,2020-03-02,68.45,69.5,65.5,66.65,15356
KIRLFER,2020-03-03,67.05,67.7,65.5,66.0,42125
KIRLFER,2020-03-04,66.05,66.2,65.75,66.1,26645
KIRLFER,2020-03-05,66.35,66.35,64.7,65.3,24647
KIRLFER,2020-03-06,64.05,67.5,64.05,66.45,10164
KIRLFER,2020-03-09,65.75,65.75,60.6,62.25,35549
KIRLFER,2020-03-11,65.9,65.9,60.1,64.35,10146
KIRLFER,2020-03-12,63.5,63.5,57.0,59.0,48246
KIRLFER,2020-03-13,54.1,61.8,48.05,56.6,25309
KIRLFER,2020-03-16,56.65,59.0,55.65,57.05,36470
KIRLFER,2020-03-17,65.0,65.0,51.05,58.75,126517
KIRLFER,2020-03-18,58.75,61.35,50.75,51.5,25195
KIRLFER,2020-03-19,49.95,51.5,47.0,49.6,50149
KIRLFER,2020-03-20,49.05,52.7,48.1,51.5,13396
KIRLFER,2020-03-23,51.0,51.0,41.2,41.2,28637
KIRLFER,2020-03-24,41.2,46.3,37.0,38.85,31643
KIRLFER,2020-03-25,37.0,42.0,37.0,40.95,12867
KIRLFER,2020-03-26,39.05,45.0,38.4,45.0,17461
KIRLFER,2020-03-27,49.0,49.5,44.0,47.1,13805
KIRLFER,2020-03-30,43.55,47.65,43.0,43.2,9021
KIRLFER,2020-03-31,43.9,47.5,39.0,43.45,47670
KIRLFER,2020-04-01,41.0,44.8,39.5,42.4,11501
KIRLFER,2020-04-03,42.95,46.0,42.2,45.05,7993
KIRLFER,2020-04-07,45.25,47.4,45.05,47.0,8711
KIRLFER,2020-04-08,48.65,51.4,43.2,48.4,27710
KIRLFER,2020-04-09,48.4,53.0,48.4,52.5,9557
KIRLFER,2020-04-13,56.85,56.85,47.6,49.65,15449
KIRLFER,2020-04-15,53.75,53.75,48.0,51.0,20465
KIRLFER,2020-04-16,51.0,54.45,49.3,53.05,6718
KIRLFER,2020-04-17,52.25,55.9,51.1,54.55,14225
KIRLFER,2020-04-20,53.3,59.8,53.3,57.4,94548
KIRLFER,2020-04-21,57.4,57.4,54.0,56.35,10025
KIRLFER,2020-04-22,53.7,56.9,53.0,55.6,6394
KIRLFER,2020-04-23,54.35,58.95,54.3,56.05,6427
KIRLFER,2020-04-24,55.25,56.0,54.0,54.05,11224
KIRLFER,2020-04-27,54.3,56.0,52.35,54.1,3972
KIRLFER,2020-04-28,54.0,54.85,52.0,53.95,5391
KIRLFER,2020-04-29,56.7,56.7,52.95,55.6,5440
KIRLFER,2020-04-30,55.0,57.9,55.0,56.5,7882
KIRLFER,2020-05-04,51.75,55.0,51.1,54.0,10130
KIRLFER,2020-05-05,53.15,56.1,52.0,53.35,14094
KIRLFER,2020-05-06,52.35,54.2,52.3,53.05,4889
KIRLFER,2020-05-07,52.4,53.95,52.4,53.1,3010
KIRLFER,2020-05-08,54.7,54.75,52.2,54.05,6519
KIRLFER,2020-05-11,55.9,55.9,53.05,54.8,6385
KIRLFER,2020-05-12,53.8,55.8,51.8,54.0,11481
KIRLFER,2020-05-13,56.85,56.9,53.4,55.0,14350
KIRLFER,2020-05-14,55.0,55.0,53.3,54.1,6155
KIRLFER,2020-05-15,55.5,55.7,54.25,54.9,3494
KIRLFER,2020-05-18,55.95,55.95,52.1,53.65,6095
KIRLFER,2020-05-19,53.35,54.55,53.3,54.05,10385
KIRLFER,2020-05-20,54.95,54.95,53.35,54.0,19050
KIRLFER,2020-05-21,54.95,55.6,53.05,53.95,13530
KIRLFER,2020-05-22,53.15,53.85,52.8,52.8,5600
KIRLFER,2020-05-26,53.1,54.9,52.8,53.15,2844
KIRLFER,2020-05-27,53.5,53.5,51.25,52.15,4148
KIRLFER,2020-05-28,54.0,54.0,51.35,53.0,18189
KIRLFER,2020-05-29,52.05,53.9,52.0,53.05,18472
KIRLFER,2020-06-01,53.05,55.0,52.55,54.7,23185
KIRLFER,2020-06-02,54.95,56.9,54.0,56.55,10244
KIRLFER,2020-06-03,55.0,57.0,54.1,56.95,13068
KIRLFER,2020-06-04,54.75,56.5,54.4,55.0,5070
KIRLFER,2020-06-05,55.05,63.5,55.0,61.55,41934
KIRLFER,2020-06-08,64.7,67.8,61.45,63.25,44631
KIRLFER,2020-06-09,62.65,73.0,62.65,67.0,468181
KIRLFER,2020-06-10,69.0,69.75,66.25,67.05,71660
KIRLFER,2020-06-11,67.0,67.25,63.0,64.6,46863
KIRLFER,2020-06-12,65.4,65.4,60.0,63.6,64121
KIRLFER,2020-06-15,61.55,67.45,61.55,63.9,25717
KIRLFER,2020-06-16,66.0,70.0,65.1,66.45,126861
KIRLFER,2020-06-17,67.8,67.8,65.0,65.95,27260
KIRLFER,2020-06-18,67.0,69.35,66.5,68.35,41317
KIRLFER,2020-06-19,69.4,69.9,68.05,68.35,20559
KIRLFER,2020-06-22,68.35,69.8,67.0,68.45,35311
KIRLFER,2020-06-23,69.15,71.45,68.0,70.3,44692
KIRLFER,2020-06-24,70.55,75.65,69.35,71.35,93685
KIRLFER,2020-06-25,71.4,73.2,68.0,69.7,27728
KIRLFER,2020-06-26,69.3,72.5,69.3,71.05,19554
KIRLFER,2020-06-29,69.05,71.5,68.9,69.35,11852
KIRLFER,2020-06-30,69.95,71.6,68.3,68.5,7474
KIRLFER,2020-07-01,68.7,68.7,64.75,67.65,39247
KIRLFER,2020-07-02,68.7,70.05,68.7,69.55,17465
KIRLFER,2020-07-03,70.0,71.5,66.7,70.85,47263
KIRLFER,2020-07-06,70.85,77.0,69.3,74.25,141586
KIRLFER,2020-07-07,76.85,77.5,74.85,76.75,80656
KIRLFER,2020-07-08,76.0,78.9,73.0,73.35,90781
KIRLFER,2020-07-09,75.05,75.9,72.6,73.1,27517
KIRLFER,2020-07-10,73.0,74.55,70.6,71.85,31426
KIRLFER,2020-07-13,71.25,76.0,70.1,73.95,64737
KIRLFER,2020-07-14,74.55,74.55,72.0,73.4,32531
KIRLFER,2020-07-15,75.95,75.95,71.95,72.1,24342
KIRLFER,2020-07-16,73.05,74.0,70.1,73.55,23065
KIRLFER,2020-07-17,73.05,78.0,72.85,76.75,87621
KIRLFER,2020-07-20,78.75,80.1,73.35,77.75,67088
KIRLFER,2020-07-21,78.0,79.15,74.0,77.25,54875
KIRLFER,2020-07-22,78.65,78.7,75.0,77.95,37092
KIRLFER,2020-07-23,78.05,78.85,75.0,77.25,105582
KIRLFER,2020-07-24,79.7,79.7,75.25,76.05,54266
KIRLFER,2020-07-27,76.95,76.95,72.35,75.85,41970
KIRLFER,2020-07-28,76.75,77.95,74.0,75.65,36487
KIRLFER,2020-07-29,76.0,77.7,73.0,76.4,164507
KIRLFER,2020-07-30,75.5,76.5,74.0,75.5,57692
KIRLFER,2020-07-31,75.3,76.7,75.05,75.5,31074
KIRLFER,2020-08-03,76.0,76.75,75.85,76.6,26125
KIRLFER,2020-08-04,75.05,77.8,75.05,77.05,82322
KIRLFER,2020-08-05,77.1,78.4,76.0,77.5,27935
KIRLFER,2020-08-06,77.95,83.6,77.95,82.2,143940
KIRLFER,2020-08-07,82.55,93.0,80.25,89.95,337051
KIRLFER,2020-08-10,89.95,94.15,89.05,90.2,173964
KIRLFER,2020-08-11,89.15,92.0,87.0,89.0,85320
KIRLFER,2020-08-12,89.9,89.9,83.8,87.4,67871
KIRLFER,2020-08-13,89.75,89.8,86.3,86.75,43369
KIRLFER,2020-08-14,87.2,88.5,80.1,86.65,75808
KIRLFER,2020-08-17,84.1,88.0,84.1,85.35,37917
KIRLFER,2020-08-18,85.8,87.7,84.0,86.55,55237
KIRLFER,2020-08-19,86.7,88.0,86.15,87.3,24095
KIRLFER,2020-08-20,85.15,92.4,85.15,91.4,59693
KIRLFER,2020-08-21,96.75,99.0,91.2,93.1,239136
KIRLFER,2020-08-24,93.05,94.75,90.3,92.5,107093
KIRLFER,2020-08-25,92.45,92.45,89.7,90.55,56847
KIRLFER,2020-08-26,90.0,93.8,88.55,91.4,104283
KIRLFER,2020-08-27,91.4,93.6,90.5,92.1,48824
KIRLFER,2020-08-28,93.7,93.7,89.65,91.1,101980
KIRLFER,2020-08-31,92.9,92.9,84.0,86.75,155811
KIRLFER,2020-09-01,86.0,88.85,83.05,87.75,32677
KIRLFER,2020-09-02,87.0,88.95,86.0,87.95,20054
KIRLFER,2020-09-03,87.0,89.0,84.5,88.0,72719
KIRLFER,2020-09-04,87.05,89.55,85.15,88.95,41959
KIRLFER,2020-09-07,89.0,89.55,82.95,85.15,68282
KIRLFER,2020-09-08,84.6,86.25,82.95,85.9,47226
KIRLFER,2020-09-09,84.0,87.8,82.85,87.25,42489
KIRLFER,2020-09-10,88.95,88.95,83.65,85.3,17682
KIRLFER,2020-09-11,85.3,87.0,84.2,86.8,19199
KIRLFER,2020-09-14,87.9,90.05,86.6,87.25,44950
KIRLFER,2020-09-15,88.0,88.0,86.0,86.35,20144
KIRLFER,2020-09-16,87.1,87.4,83.4,85.0,21548
KIRLFER,2020-09-17,86.5,86.5,82.7,85.4,51354
KIRLFER,2020-09-18,87.0,87.0,82.5,85.15,64087
KIRLFER,2020-09-21,85.15,85.9,82.6,84.1,54766
KIRLFER,2020-09-22,84.05,84.95,80.5,84.5,58061
KIRLFER,2020-09-23,84.15,85.2,83.6,84.85,23393
KIRLFER,2020-09-24,82.85,85.75,80.55,85.25,37874
KIRLFER,2020-09-25,84.45,86.55,83.45,85.65,31202
KIRLFER,2020-09-28,87.0,89.0,86.0,88.15,57319
KIRLFER,2020-09-29,87.6,88.7,84.7,88.2,41956
KIRLFER,2020-09-30,88.2,91.25,87.4,90.25,80341
KIRLFER,2020-10-01,91.4,92.0,88.3,90.05,37227
KIRLFER,2020-10-05,87.7,91.7,87.7,90.6,33981
KIRLFER,2020-10-06,90.15,91.0,89.95,90.3,35140
KIRLFER,2020-10-07,89.8,90.55,89.5,90.15,12732
KIRLFER,2020-10-08,89.9,92.0,89.7,91.6,75949
KIRLFER,2020-10-09,92.2,92.85,90.15,91.6,46420
KIRLFER,2020-10-12,93.0,94.75,90.5,90.75,38469
KIRLFER,2020-10-13,91.55,91.55,87.7,90.8,28073
KIRLFER,2020-10-14,90.9,91.8,88.65,90.95,18028
KIRLFER,2020-10-15,90.95,91.35,88.85,90.85,211123
KIRLFER,2020-10-16,90.8,91.0,89.15,90.2,31872
KIRLFER,2020-10-19,89.55,90.1,87.2,89.15,44760
KIRLFER,2020-10-20,91.25,92.55,89.1,89.85,66838
KIRLFER,2020-10-21,90.0,91.6,88.3,89.5,42532
KIRLFER,2020-10-22,89.0,89.2,84.7,86.15,100274
KIRLFER,2020-10-23,86.25,88.65,84.15,85.15,108623
KIRLFER,2020-10-26,85.0,90.9,83.3,89.45,124762
KIRLFER,2020-10-27,89.85,91.05,88.0,89.8,60137
KIRLFER,2020-10-28,89.8,92.5,87.65,89.4,59696
KIRLFER,2020-10-29,93.0,96.8,91.5,92.5,831080
KIRLFER,2020-10-30,92.65,94.65,92.6,93.5,88477
KIRLFER,2020-11-02,94.05,97.2,93.25,95.65,383998
KIRLFER,2020-11-03,97.0,97.05,93.5,93.9,76409
KIRLFER,2020-11-04,94.05,94.05,92.5,92.85,27594
KIRLFER,2020-11-05,92.6,92.85,90.7,92.05,33636
KIRLFER,2020-11-06,90.6,94.95,90.5,91.3,36038
KIRLFER,2020-11-09,93.95,95.1,92.2,94.25,116655
KIRLFER,2020-11-10,95.0,95.15,93.0,94.6,314217
KIRLFER,2020-11-11,93.8,95.35,92.05,94.1,219612
KIRLFER,2020-11-12,94.15,94.6,92.75,93.85,93631
KIRLFER,2020-11-13,94.55,94.55,91.75,92.1,112192
KIRLFER,2020-11-14,94.3,96.1,93.75,95.45,64698
KIRLFER,2020-11-17,97.0,111.6,96.0,108.05,909934
KIRLFER,2020-11-18,109.6,123.4,106.05,119.2,1373319
KIRLFER,2020-11-19,117.1,121.75,111.1,113.3,623057
KIRLFER,2020-11-20,113.5,116.0,110.6,113.7,149715
KIRLFER,2020-11-23,115.9,119.95,112.3,116.6,413611
KIRLFER,2020-11-24,117.4,119.0,114.3,116.3,183421
KIRLFER,2020-11-25,117.6,119.0,113.0,114.45,267738
KIRLFER,2020-11-26,115.0,116.75,112.75,114.25,79330
KIRLFER,2020-11-27,116.25,120.0,114.3,114.85,224243
KIRLFER,2020-12-01,116.9,130.0,116.0,126.25,1076671
KIRLFER,2020-12-02,128.0,135.0,124.4,132.6,852721
KIRLFER,2020-12-03,134.7,140.9,134.2,134.55,656310
KIRLFER,2020-12-04,134.95,145.15,133.0,142.8,551216
KIRLFER,2020-12-07,142.5,144.8,137.1,138.1,240617
KIRLFER,2020-12-08,138.1,140.0,130.0,134.65,174519
KIRLFER,2020-12-09,135.8,135.8,122.5,133.85,127205
KIRLFER,2020-12-10,133.5,145.0,127.6,144.3,451933
KIRLFER,2020-12-11,145.0,149.75,141.35,144.95,281746
KIRLFER,2020-12-14,146.75,147.2,142.0,142.85,94731
KIRLFER,2020-12-15,144.0,146.0,136.3,142.7,99470
KIRLFER,2020-12-16,142.65,144.7,140.15,140.6,135982
KIRLFER,2020-12-17,140.7,143.55,140.1,141.2,109382
KIRLFER,2020-12-18,142.0,143.0,135.95,141.5,101989
KIRLFER,2020-12-21,141.5,142.55,118.0,125.85,230065
KIRLFER,2020-12-22,125.0,137.35,122.1,134.0,206554
KIRLFER,2020-12-23,134.2,143.5,134.2,136.1,109545
KIRLFER,2020-12-24,138.9,139.95,135.0,135.95,59916
KIRLFER,2020-12-28,137.9,141.15,135.95,137.1,75853
KIRLFER,2020-12-29,139.75,142.55,135.0,138.45,70733
KIRLFER,2020-12-30,141.8,142.3,137.75,140.7,62883
KIRLFER,2020-12-31,140.5,143.0,138.55,140.05,55872
KIRLFER,2021-01-01,142.95,157.45,139.35,148.25,451652
KIRLFER,2021-01-04,152.0,156.0,146.5,148.5,222596
KIRLFER,2021-01-05,148.5,150.0,144.6,146.1,90760
KIRLFER,2021-01-06,146.6,151.0,141.55,143.7,86343
KIRLFER,2021-01-07,145.1,149.05,136.1,140.0,219644
KIRLFER,2021-01-08,142.8,149.75,139.65,145.45,206973
