symbol,date,open,high,low,close,volume
KONSTELEC,2024-02-13,232.0,264.0,213.2,252.6,362001
KONSTELEC,2024-02-14,240.0,256.5,236.5,247.0,126001
KONSTELEC,2024-02-15,247.0,250.0,234.0,239.2,174001
KONSTELEC,2024-02-16,240.0,266.0,240.0,241.15,246001
KONSTELEC,2024-02-19,243.0,244.0,234.05,234.05,104001
KONSTELEC,2024-02-20,234.8,250.0,219.0,229.9,160001
KONSTELEC,2024-02-21,232.0,245.0,226.0,238.0,128001
KONSTELEC,2024-02-22,238.0,257.85,232.0,246.75,252001
KONSTELEC,2024-02-23,254.95,262.9,248.5,255.4,184002
KONSTELEC,2024-02-26,247.5,255.0,230.7,233.95,258001
KONSTELEC,2024-02-27,237.8,237.8,222.7,225.0,176001
KONSTELEC,2024-02-28,225.6,231.0,212.0,218.0,202001
KONSTELEC,2024-02-29,223.7,235.0,211.55,225.0,218001
KONSTELEC,2024-03-01,227.0,233.8,217.05,220.6,116001
KONSTELEC,2024-03-02,220.05,223.6,220.05,222.1,26001
KONSTELEC,2024-03-04,220.0,220.0,193.0,209.0,282001
KONSTELEC,2024-03-05,208.55,209.0,193.5,204.5,190001
KONSTELEC,2024-03-06,200.0,200.0,185.55,195.0,172001
KONSTELEC,2024-03-07,201.0,207.9,200.5,205.4,68001
KONSTELEC,2024-03-11,213.4,213.4,179.0,179.0,244001
KONSTELEC,2024-03-12,179.3,179.3,156.15,164.0,258001
KONSTELEC,2024-03-13,168.0,168.0,147.0,155.0,240001
KONSTELEC,2024-03-14,159.0,184.0,159.0,168.9,204001
KONSTELEC,2024-03-15,176.5,179.5,161.85,167.0,84001
KONSTELEC,2024-03-18,170.5,174.0,165.25,174.0,62001
KONSTELEC,2024-03-19,170.05,173.75,158.0,158.0,78001
KONSTELEC,2024-03-20,159.25,169.8,158.0,162.9,94002
KONSTELEC,2024-03-21,164.05,169.0,162.0,162.0,48001
KONSTELEC,2024-03-22,164.0,172.5,164.0,166.0,58001
KONSTELEC,2024-03-26,169.0,169.9,158.0,162.5,162001
KONSTELEC,2024-03-27,162.9,165.0,145.05,146.0,304001
KONSTELEC,2024-03-28,156.95,173.95,152.0,173.95,228001
KONSTELEC,2024-04-01,179.8,195.5,179.8,194.5,128002
KONSTELEC,2024-04-02,202.9,202.9,186.5,192.05,116001
KONSTELEC,2024-04-03,197.45,197.45,186.0,188.4,66001
KONSTELEC,2024-04-04,184.05,199.0,184.05,195.0,102001
KONSTELEC,2024-04-05,199.7,199.7,185.1,192.8,52001
KONSTELEC,2024-04-08,200.95,206.0,193.5,195.0,102001
KONSTELEC,2024-04-09,196.0,201.25,187.55,196.0,92001
KONSTELEC,2024-04-10,196.0,197.5,179.95,179.95,88001
KONSTELEC,2024-04-12,180.0,186.0,176.25,180.0,98001
KONSTELEC,2024-04-15,170.05,177.45,164.0,174.0,120001
KONSTELEC,2024-04-16,176.05,189.0,176.05,188.0,46001
KONSTELEC,2024-04-18,190.05,196.8,190.05,193.9,66002
KONSTELEC,2024-04-19,184.1,195.0,182.0,189.0,48001
KONSTELEC,2024-04-22,183.0,197.95,183.0,188.1,74001
KONSTELEC,2024-04-23,189.3,193.6,185.05,185.05,124001
KONSTELEC,2024-04-24,187.5,189.0,172.0,180.0,132002
KONSTELEC,2024-04-25,177.0,180.55,172.05,175.4,196001
KONSTELEC,2024-04-26,176.0,180.0,170.0,175.0,140001
KONSTELEC,2024-04-29,181.95,184.45,178.0,180.0,113001
KONSTELEC,2024-04-30,185.95,185.95,180.0,184.0,68001
