symbol,date,open,high,low,close,volume
KRISHIVAL,2023-01-12,255.0,255.0,235.55,235.55,2001
KRISHIVAL,2023-01-17,245.0,245.0,245.0,245.0,1001
KRISHIVAL,2023-01-18,233.0,234.35,232.75,232.75,14001
KRISHIVAL,2023-01-20,221.45,221.45,221.45,221.45,1001
KRISHIVAL,2023-01-23,211.5,211.5,211.5,211.5,1001
KRISHIVAL,2023-01-24,222.0,222.05,222.0,222.05,2001
KRISHIVAL,2023-01-25,211.0,211.0,210.95,210.95,2001
KRISHIVAL,2023-01-30,210.0,210.0,200.4,200.4,3002
KRISHIVAL,2023-01-31,203.6,203.6,193.45,193.45,4001
KRISHIVAL,2023-02-01,194.0,203.1,194.0,203.1,3001
KRISHIVAL,2023-02-02,213.25,213.25,213.25,213.25,5001
KRISHIVAL,2023-02-03,223.9,223.9,223.9,223.9,4001
KRISHIVAL,2023-02-06,235.05,235.05,235.05,235.05,4001
KRISHIVAL,2023-02-07,246.8,246.8,246.8,246.8,10001
KRISHIVAL,2023-02-08,259.1,259.1,259.1,259.1,2001
KRISHIVAL,2023-02-09,272.05,272.05,272.05,272.05,2001
KRISHIVAL,2023-02-10,285.65,285.65,283.95,284.0,15002
KRISHIVAL,2023-02-14,280.0,280.0,275.0,275.0,5001
KRISHIVAL,2023-02-15,275.0,275.0,275.0,275.0,1001
KRISHIVAL,2023-02-16,275.0,280.0,275.0,280.0,4001
KRISHIVAL,2023-02-17,270.0,279.0,270.0,279.0,2001
KRISHIVAL,2023-02-22,275.0,275.0,275.0,275.0,1001
KRISHIVAL,2023-02-23,262.0,262.0,262.0,262.0,2001
KRISHIVAL,2023-02-27,250.0,250.0,250.0,250.0,1001
KRISHIVAL,2023-02-28,260.0,260.0,260.0,260.0,1001
KRISHIVAL,2023-03-06,262.0,262.0,260.0,260.0,2001
KRISHIVAL,2023-03-14,260.0,260.0,250.0,250.0,2001
KRISHIVAL,2023-03-16,262.5,262.5,262.5,262.5,2001
KRISHIVAL,2023-03-17,270.0,275.6,270.0,275.6,6001
KRISHIVAL,2023-03-20,286.0,289.35,286.0,289.35,2001
KRISHIVAL,2023-03-21,299.9,299.9,295.0,298.5,46001
KRISHIVAL,2023-03-22,306.5,306.5,306.5,306.5,1001
KRISHIVAL,2023-03-23,309.95,309.95,292.0,292.0,2001
KRISHIVAL,2023-03-24,292.0,292.0,285.9,285.9,2001
KRISHIVAL,2023-03-28,272.7,274.0,272.7,274.0,1501
KRISHIVAL,2023-03-29,261.0,284.95,261.0,284.95,1501
KRISHIVAL,2023-03-31,271.0,271.0,270.7,270.7,1001
KRISHIVAL,2023-04-05,284.0,284.0,284.0,284.0,501
KRISHIVAL,2023-04-10,270.0,270.0,270.0,270.0,25001
KRISHIVAL,2023-04-11,260.0,283.5,260.0,283.5,79501
KRISHIVAL,2023-04-12,293.0,293.0,293.0,293.0,501
KRISHIVAL,2023-04-13,293.0,293.0,293.0,293.0,1501
KRISHIVAL,2023-04-17,293.0,293.0,293.0,293.0,501
KRISHIVAL,2023-04-19,278.35,278.35,278.35,278.35,2001
KRISHIVAL,2023-04-21,285.0,292.0,285.0,292.0,3001
KRISHIVAL,2023-04-25,296.8,296.8,296.8,296.8,1001
KRISHIVAL,2023-04-26,282.0,282.0,282.0,282.0,2001
KRISHIVAL,2023-04-27,289.8,289.8,289.8,289.8,501
KRISHIVAL,2023-04-28,276.0,299.8,276.0,299.8,2501
KRISHIVAL,2023-05-02,282.2,282.2,281.3,281.3,7501
KRISHIVAL,2023-05-04,267.5,267.9,267.25,267.25,2001
KRISHIVAL,2023-05-09,265.0,265.0,265.0,265.0,1001
KRISHIVAL,2023-05-10,265.0,265.0,265.0,265.0,500
KRISHIVAL,2023-05-12,274.9,274.9,274.9,274.9,501
KRISHIVAL,2023-05-15,261.5,261.5,261.5,261.5,501
KRISHIVAL,2023-05-17,262.0,262.0,262.0,262.0,501
KRISHIVAL,2023-05-19,271.0,271.0,271.0,271.0,500
KRISHIVAL,2023-05-24,279.0,279.0,279.0,279.0,501
KRISHIVAL,2023-05-25,265.05,276.0,265.05,276.0,1501
KRISHIVAL,2023-05-26,289.8,289.8,284.0,289.8,11501
KRISHIVAL,2023-05-29,289.0,298.0,289.0,292.0,2501
KRISHIVAL,2023-05-30,280.0,295.0,280.0,288.0,3001
KRISHIVAL,2023-05-31,297.8,297.8,295.0,295.0,2001
KRISHIVAL,2023-06-01,290.0,290.0,290.0,290.0,501
KRISHIVAL,2023-06-07,288.0,288.0,288.0,288.0,2501
KRISHIVAL,2023-06-08,273.6,300.0,273.6,300.0,2001
KRISHIVAL,2023-06-12,280.0,280.0,280.0,280.0,501
KRISHIVAL,2023-06-13,266.0,272.0,266.0,272.0,31501
KRISHIVAL,2023-06-14,272.0,284.0,272.0,284.0,31001
KRISHIVAL,2023-06-15,272.2,272.2,269.8,272.2,1502
KRISHIVAL,2023-06-16,275.0,275.0,275.0,275.0,1000
KRISHIVAL,2023-06-20,273.0,273.0,273.0,273.0,29001
KRISHIVAL,2023-06-23,283.0,283.0,283.0,283.0,501
KRISHIVAL,2023-06-26,271.5,271.5,270.1,270.1,24001
KRISHIVAL,2023-06-28,256.6,283.6,256.6,283.6,7001
KRISHIVAL,2023-06-30,282.0,297.75,282.0,297.75,9501
KRISHIVAL,2023-07-03,284.0,304.0,284.0,304.0,114501
KRISHIVAL,2023-07-06,290.2,290.2,290.2,290.2,501
KRISHIVAL,2023-07-18,276.0,280.0,275.55,280.0,1502
KRISHIVAL,2023-07-27,266.0,266.0,266.0,266.0,501
KRISHIVAL,2023-08-01,266.0,266.0,266.0,266.0,501
KRISHIVAL,2023-08-03,266.0,266.0,266.0,266.0,501
KRISHIVAL,2023-08-09,270.0,270.0,270.0,270.0,501
KRISHIVAL,2023-08-10,270.0,270.0,270.0,270.0,501
KRISHIVAL,2023-08-14,257.0,257.0,257.0,257.0,2001
KRISHIVAL,2023-08-17,269.8,269.8,269.8,269.8,501
KRISHIVAL,2023-08-21,257.5,257.5,257.5,257.5,501
KRISHIVAL,2023-08-22,257.0,257.0,257.0,257.0,501
KRISHIVAL,2023-08-23,269.5,269.85,269.5,269.85,1502
KRISHIVAL,2023-08-25,257.5,257.5,257.5,257.5,501
KRISHIVAL,2023-08-28,270.35,270.35,270.35,270.35,2001
KRISHIVAL,2023-09-01,283.5,283.5,283.5,283.5,1001
KRISHIVAL,2023-09-05,269.35,275.0,269.35,275.0,1501
KRISHIVAL,2023-09-06,275.0,275.0,275.0,275.0,1001
KRISHIVAL,2023-09-07,270.0,270.0,270.0,270.0,1501
KRISHIVAL,2023-09-11,283.5,283.5,280.5,280.5,2501
KRISHIVAL,2023-09-14,270.0,270.0,270.0,270.0,501
KRISHIVAL,2023-09-15,265.5,265.5,265.5,265.5,1001
KRISHIVAL,2023-09-21,266.45,270.0,266.45,270.0,2501
KRISHIVAL,2023-09-25,279.6,279.7,256.6,256.6,2002
KRISHIVAL,2023-09-26,260.0,260.0,257.0,257.0,3001
KRISHIVAL,2023-09-29,260.0,260.0,255.0,255.0,1501
KRISHIVAL,2023-10-10,267.75,267.75,267.75,267.75,501
KRISHIVAL,2023-10-11,267.75,267.75,254.4,254.4,1501
KRISHIVAL,2023-10-13,255.0,267.1,242.0,267.1,3502
KRISHIVAL,2023-10-16,259.0,259.0,259.0,259.0,501
KRISHIVAL,2023-10-23,271.95,271.95,270.0,271.95,4001
KRISHIVAL,2023-10-25,285.5,285.5,268.0,268.0,12001
KRISHIVAL,2023-10-26,274.95,281.4,270.25,270.25,2502
KRISHIVAL,2023-10-27,283.7,283.75,273.75,273.75,2502
KRISHIVAL,2023-10-30,286.95,287.5,280.0,280.0,8501
KRISHIVAL,2023-10-31,280.0,280.0,278.0,278.0,1501
KRISHIVAL,2023-11-01,290.0,291.9,290.0,291.9,1502
KRISHIVAL,2023-11-03,299.0,299.0,299.0,299.0,1001
KRISHIVAL,2023-11-06,292.25,292.25,284.05,284.05,1002
KRISHIVAL,2023-11-08,297.0,297.0,284.05,284.05,1001
KRISHIVAL,2023-11-09,295.45,295.45,285.0,285.0,1501
KRISHIVAL,2023-11-10,290.0,290.0,270.75,270.75,3501
KRISHIVAL,2023-11-12,284.25,284.25,284.25,284.25,2500
KRISHIVAL,2023-11-13,295.0,298.45,273.45,273.45,3502
KRISHIVAL,2023-11-15,300.0,309.75,300.0,308.95,8001
KRISHIVAL,2023-11-16,300.0,300.0,300.0,300.0,501
KRISHIVAL,2023-11-17,300.05,300.05,300.0,300.0,3001
KRISHIVAL,2023-11-20,292.95,300.0,292.95,300.0,2502
KRISHIVAL,2023-11-22,285.0,300.0,285.0,285.0,8501
KRISHIVAL,2023-11-24,275.0,275.0,270.75,270.75,2501
KRISHIVAL,2023-11-28,270.0,270.0,270.0,270.0,6001
KRISHIVAL,2023-11-29,275.0,283.5,275.0,283.0,4502
KRISHIVAL,2023-11-30,275.0,275.0,270.0,270.0,1001
KRISHIVAL,2023-12-01,283.5,283.5,283.5,283.5,5001
KRISHIVAL,2023-12-04,283.5,297.65,282.5,282.5,8001
KRISHIVAL,2023-12-05,285.0,296.6,282.5,282.5,5502
KRISHIVAL,2023-12-07,285.0,296.6,284.5,284.5,6502
KRISHIVAL,2023-12-11,275.0,275.0,274.0,274.0,1501
KRISHIVAL,2023-12-12,285.0,287.0,285.0,287.0,2502
KRISHIVAL,2023-12-13,285.0,301.35,285.0,290.0,11502
KRISHIVAL,2023-12-14,285.0,302.0,285.0,285.0,35002
KRISHIVAL,2023-12-15,275.0,275.0,270.75,270.75,2501
KRISHIVAL,2023-12-18,270.75,284.25,270.75,284.25,3001
KRISHIVAL,2023-12-19,284.25,295.0,284.25,285.0,3502
KRISHIVAL,2023-12-20,290.15,299.0,280.0,280.0,7502
KRISHIVAL,2023-12-21,280.0,280.0,280.0,280.0,501
KRISHIVAL,2023-12-22,285.0,294.0,285.0,285.0,16002
KRISHIVAL,2023-12-26,280.0,280.0,272.0,272.0,2001
KRISHIVAL,2024-01-02,259.0,284.9,258.4,284.9,6002
KRISHIVAL,2024-01-04,272.0,284.5,272.0,284.5,8001
KRISHIVAL,2024-01-05,282.9,282.9,282.9,282.9,501
KRISHIVAL,2024-01-08,270.05,270.05,268.75,268.75,2502
KRISHIVAL,2024-01-09,260.0,260.0,260.0,260.0,501
KRISHIVAL,2024-01-11,250.1,250.1,250.1,250.1,501
KRISHIVAL,2024-01-15,262.6,262.6,262.6,262.6,501
KRISHIVAL,2024-01-17,250.0,250.0,249.5,249.5,1502
KRISHIVAL,2024-01-20,249.5,249.5,249.5,249.5,1001
KRISHIVAL,2024-01-23,237.05,237.05,237.05,237.05,500
KRISHIVAL,2024-01-24,248.9,248.9,248.9,248.9,501
KRISHIVAL,2024-01-25,261.3,261.3,261.3,261.3,1001
KRISHIVAL,2024-01-29,263.0,274.35,263.0,274.35,3501
KRISHIVAL,2024-01-30,279.95,279.95,272.0,272.0,1001
KRISHIVAL,2024-02-01,272.0,276.5,258.4,276.5,5001
KRISHIVAL,2024-02-02,275.95,275.95,275.95,275.95,501
KRISHIVAL,2024-02-05,262.15,262.15,262.15,262.15,501
KRISHIVAL,2024-02-06,274.95,274.95,273.0,273.0,1001
KRISHIVAL,2024-02-12,259.35,259.35,259.35,259.35,1001
KRISHIVAL,2024-02-13,259.35,259.35,259.35,259.35,501
KRISHIVAL,2024-02-14,265.85,265.85,265.85,265.85,501
KRISHIVAL,2024-02-16,252.55,252.55,252.55,252.55,501
KRISHIVAL,2024-02-19,252.55,265.15,252.55,265.15,1001
