symbol,date,open,high,low,close,volume
KSHITIJPOL,2022-07-27,6.81,6.81,6.81,6.81,10
KSHITIJPOL,2022-07-28,7.15,7.15,6.47,7.15,199055
KSHITIJPOL,2022-07-29,7.5,7.5,7.5,7.5,2165
KSHITIJPOL,2022-08-01,7.87,7.87,7.87,7.87,42635
KSHITIJPOL,2022-08-02,8.26,8.26,8.26,8.26,131485
KSHITIJPOL,2022-08-03,8.67,8.67,7.85,8.23,1332615
KSHITIJPOL,2022-08-04,7.91,8.64,7.82,8.47,3380090
KSHITIJPOL,2022-08-05,8.86,8.89,8.21,8.89,1213800
KSHITIJPOL,2022-08-08,9.33,9.33,9.08,9.33,70005
KSHITIJPOL,2022-08-10,9.77,9.79,9.66,9.79,118365
KSHITIJPOL,2022-08-11,10.27,10.27,10.27,10.27,987180
KSHITIJPOL,2022-08-12,10.78,10.78,10.48,10.78,103895
KSHITIJPOL,2022-08-16,11.31,11.31,11.31,11.31,86455
KSHITIJPOL,2022-08-17,11.87,11.87,11.43,11.87,311535
KSHITIJPOL,2022-08-18,12.46,12.46,12.46,12.46,134785
KSHITIJPOL,2022-08-19,13.08,13.08,11.84,12.97,1149045
KSHITIJPOL,2022-08-22,13.4,13.61,12.42,13.61,2716570
KSHITIJPOL,2022-08-23,14.0,14.29,14.0,14.04,2383000
KSHITIJPOL,2022-08-24,14.0,14.74,13.34,14.08,975960
KSHITIJPOL,2022-08-25,14.6,14.78,13.38,14.78,224310
KSHITIJPOL,2022-08-26,15.08,15.51,14.06,15.51,103280
KSHITIJPOL,2022-08-29,15.51,16.28,14.74,16.13,231100
KSHITIJPOL,2022-08-30,16.39,16.9,15.4,16.14,92135
KSHITIJPOL,2022-09-01,16.02,16.4,15.34,16.2,246010
KSHITIJPOL,2022-09-02,16.2,16.36,15.39,15.39,86295
KSHITIJPOL,2022-09-05,14.64,16.15,14.63,16.14,285925
KSHITIJPOL,2022-09-06,16.12,16.12,15.46,16.0,26485
KSHITIJPOL,2022-09-07,15.94,16.0,15.5,15.62,15555
KSHITIJPOL,2022-09-08,15.26,15.99,15.26,15.68,14795
KSHITIJPOL,2022-09-09,15.88,15.9,15.6,15.86,28585
KSHITIJPOL,2022-09-12,15.56,16.65,15.5,16.65,288890
KSHITIJPOL,2022-09-13,17.48,17.48,17.48,17.48,153840
KSHITIJPOL,2022-09-14,18.35,18.35,18.35,18.35,39450
KSHITIJPOL,2022-09-15,19.26,19.26,19.26,19.26,40925
KSHITIJPOL,2022-09-16,20.22,20.22,20.1,20.22,821185
KSHITIJPOL,2022-09-19,21.0,21.23,21.0,21.23,1024720
KSHITIJPOL,2022-09-20,21.88,22.29,21.8,22.29,1242410
KSHITIJPOL,2022-09-21,23.38,23.4,23.38,23.4,898535
KSHITIJPOL,2022-09-22,23.6,24.4,22.4,22.95,977505
KSHITIJPOL,2022-09-23,23.21,23.98,22.41,23.14,790310
KSHITIJPOL,2022-09-26,23.0,23.39,21.99,23.29,423305
KSHITIJPOL,2022-09-27,23.8,23.8,22.2,22.86,92830
KSHITIJPOL,2022-09-28,21.8,24.0,21.8,24.0,761740
KSHITIJPOL,2022-09-29,25.19,25.2,24.32,24.7,766445
KSHITIJPOL,2022-09-30,23.5,25.8,23.5,24.93,211565
KSHITIJPOL,2022-10-03,24.45,26.08,24.45,25.96,303750
KSHITIJPOL,2022-10-04,27.19,27.19,25.96,26.79,144330
KSHITIJPOL,2022-10-06,28.08,28.12,28.08,28.12,1289130
KSHITIJPOL,2022-10-07,29.5,29.52,29.5,29.52,616580
KSHITIJPOL,2022-10-10,30.99,30.99,30.97,30.99,1142730
KSHITIJPOL,2022-10-11,32.51,32.53,32.51,32.53,1247795
KSHITIJPOL,2022-10-12,34.13,34.15,34.13,34.15,1499120
KSHITIJPOL,2022-10-13,35.83,35.85,35.83,35.85,1500340
KSHITIJPOL,2022-10-14,37.62,37.64,37.62,37.64,1345155
KSHITIJPOL,2022-10-17,39.5,39.52,39.5,39.52,1437835
KSHITIJPOL,2022-10-18,41.47,41.49,41.47,41.49,1238085
KSHITIJPOL,2022-10-19,43.54,43.56,43.54,43.56,1616175
KSHITIJPOL,2022-10-20,45.71,45.73,45.7,45.73,1899920
KSHITIJPOL,2022-10-21,47.99,48.01,47.99,48.01,1566130
KSHITIJPOL,2022-10-24,50.39,50.41,50.39,50.41,795415
KSHITIJPOL,2022-10-25,52.91,52.93,52.91,52.93,1716555
KSHITIJPOL,2022-10-27,55.45,55.55,55.45,55.55,1247532
KSHITIJPOL,2022-10-28,58.2,58.3,58.2,58.3,1360725
KSHITIJPOL,2022-10-31,61.1,61.2,61.1,61.2,1707059
KSHITIJPOL,2022-11-01,64.15,64.25,64.15,64.25,1655871
KSHITIJPOL,2022-11-02,67.35,67.45,67.35,67.45,1880232
KSHITIJPOL,2022-11-03,70.7,70.8,70.7,70.8,2320278
KSHITIJPOL,2022-11-04,67.3,67.3,67.3,67.3,129339
KSHITIJPOL,2022-11-07,63.95,63.95,63.95,63.95,19535
KSHITIJPOL,2022-11-09,60.8,60.8,60.8,60.8,14125
KSHITIJPOL,2022-11-10,57.8,57.8,57.8,57.8,10900
KSHITIJPOL,2022-11-11,54.95,54.95,54.95,54.95,16245
KSHITIJPOL,2022-11-14,52.25,52.25,52.25,52.25,11741
KSHITIJPOL,2022-11-15,49.65,49.65,49.65,49.65,16815
KSHITIJPOL,2022-11-16,47.2,47.2,47.2,47.2,8219
KSHITIJPOL,2022-11-17,44.85,44.85,44.85,44.85,10022
KSHITIJPOL,2022-11-18,42.65,42.65,42.65,42.65,18713
KSHITIJPOL,2022-11-21,40.65,44.75,40.65,44.75,3855962
KSHITIJPOL,2022-11-22,46.85,46.95,46.85,46.95,1835198
KSHITIJPOL,2022-11-23,49.15,49.25,49.15,49.25,2044815
KSHITIJPOL,2022-11-24,46.8,46.8,46.8,46.8,75425
KSHITIJPOL,2022-11-25,44.5,44.5,44.5,44.5,27029
KSHITIJPOL,2022-11-28,42.3,42.3,42.3,42.3,37048
KSHITIJPOL,2022-11-29,40.2,40.2,40.2,40.2,59560
KSHITIJPOL,2022-11-30,38.2,38.2,38.2,38.2,40298
KSHITIJPOL,2022-12-01,36.3,40.05,36.3,36.3,2345013
KSHITIJPOL,2022-12-02,34.5,38.1,34.5,38.1,2189463
KSHITIJPOL,2022-12-05,39.9,40.0,39.9,40.0,1419963
KSHITIJPOL,2022-12-06,41.9,42.0,41.9,42.0,2590706
KSHITIJPOL,2022-12-07,44.0,44.1,40.0,42.5,6633519
KSHITIJPOL,2022-12-08,41.1,42.0,40.4,40.4,456651
KSHITIJPOL,2022-12-09,38.4,38.4,38.4,38.4,128530
KSHITIJPOL,2022-12-12,36.5,39.7,36.5,36.5,962238
KSHITIJPOL,2022-12-13,34.7,34.7,34.7,34.7,125666
KSHITIJPOL,2022-12-14,33.75,36.3,33.0,36.0,1779390
KSHITIJPOL,2022-12-15,35.0,36.9,34.2,34.5,706966
KSHITIJPOL,2022-12-16,33.3,33.85,32.8,32.8,229664
KSHITIJPOL,2022-12-19,31.25,32.15,31.2,31.2,128736
KSHITIJPOL,2022-12-20,29.65,29.65,29.65,29.65,69887
KSHITIJPOL,2022-12-21,28.2,28.8,28.2,28.2,180019
KSHITIJPOL,2022-12-22,26.85,28.7,26.8,26.8,309508
KSHITIJPOL,2022-12-23,25.5,25.5,25.5,25.5,30287
KSHITIJPOL,2022-12-26,24.25,25.4,24.25,24.6,335867
KSHITIJPOL,2022-12-27,23.8,25.8,23.4,25.8,1713325
KSHITIJPOL,2022-12-28,25.25,27.05,25.05,27.05,1999944
KSHITIJPOL,2022-12-29,28.05,28.4,27.15,28.4,1247442
KSHITIJPOL,2022-12-30,28.95,29.8,27.0,28.35,2440483
KSHITIJPOL,2023-01-02,26.95,28.25,26.95,26.95,586314
KSHITIJPOL,2023-01-03,25.65,25.65,25.65,25.65,175443
KSHITIJPOL,2023-01-04,25.1,26.9,24.8,26.9,1734567
KSHITIJPOL,2023-01-05,28.1,28.2,26.25,27.55,1912981
KSHITIJPOL,2023-01-06,27.6,28.9,27.15,28.9,1332191
KSHITIJPOL,2023-01-09,29.25,30.3,28.6,30.3,867700
KSHITIJPOL,2023-01-10,31.5,31.8,30.6,31.8,687125
KSHITIJPOL,2023-01-11,33.2,33.35,32.8,33.35,306665
KSHITIJPOL,2023-01-12,34.05,35.0,34.05,35.0,302596
KSHITIJPOL,2023-01-13,36.75,36.75,33.65,36.75,1483885
KSHITIJPOL,2023-01-16,38.0,38.55,37.0,38.55,736794
KSHITIJPOL,2023-01-17,40.0,40.45,39.35,40.45,753844
KSHITIJPOL,2023-01-18,41.3,42.45,38.6,42.0,7359250
KSHITIJPOL,2023-01-19,42.0,42.65,39.9,39.9,2207833
KSHITIJPOL,2023-01-20,37.9,38.7,37.9,37.9,151981
KSHITIJPOL,2023-01-23,36.0,36.0,36.0,36.0,65290
KSHITIJPOL,2023-01-24,34.2,34.2,34.2,34.2,18282
KSHITIJPOL,2023-01-25,32.5,33.55,32.5,32.5,728340
KSHITIJPOL,2023-01-27,30.9,31.05,30.9,30.9,34476
KSHITIJPOL,2023-01-30,29.5,29.65,29.35,29.35,89737
KSHITIJPOL,2023-01-31,28.1,30.8,27.9,30.8,866961
KSHITIJPOL,2023-02-01,31.85,32.3,30.8,31.75,632717
KSHITIJPOL,2023-02-02,30.5,31.7,30.2,30.2,197321
KSHITIJPOL,2023-02-03,28.75,30.45,28.7,29.0,203692
KSHITIJPOL,2023-02-06,28.3,30.45,27.55,29.9,431844
KSHITIJPOL,2023-02-07,29.3,31.35,28.4,31.05,291351
KSHITIJPOL,2023-02-08,31.9,32.6,29.5,31.6,724420
KSHITIJPOL,2023-02-09,33.05,33.15,33.05,33.15,628861
KSHITIJPOL,2023-02-10,34.8,34.8,34.65,34.8,876280
KSHITIJPOL,2023-02-13,36.4,36.5,33.1,33.1,492575
KSHITIJPOL,2023-02-14,31.45,31.45,31.45,31.45,72776
KSHITIJPOL,2023-02-15,29.9,29.9,29.9,29.9,112523
KSHITIJPOL,2023-02-16,28.4,28.4,28.4,28.4,91177
KSHITIJPOL,2023-02-17,27.4,29.8,27.0,28.45,1027621
KSHITIJPOL,2023-02-20,27.05,29.85,27.05,29.85,520197
KSHITIJPOL,2023-02-21,29.85,30.7,28.35,28.35,673224
KSHITIJPOL,2023-02-22,26.95,26.95,26.95,26.95,88248
KSHITIJPOL,2023-02-23,25.6,25.6,25.6,25.6,95707
KSHITIJPOL,2023-02-24,24.35,24.35,24.35,24.35,83386
KSHITIJPOL,2023-02-27,23.25,25.4,23.15,23.15,266467
