symbol,date,open,high,low,close,volume
LAWSIKHO,2024-02-13,308.1,317.6,290.55,312.0,57001
LAWSIKHO,2024-02-14,305.0,308.0,294.3,300.95,56001
LAWSIKHO,2024-02-15,313.0,357.0,300.0,344.95,498001
LAWSIKHO,2024-02-16,348.0,352.0,336.0,342.0,91001
LAWSIKHO,2024-02-19,350.0,364.0,335.0,342.0,80001
LAWSIKHO,2024-02-20,342.0,345.0,325.0,333.9,65001
LAWSIKHO,2024-02-21,331.05,331.9,321.0,321.0,60001
LAWSIKHO,2024-02-22,321.0,321.0,306.65,313.5,69001
LAWSIKHO,2024-02-23,320.0,330.0,313.5,329.0,56001
LAWSIKHO,2024-02-26,333.65,337.65,326.7,330.5,40002
LAWSIKHO,2024-02-27,333.5,333.5,325.0,325.0,46001
LAWSIKHO,2024-02-28,333.0,333.0,287.0,299.95,221001
LAWSIKHO,2024-02-29,300.15,304.0,287.0,289.9,127001
LAWSIKHO,2024-03-01,295.0,295.0,276.0,276.0,122001
LAWSIKHO,2024-03-02,291.95,295.8,291.95,295.8,5001
LAWSIKHO,2024-03-04,295.8,295.8,285.0,285.0,39001
LAWSIKHO,2024-03-05,292.85,292.85,260.1,263.0,98001
LAWSIKHO,2024-03-06,264.0,264.0,231.35,241.0,93001
LAWSIKHO,2024-03-07,250.0,267.0,250.0,254.1,60001
LAWSIKHO,2024-03-11,264.0,272.85,230.0,234.0,103001
LAWSIKHO,2024-03-12,232.2,241.8,210.0,218.0,96001
LAWSIKHO,2024-03-13,211.1,213.5,190.0,201.0,165001
LAWSIKHO,2024-03-14,187.5,240.3,187.5,226.95,112001
LAWSIKHO,2024-03-15,233.0,233.0,221.4,223.7,105001
LAWSIKHO,2024-03-18,225.25,232.0,222.1,222.9,55002
LAWSIKHO,2024-03-19,225.0,228.0,213.0,214.15,73001
LAWSIKHO,2024-03-20,210.1,215.0,207.25,214.9,50001
LAWSIKHO,2024-03-21,224.0,240.25,224.0,227.5,56002
LAWSIKHO,2024-03-22,228.0,232.4,217.0,217.75,95001
LAWSIKHO,2024-03-26,220.0,221.05,212.05,217.4,86001
LAWSIKHO,2024-03-27,218.0,225.0,213.1,215.1,112002
LAWSIKHO,2024-03-28,218.0,218.0,208.5,215.0,152001
LAWSIKHO,2024-04-01,222.4,241.0,222.4,226.1,121001
LAWSIKHO,2024-04-02,233.95,235.0,227.0,235.0,28001
LAWSIKHO,2024-04-03,245.0,250.5,240.0,245.95,69001
LAWSIKHO,2024-04-04,243.1,244.0,233.7,237.95,34002
LAWSIKHO,2024-04-05,239.0,240.0,228.5,240.0,14001
LAWSIKHO,2024-04-08,240.0,254.0,239.25,243.0,61001
LAWSIKHO,2024-04-09,249.95,250.0,240.2,240.2,9002
LAWSIKHO,2024-04-10,243.0,249.0,238.0,238.0,21001
LAWSIKHO,2024-04-12,230.0,237.35,230.0,231.0,19001
LAWSIKHO,2024-04-15,223.0,225.5,214.0,220.55,44001
LAWSIKHO,2024-04-16,225.0,226.9,220.55,226.9,14001
LAWSIKHO,2024-04-18,237.95,251.0,232.95,250.0,66001
LAWSIKHO,2024-04-19,250.0,285.0,240.1,270.0,109001
LAWSIKHO,2024-04-22,284.0,303.0,284.0,289.0,158001
LAWSIKHO,2024-04-23,294.75,298.0,285.0,285.0,21001
LAWSIKHO,2024-04-24,285.0,291.0,280.05,291.0,28001
LAWSIKHO,2024-04-25,299.0,299.0,276.0,276.0,22001
LAWSIKHO,2024-04-26,278.0,285.0,278.0,285.0,27001
LAWSIKHO,2024-04-29,273.0,297.85,267.0,295.0,247501
LAWSIKHO,2024-04-30,299.0,314.0,297.2,300.0,76501
