symbol,date,open,high,low,close,volume
LGBFORGE,2008-08-01,11.6,11.6,2.5,5.4,6228627
LGBFORGE,2008-08-04,5.0,5.3,4.7,4.85,667195
LGBFORGE,2008-08-05,4.95,5.3,4.3,4.5,379136
LGBFORGE,2008-08-06,4.55,4.8,4.3,4.35,307639
LGBFORGE,2008-08-07,4.6,4.6,3.9,3.95,345887
LGBFORGE,2008-08-08,4.0,4.0,3.65,4.0,332244
LGBFORGE,2008-08-11,4.0,4.2,3.9,3.95,105830
LGBFORGE,2008-08-12,3.85,3.95,3.7,3.8,161579
LGBFORGE,2008-08-13,3.8,3.85,3.55,3.55,252226
LGBFORGE,2008-08-14,3.95,4.15,3.2,3.8,376088
LGBFORGE,2008-08-18,3.9,4.05,3.7,3.8,205555
LGBFORGE,2008-08-19,3.9,3.9,3.65,3.8,85011
LGBFORGE,2008-08-20,3.7,3.95,3.55,3.7,103218
LGBFORGE,2008-08-21,4.0,4.0,3.5,3.55,93609
LGBFORGE,2008-08-22,3.5,3.65,3.4,3.55,107538
LGBFORGE,2008-08-25,3.75,3.75,3.5,3.5,45639
LGBFORGE,2008-08-26,3.5,3.5,3.35,3.4,38076
LGBFORGE,2008-08-27,3.5,3.5,3.35,3.35,42720
LGBFORGE,2008-08-28,3.4,3.5,3.3,3.35,42132
LGBFORGE,2008-08-29,3.85,3.85,3.1,3.35,54475
LGBFORGE,2008-09-01,3.7,3.7,3.2,3.3,73834
LGBFORGE,2008-09-02,3.25,3.5,3.25,3.4,126801
LGBFORGE,2008-09-04,3.3,3.45,3.3,3.35,42142
LGBFORGE,2008-09-05,3.5,3.5,2.8,3.25,35489
LGBFORGE,2008-09-08,3.65,3.8,3.3,3.35,34967
LGBFORGE,2008-09-09,3.4,3.45,3.25,3.35,30866
LGBFORGE,2008-09-10,3.2,3.4,3.2,3.3,35335
LGBFORGE,2008-09-11,3.25,3.4,3.1,3.25,47091
LGBFORGE,2008-09-12,3.5,3.5,3.15,3.15,44977
LGBFORGE,2008-09-15,3.0,3.1,2.8,2.95,49968
LGBFORGE,2008-09-16,2.9,3.0,2.65,2.85,64130
LGBFORGE,2008-09-17,2.85,2.85,2.7,2.75,33070
LGBFORGE,2008-09-18,2.75,2.75,2.6,2.7,38641
LGBFORGE,2008-09-19,3.0,3.0,2.75,2.8,26801
LGBFORGE,2008-09-22,2.95,2.95,2.7,2.8,52942
LGBFORGE,2008-09-23,2.75,2.85,2.7,2.8,34131
LGBFORGE,2008-09-24,2.65,2.85,2.65,2.75,18721
LGBFORGE,2008-09-25,2.8,2.8,2.55,2.6,58117
LGBFORGE,2008-09-26,2.8,2.8,2.25,2.4,50736
LGBFORGE,2008-09-29,2.35,2.4,2.1,2.3,39594
LGBFORGE,2008-09-30,2.4,2.4,1.85,2.25,43360
LGBFORGE,2008-10-01,2.45,2.45,2.15,2.3,50005
LGBFORGE,2008-10-03,2.35,2.65,2.2,2.3,90582
LGBFORGE,2008-10-06,2.3,2.35,2.0,2.0,64950
LGBFORGE,2008-10-07,2.0,2.2,1.6,1.65,158838
LGBFORGE,2008-10-08,1.65,1.7,1.4,1.6,159250
LGBFORGE,2008-10-10,1.7,1.9,1.45,1.9,146814
LGBFORGE,2008-10-13,1.9,2.15,1.6,1.95,102717
LGBFORGE,2008-10-14,2.25,2.3,1.9,1.95,128158
LGBFORGE,2008-10-15,1.75,2.1,1.75,1.95,76035
LGBFORGE,2008-10-16,1.85,1.85,1.65,1.75,55142
LGBFORGE,2008-10-17,2.05,2.05,1.75,1.85,39303
LGBFORGE,2008-10-20,1.65,1.95,1.65,1.9,65045
LGBFORGE,2008-10-21,1.8,2.0,1.75,1.85,153109
LGBFORGE,2008-10-22,1.85,1.95,1.75,1.8,205517
LGBFORGE,2008-10-23,1.9,1.9,1.7,1.7,107878
LGBFORGE,2008-10-24,1.7,1.75,1.6,1.65,102402
LGBFORGE,2008-10-27,1.55,1.9,1.45,1.75,189643
LGBFORGE,2008-10-28,1.7,1.95,1.7,1.85,7979
LGBFORGE,2008-10-29,2.0,2.1,1.7,1.75,199837
LGBFORGE,2008-10-31,1.9,1.95,1.7,1.95,204935
LGBFORGE,2008-11-03,1.85,2.0,1.6,1.85,105255
LGBFORGE,2008-11-04,1.75,1.9,1.7,1.8,143797
LGBFORGE,2008-11-05,1.95,1.95,1.75,1.75,32661
LGBFORGE,2008-11-06,1.75,1.85,1.75,1.8,29599
LGBFORGE,2008-11-07,1.9,1.9,1.7,1.8,65360
LGBFORGE,2008-11-10,1.85,1.85,1.7,1.85,9592
LGBFORGE,2008-11-11,1.7,1.8,1.7,1.75,10768
LGBFORGE,2008-11-12,1.8,1.8,1.45,1.55,206666
LGBFORGE,2008-11-14,1.65,1.65,1.45,1.55,93759
LGBFORGE,2008-11-17,1.5,1.65,1.5,1.55,17618
LGBFORGE,2008-11-18,1.5,1.6,1.5,1.55,15720
LGBFORGE,2008-11-19,1.65,1.65,1.5,1.5,40190
LGBFORGE,2008-11-20,1.55,1.55,1.4,1.5,51551
LGBFORGE,2008-11-21,1.5,1.55,1.25,1.55,36171
LGBFORGE,2008-11-24,1.6,1.6,1.5,1.6,11676
LGBFORGE,2008-11-25,1.65,1.65,1.45,1.5,35706
LGBFORGE,2008-11-26,1.6,1.65,1.45,1.6,25487
LGBFORGE,2008-11-28,1.65,1.9,1.55,1.8,25730
LGBFORGE,2008-12-01,1.6,1.85,1.6,1.7,8664
LGBFORGE,2008-12-02,1.6,1.85,1.6,1.65,6127
LGBFORGE,2008-12-03,1.8,1.8,1.6,1.7,12090
LGBFORGE,2008-12-04,1.55,1.8,1.55,1.75,20831
LGBFORGE,2008-12-05,1.75,1.85,1.65,1.8,16508
LGBFORGE,2008-12-08,1.8,1.9,1.65,1.8,25538
LGBFORGE,2008-12-10,1.9,1.9,1.65,1.85,45783
LGBFORGE,2008-12-11,1.95,1.95,1.75,1.75,6264
LGBFORGE,2008-12-12,1.75,2.0,1.75,1.85,18045
LGBFORGE,2008-12-15,1.9,1.9,1.9,1.9,600
LGBFORGE,2008-12-16,1.85,1.95,1.8,1.95,6030
LGBFORGE,2008-12-17,1.95,1.95,1.85,1.85,6950
LGBFORGE,2008-12-18,1.8,1.95,1.8,1.8,3341
LGBFORGE,2008-12-19,1.75,1.9,1.75,1.8,10001
LGBFORGE,2008-12-22,1.75,1.9,1.75,1.75,13327
LGBFORGE,2008-12-23,1.8,1.8,1.7,1.75,19704
LGBFORGE,2008-12-24,1.7,1.75,1.7,1.7,14000
LGBFORGE,2008-12-26,1.8,1.8,1.65,1.75,1745
LGBFORGE,2008-12-29,1.7,1.75,1.7,1.7,10306
LGBFORGE,2008-12-30,1.65,1.8,1.65,1.75,12983
LGBFORGE,2008-12-31,1.75,1.8,1.7,1.7,20474
LGBFORGE,2009-01-01,1.7,1.8,1.7,1.7,6482
LGBFORGE,2009-01-02,1.8,1.8,1.75,1.8,12526
LGBFORGE,2009-01-05,1.75,1.9,1.75,1.75,6700
LGBFORGE,2009-01-06,1.75,1.85,1.7,1.75,12116
LGBFORGE,2009-01-07,1.75,1.8,1.7,1.7,26781
LGBFORGE,2009-01-09,1.7,1.8,1.65,1.8,70339
LGBFORGE,2009-01-12,1.75,1.75,1.75,1.75,1050
LGBFORGE,2009-01-13,1.75,1.75,1.7,1.7,503
LGBFORGE,2009-01-14,1.8,1.8,1.65,1.7,5370
LGBFORGE,2009-01-15,1.65,1.65,1.65,1.65,5509
LGBFORGE,2009-01-16,1.7,1.7,1.6,1.6,7520
LGBFORGE,2009-01-19,1.6,1.7,1.55,1.6,24150
LGBFORGE,2009-01-20,1.55,1.6,1.55,1.55,13112
LGBFORGE,2009-01-21,1.65,1.65,1.6,1.6,22236
LGBFORGE,2009-01-22,1.6,1.6,1.55,1.55,14320
LGBFORGE,2009-01-23,1.55,1.6,1.5,1.55,2800
LGBFORGE,2009-01-27,1.5,1.6,1.5,1.55,22120
LGBFORGE,2009-01-28,1.6,1.6,1.5,1.6,477
LGBFORGE,2009-01-29,1.55,1.65,1.55,1.55,41287
LGBFORGE,2009-01-30,1.6,1.6,1.5,1.55,20514
LGBFORGE,2009-02-02,1.5,1.6,1.5,1.5,7128
LGBFORGE,2009-02-03,1.55,1.55,1.45,1.45,9956
LGBFORGE,2009-02-04,1.45,1.5,1.4,1.45,16687
LGBFORGE,2009-02-05,1.4,1.5,1.4,1.45,14787
LGBFORGE,2009-02-06,1.5,1.5,1.4,1.45,12456
LGBFORGE,2009-02-09,1.45,1.55,1.45,1.55,31719
LGBFORGE,2009-02-10,1.6,1.65,1.5,1.6,7944
LGBFORGE,2009-02-11,1.65,1.7,1.55,1.6,6646
LGBFORGE,2009-02-12,1.7,1.7,1.6,1.6,6810
LGBFORGE,2009-02-13,1.55,1.7,1.55,1.65,17165
LGBFORGE,2009-02-16,1.65,1.75,1.6,1.6,6596
LGBFORGE,2009-02-17,1.6,1.7,1.6,1.6,1374
LGBFORGE,2009-02-18,1.7,1.7,1.55,1.6,18928
LGBFORGE,2009-02-19,1.65,1.65,1.6,1.6,7207
LGBFORGE,2009-02-20,1.7,1.7,1.6,1.6,20668
LGBFORGE,2009-02-24,1.7,1.7,1.6,1.7,3971
LGBFORGE,2009-02-25,1.8,1.8,1.65,1.65,4304
LGBFORGE,2009-02-26,1.75,1.75,1.6,1.6,50507
LGBFORGE,2009-02-27,1.6,1.65,1.55,1.6,20272
LGBFORGE,2009-03-02,1.6,1.7,1.55,1.7,3142
LGBFORGE,2009-03-03,1.7,1.7,1.65,1.65,12224
LGBFORGE,2009-03-04,1.75,1.75,1.65,1.65,17986
LGBFORGE,2009-03-05,1.65,1.75,1.6,1.6,4447
LGBFORGE,2009-03-06,1.6,1.8,1.6,1.6,16994
LGBFORGE,2009-03-09,1.75,1.75,1.45,1.45,24465
LGBFORGE,2009-03-12,1.6,1.6,1.3,1.3,7887
LGBFORGE,2009-03-13,1.3,1.45,1.3,1.35,11699
LGBFORGE,2009-03-16,1.5,1.5,1.35,1.5,3301
LGBFORGE,2009-03-17,1.6,1.6,1.4,1.55,3080
LGBFORGE,2009-03-18,1.4,1.6,1.4,1.6,11925
LGBFORGE,2009-03-19,1.75,1.75,1.45,1.55,21027
LGBFORGE,2009-03-20,1.75,1.75,1.4,1.55,61209
LGBFORGE,2009-03-23,1.5,1.65,1.5,1.5,11300
LGBFORGE,2009-03-24,1.5,1.5,1.45,1.5,6569
LGBFORGE,2009-03-25,1.45,1.55,1.45,1.45,3340
LGBFORGE,2009-03-26,1.4,1.55,1.4,1.4,9950
LGBFORGE,2009-03-27,1.45,1.45,1.4,1.4,4803
LGBFORGE,2009-03-30,1.5,1.5,1.35,1.4,4053
LGBFORGE,2009-03-31,1.4,1.5,1.35,1.4,27799
LGBFORGE,2009-04-01,1.35,1.5,1.35,1.45,3050
LGBFORGE,2009-04-02,1.45,1.5,1.4,1.5,28074
LGBFORGE,2009-04-06,1.45,1.6,1.45,1.45,22203
LGBFORGE,2009-04-08,1.5,1.55,1.4,1.55,7720
LGBFORGE,2009-04-09,1.5,1.65,1.5,1.6,18015
LGBFORGE,2009-04-13,1.55,1.7,1.55,1.7,6561
LGBFORGE,2009-04-15,1.75,1.8,1.7,1.8,14412
LGBFORGE,2009-04-16,1.8,1.9,1.8,1.85,23700
LGBFORGE,2009-04-17,1.8,1.95,1.8,1.85,24631
LGBFORGE,2009-04-20,1.95,1.95,1.8,1.9,9850
LGBFORGE,2009-04-21,1.95,1.95,1.8,1.9,10426
LGBFORGE,2009-04-22,1.8,1.9,1.8,1.8,2711
LGBFORGE,2009-04-23,1.9,1.9,1.75,1.85,8853
LGBFORGE,2009-04-24,1.9,1.9,1.8,1.8,6100
LGBFORGE,2009-04-27,1.8,1.9,1.8,1.8,2619
LGBFORGE,2009-04-28,1.8,1.85,1.75,1.75,5846
LGBFORGE,2009-04-29,1.85,1.85,1.7,1.8,4375
LGBFORGE,2009-05-04,1.9,1.9,1.75,1.85,10717
LGBFORGE,2009-05-05,1.8,1.85,1.8,1.8,2865
LGBFORGE,2009-05-06,1.8,1.85,1.75,1.75,7300
LGBFORGE,2009-05-07,1.7,1.75,1.7,1.75,2750
LGBFORGE,2009-05-08,1.6,1.85,1.6,1.8,8428
LGBFORGE,2009-05-11,1.65,1.85,1.65,1.7,10079
LGBFORGE,2009-05-12,1.55,1.8,1.55,1.8,3024
LGBFORGE,2009-05-13,1.8,1.8,1.65,1.7,9392
LGBFORGE,2009-05-14,1.7,1.7,1.6,1.7,10251
LGBFORGE,2009-05-15,1.8,1.85,1.55,1.7,25762
LGBFORGE,2009-05-19,1.6,1.85,1.6,1.75,14195
LGBFORGE,2009-05-20,1.9,1.95,1.65,1.9,48943
LGBFORGE,2009-05-21,2.0,2.1,1.9,2.1,63114
LGBFORGE,2009-05-22,2.15,2.35,2.0,2.25,81458
LGBFORGE,2009-05-25,2.2,2.4,2.15,2.4,43105
LGBFORGE,2009-05-26,2.4,2.55,2.35,2.5,139714
LGBFORGE,2009-05-27,2.55,2.65,2.4,2.65,96101
LGBFORGE,2009-05-28,2.7,2.8,2.7,2.8,29559
LGBFORGE,2009-05-29,2.95,2.95,2.9,2.95,49655
LGBFORGE,2009-06-01,3.0,3.1,3.0,3.1,65126
LGBFORGE,2009-06-02,3.1,3.3,3.0,3.3,114766
LGBFORGE,2009-06-03,3.45,3.5,3.25,3.3,158182
LGBFORGE,2009-06-04,3.45,3.5,3.15,3.3,72966
LGBFORGE,2009-06-05,3.5,3.5,3.2,3.2,94327
LGBFORGE,2009-06-08,3.35,3.35,3.05,3.05,25226
LGBFORGE,2009-06-09,3.0,3.0,2.9,2.9,27842
LGBFORGE,2009-06-10,2.75,3.05,2.75,2.8,65727
LGBFORGE,2009-06-11,2.8,2.8,2.7,2.7,22078
LGBFORGE,2009-06-12,2.85,2.85,2.6,2.75,25500
LGBFORGE,2009-06-15,2.65,2.65,2.65,2.65,1710
LGBFORGE,2009-06-16,2.55,2.65,2.55,2.55,8310
LGBFORGE,2009-06-17,2.55,2.65,2.45,2.6,14037
LGBFORGE,2009-06-18,2.75,2.75,2.5,2.55,10372
LGBFORGE,2009-06-19,2.5,2.65,2.45,2.45,6340
LGBFORGE,2009-06-22,2.35,2.6,2.35,2.4,10714
LGBFORGE,2009-06-23,2.3,2.55,2.3,2.55,5746
LGBFORGE,2009-06-24,2.6,2.7,2.55,2.6,9417
LGBFORGE,2009-06-25,2.5,2.75,2.5,2.5,16116
LGBFORGE,2009-06-26,2.6,2.65,2.4,2.65,10581
LGBFORGE,2009-06-29,2.55,2.7,2.55,2.55,16048
LGBFORGE,2009-06-30,2.5,2.7,2.45,2.45,7237
LGBFORGE,2009-07-01,2.4,2.6,2.35,2.4,13383
LGBFORGE,2009-07-02,2.4,2.55,2.3,2.55,18030
LGBFORGE,2009-07-03,2.45,2.7,2.45,2.6,16139
LGBFORGE,2009-07-07,2.5,2.7,2.5,2.55,3679
LGBFORGE,2009-07-09,2.45,2.5,2.45,2.45,1101
LGBFORGE,2009-07-10,2.35,2.45,2.35,2.45,2000
LGBFORGE,2009-07-13,2.35,2.45,2.35,2.45,2918
LGBFORGE,2009-07-14,2.35,2.5,2.35,2.35,1824
LGBFORGE,2009-07-15,2.35,2.4,2.25,2.25,19581
LGBFORGE,2009-07-16,2.15,2.4,2.15,2.2,22881
LGBFORGE,2009-07-17,2.2,2.35,2.1,2.3,8919
LGBFORGE,2009-07-20,2.2,2.4,2.2,2.2,10237
LGBFORGE,2009-07-21,2.15,2.35,2.1,2.2,6836
LGBFORGE,2009-07-22,2.2,2.35,2.15,2.2,12326
LGBFORGE,2009-07-23,2.2,2.35,2.2,2.3,8543
LGBFORGE,2009-07-24,2.2,2.45,2.2,2.3,7183
LGBFORGE,2009-07-27,2.25,2.45,2.2,2.4,16139
LGBFORGE,2009-07-28,2.3,2.5,2.3,2.3,4261
LGBFORGE,2009-07-29,2.2,2.4,2.2,2.25,4685
LGBFORGE,2009-07-30,2.25,2.4,2.15,2.4,7486
LGBFORGE,2009-07-31,2.5,2.5,2.3,2.3,14280
LGBFORGE,2009-08-03,2.2,2.45,2.2,2.3,10878
LGBFORGE,2009-08-04,2.45,2.45,2.25,2.45,5517
LGBFORGE,2009-08-05,2.55,2.55,2.35,2.5,8810
LGBFORGE,2009-08-06,2.5,2.55,2.4,2.4,9503
LGBFORGE,2009-08-07,2.3,2.45,2.3,2.3,21999
LGBFORGE,2009-08-10,2.45,2.45,2.2,2.2,8702
LGBFORGE,2009-08-11,2.2,2.35,2.2,2.2,2824
LGBFORGE,2009-08-12,2.3,2.3,2.2,2.2,12096
LGBFORGE,2009-08-13,2.3,2.3,2.15,2.3,7126
LGBFORGE,2009-08-14,2.4,2.4,2.25,2.3,9431
LGBFORGE,2009-08-17,2.2,2.3,2.2,2.25,11225
LGBFORGE,2009-08-18,2.2,2.25,2.2,2.25,2086
LGBFORGE,2009-08-19,2.3,2.4,2.25,2.35,34708
LGBFORGE,2009-08-20,2.25,2.4,2.25,2.4,17100
LGBFORGE,2009-08-21,2.5,2.5,2.3,2.35,29313
LGBFORGE,2009-08-24,2.35,2.45,2.3,2.35,19835
LGBFORGE,2009-08-25,2.3,2.5,2.3,2.45,14865
LGBFORGE,2009-08-26,2.45,2.6,2.45,2.45,23757
LGBFORGE,2009-08-27,2.4,2.55,2.35,2.35,38056
LGBFORGE,2009-08-28,2.35,2.45,2.25,2.3,18611
LGBFORGE,2009-08-31,2.45,2.45,2.3,2.45,30467
LGBFORGE,2009-09-01,2.4,2.5,2.35,2.4,17674
LGBFORGE,2009-09-02,2.4,2.5,2.4,2.4,11922
LGBFORGE,2009-09-03,2.5,2.5,2.35,2.45,4706
LGBFORGE,2009-09-04,2.4,2.55,2.35,2.4,44198
LGBFORGE,2009-09-07,2.3,2.6,2.3,2.55,55644
LGBFORGE,2009-09-08,2.5,2.65,2.4,2.5,41206
LGBFORGE,2009-09-09,2.65,2.7,2.4,2.65,32463
LGBFORGE,2009-09-10,2.85,2.9,2.45,2.6,55795
LGBFORGE,2009-09-11,2.6,2.7,2.45,2.5,14122
LGBFORGE,2009-09-14,2.5,2.5,2.35,2.4,6263
LGBFORGE,2009-09-15,2.25,2.65,2.25,2.55,22427
LGBFORGE,2009-09-16,2.3,2.7,2.3,2.5,76857
LGBFORGE,2009-09-17,2.5,2.6,2.4,2.5,10176
LGBFORGE,2009-09-18,2.45,2.55,2.35,2.45,15489
LGBFORGE,2009-09-22,2.4,2.6,2.4,2.55,15481
LGBFORGE,2009-09-23,2.5,2.6,2.5,2.5,19219
LGBFORGE,2009-09-24,2.45,2.7,2.45,2.6,22396
LGBFORGE,2009-09-25,2.85,2.9,2.7,2.9,124490
LGBFORGE,2009-09-29,2.95,3.2,2.95,3.2,132452
LGBFORGE,2009-09-30,3.2,3.4,3.15,3.3,186998
LGBFORGE,2009-10-01,3.25,3.5,3.15,3.5,166970
LGBFORGE,2009-10-05,3.5,3.7,3.35,3.45,137139
LGBFORGE,2009-10-06,3.3,3.45,3.3,3.3,32284
LGBFORGE,2009-10-07,3.3,3.5,3.15,3.3,44017
LGBFORGE,2009-10-08,3.25,3.3,3.15,3.2,21758
LGBFORGE,2009-10-09,3.25,3.25,3.05,3.05,31481
LGBFORGE,2009-10-12,3.05,3.15,3.0,3.1,20411
LGBFORGE,2009-10-14,3.05,3.15,3.0,3.05,19818
LGBFORGE,2009-10-15,2.95,3.0,2.9,2.95,36323
LGBFORGE,2009-10-16,3.0,3.05,2.95,3.05,12233
LGBFORGE,2009-10-17,3.15,3.2,3.05,3.15,12448
LGBFORGE,2009-10-20,3.05,3.15,3.0,3.05,35795
LGBFORGE,2009-10-21,2.95,3.0,2.9,2.9,24926
LGBFORGE,2009-10-22,3.0,3.05,2.75,2.75,54727
LGBFORGE,2009-10-23,2.9,2.9,2.65,2.65,49281
LGBFORGE,2009-10-26,2.6,2.75,2.6,2.75,7356
LGBFORGE,2009-10-27,2.65,2.75,2.65,2.65,11605
LGBFORGE,2009-10-28,2.6,2.8,2.6,2.75,19320
