symbol,date,open,high,low,close,volume
LIQUIDADD,2024-04-03,1002.51,1002.51,1002.49,1002.51,4566
LIQUIDADD,2024-04-04,1002.65,1002.67,1002.65,1002.67,67454
LIQUIDADD,2024-04-05,1003.17,1003.17,1003.15,1003.17,86211
LIQUIDADD,2024-04-08,1003.49,1003.51,1003.49,1003.5,75242
LIQUIDADD,2024-04-09,999.51,1003.51,999.51,1003.49,83651
LIQUIDADD,2024-04-10,1001.5,1003.84,1001.5,1003.82,257442
LIQUIDADD,2024-04-12,1004.33,1004.35,1004.33,1004.35,192921
LIQUIDADD,2024-04-15,1004.52,1004.53,1004.51,1004.51,105033
LIQUIDADD,2024-04-16,1004.85,1004.85,1004.83,1004.85,48175
LIQUIDADD,2024-04-18,1004.99,1005.02,1004.99,1005.02,23583
LIQUIDADD,2024-04-19,1005.52,1005.52,1005.5,1005.52,126934
LIQUIDADD,2024-04-22,1005.69,1005.69,1005.67,1005.69,102496
LIQUIDADD,2024-04-23,1005.84,1005.86,1005.84,1005.86,169255
LIQUIDADD,2024-04-24,1006.0,1006.03,1006.0,1006.03,72331
LIQUIDADD,2024-04-25,1005.99,1006.21,1005.99,1006.21,169683
LIQUIDADD,2024-04-26,1006.0,1006.73,1006.0,1006.73,22921
LIQUIDADD,2024-04-29,1005.99,1006.9,1005.99,1006.88,78423
LIQUIDADD,2024-04-30,1005.99,1007.24,1005.99,1007.23,283202
