symbol,date,open,high,low,close,volume
LOVABLE,2011-03-24,240.0,278.9,240.0,249.55,23297573
LOVABLE,2011-03-25,228.6,257.4,228.6,249.85,6981895
LOVABLE,2011-03-28,248.3,264.6,243.4,252.55,4448178
LOVABLE,2011-03-29,253.0,254.65,240.2,245.65,1374953
LOVABLE,2011-03-30,246.5,252.5,242.0,245.75,1200774
LOVABLE,2011-03-31,247.0,251.85,243.4,245.35,473717
LOVABLE,2011-04-01,246.5,249.95,245.0,246.3,304447
LOVABLE,2011-04-04,247.4,294.3,244.55,289.85,8280306
LOVABLE,2011-04-05,294.4,299.5,278.4,284.85,4091004
LOVABLE,2011-04-06,284.85,286.8,274.2,276.8,1133174
LOVABLE,2011-04-07,250.0,302.2,250.0,292.05,4340402
LOVABLE,2011-04-08,260.0,293.3,260.0,280.85,737810
LOVABLE,2011-04-11,280.0,285.9,267.8,276.15,978372
LOVABLE,2011-04-13,274.75,285.85,273.35,281.05,752996
LOVABLE,2011-04-15,281.85,292.0,279.0,287.25,966259
LOVABLE,2011-04-18,288.9,318.2,288.1,306.1,3486424
LOVABLE,2011-04-19,300.7,317.0,300.7,309.85,2168508
LOVABLE,2011-04-20,312.0,313.6,302.15,305.95,569926
LOVABLE,2011-04-21,306.25,328.4,304.85,314.95,2087579
LOVABLE,2011-04-25,315.0,323.9,313.1,319.0,831863
LOVABLE,2011-04-26,320.0,330.8,316.6,326.65,1182549
LOVABLE,2011-04-27,300.0,342.0,300.0,338.85,1353283
LOVABLE,2011-04-28,343.0,349.4,341.0,345.15,878148
LOVABLE,2011-04-29,344.0,347.0,321.7,329.15,853785
LOVABLE,2011-05-02,330.0,336.0,323.3,333.9,611374
LOVABLE,2011-05-03,332.45,335.8,321.3,322.85,364446
LOVABLE,2011-05-04,322.45,328.9,320.05,326.85,261507
LOVABLE,2011-05-05,325.0,332.7,304.35,309.2,441444
LOVABLE,2011-05-06,311.75,314.75,276.6,299.25,1133973
LOVABLE,2011-05-09,301.95,324.0,301.05,320.55,842423
LOVABLE,2011-05-10,321.25,327.7,315.7,326.05,540655
LOVABLE,2011-05-11,326.35,333.0,325.05,329.1,414982
LOVABLE,2011-05-12,327.1,330.0,316.65,320.25,200441
LOVABLE,2011-05-13,322.4,326.8,319.6,321.8,129597
LOVABLE,2011-05-16,318.0,322.4,313.0,314.7,129769
LOVABLE,2011-05-17,317.4,317.4,303.55,308.85,177530
LOVABLE,2011-05-18,310.3,313.75,300.1,310.1,254283
LOVABLE,2011-05-19,312.0,315.5,307.55,310.9,138684
LOVABLE,2011-05-20,312.35,313.9,301.0,307.8,128373
LOVABLE,2011-05-23,314.0,314.0,303.1,305.0,78903
LOVABLE,2011-05-24,305.0,309.1,295.55,301.7,165476
LOVABLE,2011-05-25,300.3,303.4,285.0,295.25,165443
LOVABLE,2011-05-26,296.0,308.4,296.0,299.3,299571
LOVABLE,2011-05-27,301.0,306.45,296.15,297.9,152909
LOVABLE,2011-05-30,300.1,311.4,297.3,306.15,269561
LOVABLE,2011-05-31,308.0,314.8,306.15,310.7,212491
LOVABLE,2011-06-01,314.85,319.9,307.6,317.25,187010
LOVABLE,2011-06-02,317.0,325.9,311.0,324.35,294835
LOVABLE,2011-06-03,325.3,329.9,320.95,323.2,127943
LOVABLE,2011-06-06,324.0,327.65,313.75,314.8,127390
LOVABLE,2011-06-07,314.8,327.0,312.3,324.95,194262
LOVABLE,2011-06-08,324.4,332.6,320.0,321.85,192464
LOVABLE,2011-06-09,320.55,324.5,317.55,322.3,55028
LOVABLE,2011-06-10,322.35,386.8,322.35,385.35,5746612
LOVABLE,2011-06-13,390.0,402.7,372.25,391.05,5383247
LOVABLE,2011-06-14,397.35,416.65,384.0,412.65,5008927
LOVABLE,2011-06-15,416.0,416.0,385.7,389.65,1936446
LOVABLE,2011-06-16,379.75,463.8,379.75,448.4,10425826
LOVABLE,2011-06-17,445.0,454.0,417.0,429.5,9069533
LOVABLE,2011-06-20,429.0,442.3,395.25,402.1,4003138
LOVABLE,2011-06-21,400.95,416.95,388.3,393.35,2115133
LOVABLE,2011-06-22,396.5,408.4,392.25,396.2,1565057
LOVABLE,2011-06-23,396.3,404.2,337.5,375.65,7078042
LOVABLE,2011-06-24,380.0,393.4,356.1,386.6,4101668
LOVABLE,2011-06-27,384.0,398.85,372.3,391.3,2740975
LOVABLE,2011-06-28,392.1,408.9,390.6,398.2,3005938
LOVABLE,2011-06-29,400.5,408.75,398.45,402.1,1318175
LOVABLE,2011-06-30,403.5,427.8,403.05,418.4,3288782
LOVABLE,2011-07-01,420.0,426.0,407.65,413.35,1292650
LOVABLE,2011-07-04,414.0,423.4,409.4,415.1,832879
LOVABLE,2011-07-05,416.15,434.8,410.5,430.1,2311592
LOVABLE,2011-07-06,430.2,441.1,427.6,430.1,1785198
LOVABLE,2011-07-07,432.0,439.5,428.35,430.65,779705
LOVABLE,2011-07-08,430.65,438.7,420.0,422.5,750781
LOVABLE,2011-07-11,421.8,426.65,411.6,416.25,604851
LOVABLE,2011-07-12,412.85,412.9,402.0,405.55,450633
LOVABLE,2011-07-13,407.15,428.0,407.15,420.6,1901906
LOVABLE,2011-07-14,420.15,427.35,417.1,419.65,793138
LOVABLE,2011-07-15,422.6,425.0,415.4,418.65,338132
LOVABLE,2011-07-18,419.5,427.3,418.2,419.6,540017
LOVABLE,2011-07-19,420.0,425.1,416.05,419.75,319494
LOVABLE,2011-07-20,422.0,453.0,418.1,434.8,2960191
LOVABLE,2011-07-21,438.2,451.0,428.85,433.75,1746735
LOVABLE,2011-07-22,436.05,444.6,433.4,437.4,609480
LOVABLE,2011-07-25,439.0,446.85,432.7,440.6,1078939
LOVABLE,2011-07-26,441.95,444.35,431.1,433.5,392271
LOVABLE,2011-07-27,436.5,438.0,426.1,429.75,268658
LOVABLE,2011-07-28,429.4,429.4,414.0,418.4,269681
LOVABLE,2011-07-29,418.5,426.45,414.55,416.15,233360
LOVABLE,2011-08-01,424.2,425.8,416.55,419.15,256878
LOVABLE,2011-08-02,418.15,419.65,392.65,402.25,373559
LOVABLE,2011-08-03,395.35,413.45,390.7,406.95,660616
LOVABLE,2011-08-04,410.0,414.95,397.15,400.4,333472
LOVABLE,2011-08-05,385.3,393.9,339.95,369.9,860818
LOVABLE,2011-08-08,354.7,396.0,350.8,390.05,945482
LOVABLE,2011-08-09,379.4,394.75,360.0,374.85,732750
LOVABLE,2011-08-10,382.0,414.8,382.0,409.4,1507528
LOVABLE,2011-08-11,407.0,464.9,404.65,450.85,4970810
LOVABLE,2011-08-12,454.4,471.8,440.0,447.0,1804626
LOVABLE,2011-08-16,400.0,461.0,400.0,449.0,858805
LOVABLE,2011-08-17,455.0,456.0,434.0,438.0,488418
LOVABLE,2011-08-18,439.0,452.85,429.2,432.95,880708
LOVABLE,2011-08-19,428.0,461.4,415.75,455.5,1456124
LOVABLE,2011-08-22,460.0,508.8,455.0,502.5,3560808
LOVABLE,2011-08-23,510.0,542.2,503.05,535.3,3585149
LOVABLE,2011-08-24,535.0,558.95,526.1,546.95,3159318
LOVABLE,2011-08-25,547.5,562.9,508.25,545.35,4310771
LOVABLE,2011-08-26,547.05,556.6,518.05,524.25,1697943
LOVABLE,2011-08-29,530.0,551.4,529.0,539.9,1085761
LOVABLE,2011-08-30,545.0,554.5,535.2,541.7,786849
LOVABLE,2011-09-02,545.0,581.4,520.1,576.25,2046732
LOVABLE,2011-09-05,570.0,611.0,568.15,603.45,2813525
LOVABLE,2011-09-06,609.0,635.75,605.0,624.05,2361841
LOVABLE,2011-09-07,625.5,637.0,612.5,617.35,1324407
LOVABLE,2011-09-08,620.05,622.7,598.35,607.2,859133
LOVABLE,2011-09-09,609.95,632.3,607.05,612.3,1195913
LOVABLE,2011-09-12,604.9,611.75,537.5,557.1,1894411
LOVABLE,2011-09-13,560.25,581.7,543.2,548.3,1710035
LOVABLE,2011-09-14,550.1,558.8,510.1,523.8,2098812
LOVABLE,2011-09-15,525.0,546.5,515.0,527.6,1406675
LOVABLE,2011-09-16,534.3,536.45,508.8,519.6,1015623
LOVABLE,2011-09-19,520.0,535.7,515.55,527.15,993406
LOVABLE,2011-09-20,450.0,538.8,450.0,528.05,774784
LOVABLE,2011-09-21,532.0,545.8,527.2,535.45,1239260
LOVABLE,2011-09-22,525.0,532.4,485.5,493.1,1049558
LOVABLE,2011-09-23,489.4,493.8,467.3,483.05,1231191
LOVABLE,2011-09-26,486.55,491.55,455.0,464.1,757554
LOVABLE,2011-09-27,472.5,482.5,454.25,462.1,796450
LOVABLE,2011-09-28,467.9,479.8,456.25,462.55,792974
LOVABLE,2011-09-29,461.0,467.5,438.35,446.0,611750
LOVABLE,2011-09-30,446.0,474.3,438.0,453.45,1331615
LOVABLE,2011-10-03,449.7,452.05,424.0,430.15,527472
LOVABLE,2011-10-04,422.2,441.3,421.0,428.1,495966
LOVABLE,2011-10-05,430.9,435.45,422.1,426.7,354635
LOVABLE,2011-10-07,434.9,444.0,426.0,430.4,363259
LOVABLE,2011-10-10,434.25,473.8,430.0,468.25,1242973
LOVABLE,2011-10-11,470.0,484.4,456.65,468.65,949533
LOVABLE,2011-10-12,470.0,502.8,470.0,495.75,1478638
LOVABLE,2011-10-13,500.5,509.0,486.1,489.9,1314089
LOVABLE,2011-10-14,490.05,492.7,478.05,481.35,383160
LOVABLE,2011-10-17,450.0,495.5,450.0,485.65,510387
LOVABLE,2011-10-18,479.0,482.5,462.5,467.55,305926
LOVABLE,2011-10-19,472.75,492.0,471.4,482.5,469330
LOVABLE,2011-10-20,480.1,481.45,468.15,473.55,258669
LOVABLE,2011-10-21,477.3,482.4,465.0,466.5,309023
LOVABLE,2011-10-24,472.7,481.8,465.25,467.3,344871
LOVABLE,2011-10-25,470.85,479.55,456.0,475.5,431595
LOVABLE,2011-10-26,479.5,481.3,472.6,474.7,99103
LOVABLE,2011-10-28,484.15,499.6,477.1,496.0,675505
LOVABLE,2011-10-31,498.0,498.8,485.0,489.3,255232
LOVABLE,2011-11-01,485.55,489.75,476.0,482.0,236018
LOVABLE,2011-11-02,477.15,488.0,475.2,480.45,287194
LOVABLE,2011-11-03,478.3,487.0,475.0,480.2,239119
LOVABLE,2011-11-04,484.5,507.0,484.5,499.05,1045024
LOVABLE,2011-11-08,500.0,521.4,500.0,515.65,1061776
LOVABLE,2011-11-09,519.45,530.9,495.5,501.3,815346
LOVABLE,2011-11-11,498.45,508.95,478.55,491.7,631030
LOVABLE,2011-11-14,497.0,500.0,398.3,417.4,1117828
LOVABLE,2011-11-15,420.0,432.0,365.0,373.25,3699105
LOVABLE,2011-11-16,374.9,388.0,354.0,380.35,1862952
LOVABLE,2011-11-17,381.1,385.0,367.0,369.75,969468
LOVABLE,2011-11-18,367.25,368.0,347.0,351.95,687890
LOVABLE,2011-11-21,348.95,362.7,339.75,342.65,794267
LOVABLE,2011-11-22,345.0,354.8,340.1,344.15,488707
LOVABLE,2011-11-23,340.05,340.9,320.2,325.9,430716
LOVABLE,2011-11-24,323.0,325.5,290.35,315.45,1538060
LOVABLE,2011-11-25,320.0,378.55,306.45,373.75,2741635
LOVABLE,2011-11-28,381.65,404.95,381.0,396.45,2091072
LOVABLE,2011-11-29,400.0,400.0,371.6,378.0,1036172
LOVABLE,2011-11-30,375.0,375.55,360.55,366.95,681265
LOVABLE,2011-12-01,375.0,387.7,372.2,375.4,571882
LOVABLE,2011-12-02,370.1,400.9,366.1,392.75,1058060
LOVABLE,2011-12-05,369.0,397.5,369.0,388.8,846054
LOVABLE,2011-12-07,390.1,397.0,384.0,385.55,504932
LOVABLE,2011-12-08,381.0,387.7,372.0,375.25,422216
LOVABLE,2011-12-09,370.1,372.9,362.05,366.8,329645
LOVABLE,2011-12-12,375.0,378.7,349.4,354.45,466024
LOVABLE,2011-12-13,349.95,356.9,336.1,344.65,414727
LOVABLE,2011-12-14,374.65,374.65,335.4,338.55,583351
LOVABLE,2011-12-15,335.0,336.6,312.3,319.15,560558
LOVABLE,2011-12-16,323.4,333.8,301.4,304.9,551155
LOVABLE,2011-12-19,302.95,303.0,278.2,288.35,534586
LOVABLE,2011-12-20,292.4,300.75,287.5,290.5,568529
LOVABLE,2011-12-21,299.9,302.9,290.1,297.55,480108
LOVABLE,2011-12-22,292.0,308.95,286.2,305.05,554229
LOVABLE,2011-12-23,310.0,343.0,309.8,330.6,2602794
LOVABLE,2011-12-26,333.1,343.95,327.5,336.65,1106707
LOVABLE,2011-12-27,336.95,339.6,325.75,328.5,592822
LOVABLE,2011-12-28,327.75,329.2,311.3,313.45,445374
LOVABLE,2011-12-29,310.15,322.5,305.3,312.25,822199
LOVABLE,2011-12-30,315.0,324.45,307.85,311.5,514664
LOVABLE,2012-01-02,312.8,319.9,312.1,316.45,406732
LOVABLE,2012-01-03,319.0,331.9,319.0,324.9,697751
LOVABLE,2012-01-04,326.0,332.4,322.3,324.4,376607
LOVABLE,2012-01-05,326.5,330.0,315.55,320.8,309968
LOVABLE,2012-01-06,319.25,326.9,312.55,321.1,429956
LOVABLE,2012-01-07,325.0,325.0,321.05,322.15,46513
LOVABLE,2012-01-09,322.2,322.2,309.0,310.6,338906
LOVABLE,2012-01-10,311.75,329.3,311.75,320.4,691561
LOVABLE,2012-01-11,324.1,384.45,322.65,384.45,3638477
LOVABLE,2012-01-12,398.3,398.7,349.5,355.9,1973587
LOVABLE,2012-01-13,355.0,388.4,355.0,377.7,2381896
LOVABLE,2012-01-16,376.9,386.0,367.55,375.9,1045806
LOVABLE,2012-01-17,378.0,402.0,378.0,386.5,1544634
LOVABLE,2012-01-18,388.0,398.1,377.0,381.35,682822
LOVABLE,2012-01-19,388.0,393.8,381.6,385.55,424259
LOVABLE,2012-01-20,388.0,392.4,369.45,376.4,480647
LOVABLE,2012-01-23,368.0,380.3,360.25,362.5,341160
LOVABLE,2012-01-24,363.5,382.8,363.2,376.1,814340
LOVABLE,2012-01-25,379.75,390.75,371.4,379.8,820836
LOVABLE,2012-01-27,383.1,392.0,380.65,384.45,784755
LOVABLE,2012-01-30,379.2,385.8,370.0,371.6,482242
LOVABLE,2012-01-31,378.3,379.35,367.7,375.95,362743
LOVABLE,2012-02-01,377.8,416.4,376.55,407.05,3332056
LOVABLE,2012-02-02,413.6,416.05,395.55,400.3,874975
LOVABLE,2012-02-03,402.65,429.2,398.25,420.7,1670060
LOVABLE,2012-02-06,425.0,435.45,419.15,423.85,1028651
LOVABLE,2012-02-07,426.35,437.85,417.5,426.0,1034002
LOVABLE,2012-02-08,429.0,442.95,427.6,436.7,975911
LOVABLE,2012-02-09,435.0,447.65,429.0,444.6,859251
LOVABLE,2012-02-10,444.0,479.8,442.75,458.3,1959020
LOVABLE,2012-02-13,454.4,454.4,396.35,402.95,1823740
LOVABLE,2012-02-14,402.0,422.8,402.0,409.2,1082492
LOVABLE,2012-02-15,412.0,419.5,408.0,413.25,687857
LOVABLE,2012-02-16,410.75,427.9,407.1,418.45,1195936
LOVABLE,2012-02-17,423.4,427.4,413.6,416.35,648302
LOVABLE,2012-02-21,416.0,421.9,412.0,415.75,410005
LOVABLE,2012-02-22,417.85,424.5,396.25,400.7,627685
LOVABLE,2012-02-23,401.0,404.85,382.2,390.3,501119
LOVABLE,2012-02-24,394.0,398.45,381.95,386.5,341887
LOVABLE,2012-02-27,392.0,392.0,364.1,366.7,268968
LOVABLE,2012-02-28,370.0,387.0,370.0,384.8,453780
LOVABLE,2012-02-29,389.0,407.35,385.0,394.05,804157
LOVABLE,2012-03-01,392.0,395.9,378.1,384.8,259211
LOVABLE,2012-03-02,387.2,388.9,378.6,380.3,216001
LOVABLE,2012-03-03,381.0,382.0,376.4,377.55,28899
LOVABLE,2012-03-05,379.0,379.0,366.2,370.2,175462
LOVABLE,2012-03-06,370.15,384.9,355.05,366.75,338307
LOVABLE,2012-03-07,361.25,379.2,361.25,374.65,361532
LOVABLE,2012-03-09,377.8,385.0,374.95,377.5,226655
LOVABLE,2012-03-12,382.0,387.45,378.3,381.75,291964
LOVABLE,2012-03-13,387.25,396.9,383.1,385.65,449164
LOVABLE,2012-03-14,390.95,396.8,381.55,385.1,364262
LOVABLE,2012-03-15,385.25,386.9,373.0,377.3,142464
LOVABLE,2012-03-16,374.95,385.0,372.6,375.55,201623
LOVABLE,2012-03-19,382.95,383.0,363.3,367.3,123286
