symbol,date,open,high,low,close,volume
LOWVOL1,2024-03-20,18.21,18.25,18.02,18.25,11818
LOWVOL1,2024-03-21,18.19,18.38,18.05,18.05,234295
LOWVOL1,2024-03-22,18.32,18.72,18.14,18.14,17776
LOWVOL1,2024-03-26,21.0,21.0,18.08,18.42,226297
LOWVOL1,2024-03-27,18.82,18.89,18.23,18.48,15769
LOWVOL1,2024-03-28,18.42,18.79,18.13,18.69,104000
LOWVOL1,2024-04-01,18.69,18.9,18.5,18.83,37794
LOWVOL1,2024-04-02,18.93,18.94,18.6,18.94,660483
LOWVOL1,2024-04-03,18.78,19.14,18.52,18.82,2004000
LOWVOL1,2024-04-04,18.64,18.72,18.51,18.7,593054
LOWVOL1,2024-04-05,18.7,19.09,18.5,18.71,87394
LOWVOL1,2024-04-08,19.08,19.08,18.5,18.79,42620
LOWVOL1,2024-04-09,18.72,19.0,18.59,18.95,19169
LOWVOL1,2024-04-10,18.95,18.95,18.5,18.6,604688
LOWVOL1,2024-04-12,18.8,18.8,18.48,18.48,321837
LOWVOL1,2024-04-15,18.4,18.65,18.2,18.35,678435
LOWVOL1,2024-04-16,18.28,18.84,18.2,18.84,53053
LOWVOL1,2024-04-18,18.28,18.84,18.0,18.4,102057
LOWVOL1,2024-04-19,18.3,18.85,17.86,18.5,3025148
LOWVOL1,2024-04-22,18.56,18.56,18.06,18.21,66925
LOWVOL1,2024-04-23,18.44,18.44,18.15,18.28,13732
LOWVOL1,2024-04-24,18.33,18.35,18.2,18.27,11237
LOWVOL1,2024-04-25,18.55,18.55,18.07,18.35,87631
LOWVOL1,2024-04-26,18.7,18.7,17.0,18.32,34486
LOWVOL1,2024-04-29,18.66,18.66,18.23,18.39,38676
LOWVOL1,2024-04-30,18.25,18.46,18.25,18.45,31270
