symbol,date,open,high,low,close,volume
LRRPL,2023-03-08,34.0,38.15,32.7,38.15,414001
LRRPL,2023-03-09,40.4,44.0,36.9,43.0,288002
LRRPL,2023-03-10,41.65,41.65,35.8,38.5,144001
LRRPL,2023-03-13,38.1,38.1,31.0,31.7,330001
LRRPL,2023-03-14,33.15,33.15,29.35,31.2,132001
LRRPL,2023-03-15,34.8,35.95,33.0,33.0,126001
LRRPL,2023-03-16,33.5,34.1,30.5,34.1,42001
LRRPL,2023-03-17,33.05,33.05,32.15,32.15,30001
LRRPL,2023-03-20,32.65,32.65,32.65,32.65,6001
LRRPL,2023-03-21,32.2,33.6,32.2,33.6,30001
LRRPL,2023-03-22,32.4,32.45,31.0,31.0,48002
LRRPL,2023-03-23,32.0,32.0,32.0,32.0,6001
LRRPL,2023-03-24,31.75,31.75,30.85,30.85,30001
LRRPL,2023-03-27,29.5,31.0,29.5,31.0,30001
LRRPL,2023-04-03,30.5,30.5,30.0,30.0,18001
LRRPL,2023-04-05,29.05,30.0,28.9,30.0,42002
LRRPL,2023-04-06,30.95,35.6,30.95,35.6,132001
LRRPL,2023-04-10,35.0,39.0,35.0,39.0,114001
LRRPL,2023-04-11,39.5,39.6,36.15,36.15,42001
LRRPL,2023-04-12,33.9,33.9,33.3,33.3,24002
LRRPL,2023-04-13,35.0,36.4,35.0,36.4,12001
LRRPL,2023-04-17,35.15,37.35,35.05,37.35,90001
LRRPL,2023-04-18,38.15,39.5,38.15,39.5,42001
LRRPL,2023-04-19,39.9,39.9,37.6,37.6,30001
LRRPL,2023-04-20,37.05,37.35,36.3,36.3,30001
LRRPL,2023-04-21,36.0,36.0,35.15,35.15,42001
LRRPL,2023-04-24,36.7,36.7,36.0,36.0,24001
LRRPL,2023-04-26,36.1,37.95,36.0,37.0,36001
LRRPL,2023-04-27,39.75,39.75,36.3,36.3,54001
LRRPL,2023-04-28,37.95,37.95,36.2,36.2,24001
LRRPL,2023-05-02,37.95,42.8,37.95,42.8,30001
LRRPL,2023-05-03,40.0,41.0,38.0,38.0,72001
LRRPL,2023-05-04,39.0,39.2,37.85,37.85,78001
LRRPL,2023-05-05,39.7,39.7,39.0,39.7,48001
LRRPL,2023-05-08,41.0,42.7,41.0,42.7,18001
LRRPL,2023-05-09,42.0,49.5,42.0,49.5,168001
LRRPL,2023-05-10,49.25,57.8,49.25,57.8,312001
LRRPL,2023-05-11,59.45,60.5,54.5,59.5,186001
LRRPL,2023-05-12,56.75,56.85,55.0,56.1,36001
LRRPL,2023-05-15,52.35,52.4,52.35,52.4,12001
LRRPL,2023-05-16,50.5,50.5,48.35,50.45,30001
LRRPL,2023-05-17,50.05,55.45,50.05,55.45,102001
LRRPL,2023-05-18,58.5,60.95,57.5,60.95,240001
LRRPL,2023-05-19,65.0,65.85,63.0,63.5,78001
LRRPL,2023-05-22,63.1,63.1,57.2,57.9,72001
LRRPL,2023-05-23,62.3,63.55,58.5,63.55,84001
LRRPL,2023-05-24,66.7,66.7,66.4,66.4,36001
LRRPL,2023-05-25,66.6,69.85,66.6,69.85,12001
LRRPL,2023-05-26,71.7,72.35,70.0,71.8,54001
LRRPL,2023-05-29,67.5,67.5,67.5,67.5,6001
LRRPL,2023-05-30,69.3,70.1,67.85,70.1,60001
LRRPL,2023-05-31,65.6,65.6,65.6,65.6,12001
LRRPL,2023-06-01,62.35,62.35,62.35,62.35,6000
LRRPL,2023-06-02,59.25,59.25,59.25,59.25,18001
LRRPL,2023-06-05,56.3,62.2,56.3,62.2,90001
LRRPL,2023-06-06,63.0,65.0,63.0,65.0,12000
LRRPL,2023-06-07,64.0,64.0,62.85,62.85,42001
LRRPL,2023-06-08,63.4,63.4,60.35,60.35,36001
LRRPL,2023-06-09,62.0,62.0,60.85,60.85,12001
LRRPL,2023-06-12,60.3,61.5,60.3,61.5,12001
LRRPL,2023-06-13,62.5,62.5,62.5,62.5,6001
LRRPL,2023-06-14,62.9,62.9,61.85,61.85,18001
LRRPL,2023-06-15,62.0,62.5,62.0,62.5,18001
LRRPL,2023-06-19,58.4,58.4,57.9,57.9,18001
LRRPL,2023-06-20,57.5,57.5,57.5,57.5,6001
LRRPL,2023-06-21,56.4,56.4,54.65,54.65,78001
LRRPL,2023-06-22,52.35,55.25,51.95,55.25,102001
LRRPL,2023-06-23,52.15,53.5,52.15,53.5,24001
LRRPL,2023-06-26,52.6,52.75,52.3,52.3,24001
LRRPL,2023-06-27,54.9,54.9,54.9,54.9,48001
LRRPL,2023-06-28,57.6,57.6,55.7,55.7,36001
LRRPL,2023-06-30,56.5,56.5,54.75,54.75,36001
LRRPL,2023-07-03,52.4,52.4,52.15,52.15,18001
LRRPL,2023-07-04,50.4,52.1,49.75,50.5,60001
LRRPL,2023-07-05,49.7,51.5,49.7,51.5,12001
LRRPL,2023-07-07,51.5,51.5,51.5,51.5,6001
LRRPL,2023-07-10,52.0,52.0,48.95,48.95,54001
LRRPL,2023-07-11,49.95,52.4,47.45,52.4,108001
LRRPL,2023-07-12,54.8,54.8,54.45,54.8,36001
LRRPL,2023-07-13,57.45,57.45,56.0,56.0,42001
LRRPL,2023-07-14,55.1,57.95,55.1,56.9,42001
LRRPL,2023-07-17,57.2,57.25,57.2,57.25,18001
LRRPL,2023-07-18,57.5,57.5,54.4,54.4,42001
LRRPL,2023-07-19,56.05,59.0,55.05,59.0,36001
LRRPL,2023-07-24,56.1,57.5,56.05,57.5,30002
LRRPL,2023-07-25,55.0,56.0,55.0,56.0,12001
LRRPL,2023-07-26,53.25,53.25,53.2,53.2,18002
LRRPL,2023-07-31,51.2,52.8,50.55,52.8,30002
LRRPL,2023-08-01,53.0,53.0,53.0,53.0,18001
LRRPL,2023-08-02,52.2,52.2,50.35,50.35,72001
LRRPL,2023-08-03,50.0,52.15,50.0,52.15,12001
LRRPL,2023-08-04,50.05,50.05,49.55,49.55,66002
LRRPL,2023-08-10,51.3,51.3,51.3,51.3,12001
LRRPL,2023-08-11,52.0,52.0,52.0,52.0,6001
LRRPL,2023-08-16,52.0,53.8,52.0,53.8,24001
LRRPL,2023-08-17,52.0,52.0,49.0,49.0,48001
LRRPL,2023-08-18,47.45,47.45,47.45,47.45,6000
LRRPL,2023-08-21,47.45,48.75,45.4,48.75,36001
LRRPL,2023-08-22,47.15,47.15,47.15,47.15,6001
LRRPL,2023-08-24,48.75,48.75,48.75,48.75,6000
LRRPL,2023-08-25,50.75,50.75,50.75,50.75,6001
LRRPL,2023-08-28,52.0,52.0,52.0,52.0,6001
LRRPL,2023-08-31,50.0,50.0,49.6,49.6,18001
LRRPL,2023-09-06,49.6,49.6,47.35,47.35,12001
LRRPL,2023-09-08,47.35,47.35,47.35,47.35,6001
LRRPL,2023-09-11,47.0,47.0,45.25,45.25,18001
LRRPL,2023-09-20,45.25,45.25,45.1,45.1,18002
LRRPL,2023-09-26,45.5,46.25,45.5,46.25,18001
LRRPL,2023-09-27,48.55,48.55,48.55,48.55,18001
LRRPL,2023-09-28,50.3,50.3,50.3,50.3,6001
LRRPL,2023-09-29,50.0,50.95,50.0,50.95,30001
LRRPL,2023-10-03,51.0,51.0,51.0,51.0,6001
LRRPL,2023-10-06,51.5,51.5,51.5,51.5,6001
LRRPL,2023-10-10,49.0,49.0,49.0,49.0,12001
LRRPL,2023-10-11,50.0,50.25,50.0,50.25,12001
LRRPL,2023-10-12,48.0,48.15,48.0,48.05,30001
LRRPL,2023-10-16,50.0,50.2,50.0,50.2,18001
