symbol,date,open,high,low,close,volume
LTFOODS,2023-11-06,190.05,191.8,183.25,186.85,1217573
LTFOODS,2023-11-07,187.8,202.0,184.7,199.65,5452279
LTFOODS,2023-11-08,201.1,205.0,197.5,199.7,1948665
LTFOODS,2023-11-09,199.7,201.5,193.15,195.05,2138070
LTFOODS,2023-11-10,195.0,196.2,192.25,195.05,906306
LTFOODS,2023-11-12,196.6,200.9,195.5,199.15,544873
LTFOODS,2023-11-13,199.0,199.5,195.45,197.2,625704
LTFOODS,2023-11-15,199.4,199.9,193.3,193.9,1326321
LTFOODS,2023-11-16,196.05,205.0,196.05,199.6,2029246
LTFOODS,2023-11-17,201.0,207.4,200.45,202.6,1910295
LTFOODS,2023-11-20,202.6,215.8,202.6,214.5,3861305
LTFOODS,2023-11-21,216.1,220.2,211.75,219.2,2530719
LTFOODS,2023-11-22,219.0,219.7,204.9,207.5,2575356
LTFOODS,2023-11-23,208.5,217.2,208.05,210.8,2098464
LTFOODS,2023-11-24,211.9,216.4,211.3,212.05,948064
LTFOODS,2023-11-28,213.0,217.35,206.75,210.0,948893
LTFOODS,2023-11-29,211.0,216.3,209.4,212.15,1171350
LTFOODS,2023-11-30,213.55,219.0,210.4,217.45,2644308
LTFOODS,2023-12-01,218.4,219.2,212.55,216.0,1153098
LTFOODS,2023-12-04,218.45,223.6,218.0,220.45,2121668
LTFOODS,2023-12-05,224.0,234.6,221.9,228.2,3005663
LTFOODS,2023-12-06,228.65,231.25,224.2,228.8,946920
LTFOODS,2023-12-07,229.1,230.4,220.5,224.05,1550156
LTFOODS,2023-12-08,225.6,226.95,211.6,214.3,1800915
LTFOODS,2023-12-11,216.0,219.4,210.1,214.85,797775
LTFOODS,2023-12-12,216.0,217.9,212.0,214.05,435345
LTFOODS,2023-12-13,215.4,215.9,213.05,215.5,397711
LTFOODS,2023-12-14,215.9,217.45,213.1,213.4,673810
LTFOODS,2023-12-15,214.2,218.95,211.4,213.35,921434
LTFOODS,2023-12-18,213.8,215.0,209.1,210.5,773775
LTFOODS,2023-12-19,208.0,210.5,197.25,201.0,4496190
LTFOODS,2023-12-20,203.35,207.1,195.3,196.25,1594313
LTFOODS,2023-12-21,196.2,204.4,193.0,203.35,1283766
LTFOODS,2023-12-22,206.0,208.8,198.65,201.35,1408503
LTFOODS,2023-12-26,210.0,216.0,200.4,203.45,3502639
LTFOODS,2023-12-27,205.0,206.1,200.5,201.35,835817
LTFOODS,2023-12-28,203.0,203.9,198.9,200.1,749975
LTFOODS,2023-12-29,199.85,204.75,198.75,203.2,661176
LTFOODS,2024-01-01,204.0,204.9,201.55,203.25,626895
LTFOODS,2024-01-02,204.05,204.6,200.2,202.55,637204
LTFOODS,2024-01-03,202.9,202.9,200.8,201.35,417460
LTFOODS,2024-01-04,201.35,204.3,201.35,201.9,611687
LTFOODS,2024-01-05,202.45,205.25,200.95,202.05,716673
LTFOODS,2024-01-08,202.4,204.0,200.5,201.3,608050
LTFOODS,2024-01-09,202.6,204.4,198.55,199.3,737674
LTFOODS,2024-01-10,201.0,206.6,199.8,202.95,1305970
LTFOODS,2024-01-11,203.0,209.9,202.55,208.85,1657924
LTFOODS,2024-01-12,210.85,211.5,207.0,208.45,1194222
LTFOODS,2024-01-15,210.15,211.0,203.2,203.65,904499
LTFOODS,2024-01-16,204.0,208.4,201.9,203.35,728866
LTFOODS,2024-01-17,203.0,204.3,198.75,200.3,765725
LTFOODS,2024-01-18,200.4,202.0,196.5,199.9,477987
LTFOODS,2024-01-19,201.1,203.35,199.0,201.65,370836
LTFOODS,2024-01-20,202.35,203.0,197.8,199.95,592756
LTFOODS,2024-01-23,199.4,202.4,190.7,191.7,933303
LTFOODS,2024-01-24,193.2,206.6,190.0,204.45,1556198
LTFOODS,2024-01-25,210.0,210.6,195.0,196.1,3501287
LTFOODS,2024-01-29,200.0,203.15,196.25,199.4,1287026
LTFOODS,2024-01-30,201.0,201.2,195.0,196.6,911005
LTFOODS,2024-01-31,198.45,201.2,195.55,197.0,948692
LTFOODS,2024-02-01,198.0,201.0,197.35,199.2,853543
LTFOODS,2024-02-02,199.45,200.95,194.85,195.6,861249
LTFOODS,2024-02-05,198.35,198.35,176.9,183.65,1470933
LTFOODS,2024-02-06,187.0,188.4,177.5,181.7,1762026
LTFOODS,2024-02-07,184.45,197.65,183.9,195.9,2259616
LTFOODS,2024-02-08,197.0,197.25,191.75,193.9,870374
LTFOODS,2024-02-09,194.7,194.9,185.5,189.35,578948
LTFOODS,2024-02-12,189.35,190.9,180.5,181.4,716462
LTFOODS,2024-02-13,182.45,183.55,175.35,180.55,773308
LTFOODS,2024-02-14,177.95,183.55,177.0,182.55,551810
LTFOODS,2024-02-15,182.6,184.8,180.3,181.1,817258
LTFOODS,2024-02-16,182.6,190.8,182.0,189.4,1337241
LTFOODS,2024-02-19,191.0,195.6,189.95,193.7,880766
LTFOODS,2024-02-20,194.65,196.9,191.65,193.45,552944
LTFOODS,2024-02-21,194.9,194.9,186.0,186.85,772451
LTFOODS,2024-02-22,188.0,188.7,183.0,186.15,558150
LTFOODS,2024-02-23,186.3,188.05,184.25,185.15,483672
LTFOODS,2024-02-26,185.2,186.4,180.25,180.85,762554
LTFOODS,2024-02-27,181.0,184.4,179.35,181.35,731067
LTFOODS,2024-02-28,181.5,183.35,175.95,177.25,667108
LTFOODS,2024-02-29,177.5,182.0,176.3,179.65,478384
LTFOODS,2024-03-01,179.65,182.8,175.2,175.85,829047
LTFOODS,2024-03-02,177.75,181.0,177.3,179.5,110677
LTFOODS,2024-03-04,180.0,180.65,177.0,177.45,377012
LTFOODS,2024-03-05,178.45,181.85,175.3,179.15,782234
LTFOODS,2024-03-06,178.5,179.0,172.3,175.25,585810
LTFOODS,2024-03-07,176.25,177.3,174.5,175.35,307071
LTFOODS,2024-03-11,177.3,177.9,169.55,170.3,374428
LTFOODS,2024-03-12,171.4,178.95,169.4,176.6,1668272
LTFOODS,2024-03-13,177.5,177.5,160.75,162.6,1614043
LTFOODS,2024-03-14,161.9,174.9,160.15,172.3,1240794
LTFOODS,2024-03-15,172.05,175.4,167.1,169.45,1015436
LTFOODS,2024-03-18,169.9,173.85,169.15,170.35,552432
LTFOODS,2024-03-19,169.9,169.9,160.0,162.75,4911802
LTFOODS,2024-03-20,177.5,181.8,170.25,179.75,14548367
LTFOODS,2024-03-21,181.5,191.65,178.0,189.95,5970252
LTFOODS,2024-03-22,189.55,196.7,186.0,194.4,3874657
LTFOODS,2024-03-26,195.9,195.9,187.45,189.15,1603003
LTFOODS,2024-03-27,190.0,190.5,184.45,187.4,1342749
LTFOODS,2024-03-28,188.5,192.3,182.55,187.65,1507472
LTFOODS,2024-04-01,189.5,201.7,188.25,200.0,3100964
LTFOODS,2024-04-02,201.55,203.1,198.6,200.6,1538232
LTFOODS,2024-04-03,199.4,207.35,198.65,206.35,1644253
LTFOODS,2024-04-04,207.35,208.65,205.95,208.1,1090195
LTFOODS,2024-04-05,206.55,208.2,204.75,206.15,773868
