symbol,date,open,high,low,close,volume
LUPIN,2008-06-09,126.66,142.39,122.4,140.16,2021185
LUPIN,2008-06-10,140.0,142.98,136.0,136.53,1000275
LUPIN,2008-06-11,137.8,142.8,134.81,137.76,2825155
LUPIN,2008-06-12,137.2,146.2,134.0,145.1,2905730
LUPIN,2008-06-13,146.0,148.4,140.01,141.17,3854295
LUPIN,2008-06-16,143.2,146.0,142.23,145.06,2063205
LUPIN,2008-06-17,146.0,147.36,143.23,143.97,2823910
LUPIN,2008-06-18,145.4,145.58,139.22,140.6,646175
LUPIN,2008-06-19,141.0,141.0,136.0,137.54,1796260
LUPIN,2008-06-20,138.0,140.4,136.0,137.81,985145
LUPIN,2008-06-23,137.81,139.95,134.6,135.93,599840
LUPIN,2008-06-24,137.8,138.2,127.8,130.93,1257075
LUPIN,2008-06-25,129.97,139.77,128.62,138.67,725940
LUPIN,2008-06-26,139.99,141.0,130.32,135.81,1188610
LUPIN,2008-06-27,132.26,137.6,130.26,135.09,568525
LUPIN,2008-06-30,134.2,136.4,130.8,133.32,338820
LUPIN,2008-07-01,136.6,136.6,131.21,134.07,374400
LUPIN,2008-07-02,134.2,140.0,134.2,139.82,1133510
LUPIN,2008-07-03,139.8,139.8,135.02,137.66,528065
LUPIN,2008-07-04,138.4,138.99,135.4,136.67,76405
LUPIN,2008-07-07,137.02,139.76,124.16,133.37,265620
LUPIN,2008-07-08,130.7,137.96,130.7,136.95,465525
LUPIN,2008-07-09,138.0,139.6,136.4,136.94,177145
LUPIN,2008-07-10,134.2,137.58,134.2,135.2,171365
LUPIN,2008-07-11,136.0,141.69,135.0,139.71,2054040
LUPIN,2008-07-14,141.98,142.72,138.02,139.25,611255
LUPIN,2008-07-15,139.0,143.57,136.25,136.83,132260
LUPIN,2008-07-16,139.0,139.0,134.2,136.46,388260
LUPIN,2008-07-17,138.58,139.96,136.32,137.41,511065
LUPIN,2008-07-18,139.0,139.0,135.25,136.98,457540
LUPIN,2008-07-21,136.98,140.6,134.01,139.82,504160
LUPIN,2008-07-22,140.19,146.4,140.19,145.38,2778535
LUPIN,2008-07-23,152.0,152.0,145.72,146.65,1258835
LUPIN,2008-07-24,148.8,148.8,142.8,143.94,650240
LUPIN,2008-07-25,143.8,146.32,141.24,143.87,462495
LUPIN,2008-07-28,145.0,147.41,141.0,145.45,674375
LUPIN,2008-07-29,144.4,145.0,143.0,143.89,144330
LUPIN,2008-07-30,144.02,149.8,144.02,146.75,2219735
LUPIN,2008-07-31,148.02,149.0,147.0,147.52,508680
LUPIN,2008-08-01,147.4,149.58,146.62,148.26,1775425
LUPIN,2008-08-04,148.0,153.9,147.8,151.59,939075
LUPIN,2008-08-05,152.8,152.96,147.81,151.0,365270
LUPIN,2008-08-06,153.1,153.1,148.0,148.68,445740
LUPIN,2008-08-07,147.2,149.8,146.4,147.14,216255
LUPIN,2008-08-08,146.98,150.0,145.03,145.69,310860
LUPIN,2008-08-11,148.82,148.82,146.21,147.69,262530
LUPIN,2008-08-12,148.2,151.2,146.41,149.87,463530
LUPIN,2008-08-13,150.2,154.58,148.45,150.91,904980
LUPIN,2008-08-14,151.79,151.79,148.3,149.1,315115
LUPIN,2008-08-18,147.6,150.58,146.02,147.67,450245
LUPIN,2008-08-19,148.38,148.59,146.0,147.17,70705
LUPIN,2008-08-20,148.38,149.0,147.2,147.8,122785
LUPIN,2008-08-21,148.37,148.37,145.0,145.75,243470
LUPIN,2008-08-22,145.4,148.78,145.02,148.08,383800
LUPIN,2008-08-25,148.2,149.18,146.6,147.08,711690
LUPIN,2008-08-26,147.0,147.2,145.53,146.31,159275
LUPIN,2008-08-27,146.4,147.0,144.02,144.75,240915
LUPIN,2008-08-28,145.8,147.99,144.2,146.34,292770
LUPIN,2008-08-29,146.4,147.6,145.2,146.34,117655
LUPIN,2008-09-01,146.6,146.99,145.42,146.21,44295
LUPIN,2008-09-02,146.82,148.8,146.4,147.99,173185
LUPIN,2008-09-04,148.6,150.8,146.2,150.36,749520
LUPIN,2008-09-05,149.94,151.0,147.01,150.06,229805
LUPIN,2008-09-08,155.6,156.4,150.4,151.48,2003425
LUPIN,2008-09-09,149.4,150.9,149.0,149.2,1516635
LUPIN,2008-09-10,149.4,152.4,146.4,150.14,397410
LUPIN,2008-09-11,148.9,150.0,143.6,145.79,207535
LUPIN,2008-09-12,147.01,148.0,145.01,146.21,134530
LUPIN,2008-09-15,154.0,154.0,142.7,144.94,369450
LUPIN,2008-09-16,143.0,149.8,142.23,148.28,790030
LUPIN,2008-09-17,149.0,151.0,146.2,147.73,340000
LUPIN,2008-09-18,138.0,145.8,138.0,144.02,206485
LUPIN,2008-09-19,145.0,153.79,143.22,144.35,564415
LUPIN,2008-09-22,145.0,146.93,143.01,144.08,52790
LUPIN,2008-09-23,143.4,145.6,140.0,144.06,185095
LUPIN,2008-09-24,142.61,146.0,142.61,143.35,141045
LUPIN,2008-09-25,145.0,145.4,141.2,143.31,197615
LUPIN,2008-09-26,144.0,144.59,141.8,143.44,174960
LUPIN,2008-09-29,144.4,145.99,138.0,142.14,555505
LUPIN,2008-09-30,141.0,145.0,139.03,143.96,155835
LUPIN,2008-10-01,145.2,151.8,143.0,150.92,685280
LUPIN,2008-10-03,150.0,156.12,148.4,154.04,1920640
LUPIN,2008-10-06,152.8,153.89,148.59,148.91,587300
LUPIN,2008-10-07,149.1,152.01,144.58,148.88,915180
LUPIN,2008-10-08,145.0,147.0,140.8,145.65,431670
LUPIN,2008-10-10,139.6,141.78,121.4,124.3,1720225
LUPIN,2008-10-13,129.8,140.8,128.8,135.51,2031030
LUPIN,2008-10-14,140.0,146.0,136.25,143.03,1089530
LUPIN,2008-10-15,140.4,141.0,131.2,136.21,253355
LUPIN,2008-10-16,129.0,134.76,124.25,130.67,2277995
LUPIN,2008-10-17,132.0,132.0,118.04,124.65,1824405
LUPIN,2008-10-20,128.6,132.6,120.4,129.73,338730
LUPIN,2008-10-21,130.2,141.5,127.1,138.89,807135
LUPIN,2008-10-22,134.0,138.0,132.0,132.61,367615
LUPIN,2008-10-23,132.0,132.12,126.0,127.38,722415
LUPIN,2008-10-24,125.0,129.0,122.0,125.49,1253665
LUPIN,2008-10-27,120.0,129.0,116.0,126.38,744790
LUPIN,2008-10-28,130.0,133.8,127.3,131.38,13480
LUPIN,2008-10-29,129.0,138.89,128.5,132.92,1725315
LUPIN,2008-10-31,132.4,135.4,130.6,132.98,717005
LUPIN,2008-11-03,132.0,144.8,132.0,143.01,599015
LUPIN,2008-11-04,138.02,145.6,138.02,143.34,285930
LUPIN,2008-11-05,149.0,149.0,135.8,138.77,171045
LUPIN,2008-11-06,132.0,140.39,132.0,139.06,117710
LUPIN,2008-11-07,133.6,139.41,133.6,138.25,255265
LUPIN,2008-11-10,139.89,141.6,137.0,138.02,247800
LUPIN,2008-11-11,137.0,137.0,121.74,123.8,1329835
LUPIN,2008-11-12,123.8,124.9,117.02,120.95,3693305
LUPIN,2008-11-14,121.0,121.2,114.0,116.44,1094540
LUPIN,2008-11-17,114.0,116.97,103.6,111.67,1053135
LUPIN,2008-11-18,107.4,110.0,106.5,108.04,828215
LUPIN,2008-11-19,108.2,111.0,107.62,110.26,523310
LUPIN,2008-11-20,109.0,109.2,105.2,107.04,246090
LUPIN,2008-11-21,106.0,111.0,106.0,109.59,255960
LUPIN,2008-11-24,108.4,110.8,108.27,109.39,826170
LUPIN,2008-11-25,113.6,113.6,108.05,109.86,793865
LUPIN,2008-11-26,110.01,117.0,109.0,114.37,527285
LUPIN,2008-11-28,114.4,120.8,113.05,117.17,993405
LUPIN,2008-12-01,118.6,119.98,110.04,111.54,278140
LUPIN,2008-12-02,107.2,117.4,107.2,116.45,288345
LUPIN,2008-12-03,114.0,118.01,114.0,117.17,348525
LUPIN,2008-12-04,117.6,118.8,114.67,117.3,251015
LUPIN,2008-12-05,116.0,118.6,115.4,115.93,139265
