symbol,date,open,high,low,close,volume
MAGMA,2016-01-01,91.35,93.0,91.35,91.5,13340
MAGMA,2016-01-04,92.35,94.85,90.5,90.5,69468
MAGMA,2016-01-05,91.0,91.5,89.25,90.0,85281
MAGMA,2016-01-06,90.75,90.9,88.6,88.6,105895
MAGMA,2016-01-07,88.55,88.55,83.05,84.0,88505
MAGMA,2016-01-08,84.05,86.8,84.05,85.3,26611
MAGMA,2016-01-11,84.0,85.15,80.9,83.05,87794
MAGMA,2016-01-12,82.1,84.75,82.05,84.35,27080
MAGMA,2016-01-13,83.05,86.45,79.15,80.0,106256
MAGMA,2016-01-14,79.0,82.5,76.5,78.45,30390
MAGMA,2016-01-15,80.9,80.9,65.5,72.9,72251
MAGMA,2016-01-18,70.0,75.0,68.95,72.5,64633
MAGMA,2016-01-19,70.25,76.95,69.3,75.5,37546
MAGMA,2016-01-20,75.0,75.5,72.0,75.0,35641
MAGMA,2016-01-21,75.0,77.0,72.05,74.15,14820
MAGMA,2016-01-22,76.5,81.6,73.1,80.0,95491
MAGMA,2016-01-25,81.6,83.4,77.85,79.1,18121
MAGMA,2016-01-27,80.45,80.55,77.7,77.8,10765
MAGMA,2016-01-28,78.15,79.35,76.7,77.35,4097
MAGMA,2016-01-29,78.45,79.5,73.0,75.25,46361
MAGMA,2016-02-01,76.9,76.9,74.05,74.55,25400
MAGMA,2016-02-02,75.8,75.8,72.15,72.8,54387
MAGMA,2016-02-03,73.0,73.3,63.3,70.0,130603
MAGMA,2016-02-04,71.9,72.5,69.15,72.45,25056
MAGMA,2016-02-05,72.65,80.45,70.05,78.5,82684
MAGMA,2016-02-08,78.3,81.0,76.15,79.5,24458
MAGMA,2016-02-09,78.0,78.0,75.7,76.3,11585
MAGMA,2016-02-10,77.6,78.25,75.2,77.0,30991
MAGMA,2016-02-11,77.0,77.95,72.5,72.5,31802
MAGMA,2016-02-12,74.0,76.0,69.2,75.5,185408
MAGMA,2016-02-15,75.5,81.0,75.5,80.75,135103
MAGMA,2016-02-16,79.05,81.0,77.6,78.5,20987
MAGMA,2016-02-17,79.95,85.0,78.2,83.6,134909
MAGMA,2016-02-18,86.2,86.9,83.5,85.5,77706
MAGMA,2016-02-19,84.5,89.85,82.4,87.5,109024
MAGMA,2016-02-22,88.4,90.0,86.5,87.8,142068
MAGMA,2016-02-23,88.95,88.95,85.55,86.5,47656
MAGMA,2016-02-24,88.95,88.95,79.2,84.0,38265
MAGMA,2016-02-25,83.3,85.3,80.0,82.0,28346
MAGMA,2016-02-26,83.5,84.35,81.1,82.6,12646
MAGMA,2016-02-29,83.35,86.5,81.45,86.0,64464
MAGMA,2016-03-01,84.85,89.85,84.85,88.95,56441
MAGMA,2016-03-02,90.0,90.0,86.0,86.3,50054
MAGMA,2016-03-03,87.95,93.45,86.05,89.0,452137
MAGMA,2016-03-04,89.45,90.0,86.55,87.0,71839
MAGMA,2016-03-08,87.5,88.7,84.0,85.5,67534
MAGMA,2016-03-09,84.7,85.85,84.0,84.9,58358
MAGMA,2016-03-10,83.7,86.4,83.05,83.25,85141
MAGMA,2016-03-11,84.35,84.45,81.55,82.15,147361
MAGMA,2016-03-14,82.55,84.35,81.8,83.0,119289
MAGMA,2016-03-15,85.0,85.0,79.35,81.0,419360
MAGMA,2016-03-16,81.5,82.0,76.45,77.3,265833
MAGMA,2016-03-17,81.5,81.5,77.65,77.7,93541
MAGMA,2016-03-18,78.0,80.0,77.0,78.25,102516
MAGMA,2016-03-21,80.6,80.65,77.55,78.1,219790
MAGMA,2016-03-22,78.0,78.8,77.0,77.5,241794
MAGMA,2016-03-23,78.15,79.0,77.0,77.35,57790
MAGMA,2016-03-28,78.3,78.3,74.1,75.1,46882
MAGMA,2016-03-29,76.1,76.8,73.8,74.6,204241
MAGMA,2016-03-30,76.0,76.4,74.5,74.5,243546
MAGMA,2016-03-31,76.1,77.85,73.25,73.8,287206
MAGMA,2016-04-01,74.9,78.4,73.95,78.0,97475
MAGMA,2016-04-04,78.55,79.0,76.05,77.5,95611
MAGMA,2016-04-05,76.2,78.45,76.2,77.45,120320
MAGMA,2016-04-06,77.55,80.4,77.5,79.7,87523
MAGMA,2016-04-07,79.25,79.5,77.65,78.0,55950
MAGMA,2016-04-08,79.0,80.0,78.0,79.1,79530
MAGMA,2016-04-11,79.1,81.8,78.0,80.3,74526
MAGMA,2016-04-12,80.1,84.5,80.0,84.2,116661
MAGMA,2016-04-13,85.4,89.8,84.95,89.05,269396
MAGMA,2016-04-18,90.0,91.0,86.6,90.9,154316
MAGMA,2016-04-20,90.95,91.0,88.1,89.0,53357
MAGMA,2016-04-21,88.35,89.9,88.35,89.25,47526
MAGMA,2016-04-22,88.3,89.75,88.25,89.2,31652
MAGMA,2016-04-25,90.0,92.4,89.3,91.4,117741
MAGMA,2016-04-26,91.35,91.75,89.75,91.6,59948
MAGMA,2016-04-27,92.15,93.1,91.6,92.9,67735
MAGMA,2016-04-28,92.8,93.45,89.0,90.0,60999
