symbol,date,open,high,low,close,volume
MAHKTECH,2021-12-10,18.6,19.88,18.6,19.64,594457
MAHKTECH,2021-12-13,23.0,23.0,19.5,19.56,84488
MAHKTECH,2021-12-14,22.55,22.55,19.11,19.19,696742
MAHKTECH,2021-12-15,20.0,20.0,18.91,18.98,186826
MAHKTECH,2021-12-16,18.98,19.14,18.6,18.87,357848
MAHKTECH,2021-12-17,18.8,18.86,18.42,18.59,146103
MAHKTECH,2021-12-20,19.0,19.33,17.75,17.9,80485
MAHKTECH,2021-12-21,18.48,18.48,17.82,17.96,136152
MAHKTECH,2021-12-22,18.49,18.5,18.05,18.45,35114
MAHKTECH,2021-12-23,18.88,18.88,18.15,18.24,47196
MAHKTECH,2021-12-24,18.15,18.23,17.7,18.15,26329
MAHKTECH,2021-12-27,18.68,18.68,17.8,18.15,39435
MAHKTECH,2021-12-28,18.2,18.4,17.76,17.88,102849
MAHKTECH,2021-12-29,17.76,17.89,17.56,17.6,81630
MAHKTECH,2021-12-30,17.6,17.98,17.32,17.41,45833
MAHKTECH,2021-12-31,18.3,18.3,17.75,18.1,927321
MAHKTECH,2022-01-03,19.48,19.48,17.86,17.98,105605
MAHKTECH,2022-01-04,17.95,17.95,17.7,17.7,97011
MAHKTECH,2022-01-05,17.48,17.48,16.98,17.01,399683
MAHKTECH,2022-01-06,17.2,17.3,16.6,17.19,124484
MAHKTECH,2022-01-07,17.47,17.65,17.05,17.57,81881
MAHKTECH,2022-01-10,18.0,18.15,17.42,18.01,281695
MAHKTECH,2022-01-11,18.16,18.49,17.85,17.92,269578
MAHKTECH,2022-01-12,18.5,19.94,18.1,19.32,1146454
MAHKTECH,2022-01-13,18.98,18.98,18.2,18.58,509093
MAHKTECH,2022-01-14,18.49,18.49,18.2,18.41,634731
MAHKTECH,2022-01-17,18.0,18.65,17.95,18.37,133556
MAHKTECH,2022-01-18,18.4,18.95,17.93,18.08,121443
MAHKTECH,2022-01-19,18.49,18.54,18.1,18.39,669359
MAHKTECH,2022-01-20,18.89,18.95,18.4,18.93,94379
MAHKTECH,2022-01-21,19.11,19.11,18.3,18.89,122022
MAHKTECH,2022-01-24,17.0,18.98,17.0,18.25,622303
MAHKTECH,2022-01-25,18.48,18.48,17.76,17.94,47399
MAHKTECH,2022-01-27,18.0,18.0,16.95,17.48,948071
MAHKTECH,2022-01-28,17.79,17.79,17.0,17.12,172738
MAHKTECH,2022-01-31,17.5,17.57,17.25,17.4,76353
MAHKTECH,2022-02-01,17.75,17.75,17.4,17.47,626422
MAHKTECH,2022-02-02,17.85,17.85,17.19,17.49,186735
MAHKTECH,2022-02-03,17.78,17.78,17.15,17.5,223760
MAHKTECH,2022-02-04,17.34,18.2,17.34,18.0,91363
MAHKTECH,2022-02-07,18.25,18.25,17.5,17.66,324848
