symbol,date,open,high,low,close,volume
MALUPAPER,2008-06-09,24.8,24.8,23.75,24.15,7592
MALUPAPER,2008-06-10,29.0,29.0,23.2,24.35,4728
MALUPAPER,2008-06-11,23.9,24.75,23.3,23.75,24381
MALUPAPER,2008-06-12,23.8,24.8,23.0,24.3,8698
MALUPAPER,2008-06-13,23.9,24.8,23.9,24.0,7521
MALUPAPER,2008-06-16,25.55,25.55,24.4,25.1,6492
MALUPAPER,2008-06-17,24.55,25.05,24.5,24.9,5700
MALUPAPER,2008-06-18,25.0,25.2,24.3,24.75,6195
MALUPAPER,2008-06-19,25.3,25.3,23.75,24.05,6039
MALUPAPER,2008-06-20,23.4,24.9,23.2,23.25,10434
MALUPAPER,2008-06-23,25.0,25.0,18.65,22.4,6995
MALUPAPER,2008-06-24,21.15,23.0,21.1,22.15,5901
MALUPAPER,2008-06-25,21.95,22.0,21.5,21.6,9296
MALUPAPER,2008-06-26,22.0,22.5,21.75,21.95,8418
MALUPAPER,2008-06-27,21.0,21.9,21.0,21.25,20285
MALUPAPER,2008-06-30,21.5,21.5,19.2,19.6,24526
MALUPAPER,2008-07-01,19.5,20.05,17.55,19.25,9724
MALUPAPER,2008-07-02,18.5,19.8,18.1,19.7,7455
MALUPAPER,2008-07-03,18.7,20.5,18.55,19.45,7571
MALUPAPER,2008-07-04,19.0,20.5,18.8,19.1,5427
MALUPAPER,2008-07-07,21.3,21.3,19.2,20.4,20924
MALUPAPER,2008-07-08,17.55,20.8,17.55,20.3,2525
MALUPAPER,2008-07-09,20.2,22.9,20.2,22.1,4233
MALUPAPER,2008-07-10,21.7,22.5,21.4,22.0,5705
MALUPAPER,2008-07-11,22.05,22.1,20.95,21.1,1981
MALUPAPER,2008-07-14,19.4,21.6,19.4,20.35,6110
MALUPAPER,2008-07-15,21.3,21.3,20.0,20.6,2515
MALUPAPER,2008-07-16,19.5,20.5,19.2,19.7,6339
MALUPAPER,2008-07-17,19.75,21.0,19.75,20.5,5217
MALUPAPER,2008-07-18,21.6,21.6,20.0,21.25,4116
MALUPAPER,2008-07-21,20.2,20.95,20.2,20.95,3132
MALUPAPER,2008-07-22,21.55,24.9,21.1,22.8,12013
MALUPAPER,2008-07-23,24.4,26.0,20.75,23.1,13754
MALUPAPER,2008-07-24,24.0,24.6,21.0,22.2,11467
MALUPAPER,2008-07-25,22.2,22.3,21.5,22.15,3368
