symbol,date,open,high,low,close,volume
MANINFRA,2010-03-11,42.4,50.0,42.4,46.65,153462074
MANINFRA,2010-03-12,46.67,46.93,43.41,44.17,43984417
MANINFRA,2010-03-15,43.47,46.87,43.03,46.2,36747809
MANINFRA,2010-03-16,46.67,46.81,45.23,46.11,13858709
MANINFRA,2010-03-17,46.31,50.51,45.81,49.51,30423307
MANINFRA,2010-03-18,49.31,50.64,47.74,48.22,25484309
MANINFRA,2010-03-19,48.07,50.23,48.0,49.18,13813462
MANINFRA,2010-03-22,48.03,54.53,47.88,52.95,56409239
MANINFRA,2010-03-23,46.67,53.92,46.67,51.24,29925487
MANINFRA,2010-03-25,51.33,52.78,50.96,51.57,13125862
MANINFRA,2010-03-26,51.87,52.66,50.3,51.22,8687459
MANINFRA,2010-03-29,51.33,51.71,48.6,49.05,5441129
MANINFRA,2010-03-30,49.07,50.25,47.87,48.31,4684627
MANINFRA,2010-03-31,46.8,49.04,46.0,47.83,3557714
MANINFRA,2010-04-01,48.67,51.16,47.89,50.73,10137532
MANINFRA,2010-04-05,51.2,51.56,49.36,49.61,7223144
MANINFRA,2010-04-06,49.93,53.25,49.35,51.77,16659554
MANINFRA,2010-04-07,51.73,52.53,50.44,51.26,5556877
MANINFRA,2010-04-08,51.19,51.8,48.8,49.51,4786289
MANINFRA,2010-04-09,49.99,50.6,48.73,50.13,3872384
MANINFRA,2010-04-12,50.53,50.79,49.33,50.04,3777014
MANINFRA,2010-04-13,50.27,51.23,49.48,49.88,3257767
MANINFRA,2010-04-15,50.14,50.97,48.59,49.03,3393194
MANINFRA,2010-04-16,48.8,49.32,48.01,48.37,1614877
MANINFRA,2010-04-19,47.84,48.06,46.42,46.7,1592377
MANINFRA,2010-04-20,47.01,49.07,46.73,47.03,4622939
MANINFRA,2010-04-21,47.33,47.96,46.71,47.19,2057129
MANINFRA,2010-04-22,47.32,48.27,46.87,47.09,1999109
MANINFRA,2010-04-23,47.43,47.6,46.0,46.79,1435844
MANINFRA,2010-04-26,47.19,47.39,46.61,46.99,957389
MANINFRA,2010-04-27,46.93,47.13,45.69,45.94,906802
MANINFRA,2010-04-28,45.33,47.31,44.8,45.83,3858277
MANINFRA,2010-04-29,46.33,47.0,45.26,45.93,1422292
MANINFRA,2010-04-30,46.13,46.83,45.61,45.77,905504
MANINFRA,2010-05-03,45.56,45.92,44.53,44.98,1622257
MANINFRA,2010-05-04,45.2,47.12,44.83,45.49,2817787
MANINFRA,2010-05-05,45.07,45.42,43.52,43.84,1660859
MANINFRA,2010-05-06,43.86,44.65,43.48,44.11,1019339
MANINFRA,2010-05-07,43.33,43.51,42.27,42.62,807824
MANINFRA,2010-05-10,43.53,44.27,42.95,43.36,812474
MANINFRA,2010-05-11,43.83,44.0,42.4,42.61,549232
MANINFRA,2010-05-12,42.75,43.97,42.23,42.33,983054
MANINFRA,2010-05-13,42.8,43.78,42.67,42.85,1637939
MANINFRA,2010-05-14,42.68,43.32,41.47,42.13,601567
MANINFRA,2010-05-17,41.49,42.93,40.8,42.39,618412
MANINFRA,2010-05-18,42.55,43.65,42.14,42.35,617054
MANINFRA,2010-05-19,42.13,43.71,41.9,42.07,671999
MANINFRA,2010-05-20,42.33,43.07,41.07,41.33,352604
MANINFRA,2010-05-21,40.0,40.87,39.21,40.49,422392
MANINFRA,2010-05-24,40.8,42.91,40.57,40.76,313657
MANINFRA,2010-05-25,39.6,41.59,39.6,40.37,700784
MANINFRA,2010-05-26,40.08,41.44,40.0,40.39,483869
MANINFRA,2010-05-27,40.53,41.07,40.01,40.63,262844
MANINFRA,2010-05-28,40.84,41.33,39.6,39.91,300824
MANINFRA,2010-05-31,40.25,40.56,39.37,39.67,204629
MANINFRA,2010-06-01,39.69,42.63,39.69,40.83,1752412
MANINFRA,2010-06-02,41.07,41.44,40.14,40.77,616484
MANINFRA,2010-06-03,41.39,41.73,40.4,40.77,272354
MANINFRA,2010-06-04,40.67,44.53,40.54,42.62,2760817
MANINFRA,2010-06-07,40.8,42.45,40.4,41.44,422002
MANINFRA,2010-06-08,41.51,42.33,41.33,41.36,365054
MANINFRA,2010-06-09,41.07,42.5,41.07,41.43,515422
MANINFRA,2010-06-10,41.47,42.58,41.47,42.1,504809
MANINFRA,2010-06-11,42.39,43.33,42.14,42.93,786607
MANINFRA,2010-06-14,43.6,43.85,42.8,43.01,209234
MANINFRA,2010-06-15,43.4,43.99,42.95,43.46,359144
MANINFRA,2010-06-16,43.35,43.97,42.67,42.82,168944
MANINFRA,2010-06-17,43.16,43.47,42.27,42.67,132974
MANINFRA,2010-06-18,42.85,43.33,41.5,41.88,240119
MANINFRA,2010-06-21,42.27,43.32,42.03,42.19,182894
MANINFRA,2010-06-22,42.6,42.67,41.33,41.48,215212
MANINFRA,2010-06-23,41.87,43.6,41.35,42.01,834757
MANINFRA,2010-06-24,42.27,42.67,41.33,41.4,222794
MANINFRA,2010-06-25,41.47,42.19,40.73,41.11,196012
MANINFRA,2010-06-28,41.57,41.97,41.41,41.55,211574
MANINFRA,2010-06-29,41.47,41.87,41.09,41.46,176992
MANINFRA,2010-06-30,40.87,41.47,39.87,41.17,112267
MANINFRA,2010-07-01,41.13,41.2,39.89,40.07,230587
MANINFRA,2010-07-02,40.45,40.93,39.72,39.85,202034
MANINFRA,2010-07-05,40.07,40.63,39.67,39.93,254144
MANINFRA,2010-07-06,39.9,40.36,39.6,39.91,317527
MANINFRA,2010-07-07,40.2,42.0,39.8,40.61,845902
MANINFRA,2010-07-08,41.19,41.31,40.28,40.45,296287
MANINFRA,2010-07-09,40.8,41.04,40.53,40.81,215632
MANINFRA,2010-07-12,40.8,41.27,40.08,40.3,151072
MANINFRA,2010-07-13,40.3,41.69,39.87,40.41,357442
MANINFRA,2010-07-14,40.94,41.6,39.93,40.31,507794
MANINFRA,2010-07-15,40.6,41.13,40.13,40.87,177659
MANINFRA,2010-07-16,40.94,40.94,39.87,40.01,196394
MANINFRA,2010-07-19,39.9,41.07,39.81,39.95,521684
MANINFRA,2010-07-20,38.67,40.86,38.67,39.61,562732
MANINFRA,2010-07-21,39.99,40.43,39.51,39.75,380894
MANINFRA,2010-07-22,39.98,40.2,39.34,39.48,282269
MANINFRA,2010-07-23,39.98,39.98,39.2,39.35,339074
MANINFRA,2010-07-26,38.96,39.76,37.87,38.05,260107
MANINFRA,2010-07-27,38.35,38.53,37.76,37.96,165082
MANINFRA,2010-07-28,38.07,39.69,38.03,38.38,469207
MANINFRA,2010-07-29,38.67,38.67,37.87,38.03,108899
MANINFRA,2010-07-30,38.03,40.47,37.89,39.87,1115954
MANINFRA,2010-08-02,40.0,44.06,40.0,43.63,4787459
MANINFRA,2010-08-03,43.97,45.6,43.87,44.96,2953852
MANINFRA,2010-08-04,45.01,45.37,44.07,44.99,998827
MANINFRA,2010-08-05,45.33,46.05,43.84,45.21,1861604
MANINFRA,2010-08-06,45.59,46.13,43.74,44.01,1320262
MANINFRA,2010-08-09,44.32,45.83,44.16,44.75,1168927
MANINFRA,2010-08-10,44.65,45.59,44.33,44.48,1389059
MANINFRA,2010-08-11,44.67,44.93,44.42,44.69,811424
MANINFRA,2010-08-12,44.01,45.19,43.48,43.71,673342
MANINFRA,2010-08-13,43.95,44.93,43.23,43.39,583019
MANINFRA,2010-08-16,44.66,44.67,43.37,44.45,302984
MANINFRA,2010-08-17,44.67,46.11,44.28,44.71,487717
MANINFRA,2010-08-18,45.16,45.47,44.27,44.53,312442
MANINFRA,2010-08-19,44.6,45.2,44.54,44.69,215707
MANINFRA,2010-08-20,44.33,44.73,43.57,43.99,251759
MANINFRA,2010-08-23,44.13,44.77,43.91,44.01,240704
MANINFRA,2010-08-24,44.31,48.13,44.13,45.97,2150594
MANINFRA,2010-08-25,45.91,47.05,44.7,45.47,904387
MANINFRA,2010-08-26,45.6,46.8,45.08,46.14,736162
MANINFRA,2010-08-27,46.27,47.33,44.93,45.36,1113149
MANINFRA,2010-08-30,46.33,46.33,44.8,44.98,294989
MANINFRA,2010-08-31,44.8,45.19,44.13,44.65,189157
MANINFRA,2010-09-01,44.93,45.07,44.15,44.25,116992
MANINFRA,2010-09-02,44.4,44.79,40.89,44.06,256477
MANINFRA,2010-09-03,44.16,45.2,43.73,44.87,1986847
MANINFRA,2010-09-06,44.93,45.72,44.8,44.86,419279
MANINFRA,2010-09-07,44.93,45.07,44.29,44.41,201397
MANINFRA,2010-09-08,44.43,46.82,44.43,45.71,906584
MANINFRA,2010-09-09,45.82,46.0,44.8,45.02,187754
MANINFRA,2010-09-13,45.47,45.73,44.81,45.21,231022
MANINFRA,2010-09-14,45.47,46.0,44.4,44.57,392152
MANINFRA,2010-09-15,44.4,45.19,44.0,44.11,211754
MANINFRA,2010-09-16,44.13,45.18,43.33,43.62,354479
MANINFRA,2010-09-17,44.29,44.67,43.63,43.87,307859
MANINFRA,2010-09-20,44.4,44.4,42.8,43.61,237119
MANINFRA,2010-09-21,44.05,44.27,43.2,43.44,1818352
MANINFRA,2010-09-22,43.83,43.87,42.21,42.47,257489
MANINFRA,2010-09-23,42.56,42.93,41.73,42.01,107549
MANINFRA,2010-09-24,42.0,43.51,42.0,42.76,297419
MANINFRA,2010-09-27,43.13,50.23,43.13,48.13,14312039
MANINFRA,2010-09-28,47.89,49.87,47.03,48.76,7350682
MANINFRA,2010-09-29,48.8,50.84,48.74,49.5,3099607
MANINFRA,2010-09-30,49.6,49.6,48.14,48.83,2211239
MANINFRA,2010-10-01,49.2,50.2,48.83,49.21,907124
MANINFRA,2010-10-04,49.44,50.92,48.8,50.48,865012
MANINFRA,2010-10-05,50.67,50.95,48.95,49.31,650497
MANINFRA,2010-10-06,49.61,49.79,48.13,48.53,180014
MANINFRA,2010-10-07,48.99,48.99,46.16,46.87,203242
MANINFRA,2010-10-08,47.33,47.83,46.56,46.89,190604
MANINFRA,2010-10-11,46.95,48.79,46.4,46.7,387247
MANINFRA,2010-10-12,47.19,47.6,45.75,46.99,206092
MANINFRA,2010-10-13,47.32,47.65,46.0,46.19,374902
MANINFRA,2010-10-14,46.66,47.73,45.61,46.04,1099184
MANINFRA,2010-10-15,46.47,46.64,44.27,44.56,226379
MANINFRA,2010-10-18,44.64,46.4,43.54,44.39,285719
MANINFRA,2010-10-19,45.99,47.32,45.07,45.91,932939
MANINFRA,2010-10-20,45.47,47.2,45.47,46.26,301867
MANINFRA,2010-10-21,47.03,48.12,46.27,47.67,2375947
MANINFRA,2010-10-22,48.01,48.4,46.93,47.99,687929
MANINFRA,2010-10-25,48.39,50.93,48.31,50.09,2929012
MANINFRA,2010-10-26,50.0,50.0,48.89,49.1,749069
MANINFRA,2010-10-27,48.13,49.71,48.03,48.4,212279
MANINFRA,2010-10-28,48.31,50.5,48.27,48.71,508379
MANINFRA,2010-10-29,49.04,50.64,47.6,50.14,1556969
MANINFRA,2010-11-01,50.27,50.51,48.97,49.4,543862
MANINFRA,2010-11-02,49.78,49.79,48.0,48.93,175267
MANINFRA,2010-11-03,49.06,49.72,47.61,47.92,132749
MANINFRA,2010-11-04,46.68,49.47,46.68,48.89,84089
MANINFRA,2010-11-05,49.57,50.0,49.15,49.55,147742
MANINFRA,2010-11-08,50.47,50.47,48.68,49.49,284579
MANINFRA,2010-11-09,49.59,49.97,48.54,48.7,198929
MANINFRA,2010-11-10,49.29,49.6,48.01,48.03,360719
MANINFRA,2010-11-11,48.79,49.2,47.55,47.76,201929
MANINFRA,2010-11-12,49.13,49.13,44.67,45.11,330284
MANINFRA,2010-11-15,45.08,47.33,43.73,43.91,425137
MANINFRA,2010-11-16,44.17,44.59,41.2,41.93,374332
MANINFRA,2010-11-18,42.04,43.32,40.8,42.21,390044
MANINFRA,2010-11-19,41.53,43.33,41.33,42.08,441352
MANINFRA,2010-11-22,42.28,43.18,41.4,42.92,182317
MANINFRA,2010-11-23,40.4,42.99,40.4,41.63,692249
MANINFRA,2010-11-24,40.0,42.43,33.77,35.32,1929614
MANINFRA,2010-11-25,37.33,39.13,31.76,35.53,8265502
MANINFRA,2010-11-26,35.61,36.64,28.43,28.93,2673397
MANINFRA,2010-11-29,29.07,31.82,26.03,31.51,8527732
MANINFRA,2010-11-30,31.87,32.59,29.49,30.81,3277462
